calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.9,11.1,5.9,0.0,,,,,8.0,,,,,
2016-01-02,7.7,11.2,2.4,0.0,,,,,3.0,,,,,
2016-01-03,9.3,13.2,5.1,0.0,,,,,3.6,,,,,
2016-01-04,10.9,15.7,5.5,0.0,,,,,4.9,,,,,
2016-01-05,11.5,13.9,9.8,0.0,,,,,7.4,,,,,
2016-01-06,11.1,12.8,8.6,0.0,,,,,5.8,,,,,
2016-01-07,9.6,11.4,7.4,0.0,,,,,8.4,,,,,
2016-01-08,8.8,10.8,6.9,0.0,,,,,6.4,,,,,
2016-01-09,8.2,10.8,6.2,0.0,,,,,8.4,,,,,
2016-01-10,8.6,11.3,7.1,0.0,,,,,7.0,,,,,
2016-01-11,9.0,11.4,7.2,0.0,,,,,6.0,,,,,
2016-01-12,7.9,10.0,5.1,0.0,,,,,6.4,,,,,
2016-01-13,7.0,9.7,2.9,0.0,,,,,5.8,,,,,
2016-01-14,7.3,10.2,5.2,0.0,,,,,7.9,,,,,
2016-01-15,7.0,9.7,5.2,0.0,,,,,9.1,,,,,
2016-01-16,7.2,10.6,3.3,0.0,,,,,6.9,,,,,
2016-01-17,6.3,10.0,1.2,3.5,,,,,2.9,,,,,
2016-01-18,8.9,11.5,5.4,14.5,,,,,8.5,,,,,
2016-01-19,4.3,7.6,1.6,0.0,,,,,13.4,,,,,
2016-01-20,4.0,6.8,1.6,1.5,,,,,12.2,,,,,
2016-01-21,5.9,8.2,4.0,0.0,,,,,7.0,,,,,
2016-01-22,5.0,9.7,2.1,0.0,,,,,7.3,,,,,
2016-01-23,3.8,6.0,1.8,0.0,,,,,4.9,,,,,
2016-01-24,1.8,4.8,-1.1,0.0,,,,,11.9,,,,,
2016-01-25,1.5,5.1,-3.1,0.5,,,,,5.7,,,,,
2016-01-26,4.6,7.4,-1.1,0.0,,,,,3.5,,,,,
2016-01-27,7.0,11.0,1.2,0.0,,,,,4.9,,,,,
2016-01-28,8.4,12.8,1.1,0.0,,,,,3.8,,,,,
2016-01-29,7.8,10.2,6.4,26.5,,,,,3.5,,,,,
2016-01-30,8.9,9.8,8.0,5.0,,,,,6.8,,,,,
2016-01-31,8.5,10.5,6.2,0.0,,,,,7.1,,,,,
2016-02-01,7.6,8.7,5.6,0.0,,,,,6.1,,,,,
2016-02-02,6.7,10.8,3.7,0.0,,,,,7.4,,,,,
2016-02-03,6.1,9.8,2.5,0.0,,,,,8.7,,,,,
2016-02-04,6.3,10.0,0.5,0.0,,,,,3.3,,,,,
2016-02-05,8.2,11.9,4.3,0.0,,,,,4.5,,,,,
2016-02-06,7.1,9.1,3.3,0.0,,,,,7.4,,,,,
2016-02-07,5.7,9.1,1.4,0.0,,,,,9.1,,,,,
2016-02-08,5.0,9.5,-0.9,0.0,,,,,4.1,,,,,
2016-02-09,6.9,9.2,4.5,0.0,,,,,8.1,,,,,
2016-02-10,5.9,8.3,4.0,0.0,,,,,10.5,,,,,
2016-02-11,6.5,10.4,0.9,0.0,,,,,4.0,,,,,
