calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.6,11.2,2.5,0.0,9.4,,,,2.4,,,,,
2016-01-02,8.8,12.7,5.5,0.0,8.3,,,,2.1,,,,,
2016-01-03,10.8,14.3,5.1,0.0,5.7,,,,1.9,,,,,
2016-01-04,12.1,15.9,6.7,0.0,8.8,,,,2.1,,,,,
2016-01-05,10.0,14.1,6.4,0.0,5.0,,,,2.3,,,,,
2016-01-06,9.4,12.1,6.9,0.0,1.6,,,,2.1,,,,,
2016-01-07,8.4,12.3,5.4,0.0,7.9,,,,2.5,,,,,
2016-01-08,7.1,10.3,4.0,0.0,4.1,,,,1.9,,,,,
2016-01-09,6.8,11.4,3.1,0.0,9.1,,,,2.0,,,,,
2016-01-10,7.3,11.5,3.6,0.0,8.7,,,,2.4,,,,,
2016-01-11,7.4,11.4,4.9,0.0,6.7,,,,2.0,,,,,
2016-01-12,6.9,9.3,4.2,0.0,1.0,,,,2.2,,,,,
2016-01-13,6.4,10.5,2.9,0.0,9.0,,,,2.3,,,,,
2016-01-14,5.6,9.8,1.8,0.0,7.1,,,,1.9,,,,,
2016-01-15,5.4,9.8,2.1,0.0,8.6,,,,2.3,,,,,
2016-01-16,5.8,10.5,1.9,0.0,9.4,,,,2.1,,,,,
2016-01-17,7.1,10.5,0.9,1.0,5.0,,,,2.2,,,,,
2016-01-18,8.6,11.9,5.7,22.0,0.9,,,,4.0,,,,,
2016-01-19,2.9,6.3,-0.2,0.0,7.7,,,,4.1,,,,,
2016-01-20,1.8,5.4,-0.8,4.5,0.4,,,,2.8,,,,,
2016-01-21,4.0,8.1,0.0,0.0,7.3,,,,2.1,,,,,
2016-01-22,4.4,10.0,1.2,0.0,8.6,,,,2.4,,,,,
2016-01-23,2.8,4.9,0.7,0.0,0.0,,,,2.0,,,,,
2016-01-24,0.4,3.3,-3.0,0.0,9.6,,,,3.9,,,,,
2016-01-25,0.3,4.9,-5.0,0.0,8.8,,,,2.2,,,,,
2016-01-26,3.8,8.0,-0.6,0.0,9.4,,,,1.9,,,,,
2016-01-27,6.6,11.1,1.8,0.0,7.1,,,,2.3,,,,,
2016-01-28,8.5,13.0,3.6,0.0,8.3,,,,2.2,,,,,
2016-01-29,7.8,10.2,5.9,33.0,0.0,,,,0.8,,,,,
2016-01-30,8.2,10.4,6.2,6.0,0.5,,,,1.8,,,,,
2016-01-31,7.3,11.9,3.6,0.0,9.4,,,,2.4,,,,,
2016-02-01,6.6,8.1,5.1,0.0,0.0,,,,1.7,,,,,
2016-02-02,6.2,11.4,2.3,0.0,8.7,,,,2.5,,,,,
2016-02-03,4.6,10.0,0.9,0.0,10.0,,,,2.6,,,,,
2016-02-04,5.5,10.4,-0.5,0.0,9.6,,,,1.9,,,,,
2016-02-05,7.4,12.2,3.3,0.0,9.0,,,,2.0,,,,,
2016-02-06,6.1,9.0,2.5,0.0,2.6,,,,2.2,,,,,
2016-02-07,4.6,9.7,1.7,0.0,10.1,,,,3.8,,,,,
2016-02-08,5.0,10.9,-1.1,0.0,9.6,,,,1.6,,,,,
2016-02-09,5.5,10.3,2.3,0.0,4.7,,,,2.4,,,,,
2016-02-10,4.3,9.1,0.9,0.0,10.0,,,,2.6,,,,,
2016-02-11,6.6,12.3,-0.2,0.0,9.1,,,,2.2,,,,,
2016-02-12,8.8,12.6,4.3,0.0,0.2,,,,1.2,,,,,
2016-02-13,11.9,15.8,7.4,20.0,0.2,,,,1.1,,,,,
2016-02-14,15.6,21.0,10.9,11.5,1.0,,,,2.2,,,,,
2016-02-15,7.4,11.0,1.4,0.0,5.3,,,,2.9,,,,,
2016-02-16,3.7,7.8,0.7,0.0,6.6,,,,1.8,,,,,
2016-02-17,4.7,9.9,1.6,0.0,7.6,,,,2.5,,,,,
2016-02-18,5.5,11.7,0.4,0.0,9.1,,,,1.9,,,,,
2016-02-19,8.8,15.0,2.4,0.0,9.9,,,,1.6,,,,,
2016-02-20,9.4,14.2,6.1,60.5,0.0,,,,1.7,,,,,
2016-02-21,7.7,10.8,3.7,0.0,9.2,,,,3.6,,,,,
2016-02-22,6.5,9.9,2.9,0.0,0.6,,,,1.8,,,,,
2016-02-23,9.0,13.4,6.1,0.0,4.2,,,,2.2,,,,,
2016-02-24,5.8,10.5,0.4,0.0,10.1,,,,2.5,,,,,
2016-02-25,4.3,9.9,-0.1,0.0,10.4,,,,2.1,,,,,
2016-02-26,4.3,9.5,0.5,0.0,7.6,,,,2.1,,,,,
2016-02-27,6.8,11.7,0.5,0.0,8.8,,,,1.6,,,,,
2016-02-28,10.2,15.5,5.7,0.0,10.0,,,,2.2,,,,,
2016-02-29,8.9,15.6,1.0,3.5,3.9,,,,2.5,,,,,
2016-03-01,2.7,7.1,-0.8,0.0,10.0,,,,2.9,,,,,
2016-03-02,5.2,10.5,0.0,0.0,9.3,,,,2.7,,,,,
2016-03-03,9.0,14.9,0.7,0.0,10.8,,,,2.2,,,,,
2016-03-04,11.4,17.9,4.9,0.0,10.7,,,,1.7,,,,,
2016-03-05,12.9,17.6,7.8,0.0,5.5,,,,1.5,,,,,
2016-03-06,15.7,19.6,13.2,6.5,3.1,,,,2.5,,,,,
2016-03-07,14.8,17.4,12.6,33.5,0.0,,,,1.1,,,,,
2016-03-08,15.5,21.8,10.3,0.0,9.9,,,,2.0,,,,,
2016-03-09,10.8,13.0,8.6,34.5,0.0,,,,2.5,,,,,
2016-03-10,7.7,10.8,4.6,0.0,3.4,,,,2.9,,,,,
2016-03-11,7.4,12.9,3.8,0.0,5.8,,,,2.5,,,,,
2016-03-12,6.8,12.7,0.8,0.0,11.3,,,,2.1,,,,,
2016-03-13,8.4,13.9,4.1,1.0,3.8,,,,1.6,,,,,
2016-03-14,6.3,7.1,5.3,27.5,0.0,,,,2.1,,,,,
2016-03-15,7.9,13.2,4.1,0.0,11.4,,,,3.3,,,,,
2016-03-16,7.7,12.9,1.5,0.0,1.8,,,,1.0,,,,,
2016-03-17,12.6,20.8,5.2,0.0,11.4,,,,1.9,,,,,
2016-03-18,14.6,20.6,8.7,18.0,6.5,,,,2.5,,,,,
2016-03-19,15.6,21.5,11.3,54.0,5.4,,,,2.9,,,,,
2016-03-20,11.0,15.8,7.8,0.0,11.2,,,,3.6,,,,,
2016-03-21,9.3,14.8,5.5,0.0,10.2,,,,4.0,,,,,
2016-03-22,10.1,16.9,2.6,0.0,10.9,,,,2.0,,,,,
2016-03-23,12.4,18.5,7.3,0.0,6.7,,,,2.3,,,,,
2016-03-24,9.5,14.5,4.9,0.0,10.2,,,,3.0,,,,,
2016-03-25,7.1,13.2,3.3,0.0,11.4,,,,3.3,,,,,
2016-03-26,8.3,14.5,3.4,0.0,9.9,,,,2.7,,,,,
2016-03-27,9.3,16.3,3.0,0.0,7.7,,,,1.6,,,,,
2016-03-28,11.6,17.6,7.8,3.0,8.1,,,,2.1,,,,,
2016-03-29,12.4,17.9,7.5,0.0,8.2,,,,2.3,,,,,
2016-03-30,14.1,18.7,8.6,0.0,5.9,,,,1.6,,,,,
2016-03-31,14.9,21.4,9.2,0.0,8.9,,,,2.1,,,,,
2016-04-01,13.0,14.7,11.3,2.0,0.0,,,,2.1,,,,,
2016-04-02,15.1,19.9,11.3,0.0,1.3,,,,1.6,,,,,
2016-04-03,16.8,21.0,14.2,1.0,2.5,,,,3.1,,,,,
2016-04-04,16.3,20.3,11.6,22.5,1.1,,,,2.1,,,,,
2016-04-05,14.2,18.2,11.1,0.0,4.2,,,,2.2,,,,,
2016-04-06,15.1,20.1,10.6,0.0,9.8,,,,2.2,,,,,
2016-04-07,14.7,17.6,10.4,26.5,0.0,,,,2.6,,,,,
2016-04-08,15.2,18.7,12.3,0.0,3.8,,,,2.8,,,,,
2016-04-09,16.6,22.6,12.2,0.0,8.1,,,,1.8,,,,,
2016-04-10,15.8,20.2,11.0,0.0,0.9,,,,1.4,,,,,
2016-04-11,12.4,16.0,6.5,0.0,10.4,,,,3.3,,,,,
2016-04-12,11.3,16.9,4.9,0.0,7.3,,,,2.8,,,,,
2016-04-13,15.0,20.5,12.2,16.0,1.4,,,,4.6,,,,,
2016-04-14,17.7,25.0,14.3,16.0,6.5,,,,2.1,,,,,
2016-04-15,15.8,21.6,10.2,0.0,11.7,,,,2.9,,,,,
2016-04-16,15.7,21.8,8.2,0.0,11.5,,,,2.3,,,,,
2016-04-17,18.5,23.7,14.7,11.5,4.0,,,,3.8,,,,,
2016-04-18,15.8,20.8,12.6,0.0,4.0,,,,2.5,,,,,
2016-04-19,14.8,21.1,8.5,0.0,11.9,,,,2.7,,,,,
2016-04-20,14.9,20.2,8.7,0.0,10.2,,,,2.3,,,,,
2016-04-21,15.8,19.2,13.0,31.5,0.3,,,,2.8,,,,,
2016-04-22,18.1,23.8,13.6,2.0,11.0,,,,2.4,,,,,
2016-04-23,18.2,23.5,14.8,1.5,5.0,,,,1.5,,,,,
2016-04-24,17.2,24.2,13.7,2.0,5.2,,,,2.5,,,,,
2016-04-25,17.6,22.8,13.0,0.0,7.7,,,,1.9,,,,,
2016-04-26,18.5,23.8,13.0,0.0,10.9,,,,1.7,,,,,
2016-04-27,17.2,20.4,13.4,8.5,0.0,,,,2.1,,,,,
2016-04-28,16.4,21.5,13.4,1.5,1.5,,,,3.0,,,,,
2016-04-29,13.7,18.2,9.7,0.0,12.0,,,,3.3,,,,,
2016-04-30,15.1,22.5,8.5,0.0,11.9,,,,2.5,,,,,
2016-05-01,19.3,26.2,10.9,0.0,8.9,,,,2.0,,,,,
2016-05-02,19.2,24.3,14.0,0.0,11.0,,,,2.3,,,,,
2016-05-03,19.1,22.7,16.1,6.5,2.2,,,,5.1,,,,,
2016-05-04,19.8,25.2,15.2,31.0,10.8,,,,3.4,,,,,
2016-05-05,20.0,24.5,16.7,0.0,11.5,,,,3.2,,,,,
2016-05-06,16.1,20.7,12.4,8.0,0.0,,,,1.8,,,,,
