calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.8,7.6,-3.2,0.0,5.7,,,,1.3,,,,,
2016-01-02,1.2,8.8,-4.3,0.0,4.3,,,,0.9,,,,,
2016-01-03,2.7,12.8,-2.4,0.0,4.8,,,,0.8,,,,,
2016-01-04,4.7,12.4,-2.3,0.0,5.8,,,,1.8,,,,,
2016-01-05,4.5,10.8,-1.3,0.0,4.8,,,,2.0,,,,,
2016-01-06,4.8,9.7,0.9,0.0,0.7,,,,1.3,,,,,
2016-01-07,3.5,8.3,0.0,0.0,2.4,,,,2.1,,,,,
2016-01-08,2.3,7.3,-1.5,0.0,4.7,,,,1.4,,,,,
2016-01-09,1.8,8.0,-2.5,0.0,4.8,,,,1.5,,,,,
2016-01-10,1.7,7.2,-3.5,0.0,4.1,,,,2.2,,,,,
2016-01-11,1.9,8.1,-2.7,0.0,4.9,,,,1.3,,,,,
2016-01-12,1.2,6.0,-3.5,0.0,0.1,,,,1.0,,,,,
2016-01-13,-0.7,6.4,-5.4,0.0,4.8,,,,0.9,,,,,
2016-01-14,0.8,5.8,-3.8,0.0,4.1,,,,1.7,,,,,
2016-01-15,1.1,6.1,-3.4,0.0,5.8,,,,2.3,,,,,
2016-01-16,-0.8,6.6,-5.2,0.0,5.3,,,,1.1,,,,,
2016-01-17,0.8,7.2,-5.9,1.0,3.4,,,,0.6,,,,,
2016-01-18,5.4,8.8,1.9,33.5,0.0,,,,2.2,,,,,
2016-01-19,-1.3,2.0,-3.5,0.0,4.1,,,,2.7,,,,,
2016-01-20,-2.7,0.7,-5.8,3.0,0.0,,,,1.9,,,,,
2016-01-21,-1.9,3.0,-7.5,0.0,5.5,,,,1.6,,,,,
2016-01-22,-0.7,5.5,-4.7,0.0,6.3,,,,1.4,,,,,
2016-01-23,-1.8,2.8,-6.0,4.0,0.0,,,,0.2,,,,,
2016-01-24,-4.6,-0.6,-10.2,0.5,3.6,,,,1.8,,,,,
2016-01-25,-4.1,1.3,-10.2,0.0,5.2,,,,2.1,,,,,
2016-01-26,-2.6,4.6,-7.8,0.0,6.4,,,,0.6,,,,,
2016-01-27,-0.1,5.7,-5.4,0.0,4.7,,,,1.7,,,,,
2016-01-28,1.0,9.4,-5.1,0.0,6.3,,,,1.0,,,,,
2016-01-29,3.6,5.8,0.6,36.0,0.0,,,,0.2,,,,,
2016-01-30,4.7,7.6,2.0,6.5,0.0,,,,0.5,,,,,
2016-01-31,2.2,8.4,-1.6,0.0,6.4,,,,0.9,,,,,
2016-02-01,2.3,5.4,-0.7,0.0,0.0,,,,0.6,,,,,
2016-02-02,1.3,7.6,-3.3,0.0,5.6,,,,1.1,,,,,
2016-02-03,-1.4,6.1,-6.0,0.0,6.6,,,,0.7,,,,,
2016-02-04,-0.5,6.2,-6.4,0.0,6.0,,,,1.2,,,,,
2016-02-05,2.2,8.9,-2.3,0.0,6.6,,,,1.8,,,,,
2016-02-06,0.2,5.5,-3.4,0.0,1.1,,,,1.3,,,,,
2016-02-07,-1.1,5.8,-5.6,0.0,6.8,,,,1.1,,,,,
2016-02-08,-1.5,7.3,-7.7,0.0,6.8,,,,0.9,,,,,
