calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.6,10.8,3.1,0.0,8.7,,,,4.1,,,,,
2016-01-02,6.6,12.6,0.3,0.0,7.5,,,,1.8,,,,,
2016-01-03,9.3,13.4,4.3,0.0,5.9,,,,1.9,,,,,
2016-01-04,10.9,15.8,4.9,0.0,8.6,,,,2.3,,,,,
2016-01-05,10.8,13.8,7.6,0.0,3.9,,,,3.4,,,,,
2016-01-06,10.3,12.0,7.5,0.0,1.2,,,,2.8,,,,,
2016-01-07,8.6,11.5,4.9,0.0,4.7,,,,3.8,,,,,
2016-01-08,7.6,10.5,2.6,0.0,1.6,,,,2.6,,,,,
2016-01-09,7.3,10.7,5.1,0.0,8.6,,,,3.6,,,,,
2016-01-10,7.9,11.9,4.6,0.0,8.2,,,,2.9,,,,,
2016-01-11,7.7,11.1,4.8,0.0,6.0,,,,2.5,,,,,
2016-01-12,7.2,9.6,4.3,0.0,1.6,,,,3.5,,,,,
2016-01-13,6.0,10.1,-0.2,0.0,8.6,,,,2.9,,,,,
2016-01-14,6.7,10.0,4.1,0.0,7.7,,,,3.6,,,,,
2016-01-15,6.0,9.4,3.2,0.0,8.5,,,,4.2,,,,,
2016-01-16,5.7,9.9,0.0,0.0,9.1,,,,3.5,,,,,
2016-01-17,5.9,9.7,0.6,3.0,5.3,,,,2.0,,,,,
2016-01-18,8.9,10.9,5.6,16.0,1.3,,,,4.9,,,,,
2016-01-19,3.5,6.1,1.0,0.0,7.6,,,,6.2,,,,,
2016-01-20,3.4,6.0,0.8,1.0,4.7,,,,5.3,,,,,
2016-01-21,5.1,7.8,2.9,0.0,6.1,,,,3.3,,,,,
2016-01-22,4.8,9.2,1.9,0.0,8.3,,,,4.7,,,,,
2016-01-23,3.1,5.1,1.3,0.0,0.0,,,,3.0,,,,,
2016-01-24,0.8,3.5,-2.2,0.0,8.9,,,,5.4,,,,,
2016-01-25,1.1,5.4,-3.4,0.0,6.2,,,,3.5,,,,,
2016-01-26,4.2,8.6,-2.1,0.0,9.6,,,,2.6,,,,,
2016-01-27,6.2,10.9,-0.6,0.0,7.2,,,,3.0,,,,,
2016-01-28,8.1,13.3,0.7,0.0,7.7,,,,2.3,,,,,
2016-01-29,7.8,9.4,6.5,30.5,0.0,,,,1.9,,,,,
2016-01-30,8.5,10.1,6.7,5.0,0.7,,,,2.8,,,,,
2016-01-31,7.9,11.5,5.3,0.0,9.2,,,,3.9,,,,,
2016-02-01,7.2,9.0,5.0,0.0,0.0,,,,2.6,,,,,
2016-02-02,6.4,10.9,3.4,0.0,9.1,,,,4.4,,,,,
2016-02-03,5.4,9.4,2.2,0.0,10.1,,,,5.5,,,,,
2016-02-04,5.6,10.6,0.6,0.0,9.5,,,,2.6,,,,,
2016-02-05,7.4,11.9,2.7,0.0,9.0,,,,3.0,,,,,
2016-02-06,6.4,8.9,3.1,0.0,2.0,,,,3.6,,,,,
2016-02-07,4.7,9.1,-0.3,0.0,10.2,,,,5.1,,,,,
2016-02-08,3.8,9.2,-2.0,0.0,9.6,,,,2.1,,,,,
2016-02-09,6.6,10.6,3.4,0.0,4.2,,,,4.1,,,,,
2016-02-10,5.2,8.7,3.2,0.0,7.4,,,,6.1,,,,,
2016-02-11,5.5,11.3,0.8,0.0,10.2,,,,2.6,,,,,
2016-02-12,7.6,9.9,3.2,0.0,0.0,,,,1.2,,,,,
2016-02-13,10.5,15.9,7.0,13.0,0.2,,,,1.3,,,,,
2016-02-14,15.3,19.9,11.1,13.5,1.7,,,,3.8,,,,,
2016-02-15,7.1,11.2,2.9,0.0,6.9,,,,4.7,,,,,
2016-02-16,4.9,8.5,2.9,0.0,7.8,,,,3.7,,,,,
2016-02-17,5.5,9.5,3.2,0.0,7.1,,,,4.6,,,,,
2016-02-18,4.4,10.0,-0.2,0.0,10.4,,,,2.1,,,,,
2016-02-19,7.8,14.5,0.6,0.0,9.9,,,,2.1,,,,,
2016-02-20,7.4,9.4,5.8,38.5,0.0,,,,2.2,,,,,
2016-02-21,8.1,10.2,4.7,0.0,9.1,,,,7.2,,,,,
2016-02-22,7.1,9.5,4.4,0.0,0.4,,,,3.7,,,,,
2016-02-23,9.2,12.8,6.0,0.0,4.8,,,,3.0,,,,,
2016-02-24,6.1,9.2,3.1,0.0,10.3,,,,6.8,,,,,
2016-02-25,5.3,9.8,2.0,0.0,10.2,,,,4.6,,,,,
2016-02-26,5.4,10.0,1.7,0.0,7.9,,,,3.9,,,,,
2016-02-27,6.5,10.7,-0.5,0.0,9.0,,,,2.3,,,,,
2016-02-28,9.5,14.8,5.3,0.0,9.9,,,,2.5,,,,,
2016-02-29,8.6,13.7,1.2,0.0,3.0,,,,4.9,,,,,
2016-03-01,2.8,5.8,0.0,0.0,9.4,,,,6.3,,,,,
2016-03-02,5.1,10.0,-1.1,0.0,10.6,,,,3.4,,,,,
2016-03-03,8.4,14.6,1.3,0.0,10.7,,,,3.2,,,,,
2016-03-04,10.3,17.1,4.6,0.0,10.7,,,,2.1,,,,,
2016-03-05,12.1,17.2,7.2,0.0,5.7,,,,1.6,,,,,
2016-03-06,14.2,17.3,11.7,14.0,1.3,,,,2.8,,,,,
2016-03-07,14.4,17.0,11.3,9.5,0.0,,,,1.5,,,,,
2016-03-08,14.9,20.5,9.9,0.0,8.5,,,,3.2,,,,,
2016-03-09,10.6,12.9,8.2,35.0,0.0,,,,3.7,,,,,
2016-03-10,7.9,10.3,5.8,0.0,2.8,,,,4.3,,,,,
2016-03-11,7.8,12.1,4.7,0.0,6.7,,,,4.5,,,,,
2016-03-12,7.1,12.2,1.8,0.0,11.4,,,,3.2,,,,,
2016-03-13,7.9,12.5,2.8,2.0,4.5,,,,1.9,,,,,
2016-03-14,6.9,7.8,5.9,23.5,0.0,,,,5.0,,,,,
2016-03-15,8.2,11.8,5.2,0.0,11.3,,,,6.6,,,,,
2016-03-16,7.0,11.8,2.2,0.0,1.8,,,,1.9,,,,,
2016-03-17,11.6,19.8,5.6,0.0,11.3,,,,2.8,,,,,
2016-03-18,13.0,19.0,6.4,10.5,7.0,,,,2.3,,,,,
2016-03-19,15.2,20.1,11.5,24.0,4.9,,,,5.1,,,,,
2016-03-20,10.8,13.3,8.4,0.0,11.2,,,,8.3,,,,,
2016-03-21,9.3,14.0,6.5,0.0,10.8,,,,5.8,,,,,
2016-03-22,9.8,16.3,3.3,0.0,11.0,,,,2.6,,,,,
2016-03-23,12.4,17.9,6.7,0.0,7.4,,,,2.7,,,,,
2016-03-24,9.4,13.0,6.0,0.0,10.3,,,,6.9,,,,,
2016-03-25,7.4,11.2,5.1,0.0,10.9,,,,6.7,,,,,
2016-03-26,8.6,14.0,4.4,0.0,11.6,,,,3.5,,,,,
2016-03-27,8.8,14.6,3.0,0.0,8.6,,,,1.9,,,,,
2016-03-28,11.7,16.8,7.4,0.0,10.8,,,,3.0,,,,,
2016-03-29,12.0,16.9,6.1,0.0,8.3,,,,2.4,,,,,
2016-03-30,13.9,18.7,7.1,0.0,5.2,,,,2.2,,,,,
2016-03-31,14.8,20.0,10.0,0.0,7.8,,,,2.4,,,,,
2016-04-01,12.9,13.9,11.8,5.0,0.0,,,,2.7,,,,,
2016-04-02,14.9,18.8,11.3,0.0,2.6,,,,2.0,,,,,
2016-04-03,16.1,19.1,13.5,2.5,0.5,,,,2.9,,,,,
2016-04-04,16.2,19.7,12.3,30.5,1.6,,,,2.8,,,,,
2016-04-05,14.4,18.7,10.6,0.0,7.3,,,,2.7,,,,,
2016-04-06,15.0,20.7,8.3,0.0,10.8,,,,2.4,,,,,
2016-04-07,13.4,15.5,11.4,31.0,0.0,,,,3.3,,,,,
2016-04-08,15.3,17.6,11.8,0.0,4.2,,,,4.5,,,,,
2016-04-09,15.1,21.8,8.7,0.0,8.0,,,,2.4,,,,,
2016-04-10,15.2,20.4,10.0,0.0,0.3,,,,2.0,,,,,
2016-04-11,11.8,15.3,6.9,0.0,10.3,,,,6.7,,,,,
2016-04-12,10.8,15.6,5.4,0.0,7.5,,,,3.8,,,,,
2016-04-13,14.7,17.2,12.3,35.0,0.0,,,,4.4,,,,,
2016-04-14,17.1,23.8,13.3,15.0,6.8,,,,4.5,,,,,
2016-04-15,14.9,19.1,10.9,0.0,11.9,,,,6.3,,,,,
2016-04-16,14.9,21.2,6.4,0.0,11.7,,,,2.6,,,,,
2016-04-17,20.1,26.6,17.0,1.5,5.7,,,,4.7,,,,,
2016-04-18,15.9,19.8,13.1,0.0,4.1,,,,4.4,,,,,
2016-04-19,14.7,20.0,9.8,0.0,12.4,,,,5.7,,,,,
2016-04-20,14.5,19.2,9.2,0.0,12.1,,,,3.1,,,,,
2016-04-21,15.7,17.7,14.0,45.5,0.5,,,,2.8,,,,,
2016-04-22,17.5,22.1,13.0,3.0,9.7,,,,3.3,,,,,
2016-04-23,17.4,22.5,14.5,3.0,3.5,,,,2.1,,,,,
2016-04-24,17.2,22.3,14.4,2.0,5.4,,,,3.1,,,,,
2016-04-25,17.2,21.7,13.1,0.0,6.1,,,,1.9,,,,,
2016-04-26,17.9,23.2,13.0,0.0,11.5,,,,1.8,,,,,
2016-04-27,17.2,19.2,14.8,15.0,0.0,,,,2.4,,,,,
2016-04-28,16.1,18.8,14.0,2.5,0.0,,,,4.2,,,,,
2016-04-29,13.7,16.3,11.1,0.0,12.6,,,,8.7,,,,,
2016-04-30,15.1,22.2,9.8,0.0,12.6,,,,3.2,,,,,
2016-05-01,18.1,25.7,9.5,0.0,9.1,,,,2.2,,,,,
2016-05-02,18.2,23.1,11.8,0.0,11.1,,,,3.0,,,,,
2016-05-03,19.3,22.1,17.4,2.5,1.9,,,,4.7,,,,,
2016-05-04,20.4,25.0,15.9,24.0,11.4,,,,4.4,,,,,
2016-05-05,20.0,24.0,16.4,0.0,11.9,,,,5.0,,,,,
2016-05-06,16.1,19.0,14.4,8.0,0.0,,,,2.3,,,,,
2016-05-07,17.1,21.1,14.3,1.5,2.5,,,,3.2,,,,,
2016-05-08,19.0,24.6,15.1,0.0,11.1,,,,3.1,,,,,
2016-05-09,17.0,18.8,14.9,15.5,0.0,,,,2.6,,,,,
2016-05-10,17.8,20.4,15.5,13.5,0.0,,,,1.8,,,,,
2016-05-11,18.8,21.9,15.2,16.5,0.1,,,,4.0,,,,,
2016-05-12,19.0,25.6,14.3,0.0,13.2,,,,3.3,,,,,
2016-05-13,19.4,24.4,15.3,0.0,11.7,,,,2.4,,,,,
2016-05-14,20.1,26.0,16.2,0.0,12.7,,,,2.5,,,,,
2016-05-15,18.7,21.3,14.8,0.0,10.7,,,,2.9,,,,,
2016-05-16,19.1,20.9,17.8,16.5,0.2,,,,4.3,,,,,
2016-05-17,17.3,21.4,14.4,30.5,4.1,,,,3.2,,,,,
2016-05-18,18.7,25.0,13.9,0.0,10.4,,,,2.6,,,,,
2016-05-19,19.2,25.7,13.2,0.0,12.4,,,,2.3,,,,,
2016-05-20,18.3,23.2,14.5,0.0,6.7,,,,2.1,,,,,
2016-05-21,19.5,26.2,13.4,0.0,12.8,,,,2.6,,,,,
2016-05-22,22.0,28.0,17.3,0.0,12.7,,,,2.3,,,,,
2016-05-23,22.8,31.5,16.4,0.0,11.5,,,,1.9,,,,,
2016-05-24,22.2,27.0,17.4,0.0,9.0,,,,2.7,,,,,
2016-05-25,22.1,24.1,20.8,0.0,0.0,,,,2.3,,,,,
2016-05-26,22.5,26.6,20.0,8.5,3.8,,,,2.6,,,,,
2016-05-27,22.7,27.3,20.0,3.0,5.5,,,,3.7,,,,,
2016-05-28,20.7,22.6,17.2,0.0,0.0,,,,1.8,,,,,
2016-05-29,20.2,23.9,16.5,12.0,1.5,,,,2.3,,,,,
2016-05-30,18.8,21.3,16.9,12.5,0.0,,,,2.7,,,,,
2016-05-31,22.5,27.1,16.6,0.0,10.4,,,,2.4,,,,,
2016-06-01,20.5,23.2,16.8,0.0,6.0,,,,5.6,,,,,
2016-06-02,19.7,24.5,16.2,0.0,13.7,,,,5.9,,,,,
2016-06-03,19.4,25.3,13.9,0.0,12.5,,,,2.4,,,,,
2016-06-04,20.6,23.5,16.1,0.0,2.8,,,,2.1,,,,,
2016-06-05,18.9,22.3,16.4,4.0,3.1,,,,2.8,,,,,
2016-06-06,20.2,25.2,15.1,0.0,7.1,,,,2.3,,,,,
2016-06-07,20.2,22.6,18.1,17.0,0.1,,,,2.0,,,,,
2016-06-08,21.6,25.3,18.2,0.5,9.6,,,,2.4,,,,,
2016-06-09,21.7,25.2,20.1,1.0,3.0,,,,1.6,,,,,
2016-06-10,23.2,28.0,19.7,0.0,13.0,,,,2.7,,,,,
2016-06-11,22.5,26.8,19.0,0.0,9.6,,,,2.1,,,,,
2016-06-12,22.7,25.0,21.3,6.0,0.3,,,,3.1,,,,,
2016-06-13,21.6,24.0,20.4,27.5,0.9,,,,3.7,,,,,
2016-06-14,23.0,26.2,20.7,0.0,8.7,,,,2.9,,,,,
2016-06-15,23.1,26.5,21.2,1.0,4.9,,,,3.0,,,,,
2016-06-16,21.3,22.4,20.3,21.0,0.0,,,,4.1,,,,,
2016-06-17,23.3,27.0,20.3,0.0,1.6,,,,2.9,,,,,
2016-06-18,24.4,30.0,20.4,0.0,12.6,,,,2.5,,,,,
2016-06-19,22.2,25.2,20.0,28.0,0.0,,,,2.2,,,,,
2016-06-20,24.3,29.2,20.2,0.0,3.4,,,,2.1,,,,,
2016-06-21,24.2,29.9,20.7,46.0,5.9,,,,2.6,,,,,
2016-06-22,23.7,26.4,22.4,4.5,0.0,,,,2.1,,,,,
2016-06-23,24.8,29.7,20.7,7.0,7.8,,,,3.1,,,,,
2016-06-24,22.2,25.4,19.9,10.5,0.1,,,,2.8,,,,,
2016-06-25,23.3,26.7,18.2,13.5,0.4,,,,2.4,,,,,
2016-06-26,23.2,27.6,17.3,0.0,10.3,,,,3.2,,,,,
2016-06-27,23.1,29.8,18.2,3.5,8.2,,,,2.1,,,,,
2016-06-28,20.4,22.8,17.9,19.0,0.0,,,,2.3,,,,,
2016-06-29,21.7,23.4,20.4,5.0,0.0,,,,2.3,,,,,
2016-06-30,24.0,28.5,21.2,0.0,1.3,,,,1.9,,,,,
2016-07-01,26.1,32.1,22.0,0.0,11.8,,,,2.4,,,,,
2016-07-02,26.4,30.5,23.8,0.0,8.6,,,,2.2,,,,,
2016-07-03,27.6,32.9,22.9,0.0,6.7,,,,1.9,,,,,
2016-07-04,27.8,34.0,24.1,1.5,11.2,,,,2.3,,,,,
2016-07-05,25.9,33.4,22.4,0.0,8.8,,,,3.4,,,,,
2016-07-06,24.8,29.2,21.8,0.0,8.5,,,,2.6,,,,,
2016-07-07,28.7,33.5,23.2,0.0,12.8,,,,2.6,,,,,
2016-07-08,25.7,27.4,24.2,0.0,0.0,,,,2.2,,,,,
2016-07-09,22.4,24.3,20.5,51.5,0.0,,,,2.4,,,,,
2016-07-10,25.4,30.1,21.7,0.0,8.7,,,,2.1,,,,,
2016-07-11,28.3,33.8,23.3,0.0,11.7,,,,2.3,,,,,
2016-07-12,26.9,29.4,25.1,0.5,0.0,,,,1.6,,,,,
2016-07-13,26.6,29.5,24.9,3.0,0.6,,,,1.4,,,,,
2016-07-14,27.5,32.5,23.9,5.5,9.0,,,,2.7,,,,,
2016-07-15,25.3,29.2,22.8,0.0,5.8,,,,2.9,,,,,
2016-07-16,24.7,28.1,21.5,0.0,4.5,,,,2.1,,,,,
2016-07-17,26.5,29.7,24.7,0.0,1.0,,,,1.9,,,,,
2016-07-18,27.8,32.6,24.2,0.0,13.1,,,,3.1,,,,,
2016-07-19,27.2,33.3,23.4,0.0,13.4,,,,2.4,,,,,
2016-07-20,26.9,33.1,23.3,0.0,13.3,,,,2.2,,,,,
2016-07-21,26.3,31.4,22.7,0.0,10.1,,,,2.4,,,,,
2016-07-22,24.8,27.4,23.5,1.0,1.9,,,,3.1,,,,,
2016-07-23,23.9,27.1,21.4,0.0,1.9,,,,2.4,,,,,
2016-07-24,24.8,29.1,22.1,0.0,7.6,,,,2.4,,,,,
2016-07-25,24.7,29.6,20.9,0.0,6.0,,,,2.2,,,,,
2016-07-26,23.5,24.5,22.5,38.0,0.0,,,,1.8,,,,,
2016-07-27,24.6,28.0,22.4,0.0,3.8,,,,1.8,,,,,
2016-07-28,25.8,29.3,24.1,0.0,5.8,,,,2.7,,,,,
2016-07-29,26.2,30.5,23.2,0.0,8.4,,,,2.0,,,,,
2016-07-30,26.3,31.7,22.3,0.0,10.4,,,,1.6,,,,,
2016-07-31,27.4,34.1,23.0,0.0,11.1,,,,2.0,,,,,
2016-08-01,28.0,34.1,24.0,0.0,10.2,,,,2.0,,,,,
2016-08-02,27.5,33.6,24.1,1.0,10.6,,,,2.4,,,,,
2016-08-03,27.1,32.6,24.0,0.0,10.2,,,,1.9,,,,,
2016-08-04,27.8,32.8,24.6,0.0,10.2,,,,2.0,,,,,
2016-08-05,28.1,32.7,24.8,0.0,11.7,,,,2.0,,,,,
2016-08-06,28.1,32.4,25.0,0.0,10.4,,,,1.9,,,,,
2016-08-07,28.2,33.0,25.1,0.0,9.2,,,,2.1,,,,,
2016-08-08,29.7,36.0,23.3,0.0,12.7,,,,3.3,,,,,
2016-08-09,29.5,34.2,25.7,0.0,12.3,,,,5.0,,,,,
2016-08-10,27.9,33.5,24.2,0.0,11.6,,,,2.9,,,,,
2016-08-11,27.1,32.9,23.0,0.0,12.1,,,,2.5,,,,,
2016-08-12,27.5,31.0,25.2,0.0,9.0,,,,2.6,,,,,
2016-08-13,27.6,31.5,25.8,0.0,7.0,,,,2.5,,,,,
2016-08-14,27.0,30.5,24.8,0.0,4.1,,,,3.0,,,,,
2016-08-15,27.3,31.8,24.9,0.0,6.2,,,,2.4,,,,,
2016-08-16,28.6,33.3,25.3,0.0,8.8,,,,2.8,,,,,
2016-08-17,30.2,35.0,27.3,0.0,10.8,,,,2.8,,,,,
2016-08-18,28.8,33.1,27.2,0.5,6.0,,,,2.0,,,,,
2016-08-19,28.6,32.6,25.0,2.5,12.1,,,,2.9,,,,,
2016-08-20,28.6,34.2,24.6,0.0,8.6,,,,2.3,,,,,
2016-08-21,28.7,33.2,25.6,0.0,10.4,,,,2.4,,,,,
2016-08-22,30.0,34.9,26.6,0.0,7.9,,,,3.2,,,,,
2016-08-23,29.3,35.4,26.6,0.0,9.2,,,,2.6,,,,,
2016-08-24,28.2,31.8,26.5,0.0,6.2,,,,3.1,,,,,
2016-08-25,28.2,32.5,25.3,0.0,9.9,,,,2.7,,,,,
2016-08-26,27.8,33.1,23.9,0.0,10.8,,,,2.1,,,,,
2016-08-27,27.4,32.0,24.6,6.0,6.8,,,,3.0,,,,,
2016-08-28,26.2,29.3,23.6,8.5,1.8,,,,3.8,,,,,
2016-08-29,27.5,32.0,22.2,0.5,2.9,,,,3.7,,,,,
2016-08-30,23.7,27.9,20.6,22.0,9.2,,,,3.9,,,,,
2016-08-31,26.2,30.9,19.3,0.0,12.0,,,,2.8,,,,,
2016-09-01,26.2,31.7,21.4,0.0,11.2,,,,1.8,,,,,
2016-09-02,26.8,31.0,23.8,0.0,11.2,,,,2.5,,,,,
2016-09-03,28.0,33.2,23.8,2.0,6.5,,,,3.1,,,,,
2016-09-04,27.3,30.8,23.2,12.0,9.0,,,,3.9,,,,,
2016-09-05,25.9,28.5,23.0,5.0,0.6,,,,3.1,,,,,
2016-09-06,26.2,29.1,24.4,11.0,2.3,,,,1.8,,,,,
2016-09-07,27.1,30.5,24.9,11.0,7.5,,,,2.4,,,,,
2016-09-08,26.0,28.8,24.0,37.5,3.4,,,,3.6,,,,,
2016-09-09,25.4,29.2,23.1,0.0,10.5,,,,4.1,,,,,
2016-09-10,24.8,30.2,20.5,0.0,11.0,,,,2.3,,,,,
2016-09-11,25.1,29.4,21.7,0.0,3.2,,,,1.8,,,,,
2016-09-12,25.6,27.9,23.0,1.5,1.4,,,,2.6,,,,,
2016-09-13,25.1,27.2,23.8,36.5,0.0,,,,2.7,,,,,
2016-09-14,25.2,28.8,22.8,4.5,1.3,,,,2.2,,,,,
2016-09-15,24.4,27.2,22.3,0.0,1.5,,,,1.9,,,,,
