calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.1,11.8,1.9,,9.5,12.59,,,3.1,5.3,1021.2,58,1028.3,0.0
2016-01-02,6.3,12.1,0.9,,7.7,10.73,,,1.6,5.8,1018.6,61,1025.6,6.8
2016-01-03,8.2,14.5,3.0,,8.0,10.51,,,1.6,7.5,1012.7,70,1019.6,6.3
2016-01-04,9.8,15.7,4.3,,6.6,10.30,,,2.2,8.0,1010.8,67,1017.6,3.3
2016-01-05,9.1,13.6,4.6,0.0,4.2,7.53,,,2.7,7.3,1013.3,63,1020.1,4.8
2016-01-06,9.1,12.7,5.7,,1.7,7.00,,,2.6,7.3,1011.8,64,1018.6,10.0
2016-01-07,8.5,13.0,6.5,0.0,4.9,9.24,,,4.4,6.6,1008.9,60,1015.8,6.3
2016-01-08,7.0,11.3,2.9,0.0,6.7,9.37,,,2.5,6.2,1009.7,63,1016.6,2.5
2016-01-09,6.9,11.3,3.3,,9.2,12.90,,,3.5,5.6,1013.0,57,1019.9,0.8
2016-01-10,6.3,11.8,1.6,0.0,7.1,10.15,,,2.6,5.8,1014.3,62,1021.3,7.0
2016-01-11,7.3,11.8,3.2,,6.5,10.31,,,2.6,6.5,1012.3,65,1019.2,7.8
2016-01-12,6.5,10.3,3.1,,2.4,7.35,,,3.1,5.5,1007.8,57,1014.7,6.0
2016-01-13,5.2,9.8,1.3,0.0,5.9,10.38,,,1.9,4.6,1008.2,53,1015.2,4.8
2016-01-14,5.8,10.8,2.5,,6.4,10.97,,,3.4,4.4,1009.4,49,1016.3,3.8
2016-01-15,5.5,10.5,3.0,0.0,6.8,11.71,,,3.7,5.1,1011.6,57,1018.6,3.0
2016-01-16,5.2,10.7,1.0,0.0,9.4,13.37,,,3.0,5.0,1013.7,59,1020.7,2.3
2016-01-17,5.1,9.2,0.0,2.0,4.3,8.15,,,1.8,4.9,1012.8,57,1019.8,7.5
2016-01-18,7.0,11.4,4.5,14.5,1.3,4.09,,,3.9,8.3,992.1,83,998.9,9.0
2016-01-19,3.0,7.3,0.3,0.0,7.8,14.22,,,5.1,3.2,1000.7,43,1007.7,4.8
2016-01-20,2.3,6.6,-1.1,5.5,5.3,10.35,9,9,3.6,5.3,1007.9,73,1014.9,5.3
2016-01-21,3.6,8.1,-0.6,,6.4,10.52,,,3.2,4.7,1013.6,62,1020.6,5.8
2016-01-22,4.1,9.6,0.6,,8.7,13.81,,,4.1,3.8,1014.8,48,1021.9,6.0
2016-01-23,1.8,3.9,-0.2,0.0,0.0,2.46,,,2.1,4.3,1011.9,61,1018.9,8.5
2016-01-24,0.5,3.2,-2.9,0.0,8.9,14.44,,,5.8,2.3,1005.0,36,1012.1,1.5
2016-01-25,0.1,4.6,-4.8,0.0,7.9,13.28,1,1,2.8,4.2,1014.4,68,1021.5,6.8
2016-01-26,3.4,8.5,-1.6,,9.5,14.43,,,1.7,4.4,1018.3,59,1025.4,3.3
2016-01-27,5.3,10.9,1.0,,5.1,10.24,,,2.3,5.2,1020.6,59,1027.6,3.5
2016-01-28,6.9,13.2,0.2,0.0,7.2,12.47,,,2.2,5.6,1021.2,58,1028.2,5.0
2016-01-29,7.0,8.8,5.4,27.5,0.0,1.24,,,1.8,8.9,1013.4,89,1020.4,10.0
2016-01-30,8.0,11.3,6.2,5.5,1.3,7.10,,,3.1,7.7,1010.8,72,1017.7,10.0
2016-01-31,7.5,12.4,3.0,,9.4,14.59,,,3.3,5.0,1015.1,49,1022.0,4.8
2016-02-01,6.8,8.3,4.9,0.0,0.0,3.24,,,2.4,6.5,1012.7,66,1019.7,10.0
2016-02-02,6.0,12.0,3.1,,7.3,13.21,,,4.5,3.7,1012.1,41,1019.0,6.8
2016-02-03,4.7,10.5,-0.1,,10.2,15.98,,,4.0,3.4,1015.6,41,1022.6,0.0
2016-02-04,5.1,10.4,-0.6,,8.9,14.70,,,2.5,4.2,1014.9,48,1021.9,3.8
2016-02-05,6.7,11.9,1.9,,7.7,13.99,,,2.9,5.4,1010.9,56,1017.9,5.8
2016-02-06,5.5,10.0,2.3,,2.8,9.03,,,3.1,5.3,1007.4,60,1014.4,5.5
2016-02-07,4.4,9.5,1.1,,10.3,16.89,,,4.6,3.3,1010.0,42,1017.0,0.0
2016-02-08,4.1,10.3,-2.1,,10.3,16.63,,,1.9,3.6,1011.5,45,1018.5,1.3
2016-02-09,4.1,10.4,1.9,1.5,1.8,6.74,,,3.9,5.9,1007.7,72,1014.6,6.8
2016-02-10,4.0,9.0,0.5,0.0,10.0,16.42,,,5.0,4.4,1016.7,57,1023.8,0.8
2016-02-11,5.7,12.3,-0.8,,10.3,16.84,,,2.1,4.3,1023.0,49,1030.1,0.0
2016-02-12,7.3,10.3,3.4,0.0,0.0,3.39,,,1.5,6.4,1023.5,62,1030.5,8.3
2016-02-13,10.2,15.6,7.5,18.0,0.0,3.14,,,1.4,10.6,1012.9,84,1019.8,10.0
2016-02-14,15.4,23.5,10.8,15.5,3.3,9.69,,,4.2,14.0,996.8,79,1003.5,10.0
2016-02-15,7.4,12.1,2.2,0.0,6.0,12.73,,,5.1,5.6,999.8,53,1006.7,6.0
2016-02-16,3.7,8.0,0.8,0.0,2.9,8.97,,,2.4,4.2,1008.3,54,1015.3,5.3
