calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.5,11.5,-0.6,0.0,9.3,,,,2.3,,,,,
2016-01-02,4.8,14.2,-2.2,0.0,8.5,,,,1.3,,,,,
2016-01-03,7.1,17.2,1.3,0.0,5.9,,,,1.4,,,,,
2016-01-04,9.1,16.8,0.7,0.0,9.0,,,,1.6,,,,,
2016-01-05,10.3,15.0,3.5,0.0,6.3,,,,1.9,,,,,
2016-01-06,9.3,14.4,4.3,0.0,1.3,,,,1.3,,,,,
2016-01-07,8.4,12.6,3.5,0.0,6.8,,,,2.4,,,,,
2016-01-08,5.2,11.2,-0.9,0.0,5.8,,,,1.7,,,,,
2016-01-09,5.6,11.9,-0.8,0.0,9.4,,,,1.9,,,,,
2016-01-10,5.1,11.5,-2.3,0.0,8.5,,,,1.8,,,,,
2016-01-11,6.0,12.2,0.8,0.0,6.7,,,,1.6,,,,,
2016-01-12,4.9,9.5,0.1,0.0,0.6,,,,1.3,,,,,
2016-01-13,3.5,11.0,-2.4,0.0,8.7,,,,1.5,,,,,
2016-01-14,4.6,9.4,-2.1,0.0,6.8,,,,1.9,,,,,
2016-01-15,4.3,10.1,-1.7,0.0,9.2,,,,2.1,,,,,
2016-01-16,3.9,10.8,-3.8,0.0,9.5,,,,2.1,,,,,
2016-01-17,4.2,11.4,-4.3,1.5,5.2,,,,1.1,,,,,
2016-01-18,8.9,11.7,4.9,20.5,1.4,,,,2.4,,,,,
2016-01-19,2.9,6.8,0.0,1.0,7.1,,,,3.7,,,,,
2016-01-20,2.3,6.0,-1.3,1.0,7.2,,,,3.0,,,,,
2016-01-21,3.5,8.3,-2.9,0.0,7.3,,,,2.1,,,,,
2016-01-22,3.8,10.6,-1.7,0.0,8.6,,,,1.7,,,,,
2016-01-23,2.0,5.3,-1.9,1.5,0.0,,,,1.1,,,,,
2016-01-24,0.2,2.8,-3.4,0.0,8.0,,,,3.6,,,,,
2016-01-25,0.4,5.7,-5.0,0.0,9.3,,,,2.4,,,,,
2016-01-26,1.4,9.0,-3.9,0.0,9.6,,,,1.6,,,,,
2016-01-27,3.3,10.3,-4.4,0.0,6.4,,,,1.6,,,,,
2016-01-28,5.4,13.9,-2.8,0.0,8.5,,,,1.5,,,,,
2016-01-29,7.1,9.1,5.2,37.0,0.0,,,,0.7,,,,,
2016-01-30,7.7,9.1,5.0,6.0,0.0,,,,0.9,,,,,
2016-01-31,5.6,12.6,0.6,0.0,9.4,,,,1.4,,,,,
2016-02-01,4.5,8.6,-0.4,0.0,0.0,,,,1.1,,,,,
2016-02-02,5.2,12.2,-0.4,0.0,8.2,,,,2.2,,,,,
2016-02-03,3.8,10.2,-3.0,0.0,8.7,,,,1.7,,,,,
2016-02-04,2.7,10.8,-4.5,0.0,9.2,,,,1.6,,,,,
2016-02-05,5.2,13.2,-2.4,0.0,8.7,,,,1.7,,,,,
2016-02-06,4.1,9.7,-2.1,0.0,3.1,,,,1.6,,,,,
2016-02-07,2.8,10.1,-3.5,0.0,10.0,,,,1.8,,,,,
2016-02-08,2.1,12.0,-5.3,0.0,9.9,,,,1.1,,,,,
2016-02-09,3.2,9.7,-2.1,1.0,5.0,,,,2.4,,,,,
2016-02-10,4.2,9.1,-1.0,0.0,9.6,,,,2.5,,,,,
