calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.1,10.6,4.1,0.0,9.5,,,,4.6,,,,,
2016-01-02,6.4,12.0,-0.1,0.0,8.6,,,,2.4,,,,,
2016-01-03,8.0,13.1,2.4,0.0,4.8,,,,2.6,,,,,
2016-01-04,10.4,15.2,3.5,0.0,8.8,,,,4.0,,,,,
2016-01-05,10.6,13.8,7.0,0.0,6.3,,,,5.4,,,,,
2016-01-06,9.6,12.0,7.6,0.0,0.8,,,,4.6,,,,,
2016-01-07,8.9,12.0,6.0,0.0,8.9,,,,5.4,,,,,
2016-01-08,7.0,10.5,2.3,0.0,3.9,,,,3.4,,,,,
2016-01-09,7.2,11.0,4.6,0.0,9.5,,,,4.0,,,,,
2016-01-10,7.4,11.1,4.2,0.0,8.1,,,,4.5,,,,,
2016-01-11,7.6,10.8,5.3,0.0,5.8,,,,3.6,,,,,
2016-01-12,7.2,9.5,3.6,0.0,0.6,,,,3.2,,,,,
2016-01-13,6.1,10.4,-0.6,0.0,7.9,,,,3.7,,,,,
2016-01-14,6.1,9.4,2.9,0.0,8.0,,,,4.1,,,,,
2016-01-15,5.9,9.8,3.4,0.0,9.1,,,,4.7,,,,,
2016-01-16,6.1,10.1,2.3,0.0,9.7,,,,4.6,,,,,
2016-01-17,5.9,10.4,-2.1,1.5,5.4,,,,2.6,,,,,
2016-01-18,9.1,11.0,6.0,14.5,1.6,,,,7.8,,,,,
2016-01-19,3.5,6.3,1.1,0.0,6.5,,,,9.9,,,,,
2016-01-20,3.2,5.9,0.0,0.5,1.4,,,,7.7,,,,,
2016-01-21,4.4,7.7,1.5,0.0,5.7,,,,4.5,,,,,
2016-01-22,4.9,9.6,2.0,0.0,8.1,,,,5.2,,,,,
2016-01-23,3.0,5.0,0.8,0.0,0.0,,,,3.1,,,,,
2016-01-24,1.1,3.0,-1.9,0.0,9.5,,,,8.9,,,,,
2016-01-25,0.7,5.0,-4.3,0.0,9.2,,,,4.6,,,,,
2016-01-26,3.3,7.4,-0.8,0.0,9.7,,,,3.1,,,,,
2016-01-27,5.7,10.6,-0.3,0.0,7.1,,,,4.2,,,,,
2016-01-28,7.4,12.4,2.8,0.0,8.6,,,,3.6,,,,,
2016-01-29,7.6,9.0,6.1,34.0,0.0,,,,1.5,,,,,
2016-01-30,8.3,10.3,6.9,6.0,0.0,,,,3.0,,,,,
2016-01-31,7.3,11.3,4.2,0.0,9.5,,,,4.1,,,,,
2016-02-01,6.5,8.2,4.2,0.0,0.0,,,,2.7,,,,,
2016-02-02,6.2,10.9,2.3,0.0,8.8,,,,4.2,,,,,
2016-02-03,5.1,9.4,1.8,0.0,10.2,,,,5.1,,,,,
2016-02-04,5.4,9.8,0.8,0.0,9.6,,,,3.0,,,,,
2016-02-05,7.2,11.7,3.4,0.0,9.2,,,,3.8,,,,,
2016-02-06,6.2,9.2,3.0,0.0,2.9,,,,4.3,,,,,
2016-02-07,4.8,9.3,1.0,0.0,10.4,,,,5.0,,,,,
2016-02-08,3.4,9.8,-3.0,0.0,10.2,,,,2.6,,,,,
2016-02-09,4.2,10.4,-0.4,0.0,5.0,,,,4.6,,,,,
2016-02-10,4.8,8.6,1.9,0.0,10.2,,,,6.5,,,,,
2016-02-11,6.0,11.2,0.9,0.0,9.9,,,,3.3,,,,,
2016-02-12,8.2,11.3,4.8,0.0,0.0,,,,3.0,,,,,
2016-02-13,11.8,17.0,5.8,25.5,0.7,,,,2.3,,,,,
2016-02-14,15.3,18.1,11.3,24.5,0.6,,,,5.2,,,,,
2016-02-15,7.9,11.5,3.2,0.0,7.3,,,,7.1,,,,,
2016-02-16,4.5,7.6,0.9,0.0,8.1,,,,4.8,,,,,
2016-02-17,5.5,9.3,1.4,0.0,8.0,,,,5.8,,,,,
2016-02-18,4.9,10.1,-0.6,0.0,8.2,,,,2.9,,,,,
2016-02-19,7.6,14.1,1.5,0.0,9.9,,,,2.7,,,,,
2016-02-20,9.1,14.8,5.2,34.0,0.0,,,,4.2,,,,,
2016-02-21,8.3,10.3,5.2,0.0,9.7,,,,8.4,,,,,
2016-02-22,6.7,9.0,3.7,0.0,0.0,,,,3.6,,,,,
2016-02-23,9.0,13.0,6.0,0.0,5.8,,,,4.3,,,,,
2016-02-24,6.5,9.9,2.6,0.0,10.2,,,,7.3,,,,,
2016-02-25,5.1,9.5,1.3,0.0,10.7,,,,5.0,,,,,
2016-02-26,5.2,9.5,2.1,0.0,8.6,,,,5.1,,,,,
2016-02-27,6.7,11.5,1.3,0.0,9.5,,,,2.4,,,,,
2016-02-28,9.4,14.1,5.6,0.0,10.1,,,,3.4,,,,,
2016-02-29,8.2,15.0,2.2,2.5,1.2,,,,5.3,,,,,
2016-03-01,3.4,6.7,0.5,0.0,10.7,,,,7.8,,,,,
2016-03-02,5.4,9.8,1.2,0.0,10.2,,,,5.1,,,,,
2016-03-03,8.0,14.0,-0.3,0.0,10.7,,,,3.8,,,,,
2016-03-04,9.6,16.6,2.1,0.0,10.7,,,,2.3,,,,,
2016-03-05,12.1,17.1,7.6,0.0,6.5,,,,2.8,,,,,
2016-03-06,15.1,18.9,10.9,11.5,3.2,,,,3.4,,,,,
2016-03-07,15.0,17.5,12.5,42.0,0.0,,,,2.7,,,,,
2016-03-08,14.1,20.5,8.8,0.0,6.7,,,,3.7,,,,,
2016-03-09,11.1,13.4,9.6,41.5,0.0,,,,3.1,,,,,
2016-03-10,8.6,11.2,5.9,0.0,3.1,,,,4.7,,,,,
2016-03-11,8.1,11.7,5.0,0.0,4.9,,,,4.9,,,,,
2016-03-12,7.1,11.8,1.1,0.0,11.4,,,,3.6,,,,,
2016-03-13,7.5,12.6,2.1,0.5,4.6,,,,2.2,,,,,
2016-03-14,7.3,8.1,6.1,25.5,0.0,,,,3.3,,,,,
2016-03-15,8.5,12.7,4.5,0.0,11.5,,,,6.3,,,,,
2016-03-16,7.6,11.6,3.0,0.0,1.4,,,,2.0,,,,,
2016-03-17,10.8,18.2,3.3,0.0,11.6,,,,2.9,,,,,
2016-03-18,13.5,19.0,7.1,11.5,7.6,,,,3.2,,,,,
2016-03-19,15.7,20.7,12.3,34.0,5.0,,,,5.3,,,,,
2016-03-20,11.7,15.6,8.8,0.0,11.1,,,,6.4,,,,,
2016-03-21,9.9,14.6,6.8,0.0,9.6,,,,5.2,,,,,
2016-03-22,9.3,15.3,3.3,0.0,10.1,,,,2.9,,,,,
2016-03-23,12.3,17.5,6.7,0.0,7.5,,,,3.4,,,,,
2016-03-24,10.1,13.8,6.2,0.0,8.3,,,,5.8,,,,,
2016-03-25,7.7,12.1,4.6,0.0,11.6,,,,6.1,,,,,
