calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,10.9,-1.4,0.0,9.4,,,,1.3,,,,,
2016-01-02,5.3,12.5,-0.5,0.0,7.5,,,,1.6,,,,,
2016-01-03,7.5,15.2,2.6,0.0,7.0,,,,1.7,,,,,
2016-01-04,,,,,,,,,,,,,,
2016-01-05,,,,,,,,,,,,,,
2016-01-06,7.8,12.6,3.5,0.0,1.3,,,,1.0,,,,,
2016-01-07,7.0,11.9,2.2,0.0,7.0,,,,1.5,,,,,
2016-01-08,5.0,11.1,0.3,0.0,8.0,,,,1.3,,,,,
2016-01-09,4.1,10.8,-0.8,0.0,8.8,,,,1.4,,,,,
2016-01-10,5.0,10.8,-0.5,0.0,5.7,,,,1.4,,,,,
2016-01-11,5.1,11.2,-0.3,0.0,6.5,,,,1.5,,,,,
2016-01-12,4.6,9.3,-1.2,0.0,1.6,,,,1.1,,,,,
2016-01-13,2.8,9.5,-2.7,0.0,6.1,,,,1.3,,,,,
2016-01-14,3.1,8.6,-2.0,0.0,4.7,,,,1.3,,,,,
2016-01-15,3.8,9.8,-1.0,0.0,8.4,,,,1.3,,,,,
2016-01-16,3.2,9.9,-2.5,0.0,9.6,,,,1.5,,,,,
2016-01-17,3.8,9.8,-2.3,0.0,4.6,,,,1.4,,,,,
2016-01-18,7.2,10.5,4.0,16.5,1.0,,,,1.4,,,,,
2016-01-19,2.5,5.8,-0.4,0.0,6.6,,,,2.9,,,,,
2016-01-20,1.0,5.3,-2.4,5.5,3.3,,,,1.0,,,,,
2016-01-21,2.2,7.3,-3.8,0.0,6.3,,,,1.2,,,,,
2016-01-22,3.0,9.5,-1.7,0.0,8.9,,,,1.4,,,,,
2016-01-23,0.3,2.5,-2.8,0.5,0.0,,,,1.0,,,,,
2016-01-24,-0.1,2.2,-3.8,0.0,8.9,,,,2.2,,,,,
2016-01-25,-0.1,4.7,-5.5,0.0,9.4,,,,1.4,,,,,
2016-01-26,1.9,7.8,-3.4,0.0,9.2,,,,1.4,,,,,
2016-01-27,3.6,10.7,-1.0,0.0,4.4,,,,1.5,,,,,
2016-01-28,5.7,12.9,-1.1,0.0,7.4,,,,1.6,,,,,
2016-01-29,6.6,7.8,4.8,25.5,0.0,,,,0.6,,,,,
2016-01-30,7.9,10.8,4.9,7.0,1.1,,,,1.1,,,,,
2016-01-31,5.7,11.7,-0.5,0.0,9.5,,,,1.1,,,,,
2016-02-01,4.6,7.9,1.8,0.0,0.0,,,,0.7,,,,,
2016-02-02,4.8,11.3,0.6,0.0,7.6,,,,1.2,,,,,
2016-02-03,3.4,10.0,-2.9,0.0,10.1,,,,1.4,,,,,
2016-02-04,3.3,9.7,-3.3,0.0,8.6,,,,1.3,,,,,
2016-02-05,5.2,11.6,-0.4,0.0,8.3,,,,1.4,,,,,
2016-02-06,3.7,9.0,-0.8,0.0,0.6,,,,1.6,,,,,
2016-02-07,2.5,9.3,-3.4,0.0,10.1,,,,1.7,,,,,
2016-02-08,2.1,10.4,-5.0,0.0,10.1,,,,1.3,,,,,
2016-02-09,2.7,8.8,-1.1,0.0,,,,,1.9,,,,,
2016-02-10,3.5,8.4,-1.6,0.5,8.3,,,,1.6,,,,,
2016-02-11,3.8,11.6,-3.1,0.0,10.2,,,,1.5,,,,,
2016-02-12,7.0,11.4,1.8,0.0,0.0,,,,1.3,,,,,
2016-02-13,10.9,16.8,6.2,14.0,0.0,,,,0.9,,,,,
2016-02-14,16.0,22.2,10.9,20.0,2.0,,,,1.9,,,,,
2016-02-15,7.1,10.9,0.1,0.0,5.4,,,,1.8,,,,,
2016-02-16,1.8,7.4,-2.0,0.0,6.2,,,,1.3,,,,,
2016-02-17,2.9,8.7,-1.5,0.0,5.4,,,,1.9,,,,,
2016-02-18,3.0,10.9,-3.3,0.0,9.1,,,,1.5,,,,,
2016-02-19,7.1,14.1,0.0,0.0,9.3,,,,1.5,,,,,
2016-02-20,7.0,9.7,4.2,25.5,0.0,,,,1.5,,,,,
2016-02-21,7.3,10.6,3.6,0.0,9.1,,,,2.0,,,,,
2016-02-22,6.0,11.3,0.0,0.0,3.5,,,,1.2,,,,,
2016-02-23,8.3,13.6,2.8,0.0,6.4,,,,1.4,,,,,
2016-02-24,5.5,9.9,-0.4,0.0,10.1,,,,2.0,,,,,
2016-02-25,3.6,9.9,-2.8,0.0,10.6,,,,1.6,,,,,
2016-02-26,3.0,8.6,-2.7,0.0,7.9,,,,1.4,,,,,
2016-02-27,5.0,11.7,-2.6,0.0,7.8,,,,1.2,,,,,
2016-02-28,8.1,15.5,1.4,0.0,10.2,,,,1.4,,,,,
2016-02-29,7.1,15.8,0.8,1.0,2.8,,,,1.9,,,,,
2016-03-01,2.2,7.3,-1.4,0.0,10.0,,,,2.0,,,,,
2016-03-02,3.4,9.5,-2.0,0.0,8.4,,,,1.5,,,,,
2016-03-03,6.5,14.7,-0.9,0.0,10.0,,,,1.8,,,,,
2016-03-04,9.2,18.1,1.2,0.0,10.4,,,,1.7,,,,,
2016-03-05,11.2,18.2,6.3,0.0,2.2,,,,1.7,,,,,
2016-03-06,14.4,20.1,7.4,9.0,4.4,,,,2.0,,,,,
2016-03-07,14.3,18.1,12.2,2.0,0.0,,,,1.1,,,,,
2016-03-08,15.6,21.8,10.6,0.0,9.4,,,,1.4,,,,,
2016-03-09,10.5,12.8,8.0,20.5,0.0,,,,1.0,,,,,
2016-03-10,7.7,11.7,3.8,0.0,3.4,,,,1.5,,,,,
2016-03-11,7.6,12.9,2.9,0.0,10.0,,,,1.6,,,,,
2016-03-12,5.2,12.3,-1.7,0.0,11.1,,,,1.5,,,,,
2016-03-13,7.0,13.4,-0.5,2.0,3.8,,,,1.6,,,,,
2016-03-14,6.1,7.2,4.9,22.0,0.0,,,,1.2,,,,,
2016-03-15,7.0,13.7,0.4,0.0,11.2,,,,1.7,,,,,
2016-03-16,6.7,14.0,-1.0,0.0,3.6,,,,1.0,,,,,
2016-03-17,11.4,21.1,2.8,0.0,11.2,,,,1.6,,,,,
2016-03-18,13.1,19.8,5.9,13.5,6.0,,,,2.2,,,,,
2016-03-19,15.5,21.7,12.0,52.5,5.4,,,,2.1,,,,,
2016-03-20,11.1,15.9,6.7,0.0,11.2,,,,2.1,,,,,
2016-03-21,9.2,15.5,4.0,0.0,10.4,,,,1.8,,,,,
2016-03-22,8.3,16.9,-0.3,0.0,10.8,,,,1.6,,,,,
2016-03-23,10.8,18.2,4.2,0.0,6.9,,,,1.4,,,,,
2016-03-24,9.1,14.2,4.0,0.0,10.2,,,,1.9,,,,,
2016-03-25,6.9,12.4,2.6,0.0,11.3,,,,2.0,,,,,
2016-03-26,6.7,14.6,-0.7,0.0,10.9,,,,1.4,,,,,
2016-03-27,9.0,17.0,0.0,0.0,8.3,,,,1.5,,,,,
2016-03-28,10.9,17.1,6.1,0.0,6.4,,,,1.8,,,,,
2016-03-29,10.9,18.3,2.7,0.0,8.1,,,,1.6,,,,,
2016-03-30,13.4,19.2,6.7,0.0,7.9,,,,1.7,,,,,
2016-03-31,13.3,21.3,5.4,0.0,8.4,,,,1.6,,,,,
2016-04-01,12.8,15.8,10.3,2.5,0.0,,,,1.3,,,,,
2016-04-02,15.3,20.4,10.3,0.0,1.6,,,,1.2,,,,,
2016-04-03,16.4,21.0,13.1,0.0,0.8,,,,1.6,,,,,
2016-04-04,16.0,20.5,11.6,26.0,1.4,,,,1.4,,,,,
2016-04-05,12.5,19.2,7.4,0.0,4.2,,,,1.1,,,,,
2016-04-06,13.8,21.5,5.6,0.0,7.6,,,,1.6,,,,,
2016-04-07,12.8,16.0,10.4,35.0,0.0,,,,1.3,,,,,
2016-04-08,14.3,19.2,9.1,0.0,3.2,,,,1.5,,,,,
2016-04-09,14.9,23.5,7.6,0.0,8.4,,,,1.8,,,,,
2016-04-10,15.1,21.6,9.2,0.0,0.5,,,,1.4,,,,,
2016-04-11,11.9,16.5,6.2,0.0,10.5,,,,2.0,,,,,
2016-04-12,10.4,17.3,1.2,0.0,8.1,,,,1.5,,,,,
2016-04-13,15.5,20.1,11.8,6.5,0.2,,,,2.2,,,,,
