calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.0,0.2,-4.5,2.5,0.0,,41,6,0.5,,,,,
2016-01-02,1.2,5.2,-2.1,10.0,0.0,,36,0,0.9,,,,,
2016-01-03,1.2,3.8,0.3,6.0,0.0,,18,0,0.2,,,,,
2016-01-04,1.3,6.9,-0.2,9.5,0.0,,13,0,0.8,,,,,
2016-01-05,-1.3,-0.1,-2.3,7.0,0.0,,33,23,0.7,,,,,
2016-01-06,-1.0,1.4,-2.9,0.5,0.5,,31,1,0.7,,,,,
2016-01-07,-1.5,-0.2,-2.5,2.0,0.0,,27,7,,,,,,
2016-01-08,-1.3,-0.2,-2.3,4.0,0.0,,32,8,0.7,,,,,
2016-01-09,-2.0,-0.6,-2.9,2.5,0.0,,39,9,0.9,,,,,
2016-01-10,-1.1,1.3,-3.0,16.0,0.0,,59,26,0.5,,,,,
2016-01-11,-3.9,-3.0,-4.7,2.5,0.5,,63,9,,,,,,
2016-01-12,-3.9,-2.8,-5.2,2.0,0.0,,63,6,0.9,,,,,
2016-01-13,-2.5,-0.1,-7.1,4.0,1.7,,59,9,0.7,,,,,
2016-01-14,-3.4,-0.2,-8.4,8.5,0.0,,72,13,0.4,,,,,
2016-01-15,-5.6,-2.3,-9.1,0.5,2.7,,66,1,0.3,,,,,
2016-01-16,-4.8,-3.0,-8.7,2.5,0.0,,65,10,0.7,,,,,
2016-01-17,-3.1,-0.7,-4.8,4.0,0.2,,72,7,0.3,,,,,
2016-01-18,-0.8,0.9,-2.7,24.0,0.0,,81,21,1.2,,,,,
2016-01-19,-1.5,0.1,-2.9,58.5,0.0,,136,57,,,,,,
2016-01-20,-2.2,0.0,-5.1,6.0,0.7,,135,7,,,,,,
2016-01-21,-2.8,-2.1,-3.6,7.0,0.0,,132,17,1.2,,,,,
2016-01-22,-3.8,-2.3,-5.8,6.5,0.0,,137,11,0.8,,,,,
2016-01-23,-3.6,-1.9,-4.9,1.5,0.0,,138,2,1.1,,,,,
2016-01-24,-4.6,-2.8,-5.9,6.5,3.5,,129,11,0.7,,,,,
2016-01-25,-3.9,-2.1,-4.7,5.5,0.0,,131,8,1.6,,,,,
2016-01-26,-0.4,3.4,-2.9,0.5,0.0,,125,0,0.7,,,,,
2016-01-27,-0.1,2.7,-1.2,16.5,0.0,,111,4,0.4,,,,,
2016-01-28,-0.3,1.5,-2.1,1.5,0.1,,107,2,0.9,,,,,
2016-01-29,-3.0,-1.6,-4.6,0.0,0.0,,98,0,0.7,,,,,
2016-01-30,-3.3,-1.6,-4.5,4.5,0.0,,101,10,0.4,,,,,
2016-01-31,-2.5,-0.7,-3.9,4.5,1.8,,106,10,1.4,,,,,
2016-02-01,-4.7,-3.7,-6.8,3.5,0.0,,116,14,0.4,,,,,
2016-02-02,-3.5,-2.0,-4.6,2.5,0.0,,118,8,1.5,,,,,
2016-02-03,-3.2,-1.0,-5.0,0.5,3.9,,120,3,0.7,,,,,
2016-02-04,-1.8,2.1,-7.2,2.5,1.6,,108,6,0.4,,,,,
2016-02-05,-1.2,0.6,-3.5,0.5,2.5,,108,2,0.8,,,,,
2016-02-06,-3.5,-0.9,-5.9,0.0,0.5,,99,1,0.8,,,,,
2016-02-07,-5.2,-3.3,-7.2,1.5,0.1,,108,10,1.1,,,,,
2016-02-08,-2.3,1.8,-5.9,0.5,6.7,,107,1,0.8,,,,,
2016-02-09,-0.4,2.0,-3.6,8.0,0.9,,105,15,0.8,,,,,
2016-02-10,-2.9,-1.6,-3.8,5.0,0.0,,113,15,0.7,,,,,
2016-02-11,-3.1,0.2,-7.8,0.0,0.9,,114,1,1.4,,,,,
2016-02-12,-2.2,2.9,-9.9,0.0,7.4,,104,0,0.4,,,,,
2016-02-13,2.7,5.0,0.4,0.5,0.1,,96,0,0.8,,,,,
2016-02-14,6.2,13.4,2.2,10.5,0.0,,86,0,2.9,,,,,
2016-02-15,-3.0,3.1,-6.0,3.5,0.2,,71,8,2.7,,,,,
2016-02-16,-3.6,-0.6,-6.6,2.5,0.6,,74,6,0.8,,,,,
2016-02-17,-3.4,-2.0,-5.5,6.0,0.0,,84,11,0.9,,,,,
2016-02-18,-0.8,4.6,-5.4,1.0,3.6,,85,3,0.6,,,,,
2016-02-19,1.5,5.0,-3.0,11.5,0.1,,71,0,1.1,,,,,
2016-02-20,2.4,7.4,0.2,20.5,0.0,,67,0,0.7,,,,,
2016-02-21,1.9,6.3,-2.4,5.5,0.4,,62,1,3.7,,,,,
2016-02-22,-1.7,1.2,-3.6,0.0,2.7,,56,0,1.6,,,,,
2016-02-23,-0.5,2.9,-4.2,9.0,0.2,,65,11,0.7,,,,,
2016-02-24,-4.3,-0.5,-6.0,2.5,0.0,,72,8,0.1,,,,,
2016-02-25,-4.8,-2.3,-6.4,3.5,1.7,,76,11,0.5,,,,,
2016-02-26,-3.5,-1.4,-5.0,5.5,0.3,,82,12,0.8,,,,,
2016-02-27,-1.4,0.2,-3.6,9.0,2.9,,89,16,1.0,,,,,
2016-02-28,-0.3,3.3,-4.7,0.5,7.2,,90,2,1.3,,,,,
2016-02-29,1.4,4.3,-2.2,6.0,0.0,,75,2,2.5,,,,,
2016-03-01,-4.0,-1.9,-4.8,6.0,0.0,,82,17,2.8,,,,,
2016-03-02,-2.8,-0.4,-5.5,4.0,1.5,,84,9,1.1,,,,,
2016-03-03,0.1,3.5,-3.5,17.5,0.5,,94,12,1.1,,,,,
2016-03-04,-0.7,3.9,-4.1,0.0,5.6,,81,0,0.5,,,,,
2016-03-05,2.0,7.9,-5.1,0.0,8.3,,72,0,1.9,,,,,
2016-03-06,5.0,10.6,2.0,0.0,4.5,,66,0,2.1,,,,,
2016-03-07,2.8,6.7,1.0,2.5,0.3,,57,0,0.6,,,,,
2016-03-08,3.9,7.1,1.1,1.5,0.1,,53,0,1.2,,,,,
2016-03-09,0.4,1.8,-1.0,0.0,0.0,,50,2,1.5,,,,,
2016-03-10,-1.7,0.0,-3.5,0.0,2.0,,50,1,1.3,,,,,
2016-03-11,-2.4,-0.4,-5.1,1.0,0.8,,53,5,0.8,,,,,
2016-03-12,-1.9,1.6,-4.9,0.0,3.3,,54,3,0.6,,,,,
2016-03-13,0.0,5.7,-7.1,0.0,5.0,,50,2,0.9,,,,,
2016-03-14,2.2,5.8,-0.6,0.0,0.9,,47,2,0.4,,,,,
2016-03-15,1.2,2.3,0.0,0.0,1.0,,43,1,2.2,,,,,
2016-03-16,4.1,9.1,0.8,0.5,5.9,,42,0,1.2,,,,,
