calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-1.7,1.5,-4.2,0.5,0.0,,17,3,2.1,,,,,
2016-01-02,0.6,4.9,-3.6,7.5,0.2,,15,1,2.5,,,,,
2016-01-03,1.1,4.1,-0.9,1.5,0.2,,6,1,2.2,,,,,
2016-01-04,-0.2,1.2,-1.7,4.0,0.0,,10,8,,,,,,
2016-01-05,-0.6,1.1,-2.5,1.0,0.8,,14,6,,,,,,
2016-01-06,-0.9,1.6,-2.8,1.5,0.3,,15,6,1.6,,,,,
2016-01-07,-1.1,0.3,-2.7,2.5,0.1,,20,7,1.9,,,,,
2016-01-08,-0.7,1.4,-2.8,5.0,0.8,,27,14,1.7,,,,,
2016-01-09,-1.7,0.0,-3.1,1.0,0.1,,26,2,1.7,,,,,
2016-01-10,-1.8,0.6,-3.1,3.5,0.0,,31,9,2.2,,,,,
2016-01-11,-3.7,-2.0,-5.1,5.0,0.4,,43,15,2.1,,,,,
2016-01-12,-3.6,-1.6,-5.2,3.0,0.4,,44,12,1.7,,,,,
2016-01-13,-2.3,1.3,-4.9,2.0,0.4,,42,5,1.9,,,,,
2016-01-14,-2.3,1.0,-4.7,0.5,0.3,,37,3,1.7,,,,,
2016-01-15,-3.6,0.0,-7.0,3.0,2.3,,43,8,2.1,,,,,
2016-01-16,-3.4,-1.0,-6.0,3.0,0.5,,48,13,2.2,,,,,
2016-01-17,-3.6,-0.4,-6.8,1.0,1.5,,48,4,1.5,,,,,
2016-01-18,-1.5,1.8,-7.3,7.5,0.0,,42,5,1.8,,,,,
2016-01-19,0.2,3.0,-2.3,7.5,2.0,,51,19,1.6,,,,,
2016-01-20,-0.7,2.7,-4.9,5.5,2.7,,52,14,1.5,,,,,
2016-01-21,-1.3,1.1,-2.9,3.0,1.2,,52,6,1.7,,,,,
2016-01-22,-3.6,-2.2,-5.4,2.0,0.0,,58,11,1.3,,,,,
2016-01-23,-3.4,-0.8,-6.0,2.0,0.0,,60,5,2.0,,,,,
2016-01-24,-4.2,-0.1,-8.0,1.0,2.4,,53,2,2.1,,,,,
2016-01-25,-3.2,-1.8,-4.3,8.5,0.0,,70,25,1.9,,,,,
2016-01-26,-0.1,3.2,-3.7,3.5,1.0,,68,1,1.9,,,,,
