calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.3,4.3,-1.6,0.0,0.4,3.28,2,,4.6,4.6,1022.8,65,1025.6,7.5
2016-01-02,3.9,8.3,0.7,22.0,0.2,1.56,1,,3.9,6.8,1015.7,85,1018.4,10.0
2016-01-03,3.7,5.5,2.5,2.5,0.0,2.09,,,1.8,7.5,1014.0,94,1016.7,10.0
2016-01-04,2.3,3.9,1.1,1.5,0.5,2.82,,,3.2,6.2,1012.1,86,1014.8,10.0
2016-01-05,2.1,3.9,0.4,0.0,0.8,3.79,0,,5.9,4.2,1016.4,59,1019.1,10.0
2016-01-06,1.9,3.9,0.7,0.5,0.3,2.86,,,3.8,5.0,1015.7,71,1018.4,10.0
2016-01-07,1.7,2.8,0.3,1.0,0.4,2.71,0,,6.0,4.4,1011.2,64,1014.0,10.0
2016-01-08,1.8,3.2,0.0,5.5,0.1,2.51,8,8,4.2,4.8,1011.3,70,1014.0,10.0
2016-01-09,1.0,2.8,-0.7,0.5,1.5,5.72,7,1,4.9,4.4,1015.6,67,1018.4,9.8
2016-01-10,0.5,2.8,-1.7,5.0,0.3,3.87,8,6,6.0,4.6,1013.8,74,1016.6,10.0
2016-01-11,-1.0,0.6,-2.9,0.0,0.1,2.52,5,2,6.9,3.5,1017.1,61,1019.9,10.0
2016-01-12,-1.3,0.8,-3.2,6.0,0.1,3.39,12,10,4.9,4.2,1014.1,76,1016.9,10.0
2016-01-13,-0.6,3.7,-2.3,5.5,0.0,3.99,15,6,3.8,5.1,1009.5,87,1012.3,10.0
2016-01-14,0.2,3.2,-2.5,0.0,0.1,4.01,13,,4.8,3.8,1011.3,61,1014.1,10.0
2016-01-15,-1.4,1.9,-3.3,0.0,0.4,4.11,11,1,3.2,3.9,1016.1,71,1018.9,10.0
2016-01-16,-1.1,1.6,-3.1,1.0,0.4,4.47,13,4,4.5,3.9,1018.4,70,1021.2,10.0
2016-01-17,-0.4,2.2,-2.4,1.0,2.4,6.58,12,3,3.4,4.0,1020.9,67,1023.7,9.3
2016-01-18,0.5,2.2,-3.1,7.5,0.0,1.18,16,7,3.7,5.7,1001.6,89,1004.4,10.0
2016-01-19,2.4,5.6,0.3,11.0,1.2,4.60,17,7,5.3,5.5,994.4,77,997.1,10.0
2016-01-20,0.9,4.7,-2.3,8.5,4.5,8.75,17,7,4.4,5.4,1004.5,83,1007.2,7.0
2016-01-21,1.1,3.2,-1.0,0.5,3.2,7.79,17,1,5.9,3.9,1014.7,59,1017.5,8.0
2016-01-22,-0.8,1.3,-2.2,0.5,0.3,3.62,16,2,4.8,3.7,1017.4,64,1020.2,10.0
2016-01-23,-0.5,1.4,-2.8,1.5,0.2,4.91,17,1,5.0,4.0,1015.4,68,1018.2,10.0
2016-01-24,-0.8,2.1,-4.3,0.0,2.8,7.51,16,1,3.6,3.8,1001.3,68,1004.0,10.0
2016-01-25,-0.5,1.9,-2.6,1.5,1.9,7.00,16,2,5.8,3.9,1012.3,67,1015.1,8.8
2016-01-26,2.6,5.2,1.0,8.5,0.1,4.07,17,1,4.5,5.8,1018.0,79,1020.7,10.0
2016-01-27,2.1,6.0,-0.7,3.0,0.1,3.33,12,1,4.1,5.7,1020.1,80,1022.9,9.8
2016-01-28,1.2,4.3,-2.5,0.0,1.3,5.46,10,,2.9,4.8,1024.3,73,1027.1,8.0
2016-01-29,-0.7,1.8,-3.6,,1.8,6.31,8,,2.5,3.7,1024.9,65,1027.7,10.0
2016-01-30,0.2,3.2,-1.6,0.0,5.6,10.07,8,,3.0,4.0,1020.2,64,1023.0,10.0
2016-01-31,-0.3,1.2,-2.5,0.5,0.0,3.17,11,4,4.2,4.2,1019.5,70,1022.3,10.0
2016-02-01,-2.0,-0.4,-3.0,4.0,1.3,6.70,15,6,4.2,3.7,1019.4,70,1022.2,10.0
2016-02-02,-1.7,-0.2,-2.8,5.0,0.4,4.14,22,10,4.0,4.4,1016.3,82,1019.1,9.3
2016-02-03,-1.1,0.5,-2.4,6.0,0.1,3.90,28,9,2.3,4.6,1020.3,82,1023.1,10.0
2016-02-04,0.4,4.4,-2.4,4.0,2.0,6.81,26,3,4.5,5.6,1015.7,89,1018.4,10.0
2016-02-05,2.7,4.9,0.9,0.5,3.1,8.17,17,1,5.2,4.3,1014.1,58,1016.8,9.5
2016-02-06,-0.3,2.7,-3.3,0.0,0.6,5.65,13,3,3.5,4.2,1013.6,70,1016.3,10.0
2016-02-07,-1.7,1.0,-4.6,1.0,3.8,8.75,15,3,4.5,4.1,1015.5,75,1018.3,10.0
2016-02-08,0.0,2.0,-1.1,9.0,0.1,4.46,23,8,3.3,5.4,1014.8,89,1017.6,10.0
2016-02-09,1.1,2.8,-1.0,13.5,0.9,3.35,24,6,4.3,5.7,1006.0,87,1008.7,10.0
2016-02-10,0.1,2.0,-1.6,2.5,3.1,8.35,29,5,6.8,4.3,1016.9,70,1019.7,10.0
2016-02-11,1.1,4.3,-2.1,0.0,7.7,13.39,24,,3.8,4.1,1029.1,64,1031.9,4.0
2016-02-12,1.7,8.3,-5.0,,9.1,12.83,21,,3.9,4.4,1026.2,66,1029.0,6.5
2016-02-13,4.3,5.7,2.6,26.5,0.0,0.91,17,,3.6,7.7,1014.3,92,1017.0,10.0
2016-02-14,7.4,12.3,3.9,22.0,0.0,0.73,11,,7.5,9.8,995.4,94,998.0,10.0
2016-02-15,-0.6,4.1,-3.6,1.0,0.4,4.60,1,1,7.3,4.2,1003.9,70,1006.7,10.0
2016-02-16,-1.7,-0.3,-3.5,7.0,0.3,5.41,13,15,3.8,4.6,1008.2,86,1011.0,10.0
2016-02-17,-0.1,2.6,-2.4,4.0,2.2,8.51,18,5,5.9,4.1,1012.5,69,1015.3,10.0
2016-02-18,3.2,6.8,1.2,16.0,0.9,4.20,11,,4.6,6.5,1019.2,84,1021.9,9.5
2016-02-19,4.3,7.8,1.6,29.0,0.6,2.85,1,,5.3,7.0,1020.5,86,1023.2,10.0
2016-02-20,4.4,7.1,1.6,12.5,0.0,3.75,,,2.2,7.7,1018.2,91,1020.9,10.0
2016-02-21,3.9,6.8,0.2,3.0,1.2,5.70,,,6.5,6.3,1012.2,76,1014.9,10.0
2016-02-22,1.1,3.8,-0.9,0.0,1.8,7.95,,,4.2,3.6,1027.7,55,1030.5,10.0
2016-02-23,0.5,2.1,-1.1,12.5,0.0,3.81,4,7,2.6,5.7,1018.6,89,1021.4,10.0
