calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.3,3.9,-2.9,0.0,1.2,,1,1,1.8,,,,,
2016-01-02,2.3,4.9,-1.2,13.5,0.1,,1,0,1.4,,,,,
2016-01-03,2.0,4.8,-1.0,0.0,0.0,,0,0,1.1,,,,,
2016-01-04,0.7,3.2,-1.4,4.5,0.0,,0,0,1.3,,,,,
2016-01-05,1.2,3.3,-0.8,0.5,2.4,,0,0,2.2,,,,,
2016-01-06,0.9,4.1,-1.1,0.0,0.3,,0,0,1.4,,,,,
2016-01-07,1.0,2.9,0.1,0.5,0.8,,0,0,2.3,,,,,
2016-01-08,0.9,3.0,-0.9,5.5,0.4,,5,5,1.5,,,,,
2016-01-09,0.1,2.4,-1.3,0.0,1.3,,4,1,1.9,,,,,
2016-01-10,-0.4,3.0,-2.2,7.0,1.4,,9,9,2.1,,,,,
2016-01-11,-2.1,0.0,-3.9,0.5,0.6,,6,2,2.4,,,,,
2016-01-12,-2.2,0.1,-4.5,2.0,0.6,,8,4,1.8,,,,,
2016-01-13,-0.4,2.5,-3.1,1.0,0.7,,8,1,1.3,,,,,
2016-01-14,-0.7,2.5,-3.1,0.5,0.7,,6,0,1.6,,,,,
2016-01-15,-2.1,2.2,-5.1,0.0,2.8,,6,2,1.3,,,,,
2016-01-16,-1.4,0.8,-4.0,5.0,0.9,,13,8,1.3,,,,,
2016-01-17,-1.6,2.2,-4.6,0.0,4.1,,10,1,1.5,,,,,
2016-01-18,0.2,2.7,-3.9,7.0,0.0,,12,12,2.0,,,,,
2016-01-19,1.5,4.7,-0.6,10.5,2.5,,12,12,1.6,,,,,
2016-01-20,0.6,5.1,-2.4,13.5,3.4,,13,9,1.9,,,,,
2016-01-21,0.4,3.3,-1.1,0.0,1.9,,13,3,2.0,,,,,
2016-01-22,-2.0,1.2,-5.5,0.5,0.7,,14,3,1.5,,,,,
2016-01-23,-1.9,1.1,-4.7,0.5,1.0,,14,1,1.6,,,,,
2016-01-24,-1.8,2.6,-5.4,2.0,4.3,,14,5,1.6,,,,,
2016-01-25,-1.3,0.5,-2.5,0.5,1.0,,15,2,2.2,,,,,
2016-01-26,1.7,4.9,-2.2,5.5,0.8,,15,2,1.1,,,,,
2016-01-27,1.3,3.9,-2.3,4.0,0.2,,10,1,1.3,,,,,
2016-01-28,-0.2,4.2,-4.2,0.0,1.9,,9,1,1.1,,,,,
2016-01-29,-1.5,2.3,-5.3,0.0,2.6,,8,1,1.5,,,,,
2016-01-30,-0.6,2.9,-2.9,0.0,8.0,,8,1,1.1,,,,,
2016-01-31,-0.9,1.1,-2.9,0.0,0.2,,7,0,1.4,,,,,
2016-02-01,-2.2,0.4,-3.7,0.5,2.0,,9,2,1.3,,,,,
2016-02-02,-1.8,0.6,-3.4,2.0,3.5,,16,10,1.4,,,,,
2016-02-03,-1.5,0.5,-3.3,1.5,0.3,,14,5,1.0,,,,,
2016-02-04,0.5,3.8,-2.7,1.5,1.6,,12,5,1.8,,,,,
2016-02-05,1.4,4.9,-0.8,0.0,2.6,,8,1,1.6,,,,,
2016-02-06,-0.7,2.3,-3.6,0.0,0.1,,6,0,1.2,,,,,
2016-02-07,-2.1,0.9,-5.6,2.0,4.5,,9,7,1.5,,,,,
2016-02-08,-0.3,2.9,-2.6,2.0,1.1,,11,6,1.2,,,,,
2016-02-09,0.9,3.8,-1.9,10.5,2.2,,11,7,1.5,,,,,
2016-02-10,-0.3,0.9,-1.9,1.0,0.6,,15,5,2.6,,,,,
2016-02-11,0.3,4.6,-3.8,0.0,5.7,,12,0,1.4,,,,,
2016-02-12,0.8,9.5,-6.1,0.0,8.7,,9,0,1.6,,,,,
2016-02-13,5.6,9.8,1.2,9.0,0.0,,8,0,1.9,,,,,
2016-02-14,7.6,12.9,2.5,18.5,0.0,,1,0,4.2,,,,,
2016-02-15,-1.6,2.6,-4.8,3.5,0.9,,3,3,2.6,,,,,
2016-02-16,-1.9,0.6,-4.6,4.5,0.9,,6,7,1.6,,,,,
2016-02-17,-0.9,1.9,-3.1,2.5,1.8,,9,5,2.1,,,,,
2016-02-18,2.3,5.1,-4.9,6.5,2.2,,6,0,2.4,,,,,
2016-02-19,3.9,7.4,0.6,24.0,1.8,,0,0,2.2,,,,,
2016-02-20,3.3,6.8,0.1,9.5,0.1,,0,0,1.9,,,,,
2016-02-21,2.9,6.9,-0.3,7.0,1.4,,0,0,2.3,,,,,
2016-02-22,0.4,3.1,-2.0,0.0,1.5,,0,0,1.6,,,,,
2016-02-23,0.5,3.2,-2.1,11.5,0.0,,4,4,0.9,,,,,
2016-02-24,-2.4,0.9,-4.3,0.5,0.3,,4,1,2.0,,,,,
2016-02-25,-2.5,1.1,-4.8,2.5,1.5,,7,9,1.2,,,,,
2016-02-26,-1.7,2.1,-4.6,2.5,3.4,,10,7,1.4,,,,,
2016-02-27,-1.0,2.6,-4.7,6.0,6.1,,18,24,1.6,,,,,
2016-02-28,0.6,5.7,-5.8,0.0,10.5,,17,0,1.4,,,,,
2016-02-29,4.3,8.3,0.6,13.5,0.0,,0,0,4.5,,,,,
2016-03-01,-1.6,0.8,-2.8,3.0,1.7,,3,6,3.2,,,,,
2016-03-02,-0.3,3.2,-2.6,1.0,4.2,,4,2,2.0,,,,,
2016-03-03,1.3,6.5,-2.1,7.5,1.7,,12,12,1.4,,,,,
2016-03-04,1.4,6.8,-2.3,0.0,7.6,,1,0,1.4,,,,,
2016-03-05,3.8,11.6,-2.1,0.0,10.1,,0,0,1.4,,,,,
2016-03-06,8.1,13.2,0.8,13.0,0.0,,0,0,1.8,,,,,
2016-03-07,7.5,11.4,2.0,6.5,5.2,,0,0,1.7,,,,,
2016-03-08,6.1,11.5,2.0,0.5,0.8,,0,0,2.9,,,,,
2016-03-09,2.2,5.2,-0.7,0.0,4.0,,0,0,1.7,,,,,
2016-03-10,0.3,4.1,-2.1,0.0,4.6,,0,0,1.1,,,,,
2016-03-11,0.4,5.0,-3.3,1.0,7.3,,0,0,1.3,,,,,
2016-03-12,-0.1,4.9,-3.6,0.0,4.6,,0,0,1.4,,,,,
2016-03-13,1.8,7.8,-4.6,0.0,4.3,,0,0,2.1,,,,,
2016-03-14,4.4,10.2,0.6,0.5,6.6,,0,0,1.5,,,,,
2016-03-15,3.3,6.8,-0.4,0.0,4.3,,0,0,2.4,,,,,
2016-03-16,5.8,10.3,-0.5,0.5,3.4,,0,0,4.5,,,,,
2016-03-17,8.8,13.4,1.9,0.0,3.9,,0,0,3.7,,,,,
2016-03-18,10.2,18.7,0.6,1.0,5.3,,0,0,3.6,,,,,
2016-03-19,9.2,12.1,5.6,6.0,0.0,,0,0,1.9,,,,,
2016-03-20,5.4,9.1,2.5,2.0,2.8,,0,0,2.0,,,,,
2016-03-21,2.5,7.0,-1.2,1.5,6.0,,0,0,1.9,,,,,
2016-03-22,4.2,8.0,0.8,16.0,0.0,,0,0,1.7,,,,,
2016-03-23,2.8,8.0,-1.3,0.0,4.4,,0,0,1.8,,,,,
2016-03-24,1.1,5.4,-1.8,5.0,5.2,,0,0,1.7,,,,,
2016-03-25,1.3,5.4,-2.6,12.0,3.4,,5,5,1.3,,,,,
2016-03-26,2.9,9.1,-1.3,0.0,8.0,,0,0,1.7,,,,,
2016-03-27,3.9,10.5,-1.9,0.0,11.9,,0,0,2.2,,,,,
2016-03-28,5.2,11.7,-0.7,0.0,5.6,,0,0,2.5,,,,,
2016-03-29,6.4,12.8,-0.2,0.0,8.5,,0,0,2.2,,,,,
2016-03-30,6.9,15.7,1.8,9.5,2.0,,0,0,2.3,,,,,
2016-03-31,6.7,12.0,1.9,2.0,11.5,,0,0,1.8,,,,,
2016-04-01,7.8,16.8,-0.2,0.0,11.9,,0,0,2.3,,,,,
2016-04-02,8.8,17.4,-0.6,0.0,11.5,,0,0,1.6,,,,,
2016-04-03,9.5,13.5,6.5,25.5,0.0,,0,0,1.7,,,,,
2016-04-04,5.1,10.1,0.7,17.0,2.6,,0,0,2.0,,,,,
