calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.0,7.9,2.7,0.5,0.7,,,,6.3,,,,,
2016-01-02,8.1,10.6,5.3,7.5,0.0,,,,6.0,,,,,
2016-01-03,7.5,10.4,4.9,1.0,0.1,,,,2.8,,,,,
2016-01-04,5.1,8.7,2.3,8.5,0.3,,,,3.8,,,,,
2016-01-05,3.1,5.1,1.9,1.5,0.0,,,,6.6,,,,,
2016-01-06,3.9,5.5,2.0,3.5,0.6,,,,4.5,,,,,
2016-01-07,3.1,4.9,0.5,3.0,0.4,,,,7.5,,,,,
2016-01-08,2.5,4.5,0.2,6.5,0.0,,,,4.5,,,,,
2016-01-09,2.6,4.2,0.4,2.5,0.7,,,,5.3,,,,,
2016-01-10,2.7,6.2,0.5,7.5,0.1,,,,7.3,,,,,
2016-01-11,0.9,2.1,-1.3,0.0,0.1,,,,9.1,,,,,
2016-01-12,0.6,2.1,-0.6,0.5,0.2,,,,6.9,,,,,
2016-01-13,2.2,6.3,-0.7,3.5,0.3,,,,5.0,,,,,
2016-01-14,1.4,5.0,-0.9,0.0,0.0,,,,5.6,,,,,
2016-01-15,0.6,2.5,-1.3,0.0,0.1,,,,3.2,,,,,
2016-01-16,0.1,1.5,-1.7,3.0,0.2,,,,3.9,,,,,
2016-01-17,1.7,3.2,-0.4,0.0,1.9,,,,4.7,,,,,
2016-01-18,1.8,4.3,0.4,8.0,0.0,,,,3.8,,,,,
2016-01-19,3.7,7.2,0.9,10.5,0.1,,,,8.3,,,,,
2016-01-20,2.7,4.3,-0.6,18.0,0.6,,,,6.2,,,,,
2016-01-21,1.3,2.6,-0.2,5.5,0.1,,,,6.0,,,,,
2016-01-22,0.5,2.5,-1.3,5.0,0.3,,,,6.5,,,,,
2016-01-23,0.5,1.9,-1.6,0.0,0.1,,,,5.6,,,,,
2016-01-24,0.0,3.1,-2.6,1.0,1.2,,,,4.9,,,,,
2016-01-25,0.6,2.8,-1.4,1.5,0.9,,,,7.8,,,,,
2016-01-26,3.9,5.5,1.7,15.0,0.2,,,,4.9,,,,,
2016-01-27,4.6,8.2,2.1,6.0,0.1,,,,6.9,,,,,
2016-01-28,4.0,5.9,1.8,1.5,0.0,,,,4.8,,,,,
2016-01-29,1.0,2.1,-0.1,0.0,0.0,,,,2.7,,,,,
2016-01-30,1.0,2.7,-1.1,0.0,0.8,,,,2.6,,,,,
2016-01-31,1.5,2.9,-0.9,1.0,0.0,,,,6.5,,,,,
2016-02-01,0.0,1.7,-1.2,2.5,0.0,,,,5.0,,,,,
2016-02-02,0.7,2.2,-0.8,1.5,1.4,,,,8.1,,,,,
2016-02-03,0.5,3.1,-1.7,6.0,1.3,,,,3.2,,,,,
2016-02-04,3.2,5.8,-0.6,1.5,3.0,,,,5.0,,,,,
2016-02-05,3.5,4.5,1.5,0.0,2.0,,,,6.0,,,,,
2016-02-06,1.1,2.8,-1.4,0.0,0.0,,,,3.2,,,,,
2016-02-07,0.1,2.6,-2.5,2.5,2.0,,,,5.8,,,,,
2016-02-08,2.7,5.7,-0.3,0.5,9.1,,,,3.7,,,,,
2016-02-09,2.9,6.8,0.5,12.5,0.5,,,,5.3,,,,,
2016-02-10,1.8,3.5,-0.3,1.5,2.4,,,,8.7,,,,,
2016-02-11,2.3,4.9,-0.7,0.0,5.6,,,,3.7,,,,,
2016-02-12,5.1,12.8,-3.0,0.0,9.3,,,,1.9,,,,,
2016-02-13,11.6,14.2,5.2,0.0,0.0,,,,3.9,,,,,
2016-02-14,10.8,18.2,5.3,9.5,0.0,,,,7.4,,,,,
2016-02-15,0.5,5.4,-2.6,1.0,0.0,,,,9.1,,,,,
2016-02-16,0.0,2.7,-2.3,15.5,0.1,,,,5.2,,,,,
2016-02-17,1.1,3.0,-0.8,6.5,0.6,,,,7.2,,,,,
2016-02-18,4.7,7.0,2.0,11.0,0.6,,,,6.5,,,,,
2016-02-19,6.9,9.3,3.6,13.5,2.4,,,,7.2,,,,,
2016-02-20,7.0,10.9,4.4,11.5,0.0,,,,1.7,,,,,
2016-02-21,5.4,9.6,1.4,8.0,0.6,,,,9.9,,,,,
2016-02-22,1.6,3.8,-0.9,0.0,3.9,,,,4.4,,,,,
2016-02-23,3.1,6.2,0.3,17.5,0.0,,,,3.5,,,,,
2016-02-24,-0.2,4.5,-2.4,0.0,0.5,,,,6.0,,,,,
2016-02-25,-0.6,2.1,-2.7,11.0,2.1,,,,4.6,,,,,
2016-02-26,0.0,2.5,-2.6,6.0,0.6,,,,4.1,,,,,
2016-02-27,1.5,3.7,-0.8,4.0,5.5,,,,4.6,,,,,
2016-02-28,2.8,6.3,-2.5,0.0,9.3,,,,1.9,,,,,
2016-02-29,6.2,13.1,2.3,12.5,0.0,,,,8.5,,,,,
2016-03-01,0.3,2.9,-1.4,1.5,0.8,,,,10.7,,,,,
2016-03-02,1.8,4.3,-1.8,4.5,1.4,,,,6.0,,,,,
2016-03-03,5.4,8.4,1.6,8.5,1.2,,,,6.4,,,,,
2016-03-04,4.0,6.0,1.3,0.0,3.9,,,,2.4,,,,,
2016-03-05,5.6,12.8,-1.1,0.0,8.4,,,,1.8,,,,,
2016-03-06,11.6,17.7,4.7,2.0,1.8,,,,1.8,,,,,
2016-03-07,8.5,11.6,5.8,13.0,2.7,,,,2.7,,,,,
2016-03-08,7.7,10.6,4.7,0.0,1.0,,,,5.6,,,,,
2016-03-09,3.9,4.9,2.7,0.0,0.4,,,,4.5,,,,,
2016-03-10,1.6,3.4,0.0,0.0,6.0,,,,2.5,,,,,
2016-03-11,2.1,3.8,-0.4,1.0,1.3,,,,3.9,,,,,
2016-03-12,2.1,4.1,-0.3,0.0,6.6,,,,2.7,,,,,
2016-03-13,3.9,7.7,-2.5,0.0,4.6,,,,3.3,,,,,
2016-03-14,6.0,8.3,2.7,0.0,9.4,,,,2.3,,,,,
2016-03-15,5.5,7.4,4.1,0.0,1.8,,,,5.7,,,,,
2016-03-16,8.7,10.3,6.7,0.0,4.9,,,,8.3,,,,,
2016-03-17,9.2,11.6,4.0,0.0,9.6,,,,5.1,,,,,
2016-03-18,10.6,16.6,3.4,0.0,6.3,,,,2.9,,,,,
2016-03-19,9.7,12.5,7.1,9.5,0.0,,,,3.6,,,,,
2016-03-20,6.2,7.4,4.3,0.5,0.0,,,,4.8,,,,,
2016-03-21,5.2,7.9,1.6,0.0,7.5,,,,4.9,,,,,
2016-03-22,7.8,9.1,3.6,7.5,0.0,,,,7.7,,,,,
2016-03-23,6.0,7.7,2.8,0.0,5.5,,,,6.0,,,,,
2016-03-24,3.9,6.9,0.2,1.0,6.0,,,,3.9,,,,,
2016-03-25,3.9,6.5,0.1,4.5,2.2,,,,4.9,,,,,
2016-03-26,4.9,7.4,1.9,0.5,9.2,,,,2.8,,,,,
2016-03-27,5.2,9.6,0.4,0.0,11.8,,,,2.0,,,,,
2016-03-28,6.4,10.9,1.6,0.0,11.8,,,,2.2,,,,,
2016-03-29,7.4,11.2,2.4,0.0,10.6,,,,1.9,,,,,
2016-03-30,8.9,15.1,3.5,16.5,2.7,,,,3.2,,,,,
2016-03-31,9.1,11.8,4.9,0.0,11.1,,,,3.9,,,,,
2016-04-01,10.2,18.2,2.4,0.0,11.7,,,,3.3,,,,,
2016-04-02,10.2,16.8,4.0,0.0,11.0,,,,2.0,,,,,
2016-04-03,11.8,18.0,7.0,13.5,0.7,,,,3.2,,,,,
2016-04-04,6.3,9.1,2.8,19.5,0.5,,,,3.5,,,,,
2016-04-05,7.8,11.1,1.7,0.0,12.1,,,,3.7,,,,,
2016-04-06,8.7,11.3,4.7,0.0,11.6,,,,3.2,,,,,
2016-04-07,10.4,15.6,4.8,18.0,0.0,,,,2.9,,,,,
2016-04-08,10.3,11.6,9.0,0.5,0.5,,,,4.8,,,,,
2016-04-09,11.7,13.7,7.0,0.0,11.0,,,,4.8,,,,,
2016-04-10,8.2,12.0,5.9,0.0,5.5,,,,2.9,,,,,
2016-04-11,4.9,7.1,1.4,2.0,3.3,,,,6.7,,,,,
2016-04-12,7.0,9.1,5.0,0.0,10.2,,,,3.5,,,,,
2016-04-13,12.0,19.6,4.3,7.0,1.7,,,,2.1,,,,,
2016-04-14,13.8,17.2,10.5,3.5,7.6,,,,3.2,,,,,
2016-04-15,8.2,10.5,6.5,3.0,0.7,,,,7.6,,,,,
2016-04-16,10.8,16.1,8.1,0.0,6.3,,,,3.2,,,,,
2016-04-17,14.1,25.9,9.3,4.5,2.3,,,,7.4,,,,,
2016-04-18,11.9,13.2,10.5,0.0,0.0,,,,7.7,,,,,
2016-04-19,9.1,10.7,6.6,0.0,5.0,,,,3.7,,,,,
2016-04-20,10.9,16.1,7.5,0.0,7.7,,,,2.9,,,,,
