calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,,,,,,,,
2016-01-02,,,,22.0,,,,,,,,,,
2016-01-03,,,,2.0,,,,,,,,,,
2016-01-04,,,,1.5,,,,,,,,,,
2016-01-05,,,,0.0,,,,,,,,,,
2016-01-06,,,,0.0,,,,,,,,,,
2016-01-07,,,,2.0,,,,,,,,,,
2016-01-08,,,,5.5,,,,,,,,,,
2016-01-09,,,,0.0,,,,,,,,,,
2016-01-10,,,,2.5,,,,,,,,,,
2016-01-11,,,,0.0,,,,,,,,,,
2016-01-12,,,,2.5,,,,,,,,,,
2016-01-13,,,,5.5,,,,,,,,,,
2016-01-14,,,,0.0,,,,,,,,,,
2016-01-15,,,,1.0,,,,,,,,,,
2016-01-16,,,,4.0,,,,,,,,,,
2016-01-17,,,,0.5,,,,,,,,,,
2016-01-18,,,,3.0,,,,,,,,,,
2016-01-19,,,,16.0,,,,,,,,,,
2016-01-20,,,,10.0,,,,,,,,,,
2016-01-21,,,,1.5,,,,,,,,,,
2016-01-22,,,,0.0,,,,,,,,,,
2016-01-23,,,,2.0,,,,,,,,,,
2016-01-24,,,,1.0,,,,,,,,,,
2016-01-25,,,,0.5,,,,,,,,,,
2016-01-26,,,,9.0,,,,,,,,,,
2016-01-27,,,,5.5,,,,,,,,,,
2016-01-28,,,,0.0,,,,,,,,,,
2016-01-29,,,,0.0,,,,,,,,,,
2016-01-30,,,,0.0,,,,,,,,,,
2016-01-31,,,,0.0,,,,,,,,,,
2016-02-01,,,,0.5,,,,,,,,,,
2016-02-02,,,,2.5,,,,,,,,,,
2016-02-03,,,,1.5,,,,,,,,,,
2016-02-04,,,,3.5,,,,,,,,,,
2016-02-05,,,,0.0,,,,,,,,,,
2016-02-06,,,,0.0,,,,,,,,,,
2016-02-07,,,,0.0,,,,,,,,,,
2016-02-08,,,,4.0,,,,,,,,,,
2016-02-09,,,,14.5,,,,,,,,,,
2016-02-10,,,,4.5,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,26.0,,,,,,,,,,
2016-02-14,,,,32.0,,,,,,,,,,
2016-02-15,,,,0.0,,,,,,,,,,
2016-02-16,,,,6.5,,,,,,,,,,
2016-02-17,,,,3.0,,,,,,,,,,
2016-02-18,,,,27.5,,,,,,,,,,
2016-02-19,,,,25.5,,,,,,,,,,
2016-02-20,,,,11.5,,,,,,,,,,
2016-02-21,,,,7.0,,,,,,,,,,
2016-02-22,,,,0.0,,,,,,,,,,
2016-02-23,,,,11.5,,,,,,,,,,
2016-02-24,,,,0.5,,,,,,,,,,
2016-02-25,,,,2.0,,,,,,,,,,
2016-02-26,,,,2.0,,,,,,,,,,
2016-02-27,,,,5.5,,,,,,,,,,
2016-02-28,,,,0.5,,,,,,,,,,
2016-02-29,,,,23.5,,,,,,,,,,
2016-03-01,,,,3.5,,,,,,,,,,
2016-03-02,,,,0.5,,,,,,,,,,
2016-03-03,,,,10.5,,,,,,,,,,
2016-03-04,,,,0.0,,,,,,,,,,
2016-03-05,,,,0.0,,,,,,,,,,
2016-03-06,,,,19.0,,,,,,,,,,
2016-03-07,,,,13.0,,,,,,,,,,
2016-03-08,,,,2.0,,,,,,,,,,
2016-03-09,,,,0.0,,,,,,,,,,
2016-03-10,,,,0.0,,,,,,,,,,
2016-03-11,,,,0.0,,,,,,,,,,
2016-03-12,,,,0.0,,,,,,,,,,
2016-03-13,,,,0.0,,,,,,,,,,
2016-03-14,,,,0.0,,,,,,,,,,
2016-03-15,,,,0.0,,,,,,,,,,
2016-03-16,,,,3.0,,,,,,,,,,
2016-03-17,,,,0.0,,,,,,,,,,
2016-03-18,,,,2.0,,,,,,,,,,
2016-03-19,,,,14.5,,,,,,,,,,
2016-03-20,,,,0.5,,,,,,,,,,
2016-03-21,,,,5.5,,,,,,,,,,
2016-03-22,,,,15.0,,,,,,,,,,
2016-03-23,,,,0.0,,,,,,,,,,
2016-03-24,,,,3.0,,,,,,,,,,
2016-03-25,,,,10.5,,,,,,,,,,
2016-03-26,,,,0.0,,,,,,,,,,
2016-03-27,,,,0.0,,,,,,,,,,
2016-03-28,,,,0.0,,,,,,,,,,
2016-03-29,,,,0.0,,,,,,,,,,
2016-03-30,,,,13.5,,,,,,,,,,
2016-03-31,,,,3.5,,,,,,,,,,
2016-04-01,,,,0.0,,,,,,,,,,
2016-04-02,,,,0.0,,,,,,,,,,
2016-04-03,,,,26.0,,,,,,,,,,
2016-04-04,,,,20.5,,,,,,,,,,
2016-04-05,,,,0.0,,,,,,,,,,
2016-04-06,,,,0.0,,,,,,,,,,
2016-04-07,,,,17.0,,,,,,,,,,
2016-04-08,,,,1.0,,,,,,,,,,
2016-04-09,,,,0.0,,,,,,,,,,
2016-04-10,,,,0.0,,,,,,,,,,
2016-04-11,,,,4.5,,,,,,,,,,
2016-04-12,,,,0.0,,,,,,,,,,
2016-04-13,,,,21.5,,,,,,,,,,
2016-04-14,,,,9.0,,,,,,,,,,
2016-04-15,,,,8.0,,,,,,,,,,
2016-04-16,,,,0.0,,,,,,,,,,
2016-04-17,,,,17.5,,,,,,,,,,
2016-04-18,,,,0.0,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,,,,0.0,,,,,,,,,,
2016-04-22,,,,0.0,,,,,,,,,,
2016-04-23,,,,0.0,,,,,,,,,,
2016-04-24,,,,0.0,,,,,,,,,,
2016-04-25,,,,0.0,,,,,,,,,,
2016-04-26,,,,0.0,,,,,,,,,,
2016-04-27,,,,0.0,,,,,,,,,,
2016-04-28,,,,24.0,,,,,,,,,,
2016-04-29,,,,11.5,,,,,,,,,,
2016-04-30,,,,0.0,,,,,,,,,,
2016-05-01,,,,6.0,,,,,,,,,,
2016-05-02,,,,0.0,,,,,,,,,,
2016-05-03,,,,0.0,,,,,,,,,,
2016-05-04,,,,20.0,,,,,,,,,,
2016-05-05,,,,0.0,,,,,,,,,,
2016-05-06,,,,0.0,,,,,,,,,,
2016-05-07,,,,26.5,,,,,,,,,,
2016-05-08,,,,0.0,,,,,,,,,,
2016-05-09,,,,0.0,,,,,,,,,,
2016-05-10,,,,7.0,,,,,,,,,,
2016-05-11,,,,35.0,,,,,,,,,,
2016-05-12,,,,3.5,,,,,,,,,,
2016-05-13,,,,0.0,,,,,,,,,,
2016-05-14,,,,0.0,,,,,,,,,,
2016-05-15,,,,0.0,,,,,,,,,,
2016-05-16,,,,3.5,,,,,,,,,,
2016-05-17,,,,11.0,,,,,,,,,,
2016-05-18,,,,0.0,,,,,,,,,,
2016-05-19,,,,0.0,,,,,,,,,,
2016-05-20,,,,0.0,,,,,,,,,,
2016-05-21,,,,0.0,,,,,,,,,,
2016-05-22,,,,0.0,,,,,,,,,,
2016-05-23,,,,0.0,,,,,,,,,,
2016-05-24,,,,0.0,,,,,,,,,,
2016-05-25,,,,7.0,,,,,,,,,,
2016-05-26,,,,44.0,,,,,,,,,,
2016-05-27,,,,0.0,,,,,,,,,,
2016-05-28,,,,0.0,,,,,,,,,,
2016-05-29,,,,0.0,,,,,,,,,,
2016-05-30,,,,0.0,,,,,,,,,,
2016-05-31,,,,9.5,,,,,,,,,,
2016-06-01,,,,21.5,,,,,,,,,,
2016-06-02,,,,6.5,,,,,,,,,,
2016-06-03,,,,0.0,,,,,,,,,,
2016-06-04,,,,7.5,,,,,,,,,,
2016-06-05,,,,0.0,,,,,,,,,,
2016-06-06,,,,0.0,,,,,,,,,,
2016-06-07,,,,0.0,,,,,,,,,,
2016-06-08,,,,6.5,,,,,,,,,,
