calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.0,2.2,-7.9,1.5,1.2,,,,0.4,,,,,
2016-01-02,0.3,5.1,-4.4,8.5,0.0,,,,,,,,,
2016-01-03,1.6,5.6,-2.3,0.5,0.7,,,,0.3,,,,,
2016-01-04,-1.2,1.1,-5.3,4.0,0.0,,,,,,,,,
2016-01-05,-0.5,1.3,-1.9,1.0,0.1,,,,0.9,,,,,
2016-01-06,0.5,3.2,-1.2,0.0,2.9,,,,0.8,,,,,
2016-01-07,-0.3,1.5,-1.6,4.0,0.5,,,,1.1,,,,,
2016-01-08,0.4,3.2,-1.3,1.5,3.4,,,,0.7,,,,,
2016-01-09,-0.7,1.4,-4.8,1.0,0.3,,,,0.8,,,,,
2016-01-10,-1.5,1.5,-4.9,5.5,0.8,,,,,,,,,
2016-01-11,-3.3,-1.1,-4.5,6.5,0.0,,,,0.9,,,,,
2016-01-12,-2.6,-0.2,-4.9,0.0,1.6,,,,1.0,,,,,
2016-01-13,-2.4,1.1,-7.7,2.0,2.6,,,,0.3,,,,,
2016-01-14,-1.6,1.2,-7.0,0.5,3.9,,,,0.9,,,,,
2016-01-15,-4.9,1.3,-9.0,0.0,2.2,,,,0.5,,,,,
2016-01-16,-4.0,0.3,-8.4,3.0,0.9,,,,0.5,,,,,
2016-01-17,-2.4,2.2,-7.5,0.0,2.0,,,,0.6,,,,,
2016-01-18,-0.2,2.5,-8.5,10.5,0.0,,,,3.0,,,,,
2016-01-19,-0.1,1.9,-4.4,8.5,0.4,,,,1.2,,,,,
2016-01-20,-0.8,2.8,-4.6,4.5,3.1,,,,,,,,,
2016-01-21,-1.1,1.3,-3.5,3.0,1.0,,,,0.9,,,,,
2016-01-22,-2.7,0.0,-5.8,0.5,2.7,,,,0.6,,,,,
2016-01-23,-3.6,0.1,-8.5,3.5,1.0,,,,0.4,,,,,
2016-01-24,-4.0,1.3,-8.2,2.0,3.0,,,,0.4,,,,,
2016-01-25,-2.3,-0.9,-4.9,4.5,1.1,,,,1.0,,,,,
2016-01-26,0.6,3.4,-2.1,4.5,1.3,,,,0.3,,,,,
2016-01-27,1.5,4.1,-1.0,7.5,3.5,,,,0.9,,,,,
2016-01-28,-1.0,3.5,-6.9,0.0,1.0,,,,0.5,,,,,
2016-01-29,-3.8,0.3,-9.7,0.0,3.5,,,,0.4,,,,,
2016-01-30,-1.5,2.8,-4.3,0.0,5.9,,,,0.5,,,,,
2016-01-31,-1.8,0.1,-2.9,0.0,1.7,,,,1.0,,,,,
2016-02-01,-3.5,-1.2,-5.6,0.5,0.7,,,,0.6,,,,,
2016-02-02,-3.4,0.1,-6.7,0.0,1.7,,,,0.6,,,,,
2016-02-03,-1.9,2.2,-4.7,0.5,1.8,,,,0.4,,,,,
2016-02-04,-1.2,1.8,-4.7,3.5,0.7,,,,0.2,,,,,
2016-02-05,0.5,3.6,-2.2,0.5,2.8,,,,0.7,,,,,
2016-02-06,-2.6,2.3,-7.5,0.0,3.6,,,,0.7,,,,,
2016-02-07,-4.9,0.0,-11.6,1.5,6.9,,,,0.6,,,,,
2016-02-08,-2.5,1.0,-7.5,1.0,0.6,,,,,,,,,
2016-02-09,-1.4,1.9,-7.4,6.5,0.0,,,,,,,,,
2016-02-10,-1.5,1.1,-4.0,0.5,5.7,,,,1.4,,,,,
2016-02-11,-1.1,4.2,-6.5,0.0,6.9,,,,0.5,,,,,
2016-02-12,-2.5,6.6,-10.8,0.0,8.5,,,,0.2,,,,,
2016-02-13,1.0,2.8,-2.5,26.5,0.0,,,,0.0,,,,,
2016-02-14,4.2,11.9,0.9,31.0,0.0,,,,1.2,,,,,
2016-02-15,-2.1,1.8,-5.9,3.5,2.9,,,,1.4,,,,,
2016-02-16,-2.7,-0.7,-5.3,7.5,0.7,,,,0.5,,,,,
2016-02-17,-2.4,0.1,-4.7,7.0,0.4,,,,0.8,,,,,
2016-02-18,-0.3,3.6,-6.0,43.0,0.1,,,,0.5,,,,,
2016-02-19,2.0,5.3,0.2,35.0,0.5,,,,0.6,,,,,
2016-02-20,1.8,4.7,-1.4,11.0,0.0,,,,0.5,,,,,
2016-02-21,1.7,5.9,-1.1,6.5,1.8,,,,1.4,,,,,
2016-02-22,-0.8,2.1,-4.8,0.5,3.1,,,,0.9,,,,,
2016-02-23,-1.1,1.9,-5.0,8.0,0.0,,,,0.3,,,,,
2016-02-24,-2.5,0.8,-4.6,0.0,6.6,,,,1.0,,,,,
2016-02-25,-3.2,1.0,-5.3,1.0,2.9,,,,0.6,,,,,
2016-02-26,-2.3,0.5,-4.9,2.5,2.5,,,,0.4,,,,,
2016-02-27,-2.4,2.9,-7.5,3.5,5.9,,,,0.6,,,,,
2016-02-28,-1.1,3.7,-7.7,0.5,8.4,,,,0.4,,,,,
2016-02-29,2.2,5.3,-0.7,26.0,0.0,,,,1.3,,,,,
2016-03-01,-2.2,0.6,-3.7,2.5,2.8,,,,1.7,,,,,
2016-03-02,-2.9,1.0,-9.7,5.5,1.1,,,,0.7,,,,,
2016-03-03,-1.1,7.0,-10.0,5.0,2.7,,,,0.6,,,,,
2016-03-04,-1.0,6.1,-8.2,0.0,8.9,,,,0.4,,,,,
2016-03-05,0.4,8.3,-7.3,0.0,9.9,,,,0.6,,,,,
2016-03-06,3.2,10.7,-1.3,20.5,0.0,,,,0.2,,,,,
