calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.3,3.8,-2.9,1.0,0.7,,8,0,1.6,,,,,
2016-01-02,2.0,6.9,-1.3,11.0,0.2,,7,1,1.3,,,,,
2016-01-03,1.4,3.3,0.0,4.5,0.0,,2,1,0.4,,,,,
2016-01-04,0.6,2.1,-0.5,3.0,0.0,,0,0,1.4,,,,,
2016-01-05,1.2,3.4,-0.6,1.5,0.0,,2,3,3.2,,,,,
2016-01-06,-0.4,0.8,-2.0,4.5,0.3,,4,4,,,,,,
2016-01-07,0.5,1.4,-1.1,3.0,0.1,,6,8,,,,,,
2016-01-08,0.6,2.3,-1.5,3.5,0.0,,10,11,,,,,,
2016-01-09,0.1,2.5,-1.6,2.0,1.6,,12,6,2.5,,,,,
2016-01-10,-0.1,2.7,-1.8,5.0,0.8,,18,12,3.1,,,,,
2016-01-11,-1.7,-0.4,-3.3,1.5,0.0,,16,5,3.9,,,,,
2016-01-12,-2.0,0.4,-4.3,3.0,0.4,,18,5,2.7,,,,,
2016-01-13,-1.8,2.6,-3.3,10.5,0.0,,24,11,1.0,,,,,
2016-01-14,-0.5,2.4,-4.0,0.5,0.0,,23,1,2.8,,,,,
2016-01-15,-2.7,1.0,-5.1,0.5,0.4,,21,7,0.9,,,,,
2016-01-16,-2.2,0.3,-4.7,2.0,0.5,,26,11,1.9,,,,,
2016-01-17,-2.1,2.1,-5.9,2.0,3.1,,25,5,0.9,,,,,
2016-01-18,-0.3,2.1,-5.6,5.0,0.0,,27,7,1.6,,,,,
2016-01-19,0.8,3.9,-1.0,15.5,0.1,,26,10,1.7,,,,,
2016-01-20,0.0,3.8,-2.2,4.0,3.5,,28,8,,,,,,
2016-01-21,0.5,2.8,-2.1,0.0,4.7,,27,1,3.5,,,,,
2016-01-22,-1.6,0.7,-4.2,4.5,1.6,,32,9,2.4,,,,,
2016-01-23,-2.1,0.7,-5.3,2.5,0.0,,36,4,1.8,,,,,
2016-01-24,-3.0,1.7,-7.9,0.5,4.5,,33,1,1.3,,,,,
2016-01-25,-1.6,0.5,-3.3,1.5,1.9,,33,3,3.5,,,,,
2016-01-26,-0.8,1.8,-3.1,8.0,0.1,,34,5,0.4,,,,,
2016-01-27,0.8,4.2,-2.1,4.5,0.2,,31,2,2.0,,,,,
2016-01-28,-0.1,2.8,-3.5,1.5,0.4,,29,5,1.1,,,,,
2016-01-29,-2.3,1.2,-5.3,0.0,0.4,,26,0,0.5,,,,,
2016-01-30,-1.2,2.4,-2.9,0.0,2.4,,27,4,0.8,,,,,
2016-01-31,-1.1,2.1,-3.0,3.0,0.6,,35,12,2.0,,,,,
2016-02-01,-3.2,-1.9,-4.1,3.5,0.0,,41,11,1.3,,,,,
2016-02-02,-2.7,0.0,-4.7,4.0,0.7,,47,12,1.6,,,,,
2016-02-03,-2.1,0.4,-3.9,1.0,1.3,,47,8,0.7,,,,,
2016-02-04,-0.4,3.1,-3.8,4.0,1.0,,44,12,1.0,,,,,
2016-02-05,1.5,4.3,-1.7,0.5,1.7,,38,3,2.3,,,,,
2016-02-06,-1.8,1.3,-4.4,1.5,0.4,,40,9,1.2,,,,,
2016-02-07,-2.5,0.1,-4.4,4.5,3.6,,48,11,1.8,,,,,
2016-02-08,-1.7,2.3,-5.6,5.5,1.5,,49,11,0.7,,,,,
2016-02-09,-0.7,1.7,-5.9,14.0,0.0,,51,16,1.1,,,,,
2016-02-10,-1.0,0.6,-2.3,3.5,0.1,,56,9,3.8,,,,,
2016-02-11,-0.9,3.9,-6.6,0.0,6.0,,55,0,1.2,,,,,
2016-02-12,-2.1,5.9,-9.5,0.0,7.1,,49,0,0.7,,,,,
2016-02-13,0.9,2.6,-1.7,12.5,0.0,,47,5,1.0,,,,,
2016-02-14,4.9,12.4,0.7,17.0,0.0,,43,4,3.7,,,,,
2016-02-15,-1.2,3.5,-4.2,1.5,0.6,,30,8,4.6,,,,,
2016-02-16,-2.8,-2.1,-3.9,11.5,0.0,,50,21,1.6,,,,,
2016-02-17,-1.1,0.9,-3.0,3.5,0.6,,54,7,2.6,,,,,
2016-02-18,0.4,3.6,-2.8,17.0,0.4,,52,5,1.4,,,,,
2016-02-19,3.2,7.3,0.4,24.0,0.8,,41,2,2.3,,,,,
2016-02-20,1.6,5.3,0.1,10.0,0.0,,34,3,0.8,,,,,
2016-02-21,2.9,6.3,0.0,10.5,1.3,,31,0,4.7,,,,,
2016-02-22,-0.1,2.6,-3.6,0.0,1.2,,25,3,2.4,,,,,
2016-02-23,-0.8,0.8,-3.1,12.5,0.0,,34,12,0.2,,,,,
2016-02-24,-2.6,1.7,-4.6,1.0,0.1,,35,4,2.6,,,,,
2016-02-25,-3.0,1.3,-5.2,6.0,1.9,,47,16,1.2,,,,,
2016-02-26,-1.6,1.6,-4.5,2.5,1.8,,51,7,1.3,,,,,
2016-02-27,-1.1,2.3,-4.9,7.5,5.0,,57,19,1.2,,,,,
2016-02-28,-0.5,4.1,-6.9,0.5,8.2,,58,1,1.1,,,,,
2016-02-29,3.3,5.8,1.2,22.5,0.0,,42,0,3.1,,,,,
2016-03-01,-1.0,1.7,-2.6,1.0,0.7,,38,5,5.8,,,,,
2016-03-02,-0.2,4.2,-2.9,1.5,3.4,,41,5,2.8,,,,,
2016-03-03,1.6,6.6,-2.5,15.0,1.9,,48,13,2.1,,,,,
2016-03-04,0.5,5.7,-2.8,0.0,6.8,,38,0,1.0,,,,,
2016-03-05,1.9,9.6,-5.4,0.0,9.5,,35,0,1.0,,,,,
2016-03-06,4.4,11.3,1.2,4.0,0.6,,31,0,1.3,,,,,
2016-03-07,4.2,10.5,0.8,11.0,4.2,,26,1,1.0,,,,,
2016-03-08,4.6,10.5,0.9,0.0,1.5,,21,2,2.4,,,,,
2016-03-09,2.2,4.5,-0.4,0.0,1.5,,11,0,2.4,,,,,
2016-03-10,0.0,3.6,-2.0,2.0,3.5,,16,11,1.2,,,,,
2016-03-11,-0.5,3.6,-3.2,3.5,1.6,,22,9,1.1,,,,,
2016-03-12,-0.6,5.1,-4.6,0.0,6.3,,11,0,1.1,,,,,
2016-03-13,0.3,6.8,-7.1,0.0,4.1,,9,3,1.1,,,,,
2016-03-14,2.9,9.3,-1.8,0.0,6.3,,7,0,1.3,,,,,
2016-03-15,3.4,6.0,-1.7,0.0,4.0,,0,0,3.3,,,,,
2016-03-16,6.9,10.9,1.4,0.0,4.1,,0,0,2.8,,,,,
2016-03-17,8.3,13.8,-0.5,0.0,9.9,,0,0,2.6,,,,,
2016-03-18,8.4,19.6,-1.5,0.0,9.1,,0,0,1.9,,,,,
2016-03-19,7.7,10.5,5.9,11.5,0.0,,0,0,1.4,,,,,
2016-03-20,5.2,8.2,2.3,0.5,2.1,,0,0,3.0,,,,,
2016-03-21,3.2,6.8,-1.2,3.0,5.8,,0,0,2.2,,,,,
2016-03-22,4.6,8.3,0.2,16.5,0.2,,0,0,2.3,,,,,
2016-03-23,2.9,7.0,-1.2,0.5,2.2,,0,0,2.6,,,,,
2016-03-24,1.0,6.4,-2.7,1.0,6.6,,0,0,1.9,,,,,
2016-03-25,1.5,5.1,-2.7,7.0,4.1,,6,9,1.9,,,,,
2016-03-26,2.4,8.9,-2.2,0.5,6.3,,0,0,1.3,,,,,
2016-03-27,3.0,11.3,-3.7,0.0,10.9,,0,0,1.6,,,,,
2016-03-28,4.1,12.2,-2.9,0.0,10.2,,0,0,1.6,,,,,
2016-03-29,5.4,13.9,-2.0,0.0,8.8,,0,0,1.4,,,,,
2016-03-30,5.4,14.3,-0.5,7.0,2.4,,0,0,1.6,,,,,
2016-03-31,6.2,12.0,0.5,8.0,11.2,,0,0,2.4,,,,,
2016-04-01,7.5,16.4,-1.5,0.0,11.4,,0,0,2.5,,,,,
2016-04-02,8.7,13.5,4.7,0.0,11.4,,0,0,3.2,,,,,
2016-04-03,8.5,10.7,6.4,12.5,0.0,,0,0,0.7,,,,,
2016-04-04,5.2,8.8,-0.5,18.5,0.8,,0,0,1.3,,,,,
2016-04-05,5.5,13.8,-1.5,0.0,8.0,,0,0,1.3,,,,,
2016-04-06,7.4,13.1,-0.3,0.5,11.6,,0,0,2.9,,,,,
2016-04-07,6.7,11.7,-0.4,25.5,0.0,,0,0,1.4,,,,,
2016-04-08,9.8,13.6,5.8,0.0,1.3,,0,0,2.9,,,,,
2016-04-09,9.4,15.2,3.3,0.0,9.3,,0,0,2.7,,,,,
2016-04-10,6.9,14.2,2.0,0.0,7.1,,0,0,2.4,,,,,
2016-04-11,2.2,6.6,-0.7,4.0,3.9,,0,0,2.7,,,,,
2016-04-12,3.4,10.7,-2.5,0.0,7.7,,0,0,1.2,,,,,
2016-04-13,8.3,14.3,0.1,11.5,2.2,,0,0,0.9,,,,,
2016-04-14,13.1,19.5,9.0,7.5,6.5,,0,0,1.6,,,,,
2016-04-15,6.5,10.5,1.9,7.0,0.1,,0,0,4.6,,,,,
2016-04-16,7.5,16.2,-0.7,0.0,6.9,,0,0,1.3,,,,,
2016-04-17,11.2,17.5,4.5,12.0,0.7,,0,0,4.2,,,,,
2016-04-18,11.8,13.4,9.8,0.0,1.4,,0,0,3.7,,,,,
2016-04-19,8.4,11.5,4.9,0.0,3.7,,0,0,2.1,,,,,
2016-04-20,9.4,15.8,4.8,0.0,5.3,,0,0,1.4,,,,,
2016-04-21,12.8,19.4,5.8,0.0,0.6,,0,0,1.2,,,,,
2016-04-22,14.1,19.9,9.0,0.0,3.8,,0,0,1.1,,,,,
2016-04-23,12.7,20.8,5.9,0.0,6.5,,0,0,2.0,,,,,
2016-04-24,10.4,17.2,2.9,0.0,12.1,,0,0,1.8,,,,,
2016-04-25,9.6,19.7,0.0,0.0,12.3,,0,0,1.7,,,,,
2016-04-26,10.3,19.7,0.9,0.0,10.7,,0,0,1.6,,,,,
2016-04-27,10.5,19.6,1.4,0.0,9.4,,0,0,1.3,,,,,
2016-04-28,10.1,11.8,7.9,28.0,0.0,,0,0,1.0,,,,,
2016-04-29,7.7,10.1,5.3,19.5,0.9,,0,0,3.9,,,,,
2016-04-30,8.4,11.4,6.1,0.5,7.6,,0,0,3.1,,,,,
2016-05-01,7.6,10.1,6.1,20.0,0.3,,0,0,0.7,,,,,
2016-05-02,11.4,17.4,6.3,0.0,0.2,,0,0,0.8,,,,,
2016-05-03,18.3,28.7,6.8,0.0,9.9,,0,0,1.7,,,,,
2016-05-04,14.9,20.2,10.8,6.5,2.8,,0,0,2.2,,,,,
2016-05-05,13.6,15.6,12.3,0.0,0.3,,0,0,3.9,,,,,
2016-05-06,15.4,21.5,8.6,0.0,6.9,,0,0,1.3,,,,,
2016-05-07,13.0,15.2,11.7,16.5,3.2,,0,0,2.4,,,,,
2016-05-08,12.6,17.4,5.9,0.0,12.5,,0,0,3.2,,,,,
2016-05-09,13.5,24.4,3.1,0.0,12.6,,0,0,1.1,,,,,
2016-05-10,14.9,19.6,10.1,10.5,0.3,,0,0,1.8,,,,,
2016-05-11,13.6,16.2,11.3,31.5,0.0,,0,0,2.4,,,,,
2016-05-12,11.1,14.3,7.5,4.0,1.7,,0,0,2.7,,,,,
2016-05-13,14.9,24.3,5.8,0.0,11.9,,0,0,1.7,,,,,
2016-05-14,15.6,23.9,9.4,0.0,8.9,,0,0,1.0,,,,,
2016-05-15,17.1,24.8,7.8,0.0,13.0,,0,0,2.4,,,,,
2016-05-16,18.4,26.0,10.5,0.5,12.5,,0,0,2.9,,,,,
2016-05-17,13.1,17.7,9.3,10.5,3.6,,0,0,1.0,,,,,
2016-05-18,14.0,22.1,8.5,0.0,9.1,,0,0,1.0,,,,,
2016-05-19,16.6,26.7,6.7,0.0,12.9,,0,0,1.0,,,,,
2016-05-20,18.0,27.2,9.1,0.0,11.4,,0,0,1.6,,,,,
2016-05-21,17.4,26.4,10.2,0.0,9.9,,0,0,0.9,,,,,
2016-05-22,17.5,26.9,9.6,0.0,13.5,,0,0,1.3,,,,,
2016-05-23,15.7,24.7,7.0,0.0,10.6,,0,0,1.3,,,,,
2016-05-24,18.1,26.5,10.7,0.0,4.1,,0,0,0.8,,,,,
2016-05-25,17.0,18.5,15.6,2.0,0.0,,0,0,0.8,,,,,
2016-05-26,19.1,22.4,16.3,12.5,0.8,,0,0,0.9,,,,,
2016-05-27,16.9,20.9,11.7,1.5,6.2,,0,0,1.7,,,,,
2016-05-28,16.1,24.4,11.1,0.0,10.2,,0,0,1.2,,,,,
2016-05-29,17.4,25.2,10.9,0.0,7.1,,0,0,0.8,,,,,
2016-05-30,21.1,27.8,14.4,0.0,11.3,,0,0,2.1,,,,,
2016-05-31,17.1,22.5,12.5,32.5,2.8,,0,0,1.9,,,,,
2016-06-01,12.1,14.7,10.7,23.5,0.9,,0,0,3.6,,,,,
2016-06-02,12.1,15.6,10.0,2.5,3.5,,0,0,3.3,,,,,
2016-06-03,12.9,19.1,6.7,0.0,5.2,,0,0,1.4,,,,,
2016-06-04,16.8,24.0,7.2,5.0,10.3,,0,0,2.4,,,,,
2016-06-05,15.6,20.4,9.8,0.5,6.2,,0,0,1.7,,,,,
2016-06-06,16.6,24.7,9.8,0.0,8.7,,0,0,0.9,,,,,
2016-06-07,19.2,26.7,11.1,0.0,12.5,,0,0,1.0,,,,,
2016-06-08,19.2,24.6,15.7,3.0,1.9,,0,0,0.6,,,,,
2016-06-09,18.4,21.1,17.2,31.0,0.1,,0,0,0.7,,,,,
2016-06-10,17.7,22.6,12.7,0.0,9.0,,0,0,1.5,,,,,
2016-06-11,20.1,30.0,10.9,0.0,12.6,,0,0,0.8,,,,,
2016-06-12,22.8,30.0,14.4,0.0,10.1,,0,0,0.9,,,,,
2016-06-13,18.7,20.7,17.1,4.0,0.2,,0,0,1.2,,,,,
2016-06-14,19.6,22.8,16.5,0.0,0.0,,0,0,0.9,,,,,
2016-06-15,20.5,25.7,16.6,2.5,6.2,,0,0,1.6,,,,,
2016-06-16,18.8,21.6,16.0,25.0,0.0,,0,0,1.1,,,,,
2016-06-17,19.6,22.8,17.8,6.0,1.1,,0,0,1.7,,,,,
2016-06-18,17.7,20.0,15.7,1.0,0.4,,0,0,1.2,,,,,
2016-06-19,21.2,29.0,13.7,6.0,9.2,,0,0,1.4,,,,,
2016-06-20,20.0,23.3,18.1,9.0,3.3,,0,0,1.4,,,,,
2016-06-21,21.2,27.4,16.9,0.0,8.2,,0,0,1.1,,,,,
2016-06-22,20.3,26.2,16.8,0.0,6.3,,0,0,0.7,,,,,
2016-06-23,17.8,20.7,15.5,38.5,0.4,,0,0,1.0,,,,,
2016-06-24,20.1,24.8,16.8,1.5,2.1,,0,0,1.0,,,,,
2016-06-25,20.8,23.6,18.3,13.0,2.5,,0,0,2.8,,,,,
2016-06-26,15.6,20.2,12.9,7.5,0.0,,0,0,2.6,,,,,
2016-06-27,17.2,23.6,11.9,0.0,10.2,,0,0,0.7,,,,,
2016-06-28,19.1,24.1,14.9,0.0,0.5,,0,0,0.7,,,,,
2016-06-29,21.2,28.6,14.1,0.0,11.5,,0,0,0.7,,,,,
2016-06-30,19.6,24.9,15.9,2.5,,,0,0,0.6,,,,,
2016-07-01,22.5,27.0,19.5,0.0,4.8,,0,0,1.0,,,,,
2016-07-02,22.2,25.1,18.6,16.5,0.9,,0,0,2.0,,,,,
2016-07-03,21.0,25.3,18.9,0.5,4.8,,0,0,1.6,,,,,
2016-07-04,20.2,23.8,17.0,0.0,3.5,,0,0,1.5,,,,,
2016-07-05,20.5,25.0,15.3,0.0,8.6,,0,0,1.9,,,,,
2016-07-06,19.3,22.5,16.4,40.5,0.0,,0,0,1.5,,,,,
2016-07-07,19.2,22.6,17.3,0.0,0.9,,0,0,1.4,,,,,
2016-07-08,20.0,24.7,17.0,1.0,2.5,,0,0,0.8,,,,,
2016-07-09,21.1,23.5,19.0,3.5,0.0,,0,0,0.8,,,,,
2016-07-10,21.1,24.2,19.6,1.5,0.4,,0,0,1.3,,,,,
2016-07-11,20.3,25.7,15.4,0.0,9.1,,0,0,1.3,,,,,
2016-07-12,20.3,27.5,14.1,0.0,11.8,,0,0,0.9,,,,,
2016-07-13,22.2,30.8,14.3,0.0,9.7,,0,0,1.1,,,,,
2016-07-14,21.8,22.9,20.8,18.0,0.0,,0,0,0.6,,,,,
2016-07-15,23.1,28.4,20.1,0.0,4.6,,0,0,0.9,,,,,
2016-07-16,22.9,27.3,18.9,0.0,2.1,,0,0,0.8,,,,,
2016-07-17,22.0,23.4,20.3,16.0,0.0,,0,0,0.8,,,,,
2016-07-18,21.2,22.9,19.6,0.0,0.3,,0,0,1.0,,,,,
2016-07-19,20.6,24.1,19.1,1.0,1.0,,0,0,1.0,,,,,
2016-07-20,20.7,26.0,16.5,3.0,7.4,,0,0,1.2,,,,,
2016-07-21,21.2,26.2,16.3,0.0,4.1,,0,0,0.6,,,,,
2016-07-22,21.8,28.5,15.5,0.0,12.2,,0,0,1.2,,,,,
2016-07-23,22.0,28.4,15.4,0.0,12.6,,0,0,1.7,,,,,
2016-07-24,22.7,29.3,15.6,0.0,12.9,,0,0,1.8,,,,,
2016-07-25,23.3,30.2,16.1,0.0,10.1,,0,0,1.3,,,,,
2016-07-26,24.3,29.9,19.5,0.0,5.0,,0,0,1.4,,,,,
2016-07-27,23.1,27.3,20.1,0.0,0.0,,0,0,0.8,,,,,
2016-07-28,24.6,29.8,21.6,3.5,0.7,,0,0,0.5,,,,,
2016-07-29,26.0,32.1,20.6,0.0,10.8,,0,0,1.2,,,,,
2016-07-30,25.9,32.3,20.9,0.0,9.3,,0,0,0.8,,,,,
2016-07-31,26.2,32.3,21.1,0.0,9.3,,0,0,1.1,,,,,
2016-08-01,26.5,33.3,20.7,0.0,11.4,,0,0,1.2,,,,,
2016-08-02,24.6,30.1,21.8,0.0,2.9,,0,0,0.9,,,,,
2016-08-03,24.3,29.2,20.6,5.5,5.1,,0,0,1.0,,,,,
2016-08-04,23.4,29.1,19.4,0.0,7.6,,0,0,1.1,,,,,
2016-08-05,24.5,29.6,19.7,0.0,9.2,,0,0,1.2,,,,,
2016-08-06,25.7,32.1,20.9,0.0,9.2,,0,0,0.7,,,,,
2016-08-07,27.7,35.4,20.7,0.0,12.8,,0,0,1.4,,,,,
2016-08-08,27.3,34.4,20.6,1.0,11.6,,0,0,1.4,,,,,
2016-08-09,25.1,30.2,21.7,0.0,6.4,,0,0,2.2,,,,,
2016-08-10,22.0,27.7,17.4,0.0,6.5,,0,0,1.4,,,,,
2016-08-11,22.3,30.6,16.2,0.0,11.5,,0,0,0.9,,,,,
2016-08-12,23.7,32.3,16.2,0.0,12.7,,0,0,1.0,,,,,
2016-08-13,24.2,32.7,17.0,0.0,12.6,,0,0,1.0,,,,,
2016-08-14,23.7,31.8,17.4,0.0,11.0,,0,0,1.3,,,,,
2016-08-15,23.2,30.4,17.4,0.5,4.5,,0,0,0.8,,,,,
2016-08-16,25.7,31.5,20.6,0.0,3.6,,0,0,1.2,,,,,
2016-08-17,22.9,25.2,21.8,89.0,0.1,,0,0,1.0,,,,,
2016-08-18,24.7,31.5,20.8,0.0,10.3,,0,0,0.8,,,,,
2016-08-19,26.0,32.7,20.5,0.0,6.5,,0,0,1.1,,,,,
2016-08-20,26.5,32.3,21.3,0.5,6.5,,0,0,1.7,,,,,
2016-08-21,25.3,30.2,21.2,0.0,9.2,,0,0,1.5,,,,,
2016-08-22,25.2,32.5,21.7,47.5,2.6,,0,0,1.0,,,,,
2016-08-23,23.5,29.0,19.0,20.0,7.6,,0,0,1.3,,,,,
2016-08-24,23.2,30.9,17.9,0.0,7.9,,0,0,0.8,,,,,
2016-08-25,25.6,31.5,20.1,0.0,8.3,,0,0,1.0,,,,,
2016-08-26,21.7,25.2,18.2,74.0,0.0,,0,0,0.8,,,,,
2016-08-27,20.4,26.1,16.0,0.0,5.5,,0,0,0.7,,,,,
2016-08-28,22.2,28.8,14.0,0.0,10.4,,0,0,2.0,,,,,
2016-08-29,27.0,31.2,23.0,0.0,10.2,,0,0,2.9,,,,,
2016-08-30,24.0,29.8,19.7,22.5,2.0,,0,0,1.7,,,,,
2016-08-31,23.0,29.9,18.3,0.0,7.3,,0,0,0.9,,,,,
2016-09-01,22.9,30.2,17.9,0.0,10.6,,0,0,1.1,,,,,
2016-09-02,23.8,30.8,17.9,0.0,10.6,,0,0,1.1,,,,,
2016-09-03,24.3,30.5,18.5,0.0,11.6,,0,0,1.8,,,,,
2016-09-04,25.0,32.4,18.2,0.0,11.4,,0,0,1.5,,,,,
2016-09-05,26.2,32.5,21.3,0.0,8.5,,0,0,1.0,,,,,
2016-09-06,23.4,28.0,20.0,4.5,0.3,,0,0,1.1,,,,,
2016-09-07,21.8,27.1,19.3,0.0,1.9,,0,0,0.4,,,,,
2016-09-08,21.2,26.1,19.1,13.5,0.7,,0,0,1.2,,,,,
2016-09-09,21.9,25.2,19.2,6.5,2.4,,0,0,1.8,,,,,
2016-09-10,20.6,24.8,17.0,11.0,6.4,,0,0,1.5,,,,,
2016-09-11,20.1,27.3,16.3,0.0,6.9,,0,0,0.8,,,,,
2016-09-12,19.9,24.2,16.3,0.5,1.4,,0,0,1.1,,,,,
2016-09-13,19.9,22.4,18.1,7.5,0.0,,0,0,0.9,,,,,
2016-09-14,21.2,26.5,18.0,1.0,4.7,,0,0,1.0,,,,,
2016-09-15,21.2,26.7,16.9,0.5,9.0,,0,0,1.0,,,,,
2016-09-16,19.8,26.8,16.3,0.0,6.1,,0,0,0.6,,,,,
2016-09-17,19.2,24.5,15.9,4.5,0.1,,0,0,0.6,,,,,
2016-09-18,19.0,21.7,17.1,0.5,0.0,,0,0,0.4,,,,,
2016-09-19,18.0,23.6,14.4,0.0,1.7,,0,0,1.0,,,,,
2016-09-20,15.8,18.8,13.6,0.0,0.0,,0,0,0.4,,,,,
2016-09-21,16.9,24.2,10.1,0.0,9.8,,0,0,1.1,,,,,
2016-09-22,17.4,23.0,12.1,13.0,1.4,,0,0,1.5,,,,,
2016-09-23,18.1,21.2,15.7,18.5,0.1,,0,0,0.5,,,,,
