calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.3,3.8,-3.5,4.5,2.2,,,,1.6,,,,,
2016-01-02,1.9,7.2,-4.4,15.5,0.8,,,,,,,,,
2016-01-03,1.4,3.3,0.4,7.0,0.0,,,,0.5,,,,,
2016-01-04,0.9,3.0,-1.2,11.0,0.0,,,,0.9,,,,,
2016-01-05,0.2,1.9,-2.5,10.5,0.0,,,,1.6,,,,,
2016-01-06,-0.8,1.3,-4.1,9.0,0.0,,,,,,,,,
2016-01-07,0.0,1.3,-1.4,10.0,0.3,,,,,,,,,
2016-01-08,-1.0,0.8,-4.6,9.0,0.0,,,,,,,,,
2016-01-09,-0.7,1.6,-2.8,6.5,0.6,,,,,,,,,
2016-01-10,0.0,2.7,-1.5,15.5,0.3,,,,2.5,,,,,
2016-01-11,-1.7,-0.5,-3.6,5.5,0.1,,,,3.5,,,,,
2016-01-12,-2.0,-0.4,-4.6,4.0,0.0,,,,2.2,,,,,
2016-01-13,-1.3,1.0,-3.9,18.0,1.1,,,,1.5,,,,,
2016-01-14,-1.5,2.2,-5.2,7.0,0.0,,,,1.6,,,,,
2016-01-15,-3.6,-0.4,-7.1,2.0,0.0,,,,0.4,,,,,
2016-01-16,-3.0,-0.5,-5.9,4.5,0.0,,,,0.9,,,,,
2016-01-17,-2.6,1.8,-7.4,10.0,4.6,,,,0.8,,,,,
2016-01-18,-0.2,1.9,-6.2,11.0,0.0,,,,2.4,,,,,
2016-01-19,0.2,2.8,-1.5,28.0,0.0,,,,,,,,,
2016-01-20,-0.2,3.2,-6.5,18.5,2.2,,,,2.2,,,,,
2016-01-21,-0.4,1.4,-2.2,7.0,0.3,,,,2.3,,,,,
2016-01-22,-2.4,0.7,-3.8,2.5,0.6,,,,,,,,,
2016-01-23,-2.5,0.3,-7.1,5.0,0.0,,,,1.5,,,,,
2016-01-24,-3.6,1.1,-9.4,4.0,2.7,,,,1.0,,,,,
2016-01-25,-1.5,-0.1,-2.9,6.0,0.7,,,,3.0,,,,,
2016-01-26,0.8,3.2,-1.5,6.5,0.1,,,,0.7,,,,,
2016-01-27,1.3,4.0,-0.8,13.5,0.0,,,,1.6,,,,,
2016-01-28,0.0,0.8,-1.4,11.5,0.0,,,,0.2,,,,,
2016-01-29,-2.1,0.2,-4.8,0.0,0.0,,,,0.4,,,,,
2016-01-30,-1.6,1.2,-3.1,2.0,0.9,,,,0.6,,,,,
2016-01-31,-1.3,1.4,-2.7,14.0,0.6,,,,1.6,,,,,
2016-02-01,-3.5,-2.2,-4.5,12.0,0.0,,,,0.6,,,,,
2016-02-02,-1.9,-0.1,-4.5,12.0,0.0,,,,2.0,,,,,
2016-02-03,-1.8,0.7,-4.8,3.0,1.5,,,,0.8,,,,,
2016-02-04,0.0,3.2,-6.4,1.0,2.7,,,,1.3,,,,,
2016-02-05,0.8,3.4,-1.5,1.0,0.7,,,,1.8,,,,,
2016-02-06,-2.0,0.8,-4.7,2.5,0.4,,,,1.1,,,,,
2016-02-07,-3.6,-1.2,-7.2,7.5,1.4,,,,1.1,,,,,
2016-02-08,-2.4,4.2,-8.4,5.0,6.5,,,,1.0,,,,,
2016-02-09,-0.2,3.5,-5.7,11.0,0.7,,,,1.2,,,,,
2016-02-10,-0.9,1.1,-2.4,10.5,1.5,,,,3.9,,,,,
2016-02-11,-1.7,3.3,-9.3,1.5,4.4,,,,1.5,,,,,
2016-02-12,-2.8,7.7,-12.5,0.0,9.3,,,,0.6,,,,,
2016-02-13,1.0,2.1,-1.3,1.0,0.0,,,,0.3,,,,,
2016-02-14,5.3,13.4,0.6,4.5,0.0,,,,2.6,,,,,
2016-02-15,-1.2,3.7,-4.4,1.5,0.4,,,,4.0,,,,,
2016-02-16,-2.4,-0.6,-4.3,19.0,0.4,,,,1.3,,,,,
2016-02-17,-1.8,0.1,-4.1,10.0,0.0,,,,1.8,,,,,
2016-02-18,-0.2,5.8,-5.7,4.0,2.9,,,,0.9,,,,,
2016-02-19,2.4,6.5,-6.1,10.5,2.4,,,,1.7,,,,,
2016-02-20,2.1,6.2,0.2,13.5,0.0,,,,0.6,,,,,
2016-02-21,2.9,7.3,0.0,14.5,0.2,,,,4.5,,,,,
2016-02-22,-0.5,3.0,-5.1,0.0,2.6,,,,2.5,,,,,
2016-02-23,-0.3,1.8,-3.9,12.0,0.0,,,,0.4,,,,,
2016-02-24,-2.6,2.0,-5.2,1.5,0.5,,,,2.6,,,,,
2016-02-25,-2.8,1.2,-5.1,7.5,2.9,,,,1.6,,,,,
2016-02-26,-2.0,0.8,-4.4,10.5,0.2,,,,1.2,,,,,
2016-02-27,-0.9,2.3,-6.2,8.0,4.7,,,,1.6,,,,,
2016-02-28,-0.7,4.4,-9.8,3.0,7.9,,,,1.3,,,,,
2016-02-29,3.0,6.9,0.5,15.0,0.0,,,,3.0,,,,,
