calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.8,3.8,-3.3,2.5,2.5,,32,4,2.2,,,,,
2016-01-02,3.3,8.1,-2.7,16.0,0.8,,29,1,2.0,,,,,
2016-01-03,2.3,5.4,0.8,4.5,0.4,,15,1,0.8,,,,,
2016-01-04,1.2,3.0,0.0,20.0,0.3,,11,2,1.0,,,,,
2016-01-05,0.6,2.0,-2.5,10.5,0.0,,18,11,2.3,,,,,
2016-01-06,0.1,2.8,-2.6,8.0,0.6,,18,3,0.8,,,,,
2016-01-07,0.5,1.5,-1.1,7.5,0.2,,23,8,,,,,,
2016-01-08,-0.4,1.3,-2.9,11.5,0.0,,35,17,,,,,,
2016-01-09,0.1,2.1,-0.7,3.5,1.1,,35,13,1.5,,,,,
2016-01-10,0.5,3.7,-1.7,10.0,0.1,,37,14,2.8,,,,,
2016-01-11,-1.1,0.0,-2.4,1.0,0.1,,38,4,3.6,,,,,
2016-01-12,-1.1,0.0,-2.1,3.0,0.0,,39,4,2.4,,,,,
2016-01-13,-0.6,3.0,-3.3,8.5,0.8,,43,7,1.8,,,,,
2016-01-14,-0.8,3.0,-2.7,3.0,0.0,,39,7,2.7,,,,,
2016-01-15,-2.3,0.3,-4.4,2.5,0.0,,44,8,1.4,,,,,
2016-01-16,-2.4,-0.2,-4.4,4.5,0.0,,52,15,1.7,,,,,
2016-01-17,-1.0,1.8,-4.6,2.5,2.2,,53,3,1.6,,,,,
2016-01-18,0.4,2.7,-2.7,7.0,0.0,,52,10,3.1,,,,,
2016-01-19,0.8,3.6,-1.4,26.5,0.0,,56,14,2.5,,,,,
2016-01-20,0.4,2.9,-2.0,13.5,2.5,,62,8,3.2,,,,,
2016-01-21,-0.2,1.2,-1.6,7.5,0.0,,73,18,2.4,,,,,
2016-01-22,-1.6,-0.2,-3.5,9.0,0.0,,79,12,,,,,,
2016-01-23,-1.5,0.2,-3.9,0.5,0.0,,79,4,2.5,,,,,
2016-01-24,-2.6,1.0,-6.9,5.0,3.6,,78,8,1.8,,,,,
2016-01-25,-1.1,0.5,-2.6,3.5,0.6,,79,6,3.1,,,,,
2016-01-26,0.9,3.7,-1.0,4.0,0.1,,80,2,1.1,,,,,
2016-01-27,1.6,5.4,-0.4,17.0,0.0,,72,3,2.0,,,,,
2016-01-28,0.8,3.1,-0.7,7.5,0.0,,70,4,1.1,,,,,
2016-01-29,-1.1,0.8,-2.4,0.0,0.0,,64,0,0.8,,,,,
2016-01-30,-1.0,1.1,-2.5,1.0,0.6,,64,4,1.3,,,,,
2016-01-31,-0.4,1.9,-2.3,4.5,0.4,,81,20,2.7,,,,,
2016-02-01,-2.4,-1.1,-3.3,6.5,0.0,,90,15,1.5,,,,,
2016-02-02,-1.2,0.5,-2.7,3.0,0.0,,89,3,2.8,,,,,
2016-02-03,-1.2,1.4,-3.1,5.5,0.8,,91,13,1.1,,,,,
2016-02-04,0.7,4.2,-4.2,1.0,2.4,,91,0,1.6,,,,,
2016-02-05,1.2,3.4,-1.0,0.0,2.0,,78,0,2.8,,,,,
2016-02-06,-1.4,0.5,-3.5,6.0,0.1,,83,17,1.5,,,,,
2016-02-07,-2.5,-0.4,-4.1,7.0,0.8,,90,11,1.9,,,,,
2016-02-08,-1.1,4.2,-5.3,1.5,7.1,,88,2,1.5,,,,,
2016-02-09,1.1,3.5,-2.3,8.5,1.1,,86,12,2.6,,,,,
2016-02-10,-0.1,1.5,-1.6,2.0,2.4,,88,3,4.4,,,,,
2016-02-11,0.0,3.3,-5.1,0.0,3.2,,82,0,2.5,,,,,
2016-02-12,-0.5,9.2,-8.3,0.0,9.4,,78,0,0.8,,,,,
2016-02-13,2.7,5.2,0.1,0.0,0.0,,75,1,0.7,,,,,
2016-02-14,7.2,15.7,1.8,11.0,1.7,,71,0,4.5,,,,,
2016-02-15,-1.0,3.6,-3.6,4.5,0.6,,54,6,4.4,,,,,
2016-02-16,-1.9,0.9,-4.3,12.0,1.2,,83,32,1.6,,,,,
2016-02-17,-1.1,0.2,-2.7,7.0,0.0,,90,9,2.2,,,,,
2016-02-18,1.3,6.2,-2.9,0.5,3.0,,82,1,1.5,,,,,
2016-02-19,3.2,8.6,-3.7,12.5,3.2,,67,0,2.2,,,,,
