calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.6,2.8,-5.4,1.0,0.8,,35,10,1.2,,,,,
2016-01-02,2.1,5.4,-1.6,10.5,0.3,,30,3,1.6,,,,,
2016-01-03,2.2,4.6,1.2,4.5,0.0,,18,4,0.9,,,,,
2016-01-04,1.3,5.2,-0.3,6.0,0.9,,12,5,1.3,,,,,
2016-01-05,-0.4,1.3,-2.7,12.0,0.0,,35,28,,,,,,
2016-01-06,-0.8,1.0,-3.3,3.0,0.1,,31,7,,,,,,
2016-01-07,-0.4,1.0,-1.6,8.5,0.1,,36,13,,,,,,
2016-01-08,-0.6,1.1,-4.0,6.5,0.0,,39,14,,,,,,
2016-01-09,-0.4,1.4,-1.3,3.0,1.5,,43,9,,,,,,
2016-01-10,-0.5,1.6,-1.9,13.5,0.1,,56,26,1.6,,,,,
2016-01-11,-2.9,-1.1,-4.1,9.0,0.0,,65,20,1.8,,,,,
2016-01-12,-3.2,-2.1,-4.5,3.5,0.0,,65,3,0.8,,,,,
2016-01-13,-1.7,1.1,-4.5,10.5,,,69,12,,,,,,
2016-01-14,-1.5,0.9,-3.4,6.5,0.1,,67,13,1.7,,,,,
2016-01-15,-3.1,-0.3,-5.6,1.0,2.6,,55,6,,,,,,
2016-01-16,-3.0,-0.2,-5.4,2.5,0.1,,56,15,,,,,,
2016-01-17,-1.9,0.9,-5.4,7.0,2.8,,66,12,0.6,,,,,
2016-01-18,0.8,2.5,-4.2,19.5,0.0,,60,12,2.9,,,,,
2016-01-19,0.5,2.8,-1.1,29.5,0.0,,78,35,,,,,,
2016-01-20,-0.2,2.5,-3.0,6.5,2.3,,79,8,,,,,,
2016-01-21,-0.3,2.1,-2.4,1.0,1.7,,72,6,2.2,,,,,
2016-01-22,-2.5,-1.1,-4.2,1.5,0.7,,72,8,1.1,,,,,
2016-01-23,-2.2,0.5,-4.3,3.5,0.2,,77,5,1.1,,,,,
2016-01-24,-3.3,-0.2,-6.7,4.5,5.0,,71,7,1.2,,,,,
2016-01-25,-2.1,-0.4,-3.2,2.5,1.9,,73,7,2.0,,,,,
2016-01-26,0.7,3.7,-2.7,1.5,1.5,,74,3,1.0,,,,,
2016-01-27,1.0,3.7,-0.3,13.5,0.0,,63,3,1.0,,,,,
2016-01-28,0.2,1.3,-1.7,7.5,0.0,,66,7,0.9,,,,,
2016-01-29,-1.8,0.8,-4.1,0.0,0.0,,59,1,0.9,,,,,
2016-01-30,-1.3,1.1,-2.6,1.0,1.2,,61,8,0.9,,,,,
2016-01-31,-1.6,1.9,-3.0,10.5,1.6,,77,22,1.0,,,,,
2016-02-01,-3.3,-2.2,-3.9,3.5,0.0,,81,8,0.6,,,,,
2016-02-02,-3.1,-1.3,-4.5,9.5,0.0,,90,21,1.2,,,,,
2016-02-03,-1.8,0.5,-3.6,0.5,2.9,,90,4,1.0,,,,,
2016-02-04,0.4,4.7,-3.7,0.5,6.5,,80,3,1.4,,,,,
2016-02-05,0.9,3.9,-0.8,1.0,2.4,,72,3,1.3,,,,,
2016-02-06,-1.9,1.0,-4.4,0.5,2.4,,70,7,0.9,,,,,
2016-02-07,-3.1,-0.7,-5.9,7.0,6.9,,79,20,1.2,,,,,
2016-02-08,-0.4,4.6,-4.4,2.0,8.4,,81,3,1.3,,,,,
2016-02-09,-0.1,3.4,-3.9,7.0,0.6,,72,11,1.2,,,,,
2016-02-10,-1.7,-0.3,-2.5,17.0,0.0,,102,34,,,,,,
2016-02-11,-1.2,3.5,-5.3,0.0,7.2,,102,0,1.1,,,,,
2016-02-12,-1.5,4.0,-8.7,0.0,8.9,,80,0,1.2,,,,,
2016-02-13,3.2,4.7,0.7,0.5,0.0,,75,2,1.4,,,,,
2016-02-14,5.2,9.0,1.9,3.0,0.0,,68,0,2.8,,,,,
2016-02-15,-1.6,3.2,-5.0,7.5,0.1,,71,18,3.2,,,,,
2016-02-16,-2.6,-0.5,-5.3,12.0,0.0,,83,19,1.0,,,,,
2016-02-17,-1.7,0.7,-3.8,7.0,0.3,,90,8,1.5,,,,,
2016-02-18,1.3,6.7,-3.2,0.0,3.0,,82,1,2.0,,,,,
2016-02-19,2.5,6.5,-3.2,6.5,1.5,,70,1,1.6,,,,,
2016-02-20,2.7,6.8,0.5,14.5,0.0,,66,2,1.0,,,,,
2016-02-21,2.6,5.7,-0.1,5.5,0.1,,61,2,3.0,,,,,
2016-02-22,0.1,3.0,-2.4,0.0,4.0,,57,0,2.1,,,,,
2016-02-23,0.1,1.8,-2.8,8.0,0.0,,60,9,1.2,,,,,
2016-02-24,-2.7,1.4,-4.4,0.5,1.0,,60,2,2.7,,,,,
2016-02-25,-2.9,1.0,-4.8,3.5,3.1,,65,9,1.0,,,,,
2016-02-26,-1.6,1.4,-3.7,5.5,0.7,,75,14,1.1,,,,,
2016-02-27,-0.4,2.9,-3.2,6.5,5.7,,77,18,1.5,,,,,
2016-02-28,1.0,4.1,-4.6,1.0,8.3,,77,1,1.4,,,,,
2016-02-29,3.8,7.1,0.5,6.0,0.0,,62,0,2.6,,,,,
2016-03-01,-1.9,1.2,-3.0,5.5,0.6,,71,17,3.7,,,,,
2016-03-02,-0.6,2.6,-3.3,4.0,3.1,,76,7,1.4,,,,,
2016-03-03,1.9,5.8,-1.7,9.5,1.8,,68,4,2.2,,,,,
2016-03-04,1.5,5.8,-2.4,0.0,6.7,,61,0,1.0,,,,,
2016-03-05,2.5,10.5,-3.3,0.0,9.9,,57,0,1.9,,,,,
2016-03-06,7.5,13.6,4.1,0.5,4.4,,55,0,3.0,,,,,
2016-03-07,4.9,8.5,2.3,8.5,0.7,,43,1,1.4,,,,,
2016-03-08,4.2,9.7,0.4,0.0,0.0,,38,0,1.3,,,,,
2016-03-09,2.3,4.6,0.8,0.0,0.4,,34,0,1.4,,,,,
2016-03-10,0.4,3.0,-1.4,0.0,6.2,,32,2,1.2,,,,,
2016-03-11,-0.2,2.9,-2.8,2.5,3.1,,36,10,1.0,,,,,
2016-03-12,0.1,4.2,-2.4,1.0,7.0,,30,9,1.2,,,,,
2016-03-13,1.1,8.0,-4.7,0.0,5.6,,24,1,1.7,,,,,
2016-03-14,4.0,9.4,-0.8,0.0,9.3,,21,0,1.2,,,,,
2016-03-15,2.4,5.5,0.3,0.0,3.1,,16,1,1.8,,,,,
2016-03-16,5.8,12.7,1.4,0.0,5.5,,13,0,1.6,,,,,
2016-03-17,7.2,14.6,1.4,0.0,10.8,,5,0,1.9,,,,,
2016-03-18,7.3,18.5,-0.2,0.0,6.9,,0,0,1.7,,,,,
2016-03-19,6.4,8.6,4.0,6.5,0.0,,0,0,1.3,,,,,
2016-03-20,4.8,7.5,2.1,0.0,0.7,,0,0,1.8,,,,,
2016-03-21,3.1,7.5,0.4,1.0,4.3,,0,0,1.7,,,,,
2016-03-22,4.5,8.8,1.0,12.0,0.6,,0,0,1.7,,,,,
2016-03-23,3.4,7.7,-0.6,0.0,3.0,,0,0,2.1,,,,,
2016-03-24,2.1,6.4,-1.7,0.0,8.1,,0,0,1.9,,,,,
2016-03-25,1.7,4.7,-1.2,2.0,2.1,,1,2,1.6,,,,,
2016-03-26,3.5,9.3,-0.1,0.5,6.6,,0,0,1.5,,,,,
2016-03-27,4.5,13.0,-2.1,0.0,10.9,,0,0,1.7,,,,,
2016-03-28,5.6,13.4,-0.9,0.0,9.8,,0,0,1.9,,,,,
2016-03-29,7.2,15.7,0.3,0.0,10.0,,0,0,1.6,,,,,
2016-03-30,7.9,16.8,2.4,6.0,2.5,,0,0,2.4,,,,,
2016-03-31,7.0,13.8,0.8,1.5,10.8,,0,0,2.3,,,,,
2016-04-01,8.5,17.3,0.9,0.0,11.8,,0,0,2.7,,,,,
2016-04-02,9.0,14.3,4.8,0.0,11.2,,0,0,3.3,,,,,
2016-04-03,10.9,16.7,7.1,8.5,1.4,,0,0,2.3,,,,,
2016-04-04,6.9,9.4,2.7,27.0,0.0,,0,0,1.3,,,,,
2016-04-05,6.9,15.8,-0.2,0.0,10.3,,0,0,1.7,,,,,
2016-04-06,8.5,13.8,3.0,0.0,11.0,,0,0,2.5,,,,,
2016-04-07,7.9,12.3,2.1,25.0,0.0,,0,0,1.5,,,,,
2016-04-08,10.5,13.2,8.0,0.5,0.3,,0,0,2.2,,,,,
2016-04-09,11.1,17.7,5.2,0.0,10.9,,0,0,3.2,,,,,
2016-04-10,7.7,15.3,2.9,0.0,5.9,,0,0,1.7,,,,,
2016-04-11,2.5,6.8,0.6,5.5,2.8,,0,0,2.5,,,,,
2016-04-12,5.4,11.4,-1.0,0.0,9.0,,0,0,1.8,,,,,
2016-04-13,10.7,20.0,3.8,2.0,2.7,,0,0,2.3,,,,,
2016-04-14,14.3,21.9,9.5,4.0,7.6,,0,0,1.8,,,,,
2016-04-15,7.0,12.7,2.9,2.5,0.2,,0,0,3.5,,,,,
2016-04-16,10.1,17.9,1.6,0.0,7.2,,0,0,1.5,,,,,
2016-04-17,13.5,21.3,7.3,7.0,1.4,,0,0,4.4,,,,,
2016-04-18,12.3,14.0,10.2,0.0,0.4,,0,0,3.2,,,,,
2016-04-19,9.6,13.2,5.6,0.0,5.8,,0,0,2.5,,,,,
2016-04-20,10.8,17.3,4.3,0.0,5.9,,0,0,1.4,,,,,
2016-04-21,14.8,21.8,7.6,0.0,2.4,,0,0,1.6,,,,,
2016-04-22,15.5,20.1,11.7,0.5,0.7,,0,0,1.3,,,,,
2016-04-23,15.6,24.4,10.5,0.0,9.1,,0,0,2.9,,,,,
2016-04-24,12.3,18.7,5.6,0.0,10.7,,0,0,1.9,,,,,
2016-04-25,11.9,21.3,2.9,0.0,12.4,,0,0,2.2,,,,,
2016-04-26,12.6,22.0,4.4,0.0,10.4,,0,0,2.0,,,,,
2016-04-27,12.8,21.4,4.4,0.0,9.4,,0,0,2.2,,,,,
2016-04-28,11.1,12.6,9.8,22.0,0.0,,0,0,2.1,,,,,
2016-04-29,8.1,11.3,5.8,10.5,1.7,,0,0,3.1,,,,,
2016-04-30,9.2,13.0,5.5,0.5,6.9,,0,0,2.7,,,,,
2016-05-01,8.5,9.7,7.0,10.5,0.0,,0,0,1.2,,,,,
2016-05-02,12.8,19.3,7.1,0.0,0.5,,0,0,1.6,,,,,
2016-05-03,19.8,28.3,10.3,0.0,9.5,,0,0,3.8,,,,,
2016-05-04,15.9,21.3,11.9,9.0,2.1,,0,0,2.7,,,,,
2016-05-05,14.8,16.5,10.7,0.0,0.5,,0,0,3.6,,,,,
2016-05-06,16.7,24.3,7.8,0.0,8.9,,0,0,2.1,,,,,
2016-05-07,14.4,17.2,11.8,5.0,1.4,,0,0,2.0,,,,,
2016-05-08,14.1,19.2,7.1,0.0,10.5,,0,0,3.3,,,,,
2016-05-09,15.9,25.9,4.5,0.0,13.0,,0,0,2.2,,,,,
2016-05-10,16.8,19.6,13.1,6.5,0.0,,0,0,2.8,,,,,
2016-05-11,15.2,17.0,13.7,13.0,0.0,,0,0,2.6,,,,,
2016-05-12,12.1,15.0,9.1,0.5,2.3,,0,0,2.7,,,,,
2016-05-13,16.8,27.1,7.1,0.0,12.4,,0,0,2.1,,,,,
2016-05-14,17.8,26.4,13.5,0.0,8.8,,0,0,1.6,,,,,
2016-05-15,18.2,26.1,11.6,0.0,13.2,,0,0,3.0,,,,,
2016-05-16,18.9,26.3,11.6,0.0,12.4,,0,0,4.0,,,,,
2016-05-17,13.9,18.0,9.7,10.0,3.8,,0,0,1.8,,,,,
2016-05-18,15.3,24.1,9.3,0.0,9.3,,0,0,1.9,,,,,
2016-05-19,18.3,28.3,9.5,0.0,13.0,,0,0,2.5,,,,,
2016-05-20,20.2,28.8,12.8,0.0,10.2,,0,0,2.7,,,,,
2016-05-21,19.0,26.1,13.4,0.0,7.3,,0,0,1.8,,,,,
2016-05-22,19.9,29.2,12.5,0.0,13.4,,0,0,2.2,,,,,
2016-05-23,18.0,27.4,9.7,0.0,11.6,,0,0,2.2,,,,,
2016-05-24,20.4,29.4,11.9,0.0,6.4,,0,0,2.4,,,,,
2016-05-25,18.9,20.9,17.1,1.5,0.0,,0,0,2.2,,,,,
2016-05-26,19.6,21.4,17.5,10.0,0.0,,0,0,1.0,,,,,
2016-05-27,18.2,22.0,13.0,8.0,4.9,,0,0,2.1,,,,,
2016-05-28,17.5,25.9,11.4,0.0,11.9,,0,0,1.9,,,,,
2016-05-29,19.1,26.3,10.7,0.0,10.7,,0,0,2.2,,,,,
2016-05-30,22.0,29.0,17.2,0.0,10.1,,0,0,3.2,,,,,
2016-05-31,19.9,27.0,15.1,4.0,3.5,,0,0,2.3,,,,,
2016-06-01,12.9,15.3,11.0,4.5,0.0,,0,0,2.7,,,,,
2016-06-02,12.5,15.1,10.4,1.5,1.3,,0,0,3.0,,,,,
2016-06-03,14.4,20.6,9.0,0.0,5.1,,0,0,1.8,,,,,
2016-06-04,18.7,27.0,9.2,0.0,8.1,,0,0,2.9,,,,,
2016-06-05,17.7,22.1,13.8,0.0,6.5,,0,0,2.2,,,,,
2016-06-06,19.0,25.9,12.2,0.0,10.2,,0,0,1.7,,,,,
2016-06-07,21.1,28.1,14.3,0.0,13.0,,0,0,2.9,,,,,
2016-06-08,21.5,27.6,16.6,0.5,5.2,,0,0,2.5,,,,,
2016-06-09,20.1,25.6,17.9,10.5,0.5,,0,0,2.1,,,,,
2016-06-10,19.4,25.4,14.2,0.0,11.2,,0,0,2.0,,,,,
2016-06-11,22.1,31.8,12.1,0.0,13.3,,0,0,2.2,,,,,
2016-06-12,23.5,32.0,17.6,4.5,10.0,,0,0,2.5,,,,,
2016-06-13,19.9,22.3,18.3,6.5,0.0,,0,0,2.2,,,,,
2016-06-14,20.9,23.8,18.5,0.0,1.8,,0,0,2.0,,,,,
2016-06-15,20.8,26.5,16.8,4.0,8.3,,0,0,3.2,,,,,
2016-06-16,20.1,24.1,16.1,35.5,0.1,,0,0,1.8,,,,,
2016-06-17,21.0,24.4,18.9,6.0,0.4,,0,0,1.9,,,,,
2016-06-18,19.1,21.8,15.9,0.5,2.7,,0,0,2.1,,,,,
2016-06-19,22.1,30.2,14.8,0.0,9.7,,0,0,2.4,,,,,
2016-06-20,22.1,27.6,18.8,6.5,3.5,,0,0,2.2,,,,,
2016-06-21,22.1,29.2,16.2,6.5,5.7,,0,0,1.8,,,,,
2016-06-22,22.4,27.7,19.0,0.0,8.0,,0,0,1.5,,,,,
2016-06-23,19.2,21.7,17.5,18.5,0.0,,0,0,1.8,,,,,
2016-06-24,21.3,27.3,17.4,1.0,2.5,,0,0,1.9,,,,,
2016-06-25,23.0,27.5,19.6,7.5,1.4,,0,0,2.4,,,,,
2016-06-26,16.7,21.7,13.4,3.5,0.0,,0,0,2.5,,,,,
2016-06-27,18.7,24.0,12.8,0.0,9.3,,0,0,1.4,,,,,
2016-06-28,20.3,23.4,17.1,0.0,0.0,,0,0,1.9,,,,,
2016-06-29,22.9,30.1,15.4,0.0,11.7,,0,0,2.1,,,,,
2016-06-30,22.2,26.4,19.1,0.0,0.0,,0,0,2.0,,,,,
2016-07-01,23.8,28.6,19.7,0.0,8.2,,0,0,1.8,,,,,
2016-07-02,23.9,27.9,20.5,15.0,0.9,,0,0,2.3,,,,,
2016-07-03,22.0,26.2,20.0,1.0,3.4,,0,0,1.5,,,,,
2016-07-04,21.7,25.9,18.4,0.0,4.0,,0,0,2.2,,,,,
2016-07-05,21.2,25.8,16.7,0.0,7.5,,0,0,2.8,,,,,
