calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,2.8,-0.7,2.0,0.9,4.43,44,5,4.3,5.1,1023.1,78,1023.6,10.0
2016-01-02,3.8,5.6,-1.2,0.0,0.3,2.91,40,,4.8,5.9,1015.6,73,1016.1,9.5
2016-01-03,3.9,4.8,2.7,0.0,0.0,2.16,24,,3.6,5.8,1014.9,72,1015.4,9.8
2016-01-04,1.1,4.0,-1.2,6.0,0.0,2.20,25,7,3.3,5.4,1013.4,83,1013.9,9.8
2016-01-05,-0.4,1.0,-1.3,2.0,0.3,2.71,27,4,6.1,4.4,1016.4,75,1016.9,10.0
2016-01-06,0.7,3.6,-0.9,2.0,2.9,6.81,27,4,5.4,4.3,1016.1,67,1016.6,8.0
2016-01-07,-0.5,0.9,-1.7,8.5,0.0,2.61,47,21,4.9,4.8,1011.4,82,1011.9,9.3
2016-01-08,0.6,3.5,-1.0,2.5,4.8,7.52,43,6,5.8,4.3,1011.7,69,1012.2,8.5
2016-01-09,-0.9,0.7,-2.2,5.5,0.2,3.51,51,10,4.1,4.4,1016.2,77,1016.7,10.0
2016-01-10,-1.0,1.3,-3.6,5.5,0.1,2.97,53,11,5.4,4.4,1014.4,77,1014.9,10.0
2016-01-11,-4.0,-2.7,-5.1,12.5,0.2,2.46,74,29,4.1,4.0,1017.5,87,1018.0,8.8
2016-01-12,-3.2,-0.8,-4.6,4.5,0.9,5.37,74,10,5.5,4.1,1014.3,85,1014.8,10.0
2016-01-13,-1.8,1.7,-4.2,2.0,7.0,9.90,75,2,3.1,3.9,1010.8,75,1011.3,8.3
2016-01-14,-2.2,0.3,-3.8,10.0,0.3,2.58,88,27,4.5,4.3,1012.0,84,1012.5,10.0
2016-01-15,-2.2,-0.3,-3.7,0.5,0.6,4.44,85,1,4.3,4.0,1016.9,76,1017.4,9.0
2016-01-16,-2.5,-0.3,-3.5,9.5,0.4,4.09,89,19,4.8,4.5,1018.8,88,1019.3,10.0
2016-01-17,-2.9,-0.1,-6.1,4.0,0.2,4.63,96,10,3.6,4.1,1022.7,84,1023.2,9.8
2016-01-18,0.0,2.5,-7.0,34.5,0.0,0.76,84,8,7.0,5.3,1007.5,85,1008.0,10.0
2016-01-19,0.2,1.9,-2.4,2.0,0.6,4.07,83,1,3.2,5.6,996.5,91,997.0,8.8
2016-01-20,0.3,3.2,-2.5,2.5,3.1,6.26,80,3,3.4,5.0,1005.8,81,1006.3,8.3
2016-01-21,-1.0,0.7,-3.1,10.5,0.0,2.92,96,22,3.9,5.2,1015.1,91,1015.6,10.0
2016-01-22,-2.5,0.0,-4.2,4.5,3.3,7.66,101,14,5.4,4.2,1017.9,83,1018.4,10.0
2016-01-23,-2.7,0.2,-4.9,3.0,5.3,8.26,105,6,4.0,3.6,1016.4,72,1016.9,10.0
2016-01-24,-2.5,1.5,-6.4,0.5,3.0,6.50,92,1,3.0,3.6,1002.5,72,1003.0,8.5
2016-01-25,-2.2,-0.6,-3.1,8.5,0.2,3.60,102,16,4.4,4.5,1012.2,87,1012.7,10.0
2016-01-26,0.8,3.6,-2.1,0.0,1.0,5.23,99,,4.1,5.0,1018.8,78,1019.3,9.3
2016-01-27,1.3,3.8,-0.2,3.0,3.1,7.64,89,1,5.4,5.0,1020.6,74,1021.1,9.8
2016-01-28,0.4,3.2,-0.9,0.0,2.5,6.21,80,1,5.0,4.2,1025.2,67,1025.7,9.8
2016-01-29,-1.1,0.5,-2.0,0.0,2.0,6.79,78,,3.8,3.9,1027.2,69,1027.7,9.5
2016-01-30,-1.5,0.4,-2.9,0.0,2.2,7.43,76,1,2.8,4.2,1022.0,77,1022.5,10.0
2016-01-31,-2.7,-0.6,-4.3,2.5,1.4,6.89,84,11,5.1,3.8,1020.4,76,1020.9,10.0
2016-02-01,-3.7,-2.0,-4.7,3.5,0.2,5.20,90,10,4.1,4.0,1020.8,86,1021.3,10.0
2016-02-02,-3.5,-1.3,-4.7,7.5,0.4,5.62,107,24,4.3,4.2,1017.4,89,1017.9,10.0
2016-02-03,-1.8,0.6,-3.7,1.5,0.5,4.80,106,5,3.8,4.3,1021.4,81,1021.9,9.8
2016-02-04,0.6,3.5,-2.8,0.0,4.5,9.01,98,,3.1,4.8,1016.7,75,1017.2,8.0
2016-02-05,0.7,3.6,-1.4,0.0,4.7,9.45,90,1,6.1,4.1,1014.6,65,1015.1,9.5
2016-02-06,-2.2,1.0,-5.0,3.0,1.7,6.50,94,13,4.5,3.9,1014.9,76,1015.4,7.8
2016-02-07,-3.3,-0.4,-5.7,5.0,3.4,8.49,103,9,4.7,4.0,1016.1,84,1016.6,8.3
2016-02-08,0.5,4.3,-2.1,3.0,6.1,11.21,101,6,2.2,5.1,1016.4,81,1016.9,7.3
2016-02-09,1.2,5.6,-2.4,3.0,2.8,5.81,89,3,3.7,5.4,1006.6,82,1007.1,9.0
2016-02-10,-0.7,1.0,-2.0,1.0,2.0,6.53,90,5,5.5,4.6,1016.9,80,1017.4,9.0
2016-02-11,-0.2,4.0,-3.4,0.0,4.7,9.45,88,,3.3,4.3,1030.4,74,1030.9,5.8
2016-02-12,1.0,6.0,-4.4,,8.0,10.46,83,,1.8,5.1,1027.8,78,1028.3,8.3
2016-02-13,5.8,11.1,1.4,0.0,0.4,3.87,81,,3.2,7.8,1014.3,85,1014.8,10.0
2016-02-14,6.1,14.7,1.0,3.5,2.5,7.29,73,,6.1,8.4,993.9,88,994.4,10.0
2016-02-15,-2.7,1.3,-5.2,2.0,0.9,7.33,59,4,6.8,3.7,1004.3,74,1004.8,10.0
2016-02-16,-2.6,0.2,-5.4,2.0,2.0,8.35,65,7,4.5,4.1,1009.1,81,1009.6,10.0
2016-02-17,-2.1,0.6,-3.4,6.5,1.0,5.62,77,14,5.0,4.1,1012.7,78,1013.2,9.8
2016-02-18,2.4,7.2,-3.0,3.5,4.6,10.59,73,,3.6,5.6,1019.5,76,1020.0,9.0
