calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.8,3.2,-1.4,2.0,0.2,,27,2,3.8,,,,,
2016-01-02,3.7,5.8,-2.3,0.5,0.0,,25,0,3.4,,,,,
2016-01-03,4.3,5.7,2.4,0.0,0.0,,15,1,2.8,,,,,
2016-01-04,0.9,3.6,-1.1,12.0,0.0,,27,18,,,,,,
2016-01-05,0.1,1.3,-1.1,1.5,0.0,,26,1,6.1,,,,,
2016-01-06,1.0,3.0,-0.4,1.5,2.1,,24,3,4.4,,,,,
2016-01-07,0.0,2.0,-1.5,5.0,0.6,,29,11,4.3,,,,,
2016-01-08,1.0,3.0,-0.4,1.0,3.1,,28,3,4.6,,,,,
2016-01-09,-0.5,1.4,-4.6,1.0,1.0,,28,3,3.9,,,,,
2016-01-10,-1.0,1.6,-3.5,5.0,0.0,,31,6,5.0,,,,,
2016-01-11,-3.5,-2.0,-5.1,4.0,0.2,,35,12,4.7,,,,,
2016-01-12,-3.1,-1.2,-4.8,3.5,0.5,,40,8,3.7,,,,,
2016-01-13,-2.2,1.0,-5.1,1.5,3.7,,42,4,1.9,,,,,
2016-01-14,-1.7,1.3,-4.0,5.5,0.2,,47,12,4.0,,,,,
2016-01-15,-1.9,0.4,-5.3,0.0,0.4,,46,3,3.4,,,,,
2016-01-16,-2.0,-0.2,-3.4,2.0,0.2,,44,6,4.1,,,,,
2016-01-17,-2.6,-0.1,-6.1,1.5,0.1,,48,4,2.5,,,,,
2016-01-18,-1.2,2.6,-8.8,15.5,0.0,,44,2,2.8,,,,,
2016-01-19,0.2,2.7,-3.7,0.0,1.6,,40,3,,,,,,
2016-01-20,-0.5,2.7,-3.0,4.5,5.9,,41,10,,,,,,
2016-01-21,-0.8,1.0,-3.5,20.5,0.7,,60,19,3.6,,,,,
2016-01-22,-2.0,0.5,-3.8,2.0,1.3,,61,3,4.2,,,,,
2016-01-23,-2.9,0.0,-5.9,3.0,5.0,,63,3,2.9,,,,,
2016-01-24,-3.6,1.4,-7.6,1.0,2.7,,59,1,1.9,,,,,
