calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,2.9,-1.5,0.0,2.3,,,,6.4,4.2,1019.3,64,1022.9,
2016-01-02,3.9,7.8,-0.2,0.0,1.7,,,,7.5,5.5,1012.3,67,1015.9,
2016-01-03,4.5,7.0,0.8,,2.6,,,,5.3,5.8,1011.1,69,1014.6,
2016-01-04,1.2,5.0,-1.8,2.0,2.2,,4,4,5.1,5.2,1009.7,78,1013.3,
2016-01-05,-0.5,2.8,-3.0,0.0,7.0,,3,,6.6,3.9,1012.5,67,1016.1,
2016-01-06,0.9,3.8,-1.1,,3.3,,,,7.4,3.7,1012.5,57,1016.1,
2016-01-07,0.4,2.7,-1.6,0.0,2.8,,,,6.7,4.2,1007.5,66,1011.1,
2016-01-08,1.1,4.2,-0.8,0.0,5.8,,,,5.8,3.7,1008.3,56,1011.9,
2016-01-09,-0.1,2.8,-2.0,0.0,4.1,,,,6.1,4.0,1012.8,66,1016.4,
2016-01-10,-0.4,2.7,-2.4,1.0,3.9,,4,4,6.4,4.2,1010.8,72,1014.4,
2016-01-11,-2.8,0.2,-5.3,0.0,6.3,,1,,6.6,3.2,1013.4,65,1017.1,
2016-01-12,-2.3,1.0,-4.7,0.0,7.0,,1,,7.3,3.0,1010.4,59,1014.0,
2016-01-13,-0.8,2.9,-4.3,0.0,9.1,,,,5.3,3.2,1007.8,55,1011.4,
2016-01-14,-0.7,3.2,-3.9,0.0,5.4,,,,7.6,3.7,1008.0,63,1011.6,
2016-01-15,-2.0,2.7,-5.4,0.0,6.2,,,,6.0,3.1,1013.5,60,1017.2,
2016-01-16,-2.4,1.3,-5.2,0.0,4.5,,,,6.1,3.3,1015.2,64,1018.8,
2016-01-17,-2.2,1.9,-6.2,0.0,3.7,,,,3.7,3.5,1019.3,68,1023.0,
2016-01-18,-0.3,2.9,-4.8,37.5,0.0,,1,1,10.2,5.6,1005.9,90,1009.5,
2016-01-19,0.7,2.9,-2.0,8.0,1.5,,6,7,7.1,5.7,993.3,89,996.8,
2016-01-20,0.1,3.5,-2.9,0.0,4.9,,5,1,6.7,4.8,1001.7,78,1005.2,
2016-01-21,-1.1,1.3,-3.2,0.0,1.2,,6,1,6.0,4.7,1011.2,84,1014.8,
2016-01-22,-2.1,1.4,-4.3,0.0,9.3,,6,,8.9,3.4,1013.6,64,1017.3,
2016-01-23,-2.2,0.9,-4.7,,6.4,,5,,6.2,3.3,1013.1,64,1016.7,
2016-01-24,-1.8,2.1,-3.9,,2.7,,5,,5.2,3.4,999.3,65,1002.9,
2016-01-25,-2.5,-0.5,-4.5,0.5,0.8,,9,6,5.4,4.2,1008.6,83,1012.2,
2016-01-26,0.8,4.1,-4.2,0.0,3.6,,8,,4.4,4.8,1015.8,74,1019.4,
2016-01-27,2.1,4.6,-0.6,0.0,5.4,,5,,6.3,4.7,1016.5,66,1020.1,
