calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.3,1.0,-5.6,0.0,0.7,,13,2,1.8,,,,,
2016-01-02,-0.2,2.5,-6.0,3.0,1.2,,14,3,1.8,,,,,
2016-01-03,0.3,3.3,-2.4,0.0,1.1,,10,0,1.4,,,,,
2016-01-04,-1.6,1.4,-4.4,6.0,0.0,,28,21,1.9,,,,,
2016-01-05,-3.9,-1.0,-7.6,1.5,0.0,,26,5,,,,,,
2016-01-06,-3.2,1.8,-8.7,0.0,2.4,,22,0,1.3,,,,,
2016-01-07,-2.7,1.0,-6.8,0.0,2.4,,17,2,1.7,,,,,
2016-01-08,-1.6,2.1,-4.8,0.0,3.7,,17,7,1.4,,,,,
2016-01-09,-2.9,0.3,-7.3,0.0,3.1,,17,2,1.8,,,,,
2016-01-10,-3.0,-0.1,-5.5,5.0,0.2,,28,16,1.6,,,,,
2016-01-11,-4.9,-2.4,-7.3,2.5,1.4,,31,9,1.4,,,,,
2016-01-12,-5.7,-1.9,-10.1,0.0,1.7,,31,5,0.9,,,,,
2016-01-13,-4.5,0.4,-12.3,0.5,4.2,,25,1,1.9,,,,,
2016-01-14,-4.0,-0.3,-9.3,1.0,1.5,,26,4,2.3,,,,,
2016-01-15,-6.1,-1.1,-10.0,0.0,3.9,,23,0,2.4,,,,,
2016-01-16,-4.9,-2.4,-8.3,1.0,0.0,,27,7,1.7,,,,,
2016-01-17,-5.5,-1.4,-8.7,0.5,0.1,,28,6,0.8,,,,,
2016-01-18,-1.4,2.0,-10.2,18.0,0.0,,33,15,2.3,,,,,
2016-01-19,-1.4,2.2,-7.0,1.0,1.0,,32,5,1.9,,,,,
2016-01-20,-1.8,0.7,-7.0,10.5,2.7,,40,21,2.1,,,,,
2016-01-21,-2.8,0.3,-8.4,12.0,1.6,,56,16,2.0,,,,,
2016-01-22,-5.5,-0.8,-9.3,0.0,4.5,,50,0,1.6,,,,,
2016-01-23,-5.3,-1.3,-8.5,0.0,2.8,,49,3,1.7,,,,,
2016-01-24,-4.8,-0.6,-8.1,0.0,2.8,,44,3,1.6,,,,,
2016-01-25,-4.1,-1.7,-6.9,11.5,0.2,,68,26,,,,,,
2016-01-26,-1.3,1.8,-5.3,1.0,1.9,,61,2,,,,,,
2016-01-27,-1.3,2.0,-6.5,1.0,2.5,,54,2,2.6,,,,,
2016-01-28,-3.7,2.7,-8.1,0.0,2.6,,47,0,1.8,,,,,
2016-01-29,-4.2,-1.8,-7.1,0.0,0.4,,47,0,1.7,,,,,
2016-01-30,-4.4,0.7,-9.1,0.0,3.1,,46,1,1.3,,,,,
2016-01-31,-6.5,-2.4,-11.5,0.0,0.2,,48,5,2.1,,,,,
2016-02-01,-6.4,-2.7,-9.6,0.0,2.4,,47,2,2.1,,,,,
2016-02-02,-6.2,-1.7,-12.1,0.0,2.3,,45,3,2.0,,,,,
2016-02-03,-4.3,0.1,-9.7,0.0,1.1,,45,1,2.2,,,,,
2016-02-04,-2.5,1.8,-8.1,3.0,3.1,,50,8,2.1,,,,,
2016-02-05,-2.2,2.5,-7.3,0.5,4.2,,52,3,1.8,,,,,
2016-02-06,-5.7,0.6,-12.4,0.0,3.3,,44,0,2.8,,,,,
2016-02-07,-7.6,-1.5,-14.2,0.0,3.9,,43,3,2.2,,,,,
2016-02-08,-2.9,2.6,-11.0,0.0,3.8,,43,2,2.6,,,,,
2016-02-09,-0.8,2.8,-4.1,8.5,0.7,,52,17,2.2,,,,,
2016-02-10,-2.6,-0.9,-4.2,1.5,1.1,,55,9,1.8,,,,,
2016-02-11,-2.6,1.4,-5.7,1.0,2.6,,56,7,1.8,,,,,
2016-02-12,-0.9,6.8,-9.6,0.0,7.8,,47,0,2.4,,,,,
2016-02-13,4.1,8.3,0.8,0.5,0.2,,45,0,2.4,,,,,
2016-02-14,5.5,11.2,0.3,26.0,0.0,,33,1,4.0,,,,,
2016-02-15,-4.3,0.4,-8.7,1.0,1.1,,17,2,4.8,,,,,
2016-02-16,-4.3,-1.9,-7.6,3.0,1.5,,22,8,,,,,,
2016-02-17,-4.3,-1.7,-9.5,2.5,0.4,,28,9,1.5,,,,,
2016-02-18,-1.7,2.6,-8.3,17.0,2.5,,26,4,2.1,,,,,
2016-02-19,0.9,3.1,-1.5,7.5,0.3,,22,2,2.1,,,,,
