calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.7,4.6,-0.8,2.0,0.2,,39,2,1.4,,,,,
2016-01-02,4.4,6.1,1.0,4.0,0.7,,36,0,2.1,,,,,
2016-01-03,3.3,5.7,2.2,0.5,0.2,,23,0,1.1,,,,,
2016-01-04,0.3,3.1,-2.6,7.0,0.0,,25,7,,,,,,
2016-01-05,-0.8,0.8,-1.6,3.5,0.3,,27,3,,,,,,
2016-01-06,0.5,2.8,-1.2,3.0,0.9,,28,4,1.5,,,,,
2016-01-07,-0.5,1.3,-1.5,2.0,0.0,,29,2,1.5,,,,,
2016-01-08,0.6,2.4,-1.4,4.5,1.6,,34,7,1.5,,,,,
2016-01-09,-0.8,0.7,-2.9,3.5,0.8,,36,5,1.2,,,,,
2016-01-10,-1.4,0.6,-4.4,9.5,0.4,,43,12,2.0,,,,,
2016-01-11,-4.7,-3.2,-5.7,8.0,0.0,,52,11,1.4,,,,,
2016-01-12,-3.3,-1.1,-5.2,10.5,0.6,,58,13,1.2,,,,,
2016-01-13,-2.0,0.7,-4.1,4.0,2.0,,59,7,1.1,,,,,
2016-01-14,-2.2,0.5,-3.9,4.5,0.2,,59,3,1.5,,,,,
2016-01-15,-2.2,-0.8,-3.6,4.5,0.3,,61,5,1.1,,,,,
2016-01-16,-2.7,-1.5,-4.3,7.0,0.0,,64,8,1.2,,,,,
2016-01-17,-3.1,-0.5,-5.6,4.5,0.3,,67,4,0.9,,,,,
2016-01-18,-0.1,1.3,-5.6,32.0,0.0,,67,8,2.1,,,,,
2016-01-19,0.1,1.0,-1.2,8.0,0.2,,70,10,,,,,,
2016-01-20,1.0,2.9,-1.4,4.0,2.7,,72,5,,,,,,
2016-01-21,-0.6,2.5,-2.2,17.5,1.2,,76,12,1.7,,,,,
2016-01-22,-2.2,-0.5,-3.8,12.0,0.4,,87,14,1.3,,,,,
2016-01-23,-3.2,-0.4,-4.4,11.0,2.2,,93,9,1.3,,,,,
2016-01-24,-2.0,1.3,-6.6,0.5,2.0,,90,0,1.8,,,,,
2016-01-25,-1.7,0.4,-3.3,7.0,1.9,,91,9,1.7,,,,,
2016-01-26,0.7,3.1,-1.7,4.5,0.0,,89,1,1.4,,,,,
2016-01-27,1.0,2.3,-0.4,2.5,0.8,,85,0,1.6,,,,,
2016-01-28,0.2,2.7,-2.3,0.5,1.0,,80,0,1.9,,,,,
2016-01-29,-1.6,-0.7,-2.4,0.0,0.1,,78,0,2.1,,,,,
2016-01-30,-2.4,-1.4,-3.6,2.5,0.3,,81,8,,,,,,
2016-01-31,-3.0,-1.4,-4.6,3.5,0.1,,82,3,,,,,,
2016-02-01,-4.2,-3.2,-5.3,5.0,0.0,,89,9,1.0,,,,,
2016-02-02,-3.7,-2.2,-5.6,4.5,0.7,,93,9,1.3,,,,,
2016-02-03,-1.3,0.7,-3.5,1.0,0.4,,93,0,1.0,,,,,
2016-02-04,0.3,3.0,-1.6,6.0,1.6,,96,11,1.2,,,,,
2016-02-05,-0.1,2.5,-2.0,0.5,1.0,,96,0,1.2,,,,,
2016-02-06,-3.0,-1.3,-5.0,7.0,0.4,,98,11,1.0,,,,,
2016-02-07,-3.1,-0.9,-5.9,6.5,1.8,,101,8,1.5,,,,,
2016-02-08,0.6,3.6,-1.4,1.0,4.0,,101,0,1.6,,,,,
2016-02-09,1.1,3.1,-0.8,6.0,2.6,,95,3,1.7,,,,,
2016-02-10,-0.7,1.1,-1.7,6.0,0.1,,104,13,2.7,,,,,
2016-02-11,-0.6,3.1,-4.0,0.0,5.1,,101,0,1.9,,,,,
2016-02-12,2.0,6.9,-4.2,0.0,7.4,,96,0,1.9,,,,,
2016-02-13,7.0,10.0,2.0,7.0,0.0,,90,0,2.0,,,,,
2016-02-14,5.7,11.7,0.0,31.5,0.0,,74,2,2.7,,,,,
2016-02-15,-3.6,0.4,-5.8,2.0,0.9,,62,7,2.0,,,,,
2016-02-16,-2.9,0.0,-6.2,3.5,1.1,,64,5,1.3,,,,,
2016-02-17,-1.9,-0.2,-4.0,2.0,1.1,,65,5,1.7,,,,,
2016-02-18,2.9,6.3,-0.8,3.0,5.2,,64,0,1.4,,,,,
2016-02-19,3.7,7.2,1.5,4.5,1.9,,58,0,1.7,,,,,
2016-02-20,2.2,4.8,-0.6,6.0,0.0,,55,3,1.1,,,,,
2016-02-21,0.9,4.4,-1.8,11.0,1.1,,55,2,1.6,,,,,
2016-02-22,-1.0,0.7,-2.3,0.5,1.0,,53,0,1.6,,,,,
2016-02-23,1.3,4.7,-2.2,1.5,0.4,,55,5,1.5,,,,,
2016-02-24,-3.0,-0.3,-5.3,2.5,1.1,,57,5,1.9,,,,,
2016-02-25,-3.5,-0.9,-6.0,6.5,1.4,,65,8,1.0,,,,,
2016-02-26,-2.6,0.0,-4.6,2.5,1.6,,63,6,1.2,,,,,
2016-02-27,-1.7,0.9,-4.5,0.5,3.3,,65,4,1.4,,,,,
2016-02-28,-0.6,2.4,-6.5,0.5,4.1,,60,0,1.6,,,,,
2016-02-29,3.0,6.7,-0.9,8.5,0.0,,59,1,3.1,,,,,
2016-03-01,-1.6,1.7,-3.2,3.5,1.5,,60,9,2.8,,,,,
2016-03-02,-1.2,1.1,-3.9,0.5,1.2,,59,0,1.5,,,,,
2016-03-03,0.7,4.4,-2.7,3.5,2.4,,62,4,1.5,,,,,
2016-03-04,0.6,4.6,-3.4,2.0,7.8,,60,3,0.9,,,,,
2016-03-05,0.5,4.4,-5.2,0.0,10.3,,56,0,1.9,,,,,
2016-03-06,6.0,10.5,0.2,30.5,0.6,,55,0,2.6,,,,,
2016-03-07,4.1,10.3,0.2,3.0,5.0,,42,0,1.0,,,,,
2016-03-08,4.0,9.1,0.5,0.5,4.1,,39,0,1.6,,,,,
2016-03-09,0.8,3.4,-1.7,0.0,2.2,,35,1,1.4,,,,,
2016-03-10,-0.7,2.3,-2.6,1.5,2.5,,38,8,0.9,,,,,
2016-03-11,-0.9,1.7,-2.3,2.5,2.7,,39,9,1.1,,,,,
2016-03-12,-0.3,3.1,-3.2,1.0,2.5,,40,3,1.0,,,,,
2016-03-13,1.6,5.8,-2.6,0.5,3.8,,35,0,1.6,,,,,
2016-03-14,1.9,7.4,-1.9,1.0,5.1,,31,0,1.4,,,,,
2016-03-15,2.5,5.3,-1.9,0.0,6.4,,28,0,2.0,,,,,
2016-03-16,7.0,9.6,2.7,0.0,5.1,,26,0,2.2,,,,,
2016-03-17,9.1,12.5,4.4,0.0,10.5,,14,0,1.8,,,,,
2016-03-18,10.4,15.8,2.4,0.0,4.5,,6,0,1.9,,,,,
2016-03-19,7.6,11.2,1.4,7.0,0.0,,0,0,1.3,,,,,
2016-03-20,3.7,6.5,1.4,0.0,1.9,,0,0,1.9,,,,,
2016-03-21,1.8,6.6,-2.4,0.5,2.9,,0,0,1.3,,,,,
2016-03-22,2.3,5.9,-1.1,2.0,0.1,,0,0,1.0,,,,,
2016-03-23,2.7,6.5,-0.5,1.0,0.7,,0,0,1.0,,,,,
2016-03-24,2.2,6.5,-1.0,0.5,6.9,,0,0,1.3,,,,,
2016-03-25,2.8,7.7,-1.7,0.5,6.7,,0,0,1.4,,,,,
2016-03-26,4.7,9.3,0.4,0.0,10.0,,0,0,1.3,,,,,
2016-03-27,4.6,9.7,2.4,13.0,2.5,,0,0,2.0,,,,,
2016-03-28,5.1,10.9,-0.8,2.0,7.5,,0,0,1.5,,,,,
2016-03-29,7.4,13.3,0.1,0.0,7.7,,0,0,1.4,,,,,
2016-03-30,6.8,13.9,2.4,20.0,3.3,,0,0,2.3,,,,,
2016-03-31,5.9,10.9,0.0,1.0,7.5,,0,0,1.3,,,,,
2016-04-01,4.8,9.6,-1.1,0.0,6.4,,0,0,2.7,,,,,
2016-04-02,6.7,9.5,5.3,0.0,8.5,,0,0,3.6,,,,,
2016-04-03,7.2,10.5,4.2,24.5,0.0,,0,0,1.4,,,,,
2016-04-04,5.0,9.9,0.3,0.0,4.7,,0,0,1.5,,,,,
2016-04-05,7.5,13.0,-0.4,4.0,11.2,,0,0,2.0,,,,,
2016-04-06,7.8,12.7,3.1,0.0,10.8,,0,0,1.5,,,,,
2016-04-07,8.1,11.4,3.6,10.5,0.0,,0,0,2.0,,,,,
2016-04-08,7.6,12.2,2.9,9.0,1.2,,1,1,0.9,,,,,
2016-04-09,7.8,13.1,1.0,0.0,8.0,,0,0,1.9,,,,,
2016-04-10,5.5,10.3,2.3,0.0,8.4,,0,0,1.3,,,,,
2016-04-11,3.6,8.4,0.0,1.5,4.4,,0,0,1.7,,,,,
2016-04-12,6.4,10.8,3.2,0.0,8.1,,0,0,1.5,,,,,
2016-04-13,10.3,17.5,3.5,8.5,4.1,,0,0,1.9,,,,,
2016-04-14,10.5,14.2,8.7,5.0,0.1,,0,0,1.1,,,,,
2016-04-15,6.7,9.5,4.9,1.0,4.7,,0,0,2.1,,,,,
2016-04-16,9.4,14.2,5.9,0.0,5.5,,0,0,1.0,,,,,
2016-04-17,9.1,12.3,5.4,16.5,0.0,,0,0,2.0,,,,,
2016-04-18,8.3,10.5,6.9,1.0,0.3,,0,0,1.8,,,,,
2016-04-19,6.6,9.4,5.1,1.0,1.0,,0,0,1.1,,,,,
2016-04-20,10.5,14.3,6.2,0.0,6.2,,0,0,1.6,,,,,
2016-04-21,14.6,20.0,10.4,1.0,3.7,,0,0,1.8,,,,,
2016-04-22,11.3,15.7,8.0,1.0,3.8,,0,0,1.7,,,,,
2016-04-23,9.9,15.7,4.1,2.5,4.7,,0,0,2.2,,,,,
2016-04-24,10.0,16.6,3.0,0.0,12.0,,0,0,1.3,,,,,
2016-04-25,9.3,15.0,3.5,0.0,12.4,,0,0,1.3,,,,,
2016-04-26,9.4,16.3,4.3,0.0,4.7,,0,0,1.1,,,,,
2016-04-27,8.9,14.4,4.2,0.0,11.5,,0,0,1.8,,,,,
2016-04-28,7.9,9.9,4.7,13.0,0.2,,0,0,2.3,,,,,
2016-04-29,6.2,9.6,4.2,18.0,0.2,,0,0,1.6,,,,,
2016-04-30,6.5,10.9,2.9,0.0,9.1,,0,0,2.0,,,,,
2016-05-01,7.8,15.2,1.8,0.0,9.3,,0,0,1.6,,,,,
2016-05-02,10.1,13.3,5.1,0.0,4.5,,0,0,1.5,,,,,
2016-05-03,11.3,16.2,7.3,0.0,9.2,,0,0,0.8,,,,,
2016-05-04,14.0,19.0,10.8,5.0,3.9,,0,0,2.1,,,,,
2016-05-05,12.2,15.6,10.9,4.0,0.5,,0,0,2.1,,,,,
2016-05-06,12.8,16.3,9.1,0.5,3.3,,0,0,1.4,,,,,
2016-05-07,12.2,15.5,9.7,12.5,4.3,,0,0,2.0,,,,,
2016-05-08,13.1,18.0,8.6,0.0,11.5,,0,0,1.9,,,,,
2016-05-09,10.8,17.3,4.6,0.0,11.6,,0,0,1.0,,,,,
2016-05-10,10.6,15.1,5.4,5.5,1.5,,0,0,1.7,,,,,
2016-05-11,9.7,11.5,8.4,39.5,0.0,,0,0,2.5,,,,,
2016-05-12,10.2,13.6,7.0,4.0,4.6,,0,0,1.6,,,,,
2016-05-13,12.9,23.1,6.4,0.0,11.5,,0,0,1.2,,,,,
2016-05-14,13.1,19.8,7.4,0.0,12.1,,0,0,1.8,,,,,
2016-05-15,13.2,18.7,8.1,0.0,11.9,,0,0,2.5,,,,,
2016-05-16,13.5,19.5,9.2,1.5,10.1,,0,0,1.6,,,,,
2016-05-17,13.9,19.1,9.5,3.5,9.0,,0,0,1.3,,,,,
2016-05-18,15.6,21.7,9.2,0.0,13.0,,0,0,1.3,,,,,
2016-05-19,12.5,17.9,7.5,0.0,12.1,,0,0,0.9,,,,,
2016-05-20,12.1,17.4,7.7,0.0,11.6,,0,0,1.0,,,,,
2016-05-21,13.4,18.9,7.2,0.0,11.6,,0,0,0.9,,,,,
2016-05-22,17.6,26.6,11.2,0.0,13.3,,0,0,0.9,,,,,
2016-05-23,17.5,25.4,10.9,0.0,11.8,,0,0,0.9,,,,,
2016-05-24,15.2,20.0,11.3,0.0,4.0,,0,0,1.9,,,,,
2016-05-25,16.4,18.3,13.3,7.5,0.2,,0,0,2.1,,,,,
2016-05-26,19.1,22.9,16.1,1.0,6.6,,0,0,1.3,,,,,
2016-05-27,15.5,20.2,8.7,0.0,7.4,,0,0,1.5,,,,,
2016-05-28,16.7,23.6,8.5,0.0,13.4,,0,0,1.2,,,,,
2016-05-29,16.0,20.7,10.6,0.0,9.2,,0,0,0.8,,,,,
2016-05-30,16.1,20.1,13.4,0.0,8.9,,0,0,2.2,,,,,
2016-05-31,14.7,20.0,11.8,13.5,5.3,,0,0,1.4,,,,,
2016-06-01,11.7,15.8,8.3,30.0,3.4,,0,0,1.3,,,,,
2016-06-02,12.4,17.0,8.0,0.0,5.7,,0,0,1.2,,,,,
2016-06-03,13.8,19.0,7.9,1.5,1.6,,0,0,1.4,,,,,
2016-06-04,15.6,20.6,11.3,3.0,3.9,,0,0,1.8,,,,,
2016-06-05,13.9,18.3,9.7,0.0,11.0,,0,0,0.9,,,,,
2016-06-06,13.7,18.3,7.9,0.0,11.4,,0,0,0.7,,,,,
2016-06-07,15.2,21.0,10.0,0.0,11.9,,0,0,0.5,,,,,
2016-06-08,14.6,17.7,12.4,7.0,0.5,,0,0,0.3,,,,,
2016-06-09,14.7,16.0,14.0,33.5,0.0,,0,0,0.3,,,,,
2016-06-10,15.4,19.3,10.7,0.0,10.8,,0,0,1.0,,,,,
2016-06-11,14.5,18.1,9.3,0.0,10.5,,0,0,0.7,,,,,
2016-06-12,16.3,19.9,11.9,0.0,3.4,,0,0,1.2,,,,,
2016-06-13,16.3,19.5,14.9,2.0,0.0,,0,0,0.8,,,,,
2016-06-14,16.2,18.8,14.9,1.0,0.0,,0,0,2.8,,,,,
2016-06-15,16.9,20.4,14.5,0.5,4.7,,0,0,2.5,,,,,
2016-06-16,16.0,18.0,14.7,9.0,0.0,,0,0,0.7,,,,,
2016-06-17,16.2,20.0,14.6,9.0,0.2,,0,0,0.9,,,,,
2016-06-18,15.5,18.5,11.9,0.0,0.9,,0,0,1.0,,,,,
2016-06-19,16.5,20.3,11.3,0.0,6.1,,0,0,1.2,,,,,
