calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.4,3.5,0.7,0.5,0.1,,23,1,4.7,,,,,
2016-01-02,4.7,6.7,-2.2,0.5,0.0,,21,0,4.2,,,,,
2016-01-03,5.1,6.8,3.0,0.0,0.1,,9,0,4.1,,,,,
2016-01-04,2.1,4.2,-0.1,10.5,0.0,,10,9,3.7,,,,,
2016-01-05,0.6,1.6,-1.0,0.5,0.2,,9,2,6.4,,,,,
2016-01-06,1.4,3.0,-0.4,1.0,1.5,,8,1,5.0,,,,,
2016-01-07,0.6,2.5,-1.5,1.0,0.0,,10,3,5.2,,,,,
2016-01-08,1.4,3.0,0.0,0.0,3.5,,9,1,5.2,,,,,
2016-01-09,0.5,1.5,-1.5,0.5,0.3,,8,0,4.8,,,,,
2016-01-10,-0.3,2.2,-3.5,2.5,0.1,,11,7,5.3,,,,,
2016-01-11,-2.9,-1.4,-4.8,5.0,0.1,,17,8,5.4,,,,,
2016-01-12,-2.5,-0.6,-4.2,5.0,0.3,,20,7,4.7,,,,,
2016-01-13,-1.4,1.1,-3.6,2.5,5.3,,22,4,2.9,,,,,
2016-01-14,-0.9,2.2,-3.1,2.5,1.2,,21,3,4.8,,,,,
2016-01-15,-0.8,0.7,-2.1,0.0,1.0,,20,1,4.5,,,,,
2016-01-16,-1.2,0.1,-3.1,2.5,0.3,,20,3,5.1,,,,,
2016-01-17,-1.6,0.6,-5.0,1.5,0.4,,22,3,3.2,,,,,
2016-01-18,-0.6,1.0,-6.4,7.0,0.0,,29,10,5.2,,,,,
2016-01-19,0.4,3.4,-1.8,5.0,1.4,,30,9,3.3,,,,,
2016-01-20,1.3,4.4,-1.5,8.5,2.2,,35,14,3.0,,,,,
2016-01-21,-0.3,1.9,-2.6,11.0,0.1,,41,13,4.6,,,,,
2016-01-22,-1.7,0.0,-3.7,2.0,2.4,,40,2,4.7,,,,,
2016-01-23,-2.0,-0.2,-3.8,0.5,4.7,,40,1,3.7,,,,,
2016-01-24,-1.3,1.7,-4.9,1.5,2.9,,37,2,2.8,,,,,
