calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,3.6,-4.0,0.0,2.5,,2,0,2.1,,,,,
2016-01-02,2.2,6.2,-4.7,0.5,0.3,,4,3,1.3,,,,,
2016-01-03,3.2,6.2,-0.7,0.0,0.4,,0,0,1.3,,,,,
2016-01-04,1.6,4.8,-2.6,2.0,0.3,,2,3,,,,,,
2016-01-05,-0.1,2.1,-2.7,0.0,5.9,,3,1,,,,,,
2016-01-06,0.6,3.5,-1.5,0.0,2.4,,0,0,2.5,,,,,
2016-01-07,0.2,3.5,-1.8,0.5,3.9,,4,5,2.5,,,,,
2016-01-08,0.6,3.9,-1.2,0.0,3.8,,2,0,1.8,,,,,
2016-01-09,-0.7,2.9,-5.1,0.0,4.5,,0,0,2.0,,,,,
2016-01-10,-1.3,3.5,-4.2,2.5,4.8,,4,9,1.8,,,,,
2016-01-11,-3.7,-0.9,-8.7,0.0,6.1,,3,0,2.3,,,,,
2016-01-12,-2.5,0.2,-6.1,0.0,2.6,,2,0,2.7,,,,,
2016-01-13,-1.6,2.2,-6.0,0.0,6.0,,2,1,1.8,,,,,
2016-01-14,-1.7,2.0,-7.1,0.5,4.4,,3,8,2.3,,,,,
2016-01-15,-4.4,0.9,-9.3,0.0,5.8,,2,3,1.8,,,,,
2016-01-16,-4.4,0.8,-9.9,0.0,0.1,,2,3,1.8,,,,,
2016-01-17,-2.8,1.2,-6.7,0.0,2.7,,2,0,1.5,,,,,
2016-01-18,-2.2,0.9,-7.0,47.5,0.0,,24,25,2.8,,,,,
2016-01-19,-0.7,2.0,-6.2,17.5,0.8,,42,18,2.0,,,,,
2016-01-20,-2.6,2.7,-7.9,0.0,2.3,,32,3,1.0,,,,,
2016-01-21,-1.8,1.7,-6.5,5.5,1.5,,44,15,1.5,,,,,
2016-01-22,-3.5,0.2,-7.7,0.0,6.9,,36,1,2.6,,,,,
2016-01-23,-4.1,0.0,-8.4,0.0,2.2,,34,0,1.7,,,,,
2016-01-24,-3.8,1.2,-7.3,0.0,3.5,,34,1,1.4,,,,,
2016-01-25,-3.7,-0.2,-7.5,0.5,2.8,,37,6,1.7,,,,,
2016-01-26,0.2,3.1,-3.8,0.0,0.8,,36,0,1.5,,,,,
2016-01-27,1.0,3.3,-1.5,3.5,3.1,,34,3,1.1,,,,,
2016-01-28,0.6,3.8,-3.9,0.0,5.0,,33,1,2.3,,,,,
2016-01-29,-2.1,1.0,-4.9,0.0,3.4,,32,0,1.2,,,,,
2016-01-30,-2.1,2.4,-5.1,0.0,6.0,,31,0,1.0,,,,,
2016-01-31,-3.3,1.0,-8.8,0.0,2.7,,30,0,2.0,,,,,
2016-02-01,-4.7,-1.4,-10.1,0.0,4.4,,29,0,1.7,,,,,
2016-02-02,-5.3,0.4,-11.6,0.0,3.1,,29,1,1.6,,,,,
2016-02-03,-1.4,2.3,-4.4,0.0,4.4,,30,1,1.9,,,,,
2016-02-04,-1.4,4.0,-8.8,0.0,5.4,,30,0,1.1,,,,,
2016-02-05,0.7,4.0,-2.5,0.0,5.7,,29,0,2.4,,,,,
2016-02-06,-2.3,2.4,-7.6,0.0,3.8,,29,0,1.7,,,,,
2016-02-07,-4.9,0.3,-11.2,0.0,6.8,,28,0,2.0,,,,,
2016-02-08,-2.0,2.9,-8.4,0.0,3.8,,29,1,1.4,,,,,
2016-02-09,1.6,6.0,-4.6,0.0,4.2,,29,2,2.1,,,,,
2016-02-10,-0.8,1.9,-2.6,0.0,8.1,,27,2,2.4,,,,,
2016-02-11,-1.5,3.7,-5.9,0.0,4.6,,27,1,1.4,,,,,
2016-02-12,0.7,8.2,-8.9,0.0,8.0,,26,0,1.5,,,,,
2016-02-13,6.5,12.5,1.2,0.0,2.3,,24,0,1.7,,,,,
2016-02-14,7.5,16.4,2.6,1.5,2.0,,16,0,3.5,,,,,
2016-02-15,-2.3,3.9,-8.5,3.0,2.0,,11,14,1.9,,,,,
2016-02-16,-3.4,0.9,-9.7,0.0,7.2,,10,1,1.7,,,,,
2016-02-17,-2.4,2.7,-6.3,0.0,3.7,,6,7,2.4,,,,,
2016-02-18,0.0,4.1,-5.9,2.0,0.3,,5,1,1.1,,,,,
2016-02-19,3.1,8.1,0.2,14.5,2.5,,4,1,2.1,,,,,
2016-02-20,2.3,4.4,-1.6,16.5,0.0,,1,1,1.2,,,,,
2016-02-21,1.6,6.3,-1.0,5.5,3.8,,1,1,,,,,,
2016-02-22,-0.7,1.8,-3.5,0.0,2.9,,1,0,1.9,,,,,
2016-02-23,0.4,3.9,-3.4,0.0,0.7,,0,0,1.4,,,,,
2016-02-24,-2.1,0.3,-3.9,0.5,6.4,,1,3,2.1,,,,,
2016-02-25,-2.8,0.6,-5.0,0.0,2.7,,0,0,1.7,,,,,
2016-02-26,-2.5,1.5,-7.1,0.0,2.7,,0,0,1.6,,,,,
2016-02-27,-1.7,3.1,-6.6,4.0,7.0,,4,4,1.7,,,,,
2016-02-28,-0.7,4.4,-3.7,2.5,6.8,,6,2,,,,,,
2016-02-29,2.9,6.1,-1.4,2.5,0.0,,1,1,2.9,,,,,
2016-03-01,-2.1,0.8,-5.8,0.5,2.8,,2,2,3.1,,,,,
2016-03-02,-2.6,1.1,-7.3,0.5,3.4,,1,1,1.6,,,,,
2016-03-03,0.0,6.3,-6.8,4.0,6.4,,7,8,1.5,,,,,
2016-03-04,0.6,6.0,-4.3,0.0,8.5,,0,0,1.3,,,,,
2016-03-05,-0.1,6.6,-5.9,0.0,10.4,,0,0,1.6,,,,,
2016-03-06,7.0,12.6,-2.6,1.5,0.1,,0,0,2.5,,,,,
2016-03-07,8.5,13.1,3.8,0.5,8.9,,0,0,2.3,,,,,
2016-03-08,6.2,11.2,2.3,0.0,2.8,,0,0,2.7,,,,,
2016-03-09,1.4,4.7,-2.6,0.0,3.3,,0,0,1.8,,,,,
2016-03-10,-0.6,4.8,-5.9,0.0,6.9,,0,0,1.3,,,,,
2016-03-11,-1.1,4.3,-5.8,0.0,3.8,,0,0,1.7,,,,,
2016-03-12,-0.8,5.3,-6.6,0.0,8.4,,0,0,1.4,,,,,
2016-03-13,1.9,9.3,-7.1,0.0,6.6,,0,0,1.5,,,,,
2016-03-14,4.3,12.1,-2.1,0.5,7.7,,0,0,1.3,,,,,
2016-03-15,2.6,7.2,-0.9,0.0,5.8,,0,0,2.1,,,,,
2016-03-16,7.8,11.8,1.4,0.0,8.8,,0,0,3.7,,,,,
2016-03-17,10.5,15.8,3.1,0.0,10.1,,0,0,3.3,,,,,
2016-03-18,9.5,20.1,0.9,0.0,4.8,,0,0,2.2,,,,,
2016-03-19,9.4,16.0,2.4,1.0,0.4,,0,0,1.3,,,,,
2016-03-20,4.7,10.2,0.0,0.0,2.7,,0,0,1.9,,,,,
2016-03-21,1.5,7.9,-5.0,0.0,7.1,,0,0,2.0,,,,,
2016-03-22,3.0,7.5,-1.8,9.5,0.9,,2,2,1.9,,,,,
2016-03-23,2.0,6.8,-2.8,0.5,4.3,,1,1,1.9,,,,,
2016-03-24,1.5,6.2,-2.3,0.0,3.9,,1,1,1.4,,,,,
2016-03-25,1.4,6.8,-3.8,0.0,5.3,,0,0,1.5,,,,,
2016-03-26,2.7,9.3,-3.3,0.0,4.1,,0,0,1.4,,,,,
2016-03-27,4.6,13.2,-3.7,0.0,11.2,,0,0,1.7,,,,,
2016-03-28,4.8,12.9,-3.7,0.0,9.9,,0,0,2.1,,,,,
2016-03-29,6.7,16.9,-2.7,0.0,9.0,,0,0,1.3,,,,,
2016-03-30,7.1,16.4,0.9,3.0,3.7,,0,0,2.0,,,,,
2016-03-31,6.1,13.0,-0.9,1.0,10.9,,0,0,2.1,,,,,
2016-04-01,3.5,9.4,-3.5,0.0,2.2,,0,0,1.8,,,,,
2016-04-02,7.0,13.0,-1.3,0.0,4.5,,0,0,2.2,,,,,
2016-04-03,9.7,12.2,4.8,13.0,0.0,,0,0,2.0,,,,,
2016-04-04,2.1,6.1,-2.1,24.5,1.9,,2,2,0.9,,,,,
2016-04-05,7.7,16.1,-2.5,0.0,11.5,,0,0,2.3,,,,,
2016-04-06,8.0,13.8,0.0,0.0,9.7,,0,0,2.3,,,,,
2016-04-07,6.0,12.9,-1.0,23.5,0.0,,0,0,1.7,,,,,
2016-04-08,9.8,14.3,5.0,0.5,3.6,,0,0,2.1,,,,,
2016-04-09,9.1,16.6,0.6,0.0,5.3,,0,0,2.9,,,,,
2016-04-10,5.8,13.8,0.2,0.0,3.4,,0,0,1.6,,,,,
2016-04-11,2.2,6.6,-0.5,2.5,5.3,,0,0,2.0,,,,,
2016-04-12,5.0,11.1,-1.3,0.0,8.4,,0,0,2.3,,,,,
2016-04-13,10.3,19.3,0.0,0.0,2.6,,0,0,2.3,,,,,
2016-04-14,12.3,17.4,9.0,7.0,0.5,,0,0,1.2,,,,,
2016-04-15,7.4,10.0,5.0,10.5,3.8,,0,0,2.9,,,,,
2016-04-16,9.6,15.5,4.0,0.0,4.5,,0,0,2.2,,,,,
2016-04-17,11.4,16.8,4.1,7.5,0.0,,0,0,4.4,,,,,
2016-04-18,12.5,15.5,8.3,0.0,8.0,,0,0,5.4,,,,,
2016-04-19,8.5,12.6,3.7,1.5,4.1,,0,0,2.5,,,,,
2016-04-20,10.3,16.2,3.5,0.0,6.4,,0,0,2.0,,,,,
2016-04-21,13.8,20.7,3.2,0.0,1.5,,0,0,1.7,,,,,
2016-04-22,10.9,16.5,4.3,1.0,5.0,,0,0,1.7,,,,,
2016-04-23,12.1,23.4,2.4,0.0,6.5,,0,0,2.3,,,,,
2016-04-24,12.5,19.6,5.8,0.0,10.2,,0,0,2.1,,,,,
2016-04-25,10.1,19.2,1.7,0.0,12.2,,0,0,2.0,,,,,
2016-04-26,10.9,20.7,2.0,0.0,6.9,,0,0,1.4,,,,,
2016-04-27,8.1,14.3,2.8,0.0,7.8,,0,0,1.8,,,,,
2016-04-28,8.1,10.2,6.5,35.0,0.0,,0,0,1.9,,,,,
2016-04-29,6.0,9.5,3.7,16.0,0.5,,0,0,2.2,,,,,
2016-04-30,7.4,13.2,2.1,0.0,10.1,,0,0,2.5,,,,,
2016-05-01,6.1,12.6,0.8,0.0,1.4,,0,0,0.7,,,,,
2016-05-02,11.1,18.9,1.1,0.0,7.0,,0,0,1.5,,,,,
2016-05-03,19.4,27.7,11.6,0.0,9.7,,0,0,3.6,,,,,
2016-05-04,16.9,19.6,13.4,2.0,3.4,,0,0,4.0,,,,,
2016-05-05,14.4,17.2,12.1,0.5,1.5,,0,0,3.2,,,,,
2016-05-06,13.6,17.8,8.7,0.5,3.8,,0,0,1.7,,,,,
2016-05-07,15.7,19.8,12.6,1.0,4.7,,0,0,3.7,,,,,
2016-05-08,14.5,20.9,4.7,0.0,10.3,,0,0,3.0,,,,,
2016-05-09,13.8,25.2,1.9,0.0,12.8,,0,0,1.6,,,,,
2016-05-10,10.6,12.7,8.9,17.5,0.0,,0,0,1.4,,,,,
2016-05-11,10.4,11.5,9.5,22.0,0.0,,0,0,1.7,,,,,
2016-05-12,12.7,17.7,8.2,0.0,5.6,,0,0,2.8,,,,,
2016-05-13,17.7,28.1,5.7,0.0,12.5,,0,0,2.3,,,,,
2016-05-14,13.4,19.6,4.1,0.0,11.0,,0,0,1.9,,,,,
