calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.7,3.2,-0.6,0.5,2.2,,26,2,4.9,,,,,
2016-01-02,4.2,6.4,-1.2,0.0,2.3,,22,0,5.5,,,,,
2016-01-03,4.6,6.5,1.6,0.0,0.3,,7,0,4.8,,,,,
2016-01-04,1.4,3.8,-1.0,4.0,0.0,,6,4,4.2,,,,,
2016-01-05,0.1,0.8,-1.2,2.0,0.5,,11,5,7.3,,,,,
2016-01-06,0.7,2.5,-0.9,0.5,1.5,,10,1,4.7,,,,,
2016-01-07,-0.2,1.4,-1.7,4.5,0.0,,21,13,5.1,,,,,
2016-01-08,0.6,2.8,-2.2,0.5,3.4,,18,2,4.1,,,,,
2016-01-09,-1.1,0.9,-3.6,4.0,1.2,,27,12,4.2,,,,,
2016-01-10,-1.3,2.0,-3.7,2.5,1.6,,26,6,5.1,,,,,
2016-01-11,-3.3,-1.5,-4.7,4.0,1.1,,31,9,5.9,,,,,
2016-01-12,-2.7,-0.7,-4.1,2.0,2.7,,31,5,4.5,,,,,
2016-01-13,-2.2,1.3,-5.9,2.0,6.4,,38,9,2.5,,,,,
2016-01-14,-2.0,1.3,-6.6,5.0,0.1,,41,11,5.3,,,,,
2016-01-15,-2.6,-0.8,-5.7,2.5,1.2,,42,8,3.4,,,,,
2016-01-16,-2.3,-0.2,-3.8,6.0,1.3,,48,9,4.0,,,,,
2016-01-17,-2.4,0.1,-6.1,0.0,3.2,,45,0,3.5,,,,,
2016-01-18,-1.1,1.7,-6.3,30.5,0.0,,43,9,4.4,,,,,
2016-01-19,-0.1,1.1,-1.8,5.0,0.0,,47,5,2.0,,,,,
2016-01-20,1.4,2.9,-1.4,2.0,3.3,,46,3,7.3,,,,,
2016-01-21,-0.2,1.4,-2.7,3.5,0.6,,47,10,5.2,,,,,
2016-01-22,-1.8,0.2,-4.0,0.0,5.6,,45,0,5.8,,,,,
2016-01-23,-2.8,-0.1,-6.9,1.5,5.5,,47,8,3.2,,,,,
2016-01-24,-3.0,1.3,-8.7,1.0,2.2,,42,2,2.2,,,,,
2016-01-25,-1.9,-0.5,-4.4,6.5,0.3,,52,12,4.2,,,,,
2016-01-26,0.4,3.5,-2.6,0.0,2.1,,50,0,3.2,,,,,
2016-01-27,1.2,2.8,-0.8,2.0,3.4,,43,0,4.9,,,,,
2016-01-28,0.5,2.5,-0.8,0.5,4.7,,40,4,5.9,,,,,
2016-01-29,-0.7,0.0,-1.4,0.0,2.4,,38,0,5.5,,,,,
2016-01-30,-2.1,-0.5,-3.7,0.0,1.2,,37,1,1.7,,,,,
2016-01-31,-2.6,-0.8,-4.1,1.5,0.0,,40,4,4.3,,,,,
2016-02-01,-3.2,-1.9,-4.7,1.0,0.9,,42,4,4.5,,,,,
2016-02-02,-2.7,-1.1,-4.2,1.0,3.8,,44,3,4.5,,,,,
2016-02-03,-1.0,1.0,-2.6,0.0,5.4,,43,0,4.3,,,,,
2016-02-04,0.6,4.1,-2.7,0.0,5.5,,40,1,2.3,,,,,
2016-02-05,0.8,3.0,-1.1,0.5,3.7,,39,1,5.5,,,,,
2016-02-06,-2.0,0.8,-4.7,0.5,3.2,,39,5,4.0,,,,,
2016-02-07,-2.7,-0.8,-4.8,4.5,3.6,,51,16,4.9,,,,,
