calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.1,4.9,0.4,0.0,0.9,,0,0,5.2,,,,,
2016-01-02,6.3,7.8,2.9,0.5,0.3,,0,0,8.0,,,,,
2016-01-03,3.6,7.4,2.2,0.0,2.3,,0,0,5.0,,,,,
2016-01-04,1.2,2.8,-0.6,0.0,0.0,,0,0,3.9,,,,,
2016-01-05,-0.3,1.5,-1.4,0.0,3.4,,0,0,6.6,,,,,
2016-01-06,1.3,3.4,-1.2,0.0,1.4,,0,0,7.4,,,,,
2016-01-07,-0.2,1.1,-1.3,0.0,2.4,,0,0,5.8,,,,,
2016-01-08,0.9,2.5,-0.9,1.5,2.1,,1,1,5.9,,,,,
2016-01-09,-0.2,1.4,-1.7,0.0,2.5,,1,0,5.4,,,,,
2016-01-10,-0.3,3.0,-4.5,0.5,1.8,,1,4,5.9,,,,,
2016-01-11,-4.3,-2.6,-5.4,0.0,2.1,,1,1,5.8,,,,,
2016-01-12,-2.5,-0.5,-4.8,0.0,0.7,,1,1,6.0,,,,,
2016-01-13,-1.0,1.4,-3.4,1.0,3.0,,2,2,3.8,,,,,
2016-01-14,-1.3,2.2,-3.1,1.0,0.5,,4,3,5.6,,,,,
2016-01-15,-1.2,0.6,-2.4,0.0,2.3,,2,0,5.4,,,,,
2016-01-16,-2.0,-0.7,-3.1,0.0,0.4,,2,0,4.8,,,,,
2016-01-17,-1.4,0.7,-3.4,0.0,2.9,,2,0,3.0,,,,,
2016-01-18,0.7,3.1,-4.1,19.0,0.0,,4,5,7.2,,,,,
2016-01-19,0.6,1.2,0.0,7.5,0.0,,15,18,4.6,,,,,
2016-01-20,1.4,2.7,0.2,0.0,2.7,,13,3,3.6,,,,,
2016-01-21,0.4,2.1,-0.7,0.0,2.6,,12,4,3.0,,,,,
2016-01-22,-0.1,2.4,-1.8,0.0,4.4,,12,2,4.7,,,,,
2016-01-23,-1.2,0.7,-2.5,1.5,1.0,,13,6,5.2,,,,,
2016-01-24,0.0,2.5,-1.8,0.0,0.2,,12,1,4.7,,,,,
2016-01-25,-1.4,0.5,-3.5,2.5,4.0,,18,6,3.9,,,,,
2016-01-26,2.4,4.1,-0.5,3.0,0.1,,15,1,7.3,,,,,
2016-01-27,2.0,4.2,0.7,0.0,3.8,,10,0,6.6,,,,,
2016-01-28,0.4,3.1,-2.3,0.0,1.0,,9,0,7.1,,,,,
2016-01-29,-2.0,-0.8,-3.5,0.0,1.9,,9,1,3.8,,,,,
2016-01-30,-2.0,-0.1,-3.6,1.5,2.0,,11,3,2.1,,,,,
2016-01-31,-2.6,-1.2,-3.5,0.0,0.5,,11,1,5.3,,,,,
2016-02-01,-3.1,-2.0,-4.5,0.0,1.6,,10,3,4.8,,,,,
2016-02-02,-2.4,-0.5,-3.4,0.5,0.9,,9,0,4.9,,,,,
2016-02-03,-0.5,1.2,-3.0,0.0,0.4,,9,0,4.8,,,,,
2016-02-04,1.7,3.6,0.2,6.0,1.1,,12,4,5.0,,,,,
2016-02-05,0.5,2.7,-1.3,0.5,2.7,,11,4,6.0,,,,,
2016-02-06,-1.9,-0.1,-4.0,0.0,0.6,,11,1,4.5,,,,,
2016-02-07,-1.9,0.3,-4.5,0.0,3.9,,11,3,5.9,,,,,
2016-02-08,0.9,3.5,-0.4,0.0,5.9,,11,1,2.4,,,,,
