calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.6,2.5,-1.5,0.5,3.6,,,,2.4,,,,,
2016-01-02,2.9,6.1,-2.2,0.0,2.8,,,,2.2,,,,,
2016-01-03,3.4,5.2,2.2,0.0,0.1,,,,2.1,,,,,
2016-01-04,0.5,2.8,-1.7,4.5,0.6,,,,,,,,,
2016-01-05,-1.2,-0.3,-2.6,2.5,1.3,,,,,,,,,
2016-01-06,-0.2,1.9,-1.8,0.0,1.9,,,,2.8,,,,,
2016-01-07,-1.3,0.8,-2.5,7.0,1.7,,,,2.6,,,,,
2016-01-08,-0.3,2.4,-2.5,0.5,3.5,,,,2.3,,,,,
2016-01-09,-2.0,0.7,-5.3,3.5,1.9,,,,2.2,,,,,
2016-01-10,-2.4,0.8,-6.3,4.0,0.9,,,,2.5,,,,,
2016-01-11,-4.4,-2.7,-5.7,4.5,0.2,,,,2.8,,,,,
2016-01-12,-3.5,-0.6,-5.3,1.0,2.9,,,,2.8,,,,,
2016-01-13,-3.1,1.1,-6.9,3.0,5.9,,,,1.0,,,,,
2016-01-14,-3.1,-0.4,-7.6,4.0,1.5,,,,2.4,,,,,
2016-01-15,-3.8,-0.7,-7.7,2.5,2.7,,,,1.8,,,,,
2016-01-16,-3.4,-0.7,-5.4,7.0,1.8,,,,2.3,,,,,
2016-01-17,-3.7,0.3,-6.0,0.0,3.7,,,,1.4,,,,,
2016-01-18,-1.5,1.4,-7.2,14.5,0.0,,,,3.9,,,,,
2016-01-19,-0.5,0.7,-2.7,6.0,0.0,,,,2.3,,,,,
2016-01-20,0.2,2.4,-1.7,1.0,3.5,,,,,,,,,
2016-01-21,-1.4,0.8,-4.4,6.5,1.0,,,,1.8,,,,,
2016-01-22,-3.0,-0.2,-5.6,0.0,6.9,,,,2.6,,,,,
2016-01-23,-3.8,0.0,-6.9,1.5,7.3,,,,1.6,,,,,
