calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,2.4,-3.7,0.0,2.8,,9,2,3.5,,,,,
2016-01-02,3.2,7.9,-1.8,0.0,3.5,,8,0,2.7,,,,,
2016-01-03,2.4,5.7,-1.5,0.0,0.3,,6,0,1.6,,,,,
2016-01-04,-0.6,3.8,-4.3,0.5,1.7,,8,3,1.4,,,,,
2016-01-05,-0.9,1.0,-6.0,0.0,6.6,,8,0,5.0,,,,,
2016-01-06,0.5,3.3,-1.4,0.0,5.9,,7,0,4.0,,,,,
2016-01-07,-0.4,1.8,-2.5,0.0,2.4,,7,2,3.3,,,,,
2016-01-08,0.6,3.4,-1.1,0.0,5.1,,7,2,3.1,,,,,
2016-01-09,-0.8,1.5,-4.8,0.0,3.4,,6,0,3.4,,,,,
2016-01-10,-1.6,2.6,-4.2,1.0,5.1,,11,9,3.2,,,,,
2016-01-11,-3.6,-0.6,-7.2,0.0,7.9,,9,1,3.7,,,,,
2016-01-12,-2.5,0.5,-5.6,0.0,4.4,,8,0,4.0,,,,,
2016-01-13,-1.5,2.2,-6.0,0.0,8.5,,8,1,2.7,,,,,
2016-01-14,-1.9,0.2,-6.3,0.0,2.0,,8,4,2.6,,,,,
2016-01-15,-2.6,1.4,-6.1,0.0,6.8,,8,1,2.6,,,,,
2016-01-16,-2.9,1.1,-6.3,0.0,3.6,,8,2,2.6,,,,,
2016-01-17,-3.8,1.2,-8.8,0.0,3.9,,7,0,1.7,,,,,
2016-01-18,-1.8,1.7,-8.1,30.5,0.0,,20,14,4.3,,,,,
2016-01-19,-1.6,2.4,-11.4,7.5,2.4,,35,20,2.9,,,,,
2016-01-20,-1.5,2.0,-10.3,0.0,3.2,,28,7,2.9,,,,,
2016-01-21,-2.5,0.3,-11.3,0.0,1.2,,28,2,2.7,,,,,
2016-01-22,-3.0,0.2,-11.2,0.0,9.0,,27,0,3.8,,,,,
2016-01-23,-3.5,-0.1,-8.8,0.0,5.9,,25,0,2.1,,,,,
2016-01-24,-3.0,1.4,-9.4,0.0,3.4,,25,1,1.9,,,,,
2016-01-25,-3.8,-1.5,-10.7,2.0,0.6,,33,10,1.9,,,,,
2016-01-26,-1.9,4.5,-10.5,0.0,4.3,,31,0,1.3,,,,,
2016-01-27,0.8,3.0,-5.4,0.0,2.7,,26,3,3.3,,,,,
2016-01-28,-0.2,3.7,-4.8,0.0,6.7,,25,0,3.4,,,,,
2016-01-29,-1.9,0.0,-3.8,0.0,2.8,,23,1,2.7,,,,,
2016-01-30,-2.9,0.0,-5.6,0.0,4.8,,23,0,1.4,,,,,
2016-01-31,-3.0,0.0,-7.0,0.0,3.0,,23,2,3.1,,,,,
2016-02-01,-5.1,-1.2,-11.1,0.0,2.3,,22,0,2.2,,,,,
2016-02-02,-5.4,0.6,-14.3,0.0,6.4,,23,1,2.8,,,,,
2016-02-03,-3.5,0.5,-12.7,0.0,1.6,,23,1,2.3,,,,,
2016-02-04,-2.4,3.7,-14.1,0.0,5.7,,23,1,1.5,,,,,
2016-02-05,-0.2,3.9,-6.5,0.0,5.7,,23,2,3.2,,,,,
2016-02-06,-3.0,2.6,-9.1,0.0,6.9,,22,0,3.1,,,,,
2016-02-07,-3.7,-0.2,-9.4,0.0,8.7,,22,0,3.7,,,,,
2016-02-08,-1.7,2.6,-9.1,0.0,3.7,,22,0,1.3,,,,,
2016-02-09,0.7,6.2,-4.7,1.5,3.3,,27,6,2.0,,,,,
2016-02-10,-1.4,1.0,-3.4,1.0,7.0,,29,3,4.3,,,,,
2016-02-11,-1.9,2.8,-8.8,0.0,7.7,,24,1,2.5,,,,,
2016-02-12,0.4,7.9,-10.1,0.0,8.6,,20,0,1.3,,,,,
2016-02-13,6.8,12.8,1.3,0.0,2.6,,20,0,1.7,,,,,
2016-02-14,7.4,14.5,1.8,0.5,0.7,,11,0,3.3,,,,,
2016-02-15,-2.2,2.4,-5.1,0.0,4.7,,0,0,6.0,,,,,
2016-02-16,-2.4,1.0,-5.5,0.0,4.9,,0,0,2.3,,,,,
2016-02-17,-2.8,1.3,-4.6,0.0,2.9,,1,1,2.8,,,,,
2016-02-18,1.1,4.1,-3.5,4.0,3.7,,0,0,1.9,,,,,
2016-02-19,3.4,7.7,1.1,2.5,2.5,,0,0,2.2,,,,,
2016-02-20,2.3,5.6,-0.2,22.0,0.0,,0,0,1.9,,,,,
2016-02-21,1.4,7.7,-1.9,6.0,3.8,,0,0,3.5,,,,,
2016-02-22,-1.2,2.1,-2.9,0.0,2.9,,0,0,2.6,,,,,
2016-02-23,1.0,5.6,-2.7,0.0,2.7,,0,0,1.8,,,,,
2016-02-24,-3.0,-0.1,-5.4,1.0,3.4,,5,6,3.6,,,,,
2016-02-25,-2.9,1.3,-7.2,0.0,5.4,,2,1,2.6,,,,,
