calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.7,4.0,-0.3,3.5,0.4,,41,4,2.7,,,,,
2016-01-02,4.6,6.3,0.8,1.0,0.2,,38,0,2.3,,,,,
2016-01-03,3.9,6.3,2.6,0.0,0.0,,25,0,2.4,,,,,
2016-01-04,0.6,3.3,-2.0,8.0,0.0,,27,12,,,,,,
2016-01-05,-0.6,0.7,-2.0,5.5,0.7,,32,6,3.3,,,,,
2016-01-06,0.8,2.3,-0.9,0.0,1.1,,30,1,2.8,,,,,
2016-01-07,-0.2,1.5,-1.5,1.5,0.5,,29,3,3.2,,,,,
2016-01-08,0.6,2.9,-1.2,4.0,3.6,,34,10,2.6,,,,,
2016-01-09,-0.5,0.8,-2.0,1.5,1.7,,34,3,2.8,,,,,
2016-01-10,-1.1,1.5,-4.1,9.5,0.9,,41,14,3.0,,,,,
2016-01-11,-4.5,-3.1,-5.8,11.5,0.6,,53,15,3.3,,,,,
2016-01-12,-2.9,-0.8,-4.9,5.0,1.3,,56,9,2.8,,,,,
2016-01-13,-1.5,1.2,-3.2,2.5,4.1,,57,6,2.1,,,,,
2016-01-14,-2.1,0.4,-3.6,10.0,0.2,,61,12,2.8,,,,,
2016-01-15,-1.9,-0.7,-3.0,2.5,1.3,,61,4,2.3,,,,,
2016-01-16,-2.6,-1.0,-3.7,13.5,0.1,,72,16,2.4,,,,,
2016-01-17,-2.2,-0.4,-3.8,2.5,0.9,,73,5,2.0,,,,,
2016-01-18,0.1,1.7,-4.2,24.5,0.0,,67,2,10.0,,,,,
2016-01-19,0.0,0.7,-0.5,5.5,0.0,,58,4,4.1,,,,,
2016-01-20,0.1,1.8,-1.9,1.0,0.9,,60,4,,,,,,
2016-01-21,-0.5,1.5,-2.1,11.5,1.7,,68,14,2.0,,,,,
2016-01-22,-1.9,-0.5,-3.7,13.5,0.9,,87,25,2.7,,,,,
2016-01-23,-2.4,-1.0,-4.0,1.5,1.7,,86,4,2.4,,,,,
2016-01-24,-2.4,1.2,-6.3,2.5,2.6,,80,3,1.8,,,,,
2016-01-25,-2.1,0.1,-5.2,3.5,2.9,,82,7,1.8,,,,,
2016-01-26,0.9,2.7,-1.5,6.0,0.6,,79,0,2.3,,,,,
2016-01-27,1.2,2.9,0.0,0.5,2.8,,72,1,3.0,,,,,
2016-01-28,0.3,2.5,-1.6,0.5,1.1,,65,3,3.0,,,,,
2016-01-29,-1.4,-0.6,-2.4,0.0,1.0,,64,1,2.9,,,,,
2016-01-30,-2.3,-0.7,-3.9,0.5,1.6,,63,4,1.2,,,,,
2016-01-31,-2.6,-1.2,-4.4,1.0,2.9,,66,6,2.9,,,,,
2016-02-01,-3.6,-2.9,-4.6,2.5,0.0,,71,7,2.5,,,,,
2016-02-02,-2.7,-0.5,-3.8,2.5,3.1,,74,8,2.8,,,,,
2016-02-03,-0.8,1.3,-2.7,1.5,2.2,,75,4,2.4,,,,,
2016-02-04,0.6,2.5,-0.8,2.5,2.8,,73,11,1.5,,,,,
2016-02-05,0.6,3.2,-2.1,0.0,3.6,,73,1,2.7,,,,,
2016-02-06,-2.4,-0.2,-4.8,4.0,2.6,,76,12,2.4,,,,,
2016-02-07,-2.8,-0.7,-5.1,6.5,2.7,,83,10,3.0,,,,,
2016-02-08,0.9,2.9,-1.0,1.0,3.5,,83,2,2.7,,,,,
2016-02-09,2.0,3.7,0.3,2.0,2.7,,74,4,3.1,,,,,
2016-02-10,-0.4,1.0,-1.4,4.0,0.8,,77,6,3.7,,,,,
2016-02-11,0.7,3.2,-2.6,0.0,5.2,,74,0,2.3,,,,,
2016-02-12,0.6,4.4,-4.0,0.0,7.3,,71,0,2.0,,,,,
2016-02-13,3.9,9.0,0.3,3.5,0.0,,70,0,1.7,,,,,
2016-02-14,5.9,11.6,0.4,11.0,0.3,,62,0,2.7,,,,,
2016-02-15,-3.3,1.5,-6.0,1.5,0.6,,52,6,3.6,,,,,
2016-02-16,-2.7,0.3,-5.9,1.5,2.4,,55,4,2.4,,,,,
2016-02-17,-2.1,0.3,-4.2,4.5,2.7,,60,8,2.8,,,,,
2016-02-18,2.5,6.2,-0.9,3.5,4.3,,58,0,2.4,,,,,
2016-02-19,2.9,7.2,-0.7,3.0,2.0,,50,0,2.1,,,,,
2016-02-20,2.0,4.1,0.0,7.0,0.0,,47,1,2.2,,,,,
2016-02-21,1.3,4.7,-1.6,7.5,0.7,,46,0,2.8,,,,,
2016-02-22,-0.6,1.3,-2.2,0.0,1.7,,45,2,2.8,,,,,
2016-02-23,1.3,4.7,-2.3,2.5,1.0,,45,6,1.8,,,,,
2016-02-24,-2.7,0.2,-4.0,2.5,0.3,,47,3,3.0,,,,,
2016-02-25,-3.1,-0.4,-5.5,2.5,2.0,,51,5,2.2,,,,,
2016-02-26,-2.4,0.0,-4.3,4.5,2.6,,56,10,2.0,,,,,
2016-02-27,-1.2,1.2,-3.3,1.0,4.4,,54,4,2.1,,,,,
2016-02-28,-0.2,2.5,-3.4,0.0,6.1,,49,0,3.1,,,,,
2016-02-29,3.5,6.8,0.0,0.0,0.0,,46,0,5.4,,,,,
2016-03-01,-1.1,1.0,-3.7,2.5,4.7,,43,4,4.4,,,,,
2016-03-02,-0.6,2.1,-3.7,0.5,3.6,,44,4,2.6,,,,,
2016-03-03,1.2,3.9,-2.3,2.0,1.8,,47,7,2.7,,,,,
2016-03-04,1.3,4.4,-2.8,0.0,8.0,,42,1,1.3,,,,,
2016-03-05,0.6,3.7,-4.9,0.0,10.6,,39,0,4.2,,,,,
2016-03-06,5.3,9.4,3.1,9.0,0.0,,36,0,3.4,,,,,
2016-03-07,5.3,10.2,0.7,3.0,6.4,,27,0,2.3,,,,,
2016-03-08,5.5,10.0,1.2,0.0,3.8,,19,1,3.1,,,,,
2016-03-09,1.2,3.6,-1.8,0.0,4.5,,10,3,2.7,,,,,
2016-03-10,-0.2,2.6,-2.8,1.0,3.8,,12,7,1.6,,,,,
2016-03-11,-0.6,2.7,-2.5,1.0,5.4,,10,8,2.3,,,,,
2016-03-12,0.1,3.4,-2.8,1.0,3.2,,12,3,1.7,,,,,
2016-03-13,1.6,5.9,-4.6,0.0,7.3,,8,0,1.8,,,,,
2016-03-14,2.0,8.1,-2.3,0.0,9.1,,3,0,1.9,,,,,
2016-03-15,3.5,5.6,0.4,0.0,7.5,,0,0,3.0,,,,,
2016-03-16,7.7,10.7,4.0,0.0,8.9,,0,0,4.0,,,,,
2016-03-17,9.7,14.4,4.6,0.0,10.7,,0,0,3.1,,,,,
2016-03-18,8.0,15.3,1.6,0.0,6.0,,0,0,1.6,,,,,
2016-03-19,8.0,10.6,5.8,8.5,0.0,,0,0,1.2,,,,,
