calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,1.0,,,,,,,,,,
2016-01-02,,,,3.0,,,,,,,,,,
2016-01-03,,,,1.0,,,,,,,,,,
2016-01-04,,,,8.5,,,,,,,,,,
2016-01-05,,,,5.5,,,,,,,,,,
2016-01-06,,,,3.0,,,,,,,,,,
2016-01-07,,,,6.5,,,,,,,,,,
2016-01-08,,,,19.5,,,,,,,,,,
2016-01-09,,,,2.5,,,,,,,,,,
2016-01-10,,,,11.5,,,,,,,,,,
2016-01-11,,,,1.0,,,,,,,,,,
2016-01-12,,,,10.0,,,,,,,,,,
2016-01-13,,,,13.0,,,,,,,,,,
2016-01-14,,,,3.0,,,,,,,,,,
2016-01-15,,,,1.5,,,,,,,,,,
2016-01-16,,,,3.0,,,,,,,,,,
2016-01-17,,,,5.0,,,,,,,,,,
2016-01-18,,,,33.5,,,,,,,,,,
2016-01-19,,,,11.0,,,,,,,,,,
2016-01-20,,,,0.0,,,,,,,,,,
2016-01-21,,,,9.0,,,,,,,,,,
2016-01-22,,,,24.5,,,,,,,,,,
2016-01-23,,,,11.5,,,,,,,,,,
2016-01-24,,,,2.0,,,,,,,,,,
2016-01-25,,,,7.0,,,,,,,,,,
2016-01-26,,,,4.0,,,,,,,,,,
2016-01-27,,,,5.5,,,,,,,,,,
2016-01-28,,,,1.5,,,,,,,,,,
2016-01-29,,,,0.0,,,,,,,,,,
2016-01-30,,,,2.0,,,,,,,,,,
2016-01-31,,,,4.0,,,,,,,,,,
2016-02-01,,,,1.5,,,,,,,,,,
2016-02-02,,,,2.0,,,,,,,,,,
2016-02-03,,,,0.0,,,,,,,,,,
2016-02-04,,,,4.5,,,,,,,,,,
2016-02-05,,,,1.5,,,,,,,,,,
2016-02-06,,,,8.0,,,,,,,,,,
2016-02-07,,,,4.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,2.0,,,,,,,,,,
2016-02-10,,,,1.5,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,7.5,,,,,,,,,,
2016-02-14,,,,13.0,,,,,,,,,,
2016-02-15,,,,2.5,,,,,,,,,,
2016-02-16,,,,1.5,,,,,,,,,,
2016-02-17,,,,4.5,,,,,,,,,,
2016-02-18,,,,4.0,,,,,,,,,,
2016-02-19,,,,2.5,,,,,,,,,,
2016-02-20,,,,6.0,,,,,,,,,,
2016-02-21,,,,8.5,,,,,,,,,,
2016-02-22,,,,0.0,,,,,,,,,,
2016-02-23,,,,1.0,,,,,,,,,,
2016-02-24,,,,3.0,,,,,,,,,,
2016-02-25,,,,4.0,,,,,,,,,,
2016-02-26,,,,6.0,,,,,,,,,,
2016-02-27,,,,5.0,,,,,,,,,,
2016-02-28,,,,0.0,,,,,,,,,,
2016-02-29,,,,5.5,,,,,,,,,,
2016-03-01,,,,1.5,,,,,,,,,,
2016-03-02,,,,1.0,,,,,,,,,,
2016-03-03,,,,5.0,,,,,,,,,,
2016-03-04,,,,0.0,,,,,,,,,,
2016-03-05,,,,0.0,,,,,,,,,,
2016-03-06,,,,13.0,,,,,,,,,,
2016-03-07,,,,2.5,,,,,,,,,,
2016-03-08,,,,0.5,,,,,,,,,,
2016-03-09,,,,0.0,,,,,,,,,,
2016-03-10,,,,2.5,,,,,,,,,,
2016-03-11,,,,3.0,,,,,,,,,,
2016-03-12,,,,0.5,,,,,,,,,,
2016-03-13,,,,0.0,,,,,,,,,,
2016-03-14,,,,0.0,,,,,,,,,,
2016-03-15,,,,0.0,,,,,,,,,,
2016-03-16,,,,0.0,,,,,,,,,,
2016-03-17,,,,0.0,,,,,,,,,,
2016-03-18,,,,0.0,,,,,,,,,,
2016-03-19,,,,6.5,,,,,,,,,,
2016-03-20,,,,0.0,,,,,,,,,,
2016-03-21,,,,2.0,,,,,,,,,,
2016-03-22,,,,4.5,,,,,,,,,,
2016-03-23,,,,0.5,,,,,,,,,,
2016-03-24,,,,0.0,,,,,,,,,,
