calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.7,11.4,2.8,0.0,9.3,,,,2.7,,,,,
2016-01-02,7.8,13.3,1.9,0.0,5.2,,,,1.9,,,,,
2016-01-03,10.0,16.4,4.4,0.0,6.2,,,,1.7,,,,,
2016-01-04,9.9,15.8,5.2,0.0,9.2,,,,1.3,,,,,
2016-01-05,10.5,15.4,3.8,0.0,7.5,,,,1.5,,,,,
2016-01-06,8.1,10.7,5.7,0.0,0.0,,,,2.2,,,,,
2016-01-07,8.5,12.3,4.4,0.0,4.4,,,,2.1,,,,,
2016-01-08,6.7,11.0,2.6,0.0,8.6,,,,1.9,,,,,
2016-01-09,6.7,11.5,2.9,0.0,9.2,,,,2.3,,,,,
2016-01-10,7.4,12.9,2.9,0.0,9.4,,,,1.8,,,,,
2016-01-11,6.9,10.6,2.3,0.0,2.6,,,,2.2,,,,,
2016-01-12,3.2,6.6,1.3,0.0,0.0,,,,3.1,,,,,
2016-01-13,4.7,10.8,-0.9,0.0,8.1,,,,1.9,,,,,
2016-01-14,5.9,11.4,0.3,0.0,9.3,,,,1.6,,,,,
2016-01-15,5.7,9.9,2.9,0.0,4.1,,,,2.7,,,,,
2016-01-16,5.4,10.6,1.0,0.0,9.3,,,,1.9,,,,,
2016-01-17,5.4,8.0,1.8,2.5,2.0,,,,3.2,,,,,
2016-01-18,5.4,10.4,1.9,40.0,0.0,,,,4.8,,,,,
2016-01-19,6.0,10.2,2.6,0.0,9.5,,,,7.0,,,,,
2016-01-20,5.1,9.2,2.1,0.0,7.7,,,,5.3,,,,,
2016-01-21,5.9,9.2,1.1,0.0,7.8,,,,2.4,,,,,
2016-01-22,5.7,9.3,2.7,0.0,8.8,,,,2.8,,,,,
2016-01-23,4.3,8.0,2.4,0.0,0.6,,,,2.3,,,,,
2016-01-24,3.6,7.5,0.4,0.0,7.5,,,,4.0,,,,,
2016-01-25,2.4,7.5,-1.9,0.0,10.0,,,,2.0,,,,,
2016-01-26,3.2,9.3,-2.4,0.0,8.7,,,,2.1,,,,,
2016-01-27,5.8,12.7,-0.3,0.0,9.8,,,,1.7,,,,,
2016-01-28,7.3,12.3,2.6,0.0,9.9,,,,1.6,,,,,
2016-01-29,5.1,6.8,2.6,19.5,0.0,,,,3.0,,,,,
2016-01-30,3.4,4.9,2.0,6.0,0.0,,,,3.7,,,,,
2016-01-31,5.9,9.7,2.6,0.0,0.5,,,,1.7,,,,,
2016-02-01,4.3,6.4,3.2,0.0,0.0,,,,2.5,,,,,
2016-02-02,5.4,9.0,3.2,0.0,7.5,,,,2.6,,,,,
2016-02-03,3.7,7.3,0.5,0.0,2.6,,,,2.7,,,,,
2016-02-04,3.9,9.2,-1.2,0.0,5.7,,,,2.0,,,,,
2016-02-05,6.5,11.5,1.2,0.0,8.4,,,,2.0,,,,,
2016-02-06,6.4,9.5,4.1,0.0,4.0,,,,3.0,,,,,
2016-02-07,4.1,8.0,1.1,0.0,8.3,,,,3.6,,,,,
2016-02-08,3.8,9.2,-0.5,0.0,6.0,,,,1.8,,,,,
2016-02-09,7.1,12.6,-1.2,0.0,10.1,,,,4.3,,,,,
2016-02-10,6.1,9.4,3.9,0.0,10.4,,,,4.3,,,,,
2016-02-11,5.6,10.0,1.9,0.0,9.8,,,,2.9,,,,,
2016-02-12,6.3,9.8,-0.6,3.5,3.7,,,,1.7,,,,,
2016-02-13,14.5,19.6,7.8,1.5,5.9,,,,3.5,,,,,
2016-02-14,18.5,21.4,16.3,14.5,3.4,,,,7.5,,,,,
2016-02-15,8.1,17.9,1.3,3.5,1.4,,,,4.4,,,,,
2016-02-16,5.3,10.3,1.2,0.0,8.2,,,,3.0,,,,,
2016-02-17,7.0,12.5,2.4,0.0,9.0,,,,3.8,,,,,
2016-02-18,4.8,11.3,-1.3,0.0,5.8,,,,2.0,,,,,
2016-02-19,10.6,16.7,3.7,0.0,9.5,,,,3.1,,,,,
