calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,11.3,-1.9,0.0,,,,,3.1,,,,,
2016-01-02,5.1,12.6,0.6,0.0,,,,,2.3,,,,,
2016-01-03,7.2,16.8,-2.4,0.0,,,,,1.5,,,,,
2016-01-04,6.9,15.9,-1.3,0.0,,,,,1.5,,,,,
2016-01-05,7.8,15.9,-1.4,0.0,,,,,1.8,,,,,
2016-01-06,7.3,10.4,4.2,0.0,,,,,2.8,,,,,
2016-01-07,7.6,13.3,0.4,0.0,,,,,2.9,,,,,
2016-01-08,6.2,12.3,0.6,0.0,,,,,2.5,,,,,
2016-01-09,4.3,10.9,-2.6,0.0,,,,,2.5,,,,,
2016-01-10,5.8,13.1,0.0,0.0,,,,,2.4,,,,,
2016-01-11,4.7,9.4,-3.2,0.0,,,,,2.5,,,,,
2016-01-12,2.4,4.7,-1.6,0.0,,,,,3.8,,,,,
2016-01-13,2.4,10.3,-6.3,0.0,,,,,1.5,,,,,
2016-01-14,3.0,11.3,-5.6,0.0,,,,,1.6,,,,,
2016-01-15,4.9,11.1,-0.7,0.0,,,,,4.2,,,,,
2016-01-16,5.2,11.2,-0.9,0.0,,,,,2.8,,,,,
2016-01-17,5.3,9.1,0.0,1.0,,,,,3.6,,,,,
2016-01-18,6.5,14.1,2.9,72.0,,,,,5.9,,,,,
2016-01-19,5.7,9.5,-0.6,0.0,,,,,4.4,,,,,
2016-01-20,3.0,7.4,-4.0,0.0,,,,,4.5,,,,,
2016-01-21,3.1,9.0,-6.5,0.0,,,,,3.0,,,,,
2016-01-22,4.3,10.0,-2.0,0.0,,,,,3.5,,,,,
2016-01-23,2.8,6.2,-1.8,0.0,,,,,2.4,,,,,
2016-01-24,2.5,8.0,-1.6,0.0,,,,,4.4,,,,,
2016-01-25,0.9,7.2,-5.1,0.0,,,,,3.5,,,,,
2016-01-26,0.8,8.9,-6.5,0.0,,,,,1.7,,,,,
2016-01-27,2.9,12.2,-5.5,0.0,,,,,1.9,,,,,
2016-01-28,4.2,13.5,-4.6,0.0,,,,,1.5,,,,,
2016-01-29,4.7,7.9,0.4,8.0,,,,,5.0,,,,,
2016-01-30,3.5,5.7,1.4,5.0,,,,,6.2,,,,,
2016-01-31,4.7,10.5,-2.0,0.0,,,,,1.8,,,,,
2016-02-01,4.1,5.8,2.0,0.0,,,,,3.2,,,,,
2016-02-02,4.5,10.6,1.0,0.0,,,,,3.4,,,,,
2016-02-03,3.0,8.3,-2.9,0.0,,,,,3.0,,,,,
2016-02-04,2.0,9.0,-3.9,0.0,,,,,1.8,,,,,
2016-02-05,5.1,11.6,-2.7,0.0,,,,,2.4,,,,,
2016-02-06,5.8,8.3,2.4,0.0,,,,,4.5,,,,,
2016-02-07,3.9,8.5,1.1,0.0,,,,,4.1,,,,,
2016-02-08,3.2,11.9,-2.5,0.0,,,,,3.4,,,,,
2016-02-09,4.7,12.9,-4.8,0.0,,,,,3.6,,,,,
2016-02-10,4.4,9.3,-0.3,0.0,,,,,5.7,,,,,
2016-02-11,2.9,9.8,-4.8,0.0,,,,,2.4,,,,,
2016-02-12,6.2,11.8,-2.6,0.0,,,,,1.5,,,,,
2016-02-13,13.8,21.2,5.4,0.0,,,,,3.8,,,,,
2016-02-14,18.7,23.0,15.3,7.0,,,,,6.5,,,,,
2016-02-15,6.6,18.4,1.2,4.5,,,,,5.0,,,,,
2016-02-16,3.3,9.3,-1.8,0.0,,,,,2.1,,,,,
2016-02-17,4.6,13.0,-3.7,0.0,,,,,3.1,,,,,
2016-02-18,2.7,9.2,-4.4,0.0,,,,,1.9,,,,,
2016-02-19,7.6,16.7,-1.9,0.0,,,,,2.1,,,,,
2016-02-20,9.1,13.9,4.4,26.5,,,,,2.6,,,,,
2016-02-21,9.3,15.5,3.2,0.0,,,,,3.6,,,,,
2016-02-22,5.1,9.1,-0.6,0.0,,,,,3.0,,,,,
2016-02-23,6.2,10.3,2.0,3.0,,,,,3.0,,,,,
2016-02-24,4.3,7.5,1.0,0.0,,,,,3.7,,,,,
2016-02-25,1.9,7.8,-2.3,0.5,,,,,2.7,,,,,
2016-02-26,3.4,10.9,-2.6,0.0,,,,,2.4,,,,,
2016-02-27,5.6,12.2,-3.5,0.0,,,,,3.1,,,,,
2016-02-28,7.3,11.8,0.4,0.0,,,,,3.7,,,,,
2016-02-29,7.7,15.2,3.6,7.5,,,,,3.3,,,,,
2016-03-01,3.2,8.2,-0.7,6.0,,,,,4.4,,,,,
2016-03-02,4.4,11.6,-4.0,0.0,,,,,2.0,,,,,
2016-03-03,7.6,16.7,-2.7,0.0,,,,,2.0,,,,,
2016-03-04,8.5,13.4,2.4,0.0,,,,,3.3,,,,,
2016-03-05,9.6,14.2,5.4,0.0,,,,,4.1,,,,,
2016-03-06,12.2,17.3,7.1,3.0,,,,,3.2,,,,,
2016-03-07,14.6,15.7,13.1,31.0,,,,,3.6,,,,,
2016-03-08,14.5,20.8,11.2,0.0,,,,,2.0,,,,,
2016-03-09,7.9,13.2,3.8,18.5,,,,,5.9,,,,,
2016-03-10,5.6,7.6,3.6,0.5,,,,,5.9,,,,,
2016-03-11,4.5,6.2,2.7,0.0,,,,,4.3,,,,,
2016-03-12,4.8,8.8,0.0,0.0,,,,,4.1,,,,,
2016-03-13,5.8,8.0,2.1,0.0,,,,,3.9,,,,,
2016-03-14,5.7,8.2,3.9,32.5,,,,,6.6,,,,,
2016-03-15,7.2,13.2,0.7,3.5,,,,,5.3,,,,,
2016-03-16,7.7,13.1,0.1,0.0,,,,,2.1,,,,,
2016-03-17,10.6,18.9,2.0,0.0,,,,,2.2,,,,,
2016-03-18,13.7,21.2,3.2,0.0,,,,,4.8,,,,,
2016-03-19,14.7,17.6,12.5,20.5,,,,,2.9,,,,,
2016-03-20,10.9,14.9,7.7,0.0,,,,,3.7,,,,,
2016-03-21,7.9,11.5,5.0,0.0,,,,,3.6,,,,,
2016-03-22,8.8,15.2,0.5,0.0,,,,,2.5,,,,,
2016-03-23,9.3,15.2,2.5,0.0,,,,,3.9,,,,,
2016-03-24,5.7,8.2,1.7,0.0,,,,,5.0,,,,,
2016-03-25,6.1,12.4,-0.3,0.0,,,,,3.8,,,,,
2016-03-26,5.6,9.5,3.0,0.0,,,,,3.2,,,,,
2016-03-27,9.0,13.8,4.5,0.0,,,,,3.3,,,,,
2016-03-28,9.9,14.1,7.0,2.5,,,,,3.2,,,,,
2016-03-29,10.8,17.0,4.0,0.0,,,,,3.3,,,,,
2016-03-30,14.3,19.6,8.4,0.0,,,,,3.9,,,,,
2016-03-31,12.4,18.7,4.1,0.0,,,,,3.3,,,,,
