calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,11.6,-0.2,0.0,9.1,,,,1.4,,,,,
2016-01-02,4.6,12.9,-0.7,0.0,5.7,,,,1.4,,,,,
2016-01-03,6.4,16.3,-1.7,0.0,7.9,,,,1.2,,,,,
2016-01-04,6.1,16.0,-0.9,0.0,8.7,,,,1.1,,,,,
2016-01-05,7.5,15.3,-0.1,0.0,7.3,,,,1.4,,,,,
2016-01-06,7.1,10.6,3.1,0.0,0.0,,,,1.8,,,,,
2016-01-07,7.6,13.4,1.1,0.0,7.1,,,,1.6,,,,,
2016-01-08,4.9,11.5,-0.3,0.0,7.5,,,,1.4,,,,,
2016-01-09,4.5,11.2,-2.9,0.0,9.0,,,,1.4,,,,,
2016-01-10,5.4,13.0,-0.3,0.0,9.1,,,,1.4,,,,,
2016-01-11,4.1,9.3,-2.7,0.0,0.4,,,,1.8,,,,,
2016-01-12,2.3,5.0,-1.6,0.0,0.0,,,,2.5,,,,,
2016-01-13,1.6,10.2,-5.2,0.0,8.3,,,,1.0,,,,,
2016-01-14,3.0,11.8,-4.6,0.0,9.2,,,,1.0,,,,,
2016-01-15,4.6,10.2,-1.2,0.0,8.2,,,,3.2,,,,,
2016-01-16,4.5,11.2,-1.5,0.0,9.2,,,,1.7,,,,,
2016-01-17,5.0,8.9,-1.5,1.0,3.1,,,,2.6,,,,,
2016-01-18,5.1,12.8,0.5,61.0,0.8,,,,4.0,,,,,
2016-01-19,5.6,9.1,-1.1,0.0,9.3,,,,3.5,,,,,
2016-01-20,3.9,7.9,-2.1,0.0,8.9,,,,2.4,,,,,
2016-01-21,3.7,9.0,-3.7,0.0,6.4,,,,1.4,,,,,
2016-01-22,4.0,9.6,-1.5,0.0,8.6,,,,1.7,,,,,
2016-01-23,2.2,4.8,-1.9,0.0,0.0,,,,1.8,,,,,
2016-01-24,2.6,8.2,-2.6,0.0,5.2,,,,2.0,,,,,
2016-01-25,1.4,7.3,-4.1,0.0,9.4,,,,1.5,,,,,
2016-01-26,0.9,9.5,-5.9,0.0,6.8,,,,1.2,,,,,
2016-01-27,3.0,12.1,-4.6,0.0,9.4,,,,1.4,,,,,
2016-01-28,4.0,13.7,-3.8,0.0,9.4,,,,1.1,,,,,
2016-01-29,3.9,7.5,-0.2,8.5,0.0,,,,3.9,,,,,
