calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.2,8.5,-2.2,0.0,7.3,,,,0.9,,,,,
2016-01-02,3.7,11.9,-2.6,0.0,3.4,,,,0.6,,,,,
2016-01-03,7.6,13.9,3.6,0.0,1.0,,,,0.5,,,,,
2016-01-04,6.5,13.8,2.5,0.0,5.3,,,,0.8,,,,,
2016-01-05,4.1,8.7,0.0,0.5,0.1,,,,0.5,,,,,
2016-01-06,5.1,9.0,0.1,0.0,0.1,,,,0.5,,,,,
2016-01-07,4.1,7.6,0.2,0.0,1.2,,,,1.2,,,,,
2016-01-08,2.6,4.5,0.6,2.0,0.0,,,,1.4,,,,,
2016-01-09,2.4,6.1,-2.2,0.0,3.1,,,,1.3,,,,,
2016-01-10,1.7,6.7,-2.0,0.0,0.8,,,,0.8,,,,,
2016-01-11,2.6,8.7,-2.4,0.0,2.8,,,,0.8,,,,,
2016-01-12,3.0,7.1,-0.4,0.5,5.8,,,,1.1,,,,,
2016-01-13,0.8,2.7,-2.6,6.0,0.2,,,,1.0,,,,,
2016-01-14,0.3,2.7,-2.7,6.0,0.5,,,,,,,,,
2016-01-15,-0.9,4.3,-4.4,0.0,4.1,,,,,,,,,
2016-01-16,-1.1,7.6,-6.4,0.0,7.4,,,,0.5,,,,,
2016-01-17,1.2,6.8,-4.1,7.0,0.0,,,,0.7,,,,,
2016-01-18,3.6,8.5,-2.0,15.0,0.3,,,,2.9,,,,,
2016-01-19,-2.7,-1.4,-3.7,49.5,0.0,,,,3.3,,,,,
2016-01-20,-1.7,0.5,-4.2,2.5,0.2,,,,1.6,,,,,
2016-01-21,-1.3,3.3,-6.4,0.0,2.7,,,,0.7,,,,,
2016-01-22,0.4,5.5,-2.9,0.0,4.4,,,,0.8,,,,,
2016-01-23,-1.0,3.9,-4.4,6.5,1.9,,,,1.2,,,,,
2016-01-24,-6.5,-2.4,-9.8,6.0,0.0,,,,2.6,,,,,
2016-01-25,-2.9,-0.3,-6.5,1.5,2.0,,,,1.4,,,,,
2016-01-26,0.2,2.8,-2.6,3.5,0.0,,,,0.9,,,,,
2016-01-27,2.0,5.4,-1.4,0.0,1.2,,,,1.1,,,,,
2016-01-28,1.0,4.6,-1.9,4.0,0.1,,,,0.2,,,,,
2016-01-29,2.0,3.5,0.7,37.0,0.0,,,,0.4,,,,,
2016-01-30,2.6,6.2,-0.2,4.5,0.1,,,,1.0,,,,,
2016-01-31,1.4,8.0,-2.5,0.0,5.6,,,,0.9,,,,,
2016-02-01,2.0,5.0,-0.9,0.5,0.0,,,,0.7,,,,,
2016-02-02,1.7,6.0,-2.3,0.0,5.0,,,,1.6,,,,,
2016-02-03,-0.1,5.9,-4.5,0.0,3.5,,,,1.0,,,,,
2016-02-04,1.6,6.8,-1.6,0.0,6.7,,,,1.2,,,,,
2016-02-05,1.0,8.4,-3.0,0.0,5.0,,,,0.9,,,,,
2016-02-06,-0.1,4.6,-3.9,0.5,1.8,,,,1.2,,,,,
2016-02-07,0.4,5.2,-4.7,0.0,7.2,,,,1.5,,,,,
2016-02-08,-0.1,6.5,-6.1,0.0,6.8,,,,1.0,,,,,
2016-02-09,3.7,6.7,-1.6,0.0,1.7,,,,2.4,,,,,
2016-02-10,0.6,8.6,-5.4,0.0,8.9,,,,1.0,,,,,
2016-02-11,2.3,13.8,-5.8,0.0,8.9,,,,0.9,,,,,
2016-02-12,7.7,11.8,-0.9,0.5,0.4,,,,2.2,,,,,
2016-02-13,12.1,14.6,9.0,35.0,0.0,,,,0.7,,,,,
