calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.4,11.5,2.1,0.0,4.9,,,,0.9,,,,,
2016-01-02,6.2,13.3,1.3,0.0,3.0,,,,0.8,,,,,
2016-01-03,10.5,15.9,8.0,0.0,1.2,,,,0.5,,,,,
2016-01-04,9.6,16.3,5.5,0.0,2.0,,,,1.2,,,,,
2016-01-05,7.9,10.6,6.0,1.5,0.1,,,,0.6,,,,,
2016-01-06,8.1,10.7,6.4,0.5,0.0,,,,0.6,,,,,
2016-01-07,7.7,10.6,5.7,0.5,1.0,,,,1.6,,,,,
2016-01-08,5.7,10.4,3.1,1.0,0.5,,,,1.3,,,,,
2016-01-09,5.7,10.3,2.7,0.0,1.8,,,,1.0,,,,,
2016-01-10,4.7,10.7,0.8,0.0,2.2,,,,1.0,,,,,
2016-01-11,5.6,12.0,0.5,0.0,2.9,,,,0.8,,,,,
2016-01-12,7.3,11.2,3.9,0.0,3.7,,,,1.8,,,,,
2016-01-13,5.3,8.8,1.9,2.0,1.0,,,,2.2,,,,,
2016-01-14,3.5,7.7,1.0,8.5,0.6,,,,1.4,,,,,
2016-01-15,3.3,9.2,-0.6,0.0,2.5,,,,0.9,,,,,
2016-01-16,3.2,12.4,-0.5,0.0,6.3,,,,0.9,,,,,
2016-01-17,2.7,5.8,-0.5,6.5,0.0,,,,0.5,,,,,
2016-01-18,7.4,11.4,2.1,11.5,1.7,,,,4.4,,,,,
2016-01-19,2.9,5.1,0.7,2.0,1.8,,,,6.6,,,,,
2016-01-20,2.9,5.2,-1.0,0.5,0.0,,,,2.8,,,,,
2016-01-21,2.8,8.1,-1.8,0.0,1.3,,,,0.8,,,,,
2016-01-22,4.6,10.3,1.3,0.0,3.7,,,,1.3,,,,,
2016-01-23,3.2,8.7,0.4,2.5,1.0,,,,1.5,,,,,
2016-01-24,-2.3,1.7,-3.9,16.5,0.0,,,,3.3,,,,,
2016-01-25,0.4,2.8,-1.3,6.0,0.8,,,,1.5,,,,,
2016-01-26,1.0,3.1,-0.3,0.0,0.0,,,,0.3,,,,,
2016-01-27,2.4,7.2,-0.1,0.0,1.0,,,,0.7,,,,,
2016-01-28,3.1,5.3,1.0,4.0,0.0,,,,0.5,,,,,
2016-01-29,8.2,11.3,4.2,47.0,0.0,,,,0.6,,,,,
2016-01-30,8.7,11.3,3.0,2.0,1.1,,,,1.5,,,,,
2016-01-31,6.0,13.3,2.1,0.0,5.1,,,,1.1,,,,,
2016-02-01,5.8,8.6,3.1,0.0,0.0,,,,0.8,,,,,
2016-02-02,5.4,9.4,1.5,0.0,3.2,,,,1.7,,,,,
2016-02-03,4.5,10.9,1.3,0.0,2.8,,,,1.4,,,,,
2016-02-04,5.4,10.7,1.6,0.0,7.0,,,,1.4,,,,,
2016-02-05,4.2,11.5,-0.1,0.0,4.8,,,,1.0,,,,,
2016-02-06,3.5,8.0,-1.1,0.0,1.0,,,,1.8,,,,,
2016-02-07,3.8,9.6,-1.5,0.0,8.9,,,,1.7,,,,,
2016-02-08,3.4,11.2,-2.9,0.0,8.6,,,,1.1,,,,,
2016-02-09,6.7,11.2,1.2,0.0,5.3,,,,3.3,,,,,
2016-02-10,4.4,12.9,-2.4,0.0,10.1,,,,1.3,,,,,
2016-02-11,5.6,17.3,-2.7,0.0,9.9,,,,1.0,,,,,
2016-02-12,11.7,17.3,1.9,0.5,0.1,,,,1.5,,,,,
2016-02-13,16.5,20.8,12.3,32.5,0.0,,,,2.2,,,,,
2016-02-14,12.9,19.3,7.9,1.0,0.0,,,,2.4,,,,,
2016-02-15,5.0,8.0,1.2,0.5,2.2,,,,4.1,,,,,
2016-02-16,2.3,5.0,0.3,7.0,1.3,,,,1.3,,,,,
2016-02-17,5.1,8.6,-0.1,0.5,3.3,,,,2.1,,,,,
2016-02-18,4.2,13.1,-2.2,0.0,6.6,,,,1.1,,,,,
2016-02-19,6.6,15.2,0.3,0.0,3.4,,,,1.0,,,,,
2016-02-20,8.2,10.8,6.5,27.0,0.7,,,,1.4,,,,,
2016-02-21,6.9,10.1,2.3,0.5,8.1,,,,2.9,,,,,
2016-02-22,5.9,12.7,0.0,0.5,2.9,,,,1.2,,,,,
2016-02-23,6.2,9.6,3.3,3.5,0.2,,,,0.7,,,,,
2016-02-24,5.5,11.0,1.2,2.5,3.3,,,,1.3,,,,,
2016-02-25,4.4,8.2,0.9,0.0,2.2,,,,1.2,,,,,
2016-02-26,3.4,10.1,-1.9,0.0,8.4,,,,1.2,,,,,
2016-02-27,6.0,16.7,-1.5,0.0,5.7,,,,1.3,,,,,
2016-02-28,9.1,18.9,3.6,0.0,7.0,,,,1.6,,,,,
2016-02-29,6.1,11.8,2.1,1.0,0.4,,,,4.3,,,,,
2016-03-01,3.1,7.0,0.2,0.0,1.9,,,,1.5,,,,,
2016-03-02,4.8,13.5,-1.2,0.0,8.1,,,,1.1,,,,,
2016-03-03,6.3,16.4,-2.3,0.0,10.7,,,,1.2,,,,,
2016-03-04,9.9,20.1,2.9,0.0,3.4,,,,0.7,,,,,
2016-03-05,14.2,22.4,6.2,0.0,3.3,,,,1.7,,,,,
2016-03-06,17.5,21.3,12.7,0.0,0.0,,,,1.9,,,,,
2016-03-07,16.0,24.5,10.6,0.0,7.8,,,,1.3,,,,,
2016-03-08,14.3,22.6,8.2,0.0,6.6,,,,1.3,,,,,
2016-03-09,10.6,13.1,9.2,42.5,0.5,,,,2.3,,,,,
2016-03-10,8.7,12.3,6.2,0.0,0.7,,,,1.6,,,,,
2016-03-11,8.0,12.3,5.2,0.0,7.3,,,,2.1,,,,,
2016-03-12,6.4,11.6,1.5,1.5,10.0,,,,1.9,,,,,
2016-03-13,6.2,12.6,-0.2,3.5,1.2,,,,0.7,,,,,
2016-03-14,8.2,11.4,6.4,5.0,1.3,,,,3.0,,,,,
2016-03-15,8.4,13.9,3.5,0.0,10.8,,,,2.5,,,,,
