calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,12.2,-0.4,0.0,7.1,,,,1.9,,,,,
2016-01-02,10.3,14.7,4.4,0.0,3.7,,,,2.5,,,,,
2016-01-03,9.6,15.4,5.6,0.0,5.4,,,,1.5,,,,,
2016-01-04,10.3,15.9,4.8,0.0,4.6,,,,2.2,,,,,
2016-01-05,7.1,12.9,2.6,0.5,0.3,,,,1.3,,,,,
2016-01-06,7.0,11.3,3.8,0.0,0.3,,,,1.3,,,,,
2016-01-07,7.9,12.6,3.4,0.0,6.5,,,,2.2,,,,,
2016-01-08,8.1,10.3,5.6,0.0,1.1,,,,5.1,,,,,
2016-01-09,5.8,10.6,-0.7,0.0,5.0,,,,2.5,,,,,
2016-01-10,7.8,12.1,2.4,0.0,6.6,,,,2.8,,,,,
2016-01-11,6.3,11.1,1.3,0.0,2.3,,,,1.3,,,,,
2016-01-12,6.2,11.0,1.9,1.5,3.1,,,,1.0,,,,,
2016-01-13,5.1,8.7,1.2,0.0,3.6,,,,3.6,,,,,
2016-01-14,5.1,9.9,-0.3,0.0,4.5,,,,3.3,,,,,
2016-01-15,2.8,9.5,-1.0,0.0,4.4,,,,1.8,,,,,
2016-01-16,3.0,10.0,-2.3,0.0,8.4,,,,2.1,,,,,
2016-01-17,4.9,7.9,0.4,4.5,0.0,,,,3.0,,,,,
2016-01-18,6.9,12.3,2.4,8.5,3.0,,,,5.5,,,,,
2016-01-19,2.1,4.5,0.5,0.0,1.6,,,,7.4,,,,,
2016-01-20,3.1,7.1,-1.6,0.0,2.1,,,,3.2,,,,,
2016-01-21,3.5,8.8,-2.3,0.0,2.7,,,,1.5,,,,,
2016-01-22,4.8,9.5,0.9,0.0,3.9,,,,1.8,,,,,
2016-01-23,3.2,8.9,-1.5,0.5,3.0,,,,1.7,,,,,
2016-01-24,-1.3,0.9,-3.1,0.0,4.5,,,,5.3,,,,,
2016-01-25,2.3,5.9,-1.7,0.0,5.6,,,,4.5,,,,,
2016-01-26,5.8,7.7,0.8,0.0,0.2,,,,4.7,,,,,
2016-01-27,7.8,10.6,2.6,0.0,4.5,,,,4.6,,,,,
2016-01-28,7.2,11.3,2.1,4.5,0.6,,,,1.7,,,,,
2016-01-29,7.8,8.8,6.9,25.0,0.0,,,,1.8,,,,,
2016-01-30,7.5,10.2,3.0,5.5,0.0,,,,1.9,,,,,
2016-01-31,5.5,11.5,0.8,0.0,4.3,,,,2.3,,,,,
2016-02-01,6.2,9.6,2.7,0.0,0.0,,,,2.2,,,,,
2016-02-02,4.9,10.3,-1.4,0.0,4.1,,,,1.6,,,,,
2016-02-03,4.1,9.5,0.2,0.0,7.2,,,,2.1,,,,,
2016-02-04,4.3,10.8,-1.6,0.0,6.5,,,,2.7,,,,,
2016-02-05,4.1,10.7,-0.9,0.0,6.1,,,,1.8,,,,,
2016-02-06,4.1,10.1,-1.0,0.0,3.1,,,,1.8,,,,,
2016-02-07,2.2,9.4,-2.3,0.0,5.8,,,,1.6,,,,,
2016-02-08,4.9,9.8,-2.0,0.0,4.8,,,,3.2,,,,,
2016-02-09,7.9,11.6,-0.6,0.0,7.0,,,,5.2,,,,,
2016-02-10,4.2,12.1,-1.9,0.0,9.4,,,,2.1,,,,,
2016-02-11,5.4,12.0,0.2,0.0,9.2,,,,2.2,,,,,
2016-02-12,8.2,13.4,0.3,0.0,1.2,,,,1.5,,,,,
2016-02-13,12.0,14.2,9.7,34.0,0.0,,,,1.3,,,,,
2016-02-14,12.6,16.1,8.3,3.5,5.4,,,,6.4,,,,,
2016-02-15,5.3,8.7,1.4,0.0,3.4,,,,4.7,,,,,
2016-02-16,4.4,8.1,0.0,0.0,6.4,,,,5.2,,,,,
2016-02-17,4.6,8.7,-1.8,0.0,4.9,,,,3.6,,,,,
2016-02-18,3.6,10.9,-2.8,0.0,9.5,,,,2.2,,,,,
2016-02-19,7.6,13.7,0.6,0.0,3.0,,,,2.1,,,,,
2016-02-20,7.7,9.2,6.7,22.5,0.0,,,,1.1,,,,,
2016-02-21,5.5,10.5,0.5,0.0,9.2,,,,2.0,,,,,
2016-02-22,4.5,9.8,-1.8,0.0,2.9,,,,1.7,,,,,
2016-02-23,5.5,9.6,1.8,0.0,0.5,,,,1.2,,,,,
2016-02-24,4.4,7.6,1.6,0.0,0.7,,,,2.1,,,,,
2016-02-25,3.1,8.9,-2.4,0.5,5.4,,,,1.7,,,,,
2016-02-26,3.1,9.7,-3.8,0.0,9.3,,,,2.6,,,,,
2016-02-27,6.2,15.0,0.5,0.5,4.6,,,,2.5,,,,,
2016-02-28,7.7,14.7,2.8,0.0,7.7,,,,2.0,,,,,
2016-02-29,6.6,13.9,0.2,0.5,3.1,,,,4.0,,,,,
2016-03-01,1.6,6.8,-2.4,0.0,4.2,,,,1.6,,,,,
2016-03-02,3.5,11.3,-2.9,0.0,9.5,,,,2.3,,,,,
2016-03-03,7.8,15.1,0.0,0.0,10.4,,,,2.6,,,,,
2016-03-04,8.9,14.4,2.9,0.0,2.6,,,,2.0,,,,,
2016-03-05,11.1,19.4,4.2,0.0,7.8,,,,2.1,,,,,
2016-03-06,13.2,18.8,7.2,0.0,0.2,,,,1.8,,,,,
2016-03-07,14.4,21.5,9.2,0.0,6.5,,,,1.7,,,,,
2016-03-08,12.7,17.7,8.2,0.0,1.1,,,,1.3,,,,,
2016-03-09,8.1,12.0,3.8,52.5,0.0,,,,2.4,,,,,
2016-03-10,7.0,10.6,3.9,0.0,1.5,,,,1.8,,,,,
2016-03-11,6.8,11.6,3.1,0.5,3.5,,,,1.8,,,,,
2016-03-12,5.4,12.1,0.1,0.0,8.8,,,,1.9,,,,,
2016-03-13,6.4,10.7,1.8,5.0,1.0,,,,1.8,,,,,
2016-03-14,5.8,10.3,1.7,8.5,0.9,,,,1.5,,,,,
2016-03-15,5.8,13.5,-0.1,0.0,10.5,,,,1.9,,,,,
2016-03-16,8.4,16.1,2.8,0.0,7.4,,,,2.1,,,,,
2016-03-17,10.6,18.8,2.9,0.0,10.4,,,,2.0,,,,,
2016-03-18,10.7,13.8,7.1,8.0,0.0,,,,1.2,,,,,
2016-03-19,12.5,18.4,6.2,2.5,1.8,,,,1.0,,,,,
2016-03-20,8.9,15.9,2.8,0.0,10.8,,,,1.7,,,,,
2016-03-21,7.2,15.0,0.6,0.0,10.8,,,,2.0,,,,,
2016-03-22,8.2,17.0,1.2,0.0,10.8,,,,2.2,,,,,
2016-03-23,11.3,18.5,3.9,0.0,8.7,,,,2.2,,,,,
2016-03-24,8.6,14.2,1.8,0.0,8.4,,,,2.8,,,,,
2016-03-25,6.0,12.6,-1.1,0.0,10.2,,,,1.7,,,,,
2016-03-26,5.7,13.2,-0.7,0.0,10.9,,,,2.5,,,,,
2016-03-27,7.5,14.5,0.8,0.0,9.8,,,,2.7,,,,,
2016-03-28,8.3,15.4,2.5,0.0,8.7,,,,2.1,,,,,
2016-03-29,10.4,16.6,2.5,0.0,6.4,,,,2.6,,,,,
2016-03-30,12.7,19.4,6.0,0.0,4.3,,,,2.2,,,,,
2016-03-31,13.1,20.0,7.1,1.0,4.5,,,,1.5,,,,,
2016-04-01,13.3,15.1,9.4,10.0,0.0,,,,2.3,,,,,
2016-04-02,14.6,21.5,9.1,0.0,6.2,,,,1.6,,,,,
2016-04-03,14.7,20.5,10.3,6.5,0.8,,,,1.4,,,,,
2016-04-04,14.9,19.7,12.0,21.5,0.2,,,,1.0,,,,,
2016-04-05,12.2,17.0,6.7,0.0,4.1,,,,1.5,,,,,
2016-04-06,13.2,21.0,5.9,0.5,7.1,,,,1.8,,,,,
2016-04-07,15.0,20.6,10.9,42.5,0.0,,,,2.5,,,,,
2016-04-08,13.0,18.9,8.4,0.0,4.5,,,,1.4,,,,,
2016-04-09,14.0,21.6,7.8,0.0,9.6,,,,1.6,,,,,
2016-04-10,14.2,20.8,9.2,0.0,1.5,,,,1.2,,,,,
2016-04-11,12.1,16.9,7.1,0.0,8.9,,,,2.6,,,,,
2016-04-12,9.2,15.8,2.1,0.0,9.6,,,,2.0,,,,,
2016-04-13,13.4,22.1,5.8,14.5,5.2,,,,1.5,,,,,
2016-04-14,16.4,23.6,10.9,0.0,9.8,,,,1.7,,,,,
2016-04-15,13.5,20.5,7.3,0.0,11.4,,,,2.2,,,,,
2016-04-16,13.9,22.0,6.1,0.0,8.9,,,,2.0,,,,,
2016-04-17,16.9,22.6,12.7,19.5,9.2,,,,4.5,,,,,
2016-04-18,13.3,18.0,6.8,0.0,0.4,,,,2.5,,,,,
2016-04-19,13.0,20.5,5.2,0.0,11.3,,,,2.6,,,,,
2016-04-20,13.9,21.6,7.5,0.0,10.7,,,,2.2,,,,,
2016-04-21,13.8,16.2,11.7,42.0,0.0,,,,1.9,,,,,
2016-04-22,17.1,23.4,11.9,0.0,10.8,,,,1.7,,,,,
2016-04-23,15.1,20.9,10.3,3.0,1.9,,,,0.8,,,,,
2016-04-24,14.6,21.1,9.5,0.0,2.9,,,,1.2,,,,,
2016-04-25,14.1,21.3,7.8,0.0,4.1,,,,1.9,,,,,
2016-04-26,16.5,24.7,9.3,0.0,10.3,,,,1.8,,,,,
2016-04-27,16.8,19.0,14.7,4.5,0.0,,,,2.9,,,,,
2016-04-28,14.4,16.8,8.1,11.5,0.0,,,,1.7,,,,,
2016-04-29,11.9,20.5,6.0,0.5,9.7,,,,1.7,,,,,
2016-04-30,13.6,22.2,5.1,0.0,11.9,,,,2.4,,,,,
2016-05-01,16.5,24.9,9.7,0.0,12.0,,,,1.9,,,,,
2016-05-02,17.3,25.4,9.8,0.0,11.8,,,,1.9,,,,,
2016-05-03,16.0,20.4,12.4,11.0,0.0,,,,2.3,,,,,
2016-05-04,19.3,23.9,14.1,0.5,12.0,,,,6.8,,,,,
2016-05-05,18.3,23.9,12.3,0.0,10.4,,,,3.7,,,,,
2016-05-06,14.8,16.1,12.6,2.0,0.0,,,,1.4,,,,,
2016-05-07,17.2,23.1,12.1,0.0,4.0,,,,1.6,,,,,
2016-05-08,16.8,24.5,9.6,0.0,8.3,,,,2.2,,,,,
2016-05-09,14.7,16.3,12.6,19.5,0.0,,,,1.4,,,,,
2016-05-10,16.9,18.6,15.4,8.0,0.0,,,,1.7,,,,,
2016-05-11,16.3,21.3,9.2,1.0,3.0,,,,2.2,,,,,
2016-05-12,15.1,23.9,8.6,0.0,12.4,,,,2.1,,,,,
2016-05-13,17.5,25.2,9.8,0.0,10.8,,,,1.8,,,,,
2016-05-14,18.5,26.3,12.2,0.0,12.0,,,,1.9,,,,,
2016-05-15,19.9,25.5,14.3,0.0,4.0,,,,1.6,,,,,
2016-05-16,17.3,22.7,11.8,20.5,0.4,,,,1.4,,,,,
2016-05-17,15.1,24.5,7.6,0.0,12.4,,,,1.7,,,,,
2016-05-18,16.8,26.8,9.0,0.0,12.7,,,,2.3,,,,,
2016-05-19,17.8,25.4,10.3,0.0,11.6,,,,1.8,,,,,
2016-05-20,19.0,27.3,12.6,0.0,11.7,,,,1.6,,,,,
2016-05-21,18.4,26.0,12.1,0.0,11.7,,,,1.5,,,,,
2016-05-22,19.3,28.0,12.3,0.0,12.1,,,,1.9,,,,,
2016-05-23,19.4,28.3,13.1,0.0,12.4,,,,1.8,,,,,
2016-05-24,19.6,26.4,12.1,0.5,5.9,,,,1.4,,,,,
2016-05-25,19.0,21.9,17.1,2.0,0.0,,,,1.2,,,,,
2016-05-26,21.9,27.3,17.4,0.0,0.9,,,,1.2,,,,,
2016-05-27,22.2,29.0,17.9,0.0,7.7,,,,1.2,,,,,
2016-05-28,19.2,22.3,17.6,0.5,0.2,,,,1.0,,,,,
2016-05-29,18.8,20.4,17.6,8.5,0.0,,,,0.9,,,,,
2016-05-30,20.9,27.8,16.0,1.0,7.5,,,,1.3,,,,,
2016-05-31,20.1,27.0,14.0,0.0,11.0,,,,1.8,,,,,
2016-06-01,19.4,26.3,12.2,0.0,7.6,,,,2.1,,,,,
2016-06-02,17.2,25.6,10.4,0.0,12.8,,,,1.9,,,,,
2016-06-03,18.5,26.8,10.4,0.0,12.2,,,,1.9,,,,,
2016-06-04,17.7,21.1,14.6,11.0,0.0,,,,2.2,,,,,
2016-06-05,17.9,21.1,16.0,26.5,0.0,,,,3.0,,,,,
2016-06-06,20.5,25.1,17.0,0.0,2.4,,,,1.3,,,,,
2016-06-07,19.8,23.5,18.4,9.5,2.6,,,,2.0,,,,,
2016-06-08,21.7,26.2,19.2,0.0,3.7,,,,1.8,,,,,
2016-06-09,21.1,26.9,18.6,10.0,3.6,,,,1.1,,,,,
2016-06-10,22.4,29.1,17.2,0.0,12.3,,,,1.7,,,,,
2016-06-11,22.9,28.3,18.0,0.0,5.7,,,,1.5,,,,,
2016-06-12,21.7,24.5,19.6,69.0,0.0,,,,2.5,,,,,
2016-06-13,21.6,24.9,19.3,6.5,1.6,,,,1.0,,,,,
2016-06-14,22.5,30.0,17.5,0.0,11.9,,,,1.5,,,,,
2016-06-15,23.0,29.3,18.2,0.0,5.2,,,,1.4,,,,,
2016-06-16,21.9,23.9,20.4,6.0,0.0,,,,1.7,,,,,
2016-06-17,21.7,25.7,17.2,0.0,7.4,,,,2.6,,,,,
2016-06-18,22.1,28.5,16.0,0.0,12.1,,,,1.5,,,,,
2016-06-19,21.5,25.6,19.8,37.0,1.8,,,,1.7,,,,,
2016-06-20,22.5,26.5,20.9,17.0,1.0,,,,1.6,,,,,
2016-06-21,22.3,26.5,20.3,77.0,1.4,,,,1.6,,,,,
2016-06-22,21.6,23.2,19.9,69.0,0.0,,,,1.1,,,,,
2016-06-23,23.8,28.7,21.0,45.0,7.6,,,,1.8,,,,,
2016-06-24,21.8,24.7,20.5,27.5,0.0,,,,2.4,,,,,
2016-06-25,22.0,24.8,20.1,1.0,0.0,,,,4.1,,,,,
2016-06-26,21.6,26.1,17.2,0.0,12.7,,,,3.5,,,,,
2016-06-27,19.9,25.0,15.6,36.0,4.6,,,,1.4,,,,,
2016-06-28,20.2,24.2,18.3,17.5,0.6,,,,1.0,,,,,
2016-06-29,21.0,22.3,19.9,67.5,0.0,,,,1.2,,,,,
2016-06-30,22.5,25.8,19.7,0.0,1.0,,,,1.1,,,,,
2016-07-01,23.7,30.4,18.9,0.0,8.3,,,,0.9,,,,,
2016-07-02,25.7,32.1,20.9,0.0,8.8,,,,1.3,,,,,
2016-07-03,27.7,32.6,23.7,0.0,9.9,,,,2.7,,,,,
2016-07-04,26.8,33.1,22.5,0.0,11.1,,,,1.5,,,,,
2016-07-05,27.2,32.8,23.2,0.0,12.3,,,,1.6,,,,,
2016-07-06,26.4,32.0,22.3,0.0,9.9,,,,1.4,,,,,
2016-07-07,25.9,31.7,21.6,0.0,11.5,,,,1.5,,,,,
2016-07-08,22.5,23.2,21.3,87.5,0.0,,,,1.8,,,,,
2016-07-09,23.2,27.3,21.2,30.0,2.8,,,,1.1,,,,,
2016-07-10,25.5,30.5,22.7,0.0,5.4,,,,1.0,,,,,
2016-07-11,24.5,28.4,22.1,6.5,0.4,,,,1.2,,,,,
2016-07-12,26.2,31.0,22.8,0.0,4.2,,,,1.3,,,,,
2016-07-13,24.9,26.5,23.9,31.0,0.0,,,,2.7,,,,,
2016-07-14,25.7,30.4,23.0,0.5,6.9,,,,2.1,,,,,
2016-07-15,23.2,28.2,18.5,0.0,3.9,,,,1.4,,,,,
2016-07-16,22.9,28.3,17.9,0.0,6.4,,,,1.5,,,,,
2016-07-17,23.9,28.7,21.6,5.5,4.9,,,,1.3,,,,,
2016-07-18,24.7,29.9,20.4,0.0,12.4,,,,1.7,,,,,
2016-07-19,25.1,30.9,20.9,0.0,11.3,,,,1.5,,,,,
2016-07-20,25.8,31.4,21.8,0.0,11.0,,,,1.6,,,,,
2016-07-21,25.8,31.1,22.2,0.0,9.0,,,,1.5,,,,,
2016-07-22,24.7,31.4,20.8,0.0,7.3,,,,1.5,,,,,
2016-07-23,25.7,32.3,20.6,0.0,11.1,,,,1.6,,,,,
2016-07-24,25.8,31.4,21.6,0.0,8.5,,,,1.4,,,,,
2016-07-25,25.6,31.3,22.7,0.0,0.8,,,,1.1,,,,,
2016-07-26,25.7,31.8,21.7,0.0,7.4,,,,1.8,,,,,
2016-07-27,25.8,31.8,21.8,0.0,9.1,,,,1.4,,,,,
2016-07-28,26.4,32.8,21.4,0.0,11.0,,,,1.2,,,,,
2016-07-29,26.6,33.3,22.5,0.0,10.8,,,,1.3,,,,,
2016-07-30,26.8,32.8,22.5,0.0,10.1,,,,1.2,,,,,
2016-07-31,26.5,33.4,22.4,0.0,9.4,,,,1.2,,,,,
2016-08-01,26.7,32.6,22.2,0.0,11.0,,,,1.2,,,,,
2016-08-02,26.9,33.8,22.5,0.0,9.3,,,,1.5,,,,,
2016-08-03,26.7,34.4,22.4,0.0,8.5,,,,1.3,,,,,
2016-08-04,27.2,34.1,22.5,0.0,10.6,,,,1.5,,,,,
2016-08-05,27.3,35.4,22.6,0.0,10.6,,,,1.2,,,,,
2016-08-06,27.8,35.1,23.1,0.0,10.6,,,,1.5,,,,,
2016-08-07,27.7,33.6,23.2,0.0,9.1,,,,1.5,,,,,
2016-08-08,27.5,33.3,22.9,0.0,9.0,,,,1.2,,,,,
2016-08-09,28.1,35.1,23.1,0.0,11.2,,,,1.4,,,,,
