calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.6,11.1,6.5,0.0,5.7,,,,1.3,,,,,
2016-01-02,11.1,14.7,7.4,0.0,2.8,,,,3.5,,,,,
2016-01-03,13.0,15.5,11.6,0.0,1.1,,,,2.6,,,,,
2016-01-04,12.8,14.6,11.2,0.0,8.6,,,,3.5,,,,,
2016-01-05,10.5,12.9,7.8,2.0,0.1,,,,2.2,,,,,
2016-01-06,9.6,10.5,8.0,0.0,0.0,,,,2.6,,,,,
2016-01-07,8.7,9.6,7.2,0.0,2.0,,,,5.3,,,,,
2016-01-08,6.9,8.5,4.9,1.0,0.0,,,,4.1,,,,,
2016-01-09,6.6,8.2,4.8,0.0,1.1,,,,3.0,,,,,
2016-01-10,8.1,9.5,6.9,0.0,5.4,,,,3.7,,,,,
2016-01-11,8.7,10.8,7.0,0.0,2.5,,,,2.2,,,,,
2016-01-12,7.9,8.9,6.9,0.0,5.4,,,,4.1,,,,,
2016-01-13,6.2,7.7,5.1,0.0,5.0,,,,4.5,,,,,
2016-01-14,5.8,6.9,4.0,1.0,1.2,,,,4.5,,,,,
2016-01-15,6.6,8.5,5.2,0.0,4.5,,,,2.7,,,,,
2016-01-16,6.9,9.5,4.2,0.0,9.2,,,,2.0,,,,,
2016-01-17,7.5,9.2,6.2,13.0,0.0,,,,3.0,,,,,
2016-01-18,6.5,9.9,1.9,14.5,3.4,,,,7.8,,,,,
2016-01-19,1.7,3.1,0.0,0.5,6.3,,,,9.5,,,,,
2016-01-20,2.9,4.3,0.1,0.0,1.4,,,,6.8,,,,,
2016-01-21,5.5,7.0,3.7,0.0,0.6,,,,3.0,,,,,
2016-01-22,6.7,8.8,4.9,0.0,2.7,,,,3.2,,,,,
2016-01-23,4.9,7.5,-0.2,1.0,0.6,,,,4.5,,,,,
2016-01-24,-2.8,1.1,-4.8,14.0,0.8,,,,7.8,,,,,
2016-01-25,1.2,3.3,-2.3,0.5,2.9,,,,4.4,,,,,
2016-01-26,5.4,7.0,3.1,0.0,0.6,,,,3.0,,,,,
2016-01-27,7.8,10.0,6.0,0.0,2.5,,,,2.8,,,,,
2016-01-28,9.5,13.7,7.0,4.0,0.0,,,,3.1,,,,,
2016-01-29,11.7,14.9,9.0,54.0,0.0,,,,6.6,,,,,
2016-01-30,8.9,9.7,8.2,1.5,3.1,,,,2.6,,,,,
2016-01-31,8.6,10.6,6.3,0.0,6.4,,,,2.4,,,,,
2016-02-01,7.2,8.4,6.1,0.0,0.0,,,,3.4,,,,,
2016-02-02,6.0,7.5,4.9,0.0,1.9,,,,5.0,,,,,
2016-02-03,5.6,7.7,3.6,5.5,2.2,,,,1.9,,,,,
2016-02-04,6.8,8.4,4.9,0.0,9.2,,,,3.8,,,,,
2016-02-05,7.4,9.2,6.2,0.0,4.3,,,,4.4,,,,,
2016-02-06,5.5,6.8,3.9,0.0,2.2,,,,5.5,,,,,
2016-02-07,5.0,6.9,2.6,0.0,8.2,,,,3.2,,,,,
2016-02-08,6.6,9.0,3.7,0.0,9.2,,,,2.5,,,,,
2016-02-09,8.0,9.9,6.2,0.0,8.2,,,,5.8,,,,,
2016-02-10,7.5,10.2,6.2,0.0,9.6,,,,2.5,,,,,
2016-02-11,8.8,11.2,5.9,0.0,9.5,,,,2.6,,,,,
2016-02-12,13.7,15.5,10.7,0.0,0.0,,,,8.6,,,,,
2016-02-13,15.6,17.5,14.0,39.0,0.0,,,,9.3,,,,,
2016-02-14,11.5,17.1,6.4,0.5,2.8,,,,6.0,,,,,
2016-02-15,2.9,6.4,0.3,0.5,0.3,,,,7.4,,,,,
2016-02-16,3.4,6.0,0.5,0.5,2.5,,,,3.8,,,,,
2016-02-17,5.6,7.0,4.6,0.0,3.4,,,,4.9,,,,,
2016-02-18,6.9,10.6,3.6,0.0,9.4,,,,3.1,,,,,
2016-02-19,9.9,13.9,6.1,0.0,5.9,,,,2.0,,,,,
2016-02-20,8.0,10.7,6.8,29.0,0.0,,,,4.4,,,,,
2016-02-21,6.4,8.4,4.9,0.0,6.7,,,,5.2,,,,,
2016-02-22,6.1,9.5,4.1,0.5,1.9,,,,2.1,,,,,
2016-02-23,6.7,8.3,4.8,2.5,0.0,,,,2.0,,,,,
2016-02-24,6.9,8.5,4.4,0.0,2.0,,,,2.2,,,,,
2016-02-25,4.3,6.1,3.4,2.5,2.5,,,,3.2,,,,,
2016-02-26,5.8,8.5,3.0,0.0,8.8,,,,2.4,,,,,
2016-02-27,9.1,15.6,4.6,0.0,5.1,,,,4.5,,,,,
2016-02-28,12.1,16.5,7.2,0.0,10.0,,,,5.2,,,,,
2016-02-29,5.8,13.9,-0.3,3.5,1.0,,,,7.4,,,,,
2016-03-01,2.7,5.0,0.2,2.0,2.1,,,,4.4,,,,,
2016-03-02,6.5,9.5,3.6,0.0,10.4,,,,2.6,,,,,
2016-03-03,9.5,13.4,5.6,0.0,10.6,,,,2.2,,,,,
2016-03-04,12.7,18.0,8.5,0.0,4.1,,,,3.8,,,,,
2016-03-05,14.8,18.7,10.3,0.0,5.4,,,,7.8,,,,,
2016-03-06,15.2,16.4,13.7,0.0,0.0,,,,10.1,,,,,
2016-03-07,13.7,16.5,12.2,0.0,7.6,,,,4.4,,,,,
2016-03-08,12.6,15.1,11.4,0.0,7.6,,,,4.8,,,,,
2016-03-09,9.1,11.8,7.7,41.0,0.1,,,,4.1,,,,,
2016-03-10,8.1,9.8,7.0,0.0,0.6,,,,2.7,,,,,
2016-03-11,7.4,10.1,5.8,0.0,6.2,,,,3.5,,,,,
2016-03-12,6.6,9.0,3.5,2.0,7.9,,,,2.7,,,,,
2016-03-13,7.5,9.8,5.8,4.0,1.5,,,,2.2,,,,,
2016-03-14,7.3,9.7,5.8,4.0,1.8,,,,2.9,,,,,
2016-03-15,7.8,10.2,6.2,0.0,10.6,,,,2.7,,,,,
2016-03-16,10.8,16.3,7.4,0.0,7.3,,,,2.7,,,,,
2016-03-17,13.3,19.5,8.7,0.0,10.8,,,,4.8,,,,,
2016-03-18,14.1,15.8,12.6,13.5,0.0,,,,10.1,,,,,
2016-03-19,12.6,16.0,10.4,0.0,0.4,,,,3.4,,,,,
2016-03-20,10.2,12.6,8.0,0.0,10.9,,,,2.7,,,,,
2016-03-21,8.9,11.0,6.7,0.0,11.0,,,,3.2,,,,,
2016-03-22,11.0,15.7,7.8,0.0,10.8,,,,3.4,,,,,
2016-03-23,12.0,14.3,9.3,0.0,3.8,,,,3.1,,,,,
2016-03-24,9.5,12.1,6.4,0.0,8.0,,,,3.5,,,,,
2016-03-25,7.6,10.7,5.3,0.0,10.6,,,,3.2,,,,,
2016-03-26,8.5,11.3,5.5,0.0,11.2,,,,3.3,,,,,
2016-03-27,9.7,13.2,8.2,0.0,8.3,,,,2.8,,,,,
2016-03-28,10.8,13.9,8.1,0.0,9.3,,,,2.7,,,,,
2016-03-29,12.0,16.1,7.7,0.0,5.6,,,,3.7,,,,,
2016-03-30,13.9,17.1,10.7,0.0,1.9,,,,4.2,,,,,
2016-03-31,13.3,15.8,11.3,7.0,3.1,,,,2.4,,,,,
2016-04-01,12.3,12.9,11.4,14.0,0.0,,,,4.5,,,,,
2016-04-02,15.2,20.6,11.2,0.0,9.2,,,,3.0,,,,,
2016-04-03,14.9,17.7,13.6,14.0,0.0,,,,2.4,,,,,
2016-04-04,13.8,15.3,11.7,21.5,0.0,,,,4.2,,,,,
2016-04-05,12.4,16.0,11.3,0.0,4.5,,,,3.7,,,,,
2016-04-06,13.9,18.2,11.1,3.5,4.8,,,,4.0,,,,,
2016-04-07,15.7,19.2,12.6,15.0,0.0,,,,8.6,,,,,
2016-04-08,13.2,15.8,11.9,0.0,3.2,,,,3.8,,,,,
2016-04-09,15.5,19.6,11.8,0.0,5.5,,,,4.0,,,,,
2016-04-10,15.0,17.4,13.4,0.0,2.3,,,,3.2,,,,,
2016-04-11,12.8,15.9,9.8,0.0,8.0,,,,3.5,,,,,
2016-04-12,12.1,17.2,7.7,0.0,9.8,,,,4.9,,,,,
2016-04-13,15.0,18.3,12.5,9.0,1.5,,,,6.6,,,,,
2016-04-14,15.0,19.4,12.8,0.0,6.9,,,,4.3,,,,,
2016-04-15,15.0,18.6,12.4,0.0,11.3,,,,3.2,,,,,
2016-04-16,16.1,19.9,11.5,0.0,7.3,,,,10.4,,,,,
2016-04-17,16.9,22.5,12.5,5.5,10.8,,,,8.4,,,,,
2016-04-18,13.2,14.9,12.2,0.0,0.0,,,,3.9,,,,,
2016-04-19,14.3,17.8,10.3,0.0,12.2,,,,3.1,,,,,
2016-04-20,15.8,21.0,10.5,0.0,10.0,,,,6.6,,,,,
2016-04-21,16.9,19.5,14.5,27.0,0.0,,,,9.4,,,,,
2016-04-22,16.9,20.3,14.0,0.0,9.6,,,,2.9,,,,,
2016-04-23,15.2,18.0,12.7,5.0,3.5,,,,2.7,,,,,
2016-04-24,13.8,16.4,12.6,0.0,0.1,,,,2.5,,,,,
2016-04-25,13.8,15.7,12.6,1.0,1.2,,,,3.6,,,,,
2016-04-26,16.8,23.1,12.4,0.0,11.0,,,,3.4,,,,,
2016-04-27,16.7,19.0,14.8,19.5,0.0,,,,3.1,,,,,
2016-04-28,15.2,18.2,12.9,1.0,2.1,,,,4.1,,,,,
2016-04-29,13.9,17.0,11.2,0.0,12.0,,,,3.4,,,,,
2016-04-30,16.3,20.9,10.5,0.0,12.6,,,,4.5,,,,,
2016-05-01,18.1,23.3,14.4,0.0,12.5,,,,4.0,,,,,
2016-05-02,18.8,22.8,15.1,0.0,8.6,,,,7.0,,,,,
2016-05-03,17.9,20.4,14.9,19.5,0.0,,,,15.0,,,,,
2016-05-04,18.1,22.2,12.6,0.0,12.6,,,,4.8,,,,,
2016-05-05,18.6,20.8,15.6,0.0,9.6,,,,3.3,,,,,
2016-05-06,16.8,20.3,14.4,8.0,0.0,,,,8.6,,,,,
2016-05-07,18.0,22.2,15.0,0.0,5.0,,,,3.6,,,,,
2016-05-08,17.2,21.7,14.3,0.0,5.1,,,,5.2,,,,,
2016-05-09,14.6,17.3,13.5,28.0,0.0,,,,3.6,,,,,
2016-05-10,18.3,20.4,14.5,30.0,0.0,,,,7.2,,,,,
2016-05-11,15.5,20.1,13.6,0.0,7.3,,,,5.8,,,,,
2016-05-12,16.6,22.0,12.5,0.0,12.3,,,,4.4,,,,,
2016-05-13,18.9,22.9,16.2,0.0,11.5,,,,3.2,,,,,
2016-05-14,18.8,24.2,14.7,0.0,11.8,,,,4.8,,,,,
2016-05-15,21.1,25.0,19.2,0.0,5.5,,,,8.5,,,,,
2016-05-16,17.0,21.2,11.2,62.0,0.0,,,,10.2,,,,,
2016-05-17,15.7,18.3,12.7,0.0,12.8,,,,3.4,,,,,
2016-05-18,17.5,23.5,13.8,0.0,12.5,,,,4.1,,,,,
2016-05-19,19.4,23.0,16.4,0.0,9.4,,,,2.8,,,,,
2016-05-20,20.3,23.9,17.9,0.0,11.9,,,,3.5,,,,,
2016-05-21,19.4,22.8,16.2,0.0,10.9,,,,3.0,,,,,
2016-05-22,19.8,24.7,15.6,0.0,12.1,,,,4.1,,,,,
2016-05-23,20.9,25.2,17.5,0.0,12.9,,,,4.1,,,,,
2016-05-24,21.1,23.2,18.6,0.0,6.4,,,,11.3,,,,,
2016-05-25,19.6,21.4,17.1,37.0,0.0,,,,4.7,,,,,
2016-05-26,19.8,22.8,18.0,4.5,1.1,,,,3.1,,,,,
2016-05-27,19.6,22.3,17.3,0.0,4.6,,,,3.2,,,,,
2016-05-28,17.9,20.6,16.4,4.0,0.0,,,,2.6,,,,,
2016-05-29,18.3,20.4,17.2,36.0,0.0,,,,2.6,,,,,
2016-05-30,19.7,23.1,17.3,1.0,7.6,,,,3.7,,,,,
2016-05-31,21.3,25.4,17.6,0.0,11.6,,,,3.1,,,,,
2016-06-01,18.8,22.7,16.5,0.0,2.9,,,,3.3,,,,,
2016-06-02,18.1,21.5,15.4,0.0,13.3,,,,3.2,,,,,
2016-06-03,19.8,24.8,15.2,0.0,12.1,,,,5.3,,,,,
2016-06-04,18.4,20.7,16.4,28.5,0.0,,,,4.1,,,,,
2016-06-05,16.5,17.3,15.8,1.0,0.0,,,,3.9,,,,,
2016-06-06,19.6,23.0,16.9,0.0,2.3,,,,2.7,,,,,
2016-06-07,18.3,19.8,17.4,41.5,1.9,,,,4.2,,,,,
2016-06-08,20.5,25.7,17.6,0.5,3.6,,,,2.2,,,,,
2016-06-09,20.6,23.2,18.8,2.0,6.7,,,,3.0,,,,,
2016-06-10,21.1,26.2,17.8,0.0,6.7,,,,4.6,,,,,
2016-06-11,23.2,26.8,21.1,0.0,3.6,,,,5.8,,,,,
2016-06-12,20.9,23.4,19.0,14.5,0.0,,,,3.3,,,,,
2016-06-13,20.3,23.1,19.2,1.5,4.4,,,,3.0,,,,,
2016-06-14,21.9,26.1,19.0,0.0,10.1,,,,4.4,,,,,
2016-06-15,23.1,25.8,21.6,0.0,6.9,,,,8.0,,,,,
2016-06-16,21.4,24.2,19.4,12.0,0.0,,,,3.1,,,,,
2016-06-17,21.8,24.6,19.3,0.0,6.9,,,,1.8,,,,,
2016-06-18,22.5,26.6,19.3,0.0,11.1,,,,4.2,,,,,
2016-06-19,21.9,22.8,21.0,28.0,0.0,,,,7.0,,,,,
2016-06-20,21.9,22.7,21.2,135.0,0.0,,,,6.1,,,,,
2016-06-21,22.7,26.5,20.7,45.0,6.2,,,,4.0,,,,,
2016-06-22,22.7,23.7,21.1,82.0,0.0,,,,5.0,,,,,
2016-06-23,23.7,26.3,22.2,29.5,7.9,,,,3.9,,,,,
2016-06-24,23.7,26.4,21.7,3.0,1.1,,,,6.1,,,,,
2016-06-25,21.4,26.3,18.1,3.0,0.0,,,,3.4,,,,,
2016-06-26,21.8,26.1,17.9,0.0,12.9,,,,2.7,,,,,
2016-06-27,20.0,24.6,18.1,63.0,3.9,,,,2.7,,,,,
2016-06-28,19.4,20.8,18.5,31.5,0.0,,,,2.8,,,,,
2016-06-29,21.9,23.1,19.4,70.0,0.1,,,,5.3,,,,,
2016-06-30,22.4,23.8,21.7,6.0,0.9,,,,3.8,,,,,
2016-07-01,23.8,26.8,21.3,0.0,8.1,,,,6.4,,,,,
2016-07-02,24.8,27.1,23.0,0.0,4.5,,,,8.9,,,,,
2016-07-03,25.5,28.3,23.4,0.0,6.9,,,,6.2,,,,,
2016-07-04,26.1,29.3,24.1,0.0,10.3,,,,5.9,,,,,
2016-07-05,26.6,30.6,24.6,0.0,12.2,,,,5.9,,,,,
2016-07-06,26.0,28.7,24.2,0.0,10.4,,,,8.3,,,,,
2016-07-07,25.9,29.1,24.4,0.0,8.6,,,,5.6,,,,,
2016-07-08,22.5,25.4,21.7,78.5,0.0,,,,4.1,,,,,
2016-07-09,24.0,27.0,21.3,29.5,1.1,,,,5.6,,,,,
2016-07-10,24.6,27.8,23.5,5.0,1.5,,,,4.3,,,,,
2016-07-11,24.2,25.5,23.8,8.5,0.0,,,,5.2,,,,,
2016-07-12,25.6,28.2,24.0,0.0,4.2,,,,6.2,,,,,
2016-07-13,23.7,25.2,22.9,21.5,0.0,,,,6.7,,,,,
2016-07-14,25.2,28.8,23.4,0.0,7.2,,,,4.4,,,,,
2016-07-15,23.2,25.2,21.7,0.0,7.4,,,,4.1,,,,,
2016-07-16,23.8,27.1,20.2,0.0,3.6,,,,5.9,,,,,
2016-07-17,25.1,27.7,23.1,0.0,5.4,,,,3.8,,,,,
2016-07-18,25.0,27.9,21.6,0.0,12.4,,,,2.3,,,,,
2016-07-19,24.9,28.0,22.7,0.0,12.5,,,,3.0,,,,,
2016-07-20,25.6,28.7,22.9,0.0,9.4,,,,2.2,,,,,
2016-07-21,25.4,28.0,22.2,0.0,11.0,,,,2.4,,,,,
2016-07-22,24.3,26.9,22.3,0.0,9.3,,,,2.9,,,,,
2016-07-23,25.3,30.1,22.3,0.0,12.7,,,,3.5,,,,,
2016-07-24,25.2,29.5,23.5,0.0,0.9,,,,3.8,,,,,
2016-07-25,25.2,28.1,23.7,0.0,1.1,,,,6.0,,,,,
2016-07-26,25.6,29.3,23.5,0.0,10.6,,,,6.4,,,,,
2016-07-27,26.0,29.7,23.8,0.0,11.1,,,,6.4,,,,,
2016-07-28,26.3,30.1,24.1,0.0,11.6,,,,6.4,,,,,
