calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,10.2,2.2,0.0,4.7,7.60,,,2.0,6.5,1027.0,77,1029.2,3.3
2016-01-02,7.7,13.7,3.2,0.0,3.6,7.85,,,3.3,7.4,1022.0,72,1024.2,6.7
2016-01-03,9.0,14.8,4.5,,3.4,6.19,,,1.9,9.1,1017.1,80,1019.2,8.7
2016-01-04,9.4,15.5,4.4,0.0,3.6,6.04,,,2.4,9.1,1016.1,78,1018.2,6.7
2016-01-05,7.9,11.8,5.1,4.5,0.1,4.08,,,1.5,8.7,1019.1,83,1021.3,10.0
2016-01-06,7.6,10.3,5.9,0.0,0.1,3.50,,,1.5,8.9,1017.3,85,1019.4,10.0
2016-01-07,6.2,10.0,3.7,10.0,1.2,4.43,,,2.0,8.0,1015.1,85,1017.3,8.7
2016-01-08,4.7,5.7,3.6,17.0,0.2,1.85,,,2.2,7.6,1014.8,89,1017.0,10.0
2016-01-09,4.5,7.3,2.4,5.5,0.6,4.96,,,2.3,7.2,1018.6,86,1020.8,9.7
2016-01-10,4.9,6.4,3.6,12.0,0.6,2.00,,,2.3,7.7,1019.8,89,1022.0,10.0
2016-01-11,5.1,7.8,3.4,5.5,1.0,4.90,,,1.5,7.5,1018.0,86,1020.2,10.0
2016-01-12,3.6,6.9,1.8,0.0,5.2,9.52,,,3.0,5.9,1014.8,75,1017.0,7.7
2016-01-13,3.7,8.5,1.2,12.0,1.0,4.59,,,2.8,6.4,1013.1,81,1015.3,10.0
2016-01-14,2.9,4.5,1.6,28.5,0.1,2.29,,,2.9,6.7,1014.4,89,1016.6,9.3
2016-01-15,2.9,6.2,1.2,8.0,1.1,4.74,,,2.1,6.6,1017.4,87,1019.6,10.0
2016-01-16,3.2,8.3,0.7,6.5,1.3,5.71,,,1.6,6.8,1019.9,88,1022.1,9.7
2016-01-17,3.3,6.9,0.3,0.5,0.9,5.64,,,1.5,6.5,1018.0,85,1020.2,9.7
2016-01-18,6.1,8.1,4.0,24.5,0.0,2.94,,,3.6,7.9,997.8,84,999.9,10.0
2016-01-19,0.5,5.1,-1.4,28.0,0.2,3.80,24,25,6.7,4.9,1005.4,77,1007.6,9.3
2016-01-20,3.4,6.4,-0.2,11.0,1.4,4.97,24,,4.0,5.6,1013.4,73,1015.6,9.7
2016-01-21,1.9,5.1,0.1,4.5,2.7,7.96,15,3,2.0,5.8,1020.0,83,1022.2,10.0
2016-01-22,0.5,3.0,-2.6,0.5,0.4,4.33,10,1,1.7,5.4,1022.2,86,1024.4,9.7
2016-01-23,2.0,6.5,-1.4,5.0,3.7,7.59,9,1,2.9,5.3,1016.3,77,1018.5,10.0
2016-01-24,-1.2,3.3,-5.2,19.0,0.0,2.64,42,36,6.0,3.9,1010.1,70,1012.3,10.0
2016-01-25,-1.5,1.3,-5.2,16.0,1.2,6.65,46,11,1.9,5.0,1019.5,89,1021.7,10.0
