calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.8,7.9,0.2,1.0,4.0,,0,0,1.5,,,,,
2016-01-02,5.3,11.6,0.3,0.0,1.3,,0,0,2.0,,,,,
2016-01-03,7.0,14.1,1.7,0.0,3.7,,0,0,2.0,,,,,
2016-01-04,7.5,13.8,2.4,0.0,2.1,,0,0,1.7,,,,,
2016-01-05,6.3,10.1,3.4,8.0,0.0,,0,0,1.2,,,,,
2016-01-06,6.6,10.0,4.4,0.0,0.7,,0,0,1.1,,,,,
2016-01-07,5.1,7.4,2.1,8.5,0.3,,0,0,1.6,,,,,
2016-01-08,3.9,8.6,1.4,9.0,1.2,,0,0,1.7,,,,,
2016-01-09,2.7,5.0,0.4,16.5,0.3,,0,0,1.4,,,,,
2016-01-10,3.6,6.5,1.7,11.5,1.4,,0,0,1.2,,,,,
2016-01-11,4.3,7.1,3.0,3.0,1.4,,0,0,0.9,,,,,
2016-01-12,2.4,4.7,0.7,0.0,0.5,,0,0,2.0,,,,,
2016-01-13,2.7,8.5,0.0,11.0,2.9,,1,1,1.8,,,,,
2016-01-14,2.3,4.4,0.8,16.0,0.1,,0,0,1.4,,,,,
2016-01-15,0.6,1.8,0.1,26.0,0.0,,4,7,,,,,,
2016-01-16,1.4,4.6,-0.1,5.5,0.7,,5,1,,,,,,
2016-01-17,2.1,6.0,-0.8,0.5,1.3,,0,0,,,,,,
2016-01-18,4.6,8.0,2.7,50.0,0.0,,0,0,2.3,,,,,
2016-01-19,0.7,3.1,-2.6,4.5,0.9,,7,7,4.5,,,,,
2016-01-20,0.9,3.2,-2.2,27.0,0.7,,21,16,2.1,,,,,
2016-01-21,1.0,3.6,-0.6,3.0,2.1,,14,8,1.7,,,,,
2016-01-22,-0.1,2.6,-2.2,0.0,2.4,,7,5,2.5,,,,,
2016-01-23,0.8,5.9,-2.8,9.0,3.2,,7,4,2.0,,,,,
2016-01-24,-2.2,2.0,-6.1,4.5,0.2,,13,11,4.4,,,,,
2016-01-25,-2.3,0.7,-6.0,51.0,0.7,,59,50,,,,,,
2016-01-26,-1.1,4.0,-6.9,0.5,4.2,,58,0,,,,,,
2016-01-27,1.5,4.6,0.2,1.5,0.6,,46,0,1.3,,,,,
2016-01-28,1.9,8.3,-1.5,0.5,1.8,,34,0,1.6,,,,,
2016-01-29,1.9,3.2,1.1,37.5,0.0,,24,0,1.0,,,,,
2016-01-30,2.7,6.6,0.8,5.0,1.0,,17,0,2.0,,,,,
2016-01-31,3.1,9.0,-0.8,2.0,6.1,,14,0,1.0,,,,,
2016-02-01,1.6,2.9,-0.5,0.5,0.0,,12,0,1.6,,,,,
2016-02-02,1.2,5.4,-1.6,0.0,6.8,,10,0,2.5,,,,,
2016-02-03,0.5,5.5,-2.9,0.0,5.2,,8,0,1.4,,,,,
2016-02-04,1.5,7.3,-3.1,4.5,1.4,,6,1,1.5,,,,,
2016-02-05,2.4,5.7,0.7,6.5,0.9,,6,2,1.0,,,,,
2016-02-06,1.5,3.5,0.3,20.0,0.6,,5,3,1.3,,,,,
2016-02-07,0.6,4.1,-2.8,0.0,5.8,,4,1,2.8,,,,,
2016-02-08,0.9,8.7,-3.6,0.0,8.1,,0,0,1.8,,,,,
2016-02-09,2.5,6.5,-1.3,13.5,0.2,,0,0,1.7,,,,,
2016-02-10,1.2,4.8,-2.0,0.5,3.0,,0,0,2.5,,,,,
2016-02-11,1.2,9.1,-3.7,0.0,8.1,,0,0,1.6,,,,,
2016-02-12,6.3,13.3,-1.6,0.0,4.2,,0,0,2.6,,,,,
2016-02-13,8.7,14.6,4.6,16.0,0.0,,0,0,2.1,,,,,
