calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.2,8.1,0.3,0.0,6.4,,,,1.8,,,,,
2016-01-02,5.1,9.3,1.0,0.0,0.5,,,,1.4,,,,,
2016-01-03,7.1,12.0,4.0,0.0,1.4,,,,1.5,,,,,
2016-01-04,7.5,13.7,3.3,0.0,3.5,,,,2.0,,,,,
2016-01-05,5.9,10.2,2.5,2.5,0.7,,,,1.8,,,,,
2016-01-06,5.6,7.9,3.8,0.0,0.1,,,,1.2,,,,,
2016-01-07,4.5,6.9,2.2,4.0,1.1,,,,1.7,,,,,
2016-01-08,2.2,4.3,0.0,17.0,0.0,,,,1.2,,,,,
2016-01-09,2.3,4.9,0.1,5.0,0.5,,,,,,,,,
2016-01-10,2.3,3.1,1.3,12.5,0.0,,,,1.2,,,,,
2016-01-11,3.5,5.9,2.1,0.5,0.9,,,,1.0,,,,,
2016-01-12,2.7,6.9,0.0,0.0,4.0,,,,1.8,,,,,
2016-01-13,1.4,6.9,-1.2,12.5,0.5,,,,1.3,,,,,
2016-01-14,0.7,2.1,0.0,29.0,0.0,,,,,,,,,
2016-01-15,1.0,3.9,-0.5,5.5,2.4,,,,,,,,,
2016-01-16,1.4,5.1,-0.4,3.0,0.9,,,,,,,,,
2016-01-17,1.3,6.9,-2.3,0.0,2.4,,,,1.5,,,,,
2016-01-18,4.4,8.9,2.0,34.0,0.0,,,,2.0,,,,,
2016-01-19,-1.3,3.3,-2.8,19.5,0.0,,,,3.0,,,,,
2016-01-20,0.9,3.7,-2.1,16.0,0.5,,,,3.0,,,,,
2016-01-21,0.4,3.2,-2.2,1.5,4.2,,,,1.7,,,,,
2016-01-22,-1.0,2.3,-4.6,0.0,3.1,,,,2.3,,,,,
2016-01-23,-0.4,3.7,-4.0,12.0,2.3,,,,1.7,,,,,
2016-01-24,-3.4,0.6,-6.2,17.5,0.0,,,,,,,,,
2016-01-25,-3.3,-0.1,-6.5,11.0,2.2,,,,,,,,,
2016-01-26,0.0,4.4,-4.5,1.0,6.0,,,,1.4,,,,,
2016-01-27,1.6,5.3,0.1,3.5,2.2,,,,1.8,,,,,
2016-01-28,2.8,7.5,0.6,0.0,1.7,,,,1.6,,,,,
2016-01-29,2.6,4.0,1.5,40.5,0.0,,,,1.1,,,,,
2016-01-30,2.6,6.0,0.2,6.0,1.8,,,,1.5,,,,,
2016-01-31,3.0,9.0,-0.8,5.0,7.0,,,,1.6,,,,,
2016-02-01,1.5,3.1,-0.3,0.0,0.0,,,,1.2,,,,,
2016-02-02,1.4,4.6,-1.8,0.0,5.9,,,,2.2,,,,,
2016-02-03,0.4,4.9,-3.3,0.0,6.5,,,,1.8,,,,,
2016-02-04,-0.3,2.8,-3.8,2.5,0.3,,,,1.3,,,,,
2016-02-05,2.1,6.1,-0.3,0.5,2.1,,,,1.6,,,,,
2016-02-06,1.4,5.1,0.1,9.5,3.8,,,,1.3,,,,,
2016-02-07,0.5,3.4,-3.1,0.0,8.2,,,,3.3,,,,,
2016-02-08,0.6,7.8,-5.7,0.0,9.0,,,,1.5,,,,,
2016-02-09,1.9,4.9,0.2,9.5,0.4,,,,2.9,,,,,
2016-02-10,1.1,4.1,-2.1,1.5,4.6,,,,2.8,,,,,
2016-02-11,1.4,9.0,-3.9,0.0,9.5,,,,1.9,,,,,
2016-02-12,9.0,13.3,1.5,0.0,5.2,,,,3.7,,,,,
2016-02-13,10.1,16.2,6.4,15.5,0.0,,,,1.9,,,,,
2016-02-14,9.9,13.5,6.2,39.5,0.0,,,,2.3,,,,,
2016-02-15,2.5,6.7,-0.5,7.0,0.8,,,,4.3,,,,,
2016-02-16,-0.4,1.1,-1.8,14.5,0.0,,,,1.0,,,,,
2016-02-17,0.2,2.4,-1.7,13.0,1.1,,,,,,,,,
2016-02-18,1.8,8.9,-2.6,0.0,8.4,,,,2.1,,,,,
