calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,0,0,,,,,,
2016-01-02,,,,0.0,,,0,0,,,,,,
2016-01-03,,,,0.0,,,0,0,,,,,,
2016-01-04,,,,0.0,,,0,0,,,,,,
2016-01-05,,,,4.0,,,0,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,10.5,,,0,0,,,,,,
2016-01-08,,,,12.5,,,0,0,,,,,,
2016-01-09,,,,4.0,,,1,1,,,,,,
2016-01-10,,,,4.5,,,0,0,,,,,,
2016-01-11,,,,1.0,,,0,0,,,,,,
2016-01-12,,,,0.0,,,0,0,,,,,,
2016-01-13,,,,7.0,,,4,4,,,,,,
2016-01-14,,,,16.0,,,23,24,,,,,,
2016-01-15,,,,1.0,,,22,2,,,,,,
2016-01-16,,,,1.5,,,21,3,,,,,,
2016-01-17,,,,2.0,,,12,0,,,,,,
2016-01-18,,,,50.0,,,8,5,,,,,,
2016-01-19,,,,11.0,,,41,35,,,,,,
2016-01-20,,,,16.0,,,56,19,,,,,,
2016-01-21,,,,0.5,,,52,4,,,,,,
2016-01-22,,,,0.0,,,43,0,,,,,,
2016-01-23,,,,6.0,,,55,18,,,,,,
2016-01-24,,,,16.0,,,83,33,,,,,,
2016-01-25,,,,6.0,,,87,7,,,,,,
2016-01-26,,,,0.5,,,77,1,,,,,,
2016-01-27,,,,3.0,,,66,2,,,,,,
2016-01-28,,,,0.0,,,57,0,,,,,,
2016-01-29,,,,44.0,,,44,0,,,,,,
2016-01-30,,,,5.5,,,36,0,,,,,,
2016-01-31,,,,2.0,,,33,0,,,,,,
2016-02-01,,,,0.5,,,31,0,,,,,,
2016-02-02,,,,0.0,,,30,0,,,,,,
2016-02-03,,,,0.0,,,29,0,,,,,,
2016-02-04,,,,1.0,,,30,2,,,,,,
2016-02-05,,,,1.5,,,31,2,,,,,,
2016-02-06,,,,4.5,,,36,10,,,,,,
2016-02-07,,,,0.0,,,35,0,,,,,,
2016-02-08,,,,0.0,,,31,0,,,,,,
2016-02-09,,,,12.5,,,47,18,,,,,,
2016-02-10,,,,1.0,,,50,3,,,,,,
2016-02-11,,,,0.0,,,42,2,,,,,,
2016-02-12,,,,0.0,,,38,0,,,,,,
2016-02-13,,,,27.0,,,36,0,,,,,,
2016-02-14,,,,46.0,,,32,0,,,,,,
2016-02-15,,,,9.0,,,28,4,,,,,,
2016-02-16,,,,3.5,,,38,12,,,,,,
2016-02-17,,,,8.5,,,50,19,,,,,,
2016-02-18,,,,0.0,,,42,1,,,,,,
2016-02-19,,,,0.0,,,34,0,,,,,,
2016-02-20,,,,24.0,,,31,0,,,,,,
2016-02-21,,,,14.0,,,28,3,,,,,,
2016-02-22,,,,0.0,,,28,0,,,,,,
2016-02-23,,,,2.5,,,26,0,,,,,,
2016-02-24,,,,0.0,,,22,3,,,,,,
2016-02-25,,,,1.5,,,30,10,,,,,,
2016-02-26,,,,5.0,,,37,9,,,,,,
2016-02-27,,,,5.5,,,37,3,,,,,,
2016-02-28,,,,0.0,,,28,0,,,,,,
2016-02-29,,,,19.5,,,44,23,,,,,,
2016-03-01,,,,3.5,,,54,12,,,,,,
2016-03-02,,,,1.0,,,49,4,,,,,,
2016-03-03,,,,0.0,,,41,0,,,,,,
2016-03-04,,,,0.0,,,37,0,,,,,,
2016-03-05,,,,1.5,,,31,2,,,,,,
2016-03-06,,,,0.0,,,27,0,,,,,,
2016-03-07,,,,1.0,,,17,0,,,,,,
2016-03-08,,,,0.0,,,10,0,,,,,,
2016-03-09,,,,17.0,,,1,0,,,,,,
2016-03-10,,,,0.0,,,0,0,,,,,,
2016-03-11,,,,0.0,,,0,0,,,,,,
2016-03-12,,,,0.0,,,0,0,,,,,,
2016-03-13,,,,1.0,,,0,0,,,,,,
2016-03-14,,,,7.0,,,0,0,,,,,,
2016-03-15,,,,0.0,,,0,0,,,,,,
2016-03-16,,,,0.0,,,0,0,,,,,,
2016-03-17,,,,0.0,,,0,0,,,,,,
2016-03-18,,,,12.5,,,0,0,,,,,,
2016-03-19,,,,33.0,,,0,0,,,,,,
2016-03-20,,,,0.0,,,0,0,,,,,,
2016-03-21,,,,0.0,,,0,0,,,,,,
2016-03-22,,,,0.0,,,0,0,,,,,,
2016-03-23,,,,0.5,,,0,0,,,,,,
2016-03-24,,,,0.0,,,0,0,,,,,,
2016-03-25,,,,0.5,,,0,0,,,,,,
2016-03-26,,,,0.0,,,0,0,,,,,,
2016-03-27,,,,0.0,,,0,0,,,,,,
2016-03-28,,,,0.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,7.5,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,0.0,,,0,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,0.0,,,0,0,,,,,,
2016-04-04,,,,25.0,,,0,0,,,,,,
2016-04-05,,,,0.0,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,70.5,,,0,0,,,,,,
2016-04-08,,,,0.0,,,0,0,,,,,,
2016-04-09,,,,0.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,1.5,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,18.0,,,0,0,,,,,,
2016-04-14,,,,6.0,,,0,0,,,,,,
2016-04-15,,,,0.0,,,0,0,,,,,,
2016-04-16,,,,0.0,,,0,0,,,,,,
2016-04-17,,,,13.5,,,0,0,,,,,,
2016-04-18,,,,0.0,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,59.5,,,0,0,,,,,,
2016-04-22,,,,6.5,,,0,0,,,,,,
2016-04-23,,,,4.0,,,0,0,,,,,,
2016-04-24,,,,1.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,2.5,,,0,0,,,,,,
2016-04-28,,,,37.0,,,0,0,,,,,,
2016-04-29,,,,0.5,,,0,0,,,,,,
2016-04-30,,,,0.0,,,0,0,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,2.0,,,0,0,,,,,,
2016-05-04,,,,7.0,,,0,0,,,,,,
2016-05-05,,,,0.0,,,0,0,,,,,,
2016-05-06,,,,5.5,,,0,0,,,,,,
2016-05-07,,,,6.0,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,6.5,,,0,0,,,,,,
2016-05-10,,,,21.0,,,0,0,,,,,,
2016-05-11,,,,29.5,,,0,0,,,,,,
2016-05-12,,,,0.5,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,13.0,,,0,0,,,,,,
2016-05-17,,,,8.5,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,0.0,,,0,0,,,,,,
2016-05-26,,,,2.5,,,0,0,,,,,,
2016-05-27,,,,6.0,,,0,0,,,,,,
2016-05-28,,,,0.0,,,0,0,,,,,,
2016-05-29,,,,9.5,,,0,0,,,,,,
2016-05-30,,,,4.5,,,0,0,,,,,,
2016-05-31,,,,0.0,,,0,0,,,,,,
2016-06-01,,,,0.0,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,2.0,,,0,0,,,,,,
2016-06-05,,,,3.5,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.5,,,0,0,,,,,,
2016-06-08,,,,0.0,,,0,0,,,,,,
2016-06-09,,,,3.0,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,4.0,,,0,0,,,,,,
2016-06-13,,,,26.0,,,0,0,,,,,,
2016-06-14,,,,0.0,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,19.0,,,0,0,,,,,,
2016-06-17,,,,5.0,,,0,0,,,,,,
2016-06-18,,,,0.0,,,0,0,,,,,,
2016-06-19,,,,5.5,,,0,0,,,,,,
2016-06-20,,,,4.5,,,0,0,,,,,,
2016-06-21,,,,8.5,,,0,0,,,,,,
2016-06-22,,,,12.5,,,0,0,,,,,,
2016-06-23,,,,18.5,,,0,0,,,,,,
2016-06-24,,,,13.5,,,0,0,,,,,,
2016-06-25,,,,40.5,,,0,0,,,,,,
2016-06-26,,,,4.5,,,0,0,,,,,,
2016-06-27,,,,4.5,,,0,0,,,,,,
2016-06-28,,,,15.5,,,0,0,,,,,,
2016-06-29,,,,8.0,,,0,0,,,,,,
2016-06-30,,,,7.5,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
