calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,10.1,1.3,1.0,6.2,,0,0,3.0,,,,,
2016-01-02,7.1,13.2,1.0,0.0,4.8,,0,0,3.2,,,,,
2016-01-03,8.9,16.3,3.9,0.0,7.3,,0,0,2.7,,,,,
2016-01-04,9.0,14.6,2.3,0.0,3.6,,0,0,2.6,,,,,
2016-01-05,7.4,12.6,2.5,6.5,2.1,,0,0,1.6,,,,,
2016-01-06,8.2,11.7,5.4,3.5,2.3,,0,0,1.6,,,,,
2016-01-07,6.1,8.1,4.0,15.5,0.1,,0,0,2.5,,,,,
2016-01-08,5.0,9.2,0.9,0.0,1.7,,0,0,2.5,,,,,
2016-01-09,4.9,9.3,2.5,3.0,3.9,,0,0,2.5,,,,,
2016-01-10,5.3,8.9,0.5,0.0,1.3,,0,0,3.0,,,,,
2016-01-11,6.0,8.1,4.0,8.5,1.2,,0,0,2.0,,,,,
2016-01-12,4.2,7.4,0.8,12.5,1.6,,0,0,2.4,,,,,
2016-01-13,4.1,9.6,0.2,0.0,6.5,,0,0,2.5,,,,,
2016-01-14,3.7,8.6,-1.1,0.0,2.9,,0,0,3.7,,,,,
2016-01-15,4.9,7.8,2.7,0.0,3.6,,0,0,2.9,,,,,
2016-01-16,4.3,7.8,2.0,7.0,0.2,,0,0,2.1,,,,,
2016-01-17,5.3,8.5,1.7,1.5,0.7,,0,0,2.5,,,,,
2016-01-18,7.1,9.3,4.6,16.5,0.2,,0,0,3.6,,,,,
2016-01-19,2.0,4.8,-1.2,0.0,7.7,,0,0,4.7,,,,,
2016-01-20,2.8,6.5,-0.9,23.5,0.1,,1,2,6.9,,,,,
2016-01-21,1.5,4.5,0.1,11.0,0.0,,2,2,2.0,,,,,
2016-01-22,1.1,3.8,-0.6,11.5,0.3,,4,4,1.7,,,,,
2016-01-23,2.3,5.7,-0.5,0.0,2.6,,3,0,3.4,,,,,
2016-01-24,-0.9,1.7,-4.8,0.0,9.4,,1,2,5.6,,,,,
2016-01-25,-0.2,3.1,-5.1,5.0,1.8,,10,10,3.9,,,,,
