calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.0,10.8,3.7,1.5,3.9,,,,3.9,5.9,1027.6,60,1029.1,
2016-01-02,8.6,12.2,5.9,,2.1,,,,5.0,6.6,1023.3,59,1024.8,
2016-01-03,10.9,16.1,7.4,,6.7,,,,3.4,8.5,1017.8,66,1019.3,
2016-01-04,11.0,14.8,7.1,0.0,4.2,,,,4.2,8.4,1016.7,66,1018.2,
2016-01-05,9.7,12.5,7.8,12.0,0.8,,,,3.3,7.8,1019.6,65,1021.1,
2016-01-06,9.1,11.5,6.5,0.5,1.0,,,,1.9,8.0,1017.9,71,1019.4,
2016-01-07,7.3,10.5,3.8,23.0,0.5,,,,4.7,7.4,1015.6,73,1017.1,
2016-01-08,6.1,9.4,2.6,1.0,1.5,,,,3.4,6.5,1015.6,70,1017.1,
2016-01-09,4.8,6.9,2.8,18.0,1.1,,,,2.7,7.0,1019.4,81,1021.0,
2016-01-10,6.6,9.6,4.1,7.5,1.6,,,,3.0,6.8,1020.5,71,1022.0,
2016-01-11,6.3,8.7,4.9,7.0,1.1,,,,2.2,7.5,1018.6,79,1020.1,
2016-01-12,5.3,8.0,3.8,0.0,4.4,,,,4.0,6.2,1015.0,70,1016.5,
2016-01-13,5.7,10.0,3.1,1.0,4.1,,,,3.2,5.5,1013.9,61,1015.4,
2016-01-14,5.1,8.1,3.0,1.0,1.0,,,,4.4,5.6,1015.5,63,1017.0,
2016-01-15,2.4,4.9,0.8,51.5,0.0,,,,2.5,6.1,1018.3,84,1019.9,
2016-01-16,3.3,8.4,1.0,10.5,0.6,,1,1,2.7,5.9,1020.4,77,1022.0,
2016-01-17,5.3,8.5,1.3,4.0,1.2,,,,2.4,5.6,1018.2,65,1019.7,
2016-01-18,7.2,9.3,5.0,42.0,0.0,,,,4.4,7.4,998.7,73,1000.2,
2016-01-19,2.6,5.4,-1.0,0.5,5.1,,1,1,6.5,2.7,1006.9,39,1008.4,
2016-01-20,3.6,6.7,-1.1,20.0,0.2,,10,9,7.7,5.9,1014.3,75,1015.8,
2016-01-21,3.5,6.9,1.0,6.0,2.5,,,,3.9,5.2,1020.2,67,1021.8,
2016-01-22,3.0,5.4,-0.1,0.0,2.0,,,,4.9,4.5,1022.0,59,1023.6,
2016-01-23,3.3,6.1,0.3,5.5,2.6,,,,4.9,4.3,1017.5,56,1019.0,
2016-01-24,-0.4,3.2,-4.6,1.5,3.7,,2,2,7.5,2.5,1011.9,41,1013.5,
2016-01-25,0.4,4.1,-4.8,36.0,0.5,,19,21,4.0,5.0,1020.1,79,1021.7,
2016-01-26,2.3,4.8,-1.7,,6.0,,16,,3.8,4.4,1023.7,61,1025.3,
2016-01-27,4.5,9.0,1.1,0.0,2.1,,8,,2.7,5.3,1026.6,64,1028.2,
2016-01-28,5.7,11.6,0.8,0.0,3.8,,3,,2.2,5.5,1027.2,61,1028.7,
2016-01-29,5.6,6.8,4.2,47.0,0.0,,,,1.3,7.9,1019.1,87,1020.7,
2016-01-30,6.4,9.0,4.4,5.5,1.1,,,,6.2,5.8,1019.3,61,1020.8,
2016-01-31,7.5,11.1,5.3,0.0,7.1,,,,3.6,5.3,1021.9,52,1023.4,
2016-02-01,4.6,8.2,2.4,5.5,0.0,,,,3.1,6.0,1019.5,71,1021.1,
2016-02-02,4.3,8.8,1.3,,7.2,,,,5.0,4.6,1019.6,57,1021.2,
2016-02-03,5.0,9.1,0.7,,5.6,,,,4.5,3.7,1022.5,43,1024.1,
2016-02-04,4.7,10.0,0.0,0.5,3.7,,,,3.0,5.0,1020.5,59,1022.1,
2016-02-05,6.5,10.6,3.3,1.0,4.6,,,,2.5,5.9,1017.0,63,1018.6,
2016-02-06,4.6,6.8,2.7,12.0,0.5,,,,2.7,6.2,1014.3,74,1015.8,
2016-02-07,3.3,6.9,-0.4,0.0,5.9,,,,5.2,4.0,1017.8,53,1019.4,
2016-02-08,4.1,10.7,-0.9,,9.6,,,,3.1,,1016.7,,1018.3,
2016-02-09,5.5,8.5,3.2,13.0,0.6,,,,5.9,,1013.5,,1015.0,
2016-02-10,5.0,7.7,2.8,1.5,3.9,,,,7.2,,1023.9,,1025.4,
2016-02-11,5.3,10.2,-0.1,,9.8,,,,2.9,5.0,1029.3,57,1030.8,
2016-02-12,10.4,12.3,7.8,,4.7,,,,7.0,8.1,1026.6,64,1028.1,
2016-02-13,13.3,15.2,11.1,14.5,0.0,,,,7.0,12.2,1015.7,79,1017.2,
2016-02-14,13.0,18.1,8.5,35.0,0.0,,,,4.3,13.3,1003.2,88,1004.7,
2016-02-15,4.2,8.7,0.6,12.5,0.0,,,,7.6,6.5,1008.3,77,1009.8,
2016-02-16,2.7,6.6,-0.2,15.0,6.1,,21,21,2.7,5.1,1014.1,71,1015.7,
2016-02-17,3.2,6.4,1.5,8.0,1.0,,1,,3.9,6.1,1018.4,80,1020.0,
2016-02-18,5.6,9.9,0.9,,9.2,,,,4.5,5.2,1023.8,61,1025.4,
2016-02-19,9.3,14.6,4.0,,8.7,,,,3.5,6.3,1025.9,55,1027.4,
2016-02-20,9.0,10.8,7.9,24.0,0.0,,,,2.6,8.6,1016.5,76,1018.0,
2016-02-21,7.2,9.7,4.8,3.0,2.3,,,,7.8,6.2,1022.0,60,1023.5,
2016-02-22,6.3,8.3,4.8,0.0,1.3,,,,3.0,5.4,1028.7,57,1030.3,
2016-02-23,7.5,11.4,3.4,1.5,1.3,,,,3.5,6.6,1023.1,65,1024.6,
2016-02-24,4.0,7.1,1.4,0.0,2.0,,,,8.0,5.3,1025.2,65,1026.7,
2016-02-25,4.4,9.0,1.5,2.5,8.8,,,,4.0,4.7,1027.8,57,1029.4,
2016-02-26,3.5,7.2,1.1,10.5,2.8,,,,4.0,6.0,1027.5,77,1029.1,
2016-02-27,6.2,10.2,1.3,1.5,3.2,,,,4.9,6.8,1025.0,73,1026.5,
2016-02-28,9.5,14.7,2.6,,9.7,,,,4.4,6.7,1022.3,60,1023.8,
2016-02-29,6.4,12.7,0.5,16.5,0.0,,1,1,7.0,7.4,1013.3,76,1014.8,
2016-03-01,2.3,5.3,0.5,1.0,2.2,,,,7.4,5.1,1021.2,71,1022.8,
2016-03-02,3.6,8.6,0.3,8.0,3.8,,2,2,2.0,6.3,1023.5,81,1025.1,
2016-03-03,7.9,14.1,2.9,,3.0,,,,3.7,7.1,1024.7,67,1026.3,
2016-03-04,10.9,17.4,3.0,,10.3,,,,2.8,7.8,1027.3,62,1028.9,
2016-03-05,15.0,19.3,10.9,0.0,7.5,,,,5.6,9.9,1026.6,58,1028.1,
2016-03-06,17.3,19.6,15.0,0.0,2.3,,,,5.9,12.1,1020.6,62,1022.1,
