calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.7,0.4,-7.7,0.0,3.3,,,,1.4,,,,,
2016-01-02,0.9,3.7,-3.4,11.0,0.0,,,,2.1,,,,,
2016-01-03,3.9,6.0,1.8,15.5,0.0,,,,2.2,,,,,
2016-01-04,3.7,6.0,1.5,6.0,0.0,,,,2.1,,,,,
2016-01-05,0.0,1.9,-1.6,3.0,0.0,,,,1.9,,,,,
2016-01-06,-0.6,1.3,-2.7,0.5,0.5,,,,1.0,,,,,
2016-01-07,-1.8,0.7,-5.0,1.5,0.2,,,,1.1,,,,,
2016-01-08,-2.2,-0.6,-4.0,3.5,0.1,,,,,,,,,
2016-01-09,-3.2,-1.9,-7.0,0.0,0.0,,,,,,,,,
2016-01-10,-1.6,-0.3,-4.5,7.5,0.0,,,,0.6,,,,,
2016-01-11,-4.4,-2.1,-8.4,0.5,0.0,,,,1.5,,,,,
2016-01-12,-5.8,-1.8,-10.4,0.0,1.9,,,,0.8,,,,,
2016-01-13,-4.7,0.0,-11.4,4.5,3.5,,,,0.9,,,,,
2016-01-14,-3.9,-1.9,-8.3,10.5,0.2,,,,0.5,,,,,
2016-01-15,-6.1,-2.2,-13.5,1.0,1.5,,,,0.2,,,,,
2016-01-16,-5.1,-1.4,-11.9,3.0,1.4,,,,,,,,,
2016-01-17,-5.7,-1.1,-12.8,0.0,4.0,,,,0.7,,,,,
2016-01-18,-1.5,2.5,-4.0,15.5,0.0,,,,0.8,,,,,
2016-01-19,-3.8,0.4,-6.5,5.5,0.1,,,,,,,,,
2016-01-20,-5.3,-1.7,-10.8,18.5,0.0,,,,,,,,,
2016-01-21,-5.3,-2.3,-10.9,1.0,0.6,,,,1.3,,,,,
2016-01-22,-5.4,-2.2,-11.7,0.0,1.0,,,,2.3,,,,,
2016-01-23,-5.5,-2.5,-12.4,0.0,0.5,,,,0.9,,,,,
2016-01-24,-6.0,-3.6,-8.4,10.5,0.2,,,,1.3,,,,,
2016-01-25,-6.4,-3.7,-8.6,9.5,2.0,,,,,,,,,
2016-01-26,-4.2,-0.6,-8.2,0.0,0.0,,,,0.6,,,,,
2016-01-27,-1.1,0.2,-4.3,12.0,0.0,,,,2.1,,,,,
2016-01-28,0.2,2.0,-1.2,1.5,0.9,,,,2.6,,,,,
2016-01-29,-2.2,0.0,-4.9,13.0,0.0,,,,0.1,,,,,
2016-01-30,-3.9,-0.9,-5.7,8.0,0.0,,,,,,,,,
2016-01-31,-3.5,-1.9,-6.2,0.0,1.2,,,,0.6,,,,,
2016-02-01,-5.0,-2.9,-5.9,0.0,0.6,,,,1.4,,,,,
2016-02-02,-5.7,-2.9,-10.2,0.0,2.7,,,,2.2,,,,,
2016-02-03,-6.9,-1.6,-11.3,0.0,2.3,,,,1.3,,,,,
2016-02-04,-5.5,-0.6,-14.3,16.5,2.8,,,,0.7,,,,,
2016-02-05,-2.8,-0.9,-5.7,2.0,1.5,,,,,,,,,
2016-02-06,-3.4,-1.3,-7.1,1.5,1.2,,,,1.0,,,,,
2016-02-07,-7.6,-4.0,-16.9,0.0,2.2,,,,1.3,,,,,
2016-02-08,-8.9,0.0,-19.4,0.0,8.5,,,,0.6,,,,,
2016-02-09,-4.8,-0.4,-12.9,8.0,2.5,,,,0.8,,,,,
2016-02-10,-5.3,-4.0,-6.2,7.0,0.2,,,,1.2,,,,,
2016-02-11,-5.8,-0.7,-13.8,0.0,3.1,,,,0.7,,,,,
2016-02-12,-4.4,7.9,-15.4,0.0,8.7,,,,0.4,,,,,
2016-02-13,2.0,11.1,-1.6,0.0,0.9,,,,0.5,,,,,
2016-02-14,5.0,10.3,0.5,14.0,0.0,,,,2.1,,,,,
2016-02-15,-3.4,0.8,-6.9,0.5,3.5,,,,2.1,,,,,
2016-02-16,-5.0,-2.3,-9.8,0.0,1.6,,,,1.6,,,,,
2016-02-17,-4.2,-2.2,-8.3,12.5,0.0,,,,1.1,,,,,
2016-02-18,-4.4,1.5,-10.1,0.0,7.3,,,,0.9,,,,,
2016-02-19,-2.1,3.2,-12.2,0.0,3.3,,,,1.7,,,,,
2016-02-20,3.0,7.4,-1.6,6.0,0.0,,,,0.9,,,,,
2016-02-21,0.2,4.6,-2.9,0.5,2.7,,,,4.4,,,,,
2016-02-22,-2.9,0.1,-5.7,0.0,4.4,,,,1.0,,,,,
2016-02-23,-0.5,3.3,-4.3,2.0,2.9,,,,1.1,,,,,
2016-02-24,-5.1,-1.0,-8.9,3.0,0.2,,,,1.6,,,,,
2016-02-25,-7.2,-3.4,-13.2,0.0,0.5,,,,1.2,,,,,
2016-02-26,-4.3,-2.6,-6.4,11.0,2.7,,,,1.3,,,,,
2016-02-27,-1.8,2.8,-9.9,3.0,5.8,,,,1.9,,,,,
2016-02-28,-0.3,3.0,-6.7,0.0,3.8,,,,1.6,,,,,
2016-02-29,0.6,6.3,-5.9,3.5,0.9,,,,1.5,,,,,
2016-03-01,-5.8,-3.9,-7.0,6.5,2.2,,,,,,,,,
2016-03-02,-4.3,-0.6,-8.3,1.0,1.4,,,,1.5,,,,,
2016-03-03,-0.4,2.5,-4.1,2.5,1.0,,,,2.0,,,,,
2016-03-04,-1.9,5.9,-9.5,0.0,9.2,,,,0.8,,,,,
2016-03-05,1.0,8.7,-8.4,0.0,9.7,,,,0.9,,,,,
2016-03-06,5.6,13.3,1.2,0.0,6.9,,,,1.0,,,,,
2016-03-07,2.8,7.4,1.1,2.5,0.0,,,,0.5,,,,,
2016-03-08,3.9,8.0,0.2,0.0,0.0,,,,1.7,,,,,
2016-03-09,-1.3,2.3,-2.7,2.5,0.0,,,,1.1,,,,,
2016-03-10,-2.6,-0.7,-4.5,0.0,1.0,,,,1.3,,,,,
2016-03-11,-4.0,-0.2,-9.0,0.0,3.1,,,,1.1,,,,,
2016-03-12,-3.8,0.4,-10.2,0.0,3.3,,,,0.5,,,,,
2016-03-13,-0.7,3.5,-6.7,0.0,4.3,,,,0.6,,,,,
2016-03-14,-0.1,1.6,-1.1,4.0,0.0,,,,0.4,,,,,
2016-03-15,-1.5,1.2,-5.4,0.5,4.5,,,,1.4,,,,,
2016-03-16,0.9,7.3,-3.8,0.0,6.4,,,,0.8,,,,,
2016-03-17,3.2,10.3,-1.9,0.0,10.6,,,,1.3,,,,,
2016-03-18,3.9,14.4,-3.8,0.0,9.5,,,,0.7,,,,,
2016-03-19,3.8,10.3,1.4,3.0,0.2,,,,0.6,,,,,
2016-03-20,,,,,,,,,,,,,,
2016-03-21,,,,,,,,,,,,,,
2016-03-22,,,,,,,,,,,,,,
2016-03-23,1.2,3.9,-1.6,3.0,7.8,,,,2.5,,,,,
2016-03-24,-1.5,2.7,-3.7,0.0,2.5,,,,1.2,,,,,
2016-03-25,-2.3,1.6,-5.2,1.5,3.5,,,,1.1,,,,,
2016-03-26,-1.9,2.2,-6.4,0.0,0.5,,,,0.8,,,,,
2016-03-27,0.6,8.1,-6.7,0.0,9.3,,,,0.9,,,,,
