calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.4,0.1,-6.1,2.0,2.6,,31,11,1.5,,,,,
2016-01-02,1.5,6.9,-6.4,0.0,2.4,,26,1,1.4,,,,,
2016-01-03,3.9,8.3,1.7,0.0,2.1,,13,0,1.2,,,,,
2016-01-04,3.2,9.6,-0.6,4.0,4.6,,8,3,1.5,,,,,
2016-01-05,2.3,5.7,-0.6,1.5,1.3,,4,3,1.9,,,,,
2016-01-06,0.9,3.2,-1.6,0.5,0.6,,4,1,1.2,,,,,
2016-01-07,-1.4,1.8,-3.2,1.0,0.0,,10,8,2.2,,,,,
2016-01-08,-1.6,2.9,-6.3,0.5,3.1,,10,10,1.2,,,,,
2016-01-09,-2.8,0.3,-6.6,1.0,2.7,,10,5,1.7,,,,,
2016-01-10,-0.8,2.2,-6.2,3.5,0.3,,16,15,2.2,,,,,
2016-01-11,-3.4,-0.6,-5.8,1.0,1.9,,19,5,1.9,,,,,
2016-01-12,-4.7,0.0,-8.8,0.0,3.6,,16,3,1.5,,,,,
2016-01-13,-2.5,2.1,-5.8,0.0,4.2,,15,3,1.2,,,,,
2016-01-14,-2.9,0.7,-5.7,0.0,0.6,,13,1,1.4,,,,,
2016-01-15,-3.7,0.0,-7.1,0.0,2.5,,12,0,1.0,,,,,
2016-01-16,-4.3,0.2,-9.0,0.0,0.7,,12,3,1.1,,,,,
2016-01-17,-4.5,0.7,-10.2,0.5,2.4,,13,3,1.0,,,,,
2016-01-18,-0.7,1.8,-3.2,33.5,0.0,,37,24,1.5,,,,,
2016-01-19,-4.5,0.1,-9.4,1.5,1.5,,37,3,1.2,,,,,
2016-01-20,-5.6,-3.0,-10.1,18.5,0.0,,64,33,1.9,,,,,
2016-01-21,-3.9,-1.9,-5.7,3.0,0.7,,71,15,2.7,,,,,
2016-01-22,-5.0,-3.5,-6.4,2.0,0.0,,76,14,2.7,,,,,
2016-01-23,-4.5,-1.5,-6.6,0.0,1.6,,73,1,1.7,,,,,
2016-01-24,-7.2,-4.1,-10.2,8.0,1.2,,77,16,1.3,,,,,
2016-01-25,-6.7,-4.5,-9.8,12.5,0.0,,96,23,2.8,,,,,
2016-01-26,-4.6,1.3,-8.4,0.0,5.1,,90,0,1.0,,,,,
2016-01-27,-0.7,1.8,-6.2,0.0,0.2,,80,0,2.1,,,,,
2016-01-28,0.8,4.2,-2.0,0.0,3.7,,74,0,1.8,,,,,
2016-01-29,-0.5,0.7,-1.3,16.0,0.0,,80,15,0.8,,,,,
2016-01-30,-1.9,0.3,-4.2,6.5,0.2,,84,7,0.3,,,,,
2016-01-31,-1.9,1.8,-3.6,0.0,2.7,,78,1,1.5,,,,,
2016-02-01,-3.9,0.0,-6.9,0.0,3.2,,76,2,1.7,,,,,
2016-02-02,-4.5,-2.0,-6.6,0.0,1.1,,73,4,2.1,,,,,
2016-02-03,-4.4,-1.0,-7.0,0.0,4.0,,74,3,1.7,,,,,
2016-02-04,-2.4,2.6,-7.1,0.0,4.3,,70,3,1.4,,,,,
2016-02-05,-1.8,1.5,-6.4,0.0,3.4,,71,5,1.9,,,,,
2016-02-06,-2.8,1.4,-5.8,0.0,2.3,,67,2,1.1,,,,,
2016-02-07,-6.7,-4.3,-13.8,0.0,0.2,,66,3,1.5,,,,,
2016-02-08,-7.3,1.8,-15.3,0.0,5.4,,64,3,1.0,,,,,
2016-02-09,-4.3,2.2,-8.9,20.5,1.4,,101,41,1.8,,,,,
2016-02-10,-5.4,-4.1,-6.6,25.0,0.0,,135,35,2.6,,,,,
2016-02-11,-3.8,0.6,-7.7,0.0,5.6,,129,0,2.1,,,,,
2016-02-12,-0.8,8.6,-8.2,0.0,5.5,,113,1,0.9,,,,,
2016-02-13,3.6,11.3,-1.0,0.0,3.5,,100,4,0.9,,,,,
2016-02-14,4.1,11.0,2.0,7.0,0.7,,83,4,1.1,,,,,
2016-02-15,-3.1,2.8,-7.1,0.0,0.4,,69,1,2.6,,,,,
2016-02-16,-4.2,0.5,-7.1,0.0,4.7,,67,2,2.5,,,,,
2016-02-17,-4.1,-1.1,-6.1,2.0,0.2,,74,11,2.0,,,,,
2016-02-18,-2.4,4.4,-8.0,0.0,5.7,,73,0,1.1,,,,,
2016-02-19,-0.5,6.3,-7.5,0.0,5.5,,66,1,1.1,,,,,
2016-02-20,1.2,6.9,-2.2,6.0,1.3,,64,1,0.7,,,,,
2016-02-21,-0.5,3.1,-3.4,4.5,0.0,,74,14,3.5,,,,,
2016-02-22,-1.3,3.1,-4.1,0.0,5.4,,74,1,2.1,,,,,
2016-02-23,0.3,4.9,-4.3,1.0,3.7,,64,8,1.3,,,,,
2016-02-24,-4.6,-1.4,-6.2,2.5,0.4,,73,10,2.3,,,,,
2016-02-25,-5.6,-2.8,-8.1,0.0,3.0,,68,3,1.7,,,,,
2016-02-26,-3.2,-0.1,-5.7,2.5,4.1,,72,10,2.3,,,,,
2016-02-27,-0.3,5.1,-6.3,0.0,5.8,,66,2,1.6,,,,,
2016-02-28,2.4,7.0,-1.2,0.0,5.4,,62,3,2.1,,,,,
2016-02-29,0.9,9.2,-6.3,5.5,2.7,,69,13,1.4,,,,,
2016-03-01,-6.3,-4.1,-8.3,9.5,1.1,,95,27,3.5,,,,,
2016-03-02,-3.5,-1.2,-6.4,0.0,0.4,,87,6,2.1,,,,,
2016-03-03,0.3,4.7,-6.9,0.5,1.5,,83,1,2.9,,,,,
2016-03-04,1.4,9.3,-4.0,0.0,6.3,,76,1,1.1,,,,,
2016-03-05,3.7,11.5,-2.3,0.0,5.6,,69,1,0.9,,,,,
2016-03-06,5.9,14.5,-0.8,0.0,4.9,,60,1,1.3,,,,,
2016-03-07,4.5,9.4,2.1,0.0,0.0,,54,1,0.6,,,,,
2016-03-08,6.4,15.3,1.1,0.0,6.4,,50,3,1.1,,,,,
2016-03-09,-0.5,4.7,-3.3,14.5,0.0,,57,17,1.7,,,,,
2016-03-10,-1.6,2.4,-4.1,0.0,5.7,,57,3,1.6,,,,,
2016-03-11,-1.7,1.6,-4.1,0.0,6.0,,50,1,1.5,,,,,
2016-03-12,-2.6,-0.2,-4.8,0.0,2.2,,46,7,2.0,,,,,
2016-03-13,-0.6,3.3,-4.7,0.0,2.1,,46,2,1.3,,,,,
2016-03-14,-0.6,0.3,-2.0,7.0,0.0,,54,10,1.0,,,,,
2016-03-15,-2.4,-0.2,-6.8,0.0,2.6,,54,5,,,,,,
2016-03-16,0.4,9.9,-7.8,0.0,5.5,,50,5,0.8,,,,,
2016-03-17,4.2,12.5,-1.6,0.0,6.9,,46,2,1.3,,,,,
2016-03-18,6.2,16.5,-1.0,0.0,5.6,,39,4,1.3,,,,,
2016-03-19,7.6,14.6,3.7,1.5,1.6,,35,1,1.2,,,,,
2016-03-20,2.5,6.0,0.3,0.0,0.0,,27,2,2.4,,,,,
2016-03-21,-0.3,1.6,-1.9,0.0,1.5,,26,1,1.7,,,,,
2016-03-22,2.7,9.7,-4.3,0.0,7.0,,25,2,1.5,,,,,
2016-03-23,0.8,4.0,-2.6,5.5,0.8,,26,8,1.8,,,,,
2016-03-24,-2.0,0.4,-3.7,1.5,0.9,,35,13,1.4,,,,,
2016-03-25,-3.1,-0.7,-5.6,1.0,1.5,,31,9,1.6,,,,,
2016-03-26,-0.8,5.3,-6.7,0.0,7.1,,24,0,1.5,,,,,
2016-03-27,2.7,9.5,-3.8,1.5,7.1,,18,3,1.3,,,,,
2016-03-28,2.8,8.2,-1.1,2.5,3.9,,14,4,0.6,,,,,
2016-03-29,4.6,12.8,-2.2,0.0,7.2,,11,2,1.0,,,,,
2016-03-30,6.2,14.5,-0.6,5.0,7.2,,5,0,1.4,,,,,
2016-03-31,5.1,10.7,-0.1,0.0,7.2,,0,0,2.1,,,,,
2016-04-01,6.3,15.6,-1.0,0.0,6.4,,0,0,1.2,,,,,
2016-04-02,6.9,14.0,-0.9,0.0,7.2,,0,0,1.6,,,,,
2016-04-03,10.0,16.8,2.0,0.0,4.7,,0,0,1.3,,,,,
2016-04-04,8.0,13.8,4.2,5.5,1.4,,0,0,1.3,,,,,
2016-04-05,5.7,12.9,1.3,0.0,3.1,,0,0,1.7,,,,,
2016-04-06,6.8,13.0,1.5,0.0,7.1,,0,0,1.5,,,,,
2016-04-07,7.9,14.3,2.7,15.0,0.0,,0,0,0.9,,,,,
2016-04-08,8.2,12.2,2.1,0.0,2.9,,0,0,2.3,,,,,
2016-04-09,8.6,15.9,1.6,0.0,7.3,,0,0,1.5,,,,,
2016-04-10,9.2,15.5,3.1,0.0,3.5,,0,0,1.6,,,,,
2016-04-11,-0.6,5.0,-3.6,5.5,0.8,,10,11,2.0,,,,,
2016-04-12,2.7,11.9,-6.1,0.0,7.6,,9,0,1.0,,,,,
2016-04-13,8.4,16.3,0.2,3.0,7.1,,0,0,1.5,,,,,
2016-04-14,11.2,17.6,6.5,19.0,5.9,,0,0,1.2,,,,,
2016-04-15,3.5,8.6,1.2,3.0,0.5,,0,0,2.7,,,,,
2016-04-16,8.8,18.2,-1.3,0.0,7.4,,0,0,1.1,,,,,
2016-04-17,12.3,18.5,7.2,1.0,1.7,,0,0,2.0,,,,,
2016-04-18,8.7,15.5,4.6,0.0,4.6,,0,0,2.1,,,,,
2016-04-19,6.8,14.7,0.9,0.0,7.8,,0,0,1.9,,,,,
2016-04-20,8.6,16.9,1.8,0.0,7.7,,0,0,1.6,,,,,
2016-04-21,9.7,19.5,3.7,6.5,1.7,,0,0,1.2,,,,,
2016-04-22,11.4,15.8,6.5,1.5,1.6,,0,0,1.6,,,,,
2016-04-23,12.9,20.9,4.6,0.0,7.4,,0,0,1.4,,,,,
2016-04-24,11.1,16.2,6.2,0.0,6.0,,0,0,1.2,,,,,
2016-04-25,12.0,19.0,5.0,0.0,7.9,,0,0,1.0,,,,,
