calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.2,9.8,-0.5,0.0,8.9,,,,2.2,,,,,
2016-01-02,6.9,12.4,0.8,0.0,5.1,,,,1.5,,,,,
2016-01-03,8.5,14.1,3.3,0.0,6.0,,,,0.9,,,,,
2016-01-04,9.7,14.4,3.4,0.0,8.6,,,,2.0,,,,,
2016-01-05,7.6,11.4,3.5,0.0,4.6,,,,1.6,,,,,
2016-01-06,5.3,8.4,1.3,0.0,0.9,,,,1.0,,,,,
2016-01-07,6.4,10.2,3.5,0.0,8.6,,,,3.1,,,,,
2016-01-08,5.3,9.5,-1.2,0.0,7.5,,,,1.8,,,,,
2016-01-09,5.2,9.3,2.1,0.0,8.5,,,,2.1,,,,,
2016-01-10,5.9,11.7,0.5,0.0,6.3,,,,2.6,,,,,
2016-01-11,3.3,8.1,-0.5,0.0,7.4,,,,1.9,,,,,
2016-01-12,1.3,4.9,-2.6,0.0,0.0,,,,0.6,,,,,
2016-01-13,3.6,8.1,-3.0,0.0,8.6,,,,2.5,,,,,
2016-01-14,4.0,8.3,0.0,0.5,5.3,,,,0.9,,,,,
2016-01-15,0.8,4.2,-1.7,0.5,2.9,,,,0.8,,,,,
2016-01-16,2.0,8.7,-2.7,0.0,6.4,,,,0.8,,,,,
2016-01-17,3.6,9.0,-2.4,2.0,6.1,,,,1.7,,,,,
2016-01-18,4.9,7.7,1.2,54.5,0.0,,,,2.9,,,,,
2016-01-19,4.6,8.4,0.9,0.0,8.1,,,,3.4,,,,,
2016-01-20,3.5,8.1,-0.2,0.0,6.6,,,,2.7,,,,,
2016-01-21,2.0,6.8,-2.6,0.0,5.9,,,,1.9,,,,,
2016-01-22,2.8,7.8,-1.6,0.0,8.6,,,,2.2,,,,,
2016-01-23,1.6,4.0,-0.7,2.0,0.6,,,,1.1,,,,,
2016-01-24,1.1,5.2,-2.7,0.5,6.3,,,,0.9,,,,,
2016-01-25,1.4,5.5,-2.4,0.0,8.9,,,,3.5,,,,,
2016-01-26,2.7,8.9,-3.0,0.0,9.0,,,,1.4,,,,,
2016-01-27,5.9,12.1,-1.4,0.0,8.6,,,,1.7,,,,,
2016-01-28,6.6,13.7,-0.6,0.0,9.5,,,,1.3,,,,,
2016-01-29,2.0,5.7,-0.4,14.5,0.0,,,,0.5,,,,,
2016-01-30,0.7,2.6,-1.3,13.5,0.0,,,,0.4,,,,,
2016-01-31,2.3,7.1,-2.8,0.0,7.3,,,,0.9,,,,,
2016-02-01,2.1,6.2,-1.6,0.5,2.7,,,,1.2,,,,,
2016-02-02,1.5,6.5,-3.7,0.0,6.4,,,,2.1,,,,,
2016-02-03,0.4,5.5,-4.5,0.0,7.8,,,,0.6,,,,,
2016-02-04,2.6,8.2,-3.2,0.0,9.3,,,,1.8,,,,,
2016-02-05,5.4,10.4,-0.6,0.0,7.5,,,,1.9,,,,,
2016-02-06,2.7,4.6,0.9,0.5,0.1,,,,0.7,,,,,
2016-02-07,1.1,5.7,-2.7,0.0,6.8,,,,1.4,,,,,
2016-02-08,1.0,5.9,-4.0,0.0,4.1,,,,1.0,,,,,
2016-02-09,4.6,9.7,-1.1,0.0,8.3,,,,2.2,,,,,
2016-02-10,2.3,7.7,-2.6,0.0,7.0,,,,1.7,,,,,
2016-02-11,1.4,8.2,-3.7,0.0,7.0,,,,0.8,,,,,
2016-02-12,5.0,11.6,-2.7,0.0,9.7,,,,2.1,,,,,
2016-02-13,11.2,16.7,6.8,0.0,4.2,,,,1.6,,,,,
2016-02-14,14.8,19.0,10.4,5.5,0.6,,,,5.4,,,,,
2016-02-15,5.2,10.6,-0.5,0.0,0.0,,,,1.8,,,,,
2016-02-16,2.2,8.0,-2.8,0.0,8.0,,,,2.1,,,,,
2016-02-17,4.3,10.9,-1.6,0.0,9.9,,,,2.6,,,,,
2016-02-18,3.8,8.6,-3.4,0.0,10.3,,,,2.4,,,,,
2016-02-19,8.6,15.2,-0.1,0.0,10.2,,,,2.0,,,,,
2016-02-20,7.7,13.2,4.2,21.5,0.3,,,,0.6,,,,,
2016-02-21,8.1,13.0,3.6,0.0,5.5,,,,3.2,,,,,
2016-02-22,4.2,7.7,0.3,0.0,7.4,,,,1.4,,,,,
2016-02-23,5.6,9.2,2.7,0.5,5.4,,,,1.7,,,,,
2016-02-24,3.9,8.4,-0.7,0.0,6.5,,,,2.6,,,,,
2016-02-25,1.5,7.6,-2.2,0.0,9.0,,,,1.7,,,,,
2016-02-26,3.8,10.1,0.2,0.0,7.5,,,,1.9,,,,,
2016-02-27,4.7,9.8,-0.4,0.0,10.2,,,,2.1,,,,,
2016-02-28,6.0,8.3,2.6,0.0,5.8,,,,1.1,,,,,
2016-02-29,7.8,16.0,0.8,4.0,2.4,,,,2.2,,,,,
2016-03-01,1.7,4.7,-1.3,0.0,5.9,,,,2.8,,,,,
2016-03-02,2.9,9.0,-3.3,0.0,5.5,,,,1.8,,,,,
2016-03-03,7.0,13.8,-1.6,0.0,5.3,,,,2.4,,,,,
2016-03-04,4.5,8.8,1.5,0.0,8.9,,,,0.9,,,,,
2016-03-05,5.5,7.5,1.2,0.0,0.0,,,,0.4,,,,,
2016-03-06,10.3,14.5,6.3,0.0,1.2,,,,1.9,,,,,
2016-03-07,13.9,16.2,9.9,6.0,0.0,,,,2.5,,,,,
2016-03-08,12.1,17.4,8.5,0.0,3.7,,,,2.0,,,,,
2016-03-09,4.5,13.1,0.9,13.5,0.0,,,,0.6,,,,,
2016-03-10,3.5,7.3,0.0,0.0,2.7,,,,0.9,,,,,
2016-03-11,2.2,6.1,-1.2,0.0,2.5,,,,0.6,,,,,
2016-03-12,2.9,6.8,0.0,0.0,6.5,,,,0.8,,,,,
2016-03-13,5.1,8.0,1.3,0.0,2.2,,,,1.2,,,,,
2016-03-14,4.8,6.7,3.5,11.5,0.0,,,,0.7,,,,,
2016-03-15,6.5,11.5,1.8,0.5,10.1,,,,2.1,,,,,
2016-03-16,7.6,12.8,-0.7,0.0,8.7,,,,2.1,,,,,
2016-03-17,13.1,19.7,7.5,0.0,11.3,,,,2.5,,,,,
2016-03-18,12.6,19.6,5.1,0.0,7.8,,,,2.4,,,,,
2016-03-19,13.8,18.9,11.7,2.0,1.2,,,,2.6,,,,,
2016-03-20,9.2,14.4,3.1,0.0,6.0,,,,1.2,,,,,
2016-03-21,5.7,8.8,1.2,0.0,8.0,,,,1.3,,,,,
