calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,3.4,-1.6,1.5,0.9,,17,3,0.7,,,,,
2016-01-02,1.6,7.3,-1.0,8.5,0.5,,16,0,0.8,,,,,
2016-01-03,3.5,7.7,2.1,6.0,0.0,,9,3,0.7,,,,,
2016-01-04,5.3,12.7,1.7,3.0,3.9,,3,1,1.0,,,,,
2016-01-05,2.7,4.6,0.6,4.0,0.0,,0,0,0.6,,,,,
2016-01-06,1.8,2.8,0.5,1.5,0.0,,0,0,0.2,,,,,
2016-01-07,1.2,2.5,-0.3,3.5,0.0,,0,0,0.6,,,,,
2016-01-08,0.6,2.5,-0.6,6.5,0.0,,0,0,,,,,,
2016-01-09,0.2,1.7,-1.5,1.5,0.7,,0,0,,,,,,
2016-01-10,0.0,1.2,-1.4,30.0,0.0,,9,13,0.1,,,,,
2016-01-11,-0.9,0.9,-3.5,2.0,2.0,,15,14,,,,,,
2016-01-12,-1.3,0.9,-3.3,0.0,1.2,,11,2,0.5,,,,,
2016-01-13,-0.1,3.0,-2.1,2.0,4.7,,13,8,,,,,,
2016-01-14,-0.4,1.1,-2.0,15.0,0.1,,21,17,0.3,,,,,
2016-01-15,-1.8,2.3,-5.8,1.0,2.3,,19,5,,,,,,
2016-01-16,-2.1,1.1,-6.2,6.5,0.2,,26,14,0.4,,,,,
2016-01-17,-1.3,1.6,-5.2,0.0,2.5,,25,5,0.3,,,,,
2016-01-18,0.5,1.9,-0.7,27.5,0.0,,34,17,,,,,,
2016-01-19,0.6,3.1,-2.2,7.0,4.2,,30,9,1.9,,,,,
2016-01-20,-1.6,0.8,-4.8,14.5,0.2,,52,30,1.0,,,,,
2016-01-21,-0.7,1.6,-2.0,2.5,0.6,,51,11,,,,,,
2016-01-22,-1.5,-0.4,-2.6,7.5,0.0,,60,20,,,,,,
2016-01-23,-2.2,0.3,-4.4,1.0,0.5,,61,3,,,,,,
2016-01-24,-3.5,-1.2,-5.8,41.5,0.5,,113,64,,,,,,
2016-01-25,-3.1,-2.0,-5.2,20.0,0.0,,130,22,,,,,,
2016-01-26,-0.5,4.1,-2.5,0.5,6.4,,124,0,,,,,,
