calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.3,6.9,-1.5,0.5,6.9,,,,2.5,,,,,
2016-01-02,2.0,6.2,-1.6,7.0,0.0,,,,0.8,,,,,
2016-01-03,4.9,8.2,1.6,10.0,0.1,,,,0.9,,,,,
2016-01-04,6.0,10.9,2.3,4.0,1.7,,,,2.0,,,,,
2016-01-05,3.3,5.0,1.9,0.5,0.9,,,,2.4,,,,,
2016-01-06,2.6,4.5,0.8,2.0,0.3,,,,1.6,,,,,
2016-01-07,2.1,4.0,-0.1,0.0,4.1,,,,3.3,,,,,
2016-01-08,1.1,3.4,-0.8,3.0,0.5,,,,1.2,,,,,
2016-01-09,0.8,3.1,-1.7,0.5,4.4,,,,2.5,,,,,
2016-01-10,0.4,2.0,-1.0,12.5,0.1,,,,1.1,,,,,
2016-01-11,-0.3,1.3,-2.7,0.0,5.3,,,,3.5,,,,,
2016-01-12,-1.0,2.2,-2.8,0.0,2.6,,,,2.4,,,,,
2016-01-13,0.3,4.8,-3.3,2.5,3.7,,,,1.0,,,,,
2016-01-14,0.3,2.7,-1.6,6.5,0.7,,,,,,,,,
2016-01-15,-1.0,3.0,-4.7,1.0,3.4,,,,0.9,,,,,
2016-01-16,-1.3,2.4,-4.0,5.0,3.3,,,,1.2,,,,,
2016-01-17,-0.7,2.0,-4.1,0.5,1.3,,,,1.0,,,,,
2016-01-18,1.2,4.7,-0.3,23.5,0.0,,,,1.8,,,,,
2016-01-19,0.3,2.7,-2.5,7.5,3.2,,,,2.2,,,,,
2016-01-20,-1.8,0.4,-6.4,13.0,0.6,,,,1.3,,,,,
2016-01-21,-1.6,2.4,-6.5,0.5,3.8,,,,2.1,,,,,
2016-01-22,-1.8,3.1,-7.7,0.0,3.7,,,,2.4,,,,,
2016-01-23,-2.0,1.5,-6.2,0.0,0.8,,,,1.3,,,,,
2016-01-24,-2.6,0.6,-4.5,12.5,0.7,,,,2.6,,,,,
2016-01-25,-2.3,1.3,-5.7,9.0,3.5,,,,2.1,,,,,
2016-01-26,-0.5,5.2,-5.0,1.0,3.1,,,,0.9,,,,,
2016-01-27,0.4,2.5,-2.5,26.0,0.1,,,,1.1,,,,,
2016-01-28,2.5,6.7,0.4,4.0,2.6,,,,1.2,,,,,
2016-01-29,0.5,1.9,-0.5,18.0,0.0,,,,0.1,,,,,
2016-01-30,0.0,1.9,-1.3,8.0,0.0,,,,0.4,,,,,
2016-01-31,0.6,3.2,-1.2,0.5,4.4,,,,1.6,,,,,
2016-02-01,-0.5,1.1,-1.9,0.0,5.6,,,,3.2,,,,,
2016-02-02,-0.9,3.3,-6.6,0.0,4.9,,,,3.1,,,,,
2016-02-03,-0.7,3.7,-5.1,0.0,5.0,,,,2.4,,,,,
2016-02-04,0.4,5.3,-2.2,21.5,3.4,,,,0.7,,,,,
2016-02-05,0.7,3.6,-3.1,4.0,3.3,,,,1.4,,,,,
2016-02-06,0.3,4.6,-4.0,1.0,3.3,,,,1.4,,,,,
2016-02-07,-3.7,1.2,-8.2,0.0,8.8,,,,2.9,,,,,
2016-02-08,-3.6,4.9,-11.0,0.0,9.3,,,,1.0,,,,,
2016-02-09,-1.8,1.7,-8.0,8.0,2.8,,,,0.8,,,,,
2016-02-10,-0.6,2.1,-2.1,4.0,4.7,,,,,,,,,
2016-02-11,-0.8,4.8,-7.0,0.0,5.7,,,,1.8,,,,,
2016-02-12,-0.5,7.7,-10.2,0.0,9.7,,,,1.0,,,,,
2016-02-13,3.5,9.7,-0.1,0.5,1.5,,,,0.9,,,,,
2016-02-14,4.8,10.0,1.7,10.0,0.0,,,,2.0,,,,,
2016-02-15,0.7,4.6,-2.5,0.0,4.8,,,,4.9,,,,,
2016-02-16,-0.3,4.4,-4.6,0.0,4.5,,,,1.7,,,,,
2016-02-17,-0.3,2.4,-3.2,17.0,3.6,,,,2.6,,,,,
2016-02-18,-0.3,7.5,-6.0,0.0,9.2,,,,1.0,,,,,
2016-02-19,1.3,7.8,-8.0,0.0,5.3,,,,1.3,,,,,
2016-02-20,3.3,8.0,0.0,3.5,0.0,,,,1.1,,,,,
2016-02-21,3.3,6.9,0.2,7.0,1.8,,,,3.1,,,,,
2016-02-22,1.1,5.4,-2.9,0.0,7.7,,,,1.9,,,,,
2016-02-23,3.3,8.9,-1.4,3.5,3.3,,,,1.9,,,,,
2016-02-24,0.2,3.5,-2.5,0.5,6.5,,,,4.2,,,,,
2016-02-25,-1.2,2.7,-3.6,0.0,4.6,,,,2.0,,,,,
2016-02-26,-0.5,2.5,-2.5,15.5,2.4,,,,,,,,,
2016-02-27,1.5,5.6,-7.3,4.5,4.6,,,,1.1,,,,,
2016-02-28,4.6,9.0,0.0,1.5,5.6,,,,2.0,,,,,
2016-02-29,3.7,9.9,-1.7,1.0,0.9,,,,3.7,,,,,
2016-03-01,-0.9,1.4,-2.7,5.5,2.1,,,,4.3,,,,,
2016-03-02,0.0,4.2,-2.2,7.5,1.7,,,,2.1,,,,,
2016-03-03,1.5,7.5,-0.9,5.5,1.4,,,,,,,,,
2016-03-04,3.1,10.6,-2.1,0.0,9.8,,,,1.3,,,,,
2016-03-05,4.7,14.0,-2.9,0.0,10.0,,,,1.6,,,,,
2016-03-06,8.6,17.7,1.9,0.0,7.2,,,,1.5,,,,,
2016-03-07,8.3,12.2,5.9,0.5,0.0,,,,1.0,,,,,
2016-03-08,7.7,10.8,5.4,0.0,0.0,,,,1.4,,,,,
2016-03-09,2.0,6.4,0.8,3.0,0.0,,,,1.7,,,,,
2016-03-10,2.0,5.8,-0.8,0.0,6.1,,,,2.5,,,,,
2016-03-11,1.0,7.3,-3.2,0.0,7.0,,,,2.2,,,,,
2016-03-12,2.0,8.1,-2.6,0.0,7.6,,,,1.3,,,,,
2016-03-13,3.8,9.2,-1.4,0.0,4.5,,,,1.0,,,,,
2016-03-14,3.0,4.4,1.1,7.5,0.0,,,,0.6,,,,,
2016-03-15,2.9,7.7,-0.2,0.0,7.0,,,,3.5,,,,,
2016-03-16,3.7,11.9,-2.5,0.0,6.6,,,,0.9,,,,,
2016-03-17,6.4,17.1,-3.0,0.0,11.0,,,,1.9,,,,,
2016-03-18,9.5,20.5,-1.1,0.0,8.4,,,,1.3,,,,,
2016-03-19,9.5,13.3,6.9,2.0,0.6,,,,2.0,,,,,
2016-03-20,6.1,10.8,2.6,0.0,3.8,,,,3.4,,,,,
2016-03-21,3.9,9.6,-2.0,0.0,6.7,,,,3.0,,,,,
2016-03-22,6.6,14.1,-1.0,0.0,8.4,,,,2.0,,,,,
2016-03-23,6.2,10.1,2.4,3.0,7.2,,,,4.9,,,,,
2016-03-24,3.0,8.8,-1.6,0.0,4.9,,,,2.6,,,,,
2016-03-25,1.8,9.1,-1.9,0.0,7.1,,,,2.8,,,,,
2016-03-26,2.7,9.7,-3.4,0.0,6.1,,,,2.0,,,,,
2016-03-27,5.3,15.3,-3.1,0.0,10.1,,,,1.3,,,,,
2016-03-28,7.4,17.3,-0.2,0.0,11.2,,,,2.0,,,,,
2016-03-29,7.5,17.3,-2.6,0.0,11.2,,,,1.2,,,,,
2016-03-30,10.1,19.5,1.2,5.0,10.2,,,,2.7,,,,,
2016-03-31,7.9,16.8,0.0,0.0,11.4,,,,2.4,,,,,
2016-04-01,8.5,18.4,-0.8,0.0,9.9,,,,2.0,,,,,
2016-04-02,8.5,15.8,0.6,0.0,11.2,,,,2.7,,,,,
2016-04-03,14.0,24.4,3.8,0.0,6.6,,,,1.4,,,,,
2016-04-04,10.1,12.7,6.3,11.0,0.0,,,,2.0,,,,,
2016-04-05,8.7,17.1,1.8,0.0,8.8,,,,1.5,,,,,
2016-04-06,9.0,16.6,1.5,1.5,8.0,,,,2.5,,,,,
2016-04-07,9.9,14.5,4.4,35.5,0.0,,,,2.2,,,,,
2016-04-08,10.6,13.6,4.8,0.0,1.0,,,,3.1,,,,,
2016-04-09,10.8,21.2,3.1,0.0,8.3,,,,2.1,,,,,
2016-04-10,11.3,20.5,2.1,0.0,5.8,,,,2.1,,,,,
2016-04-11,4.3,9.7,0.2,1.0,6.3,,,,4.3,,,,,
2016-04-12,5.9,15.3,-2.9,0.0,11.3,,,,1.3,,,,,
2016-04-13,12.1,21.1,1.6,3.5,8.7,,,,1.5,,,,,
2016-04-14,14.9,22.2,10.7,11.5,7.5,,,,2.6,,,,,
2016-04-15,8.4,12.6,1.0,0.5,9.7,,,,5.5,,,,,
2016-04-16,10.0,20.8,-0.7,0.0,11.0,,,,1.1,,,,,
2016-04-17,14.9,23.5,8.6,2.5,3.8,,,,4.2,,,,,
2016-04-18,12.6,18.5,6.1,0.0,4.3,,,,3.0,,,,,
2016-04-19,10.9,17.6,3.3,0.5,10.7,,,,3.7,,,,,
2016-04-20,10.9,19.3,2.5,0.0,9.1,,,,1.0,,,,,
2016-04-21,12.6,19.0,4.4,5.5,1.8,,,,1.2,,,,,
2016-04-22,14.0,19.5,8.6,3.5,3.8,,,,2.2,,,,,
2016-04-23,15.6,25.9,7.4,0.0,9.3,,,,2.3,,,,,
2016-04-24,13.9,20.7,5.5,0.0,7.7,,,,2.3,,,,,
2016-04-25,13.4,24.1,3.4,0.0,11.5,,,,1.5,,,,,
2016-04-26,14.8,25.3,5.4,0.0,11.9,,,,2.2,,,,,
2016-04-27,15.3,24.4,5.1,0.0,10.2,,,,2.2,,,,,
2016-04-28,12.2,14.0,10.6,47.0,0.0,,,,1.6,,,,,
2016-04-29,9.7,13.7,6.4,4.0,4.5,,,,4.6,,,,,
2016-04-30,9.5,15.2,2.3,1.0,5.7,,,,3.2,,,,,
2016-05-01,10.9,15.3,8.1,16.5,0.0,,,,1.5,,,,,
2016-05-02,13.5,19.8,8.7,0.0,1.6,,,,1.0,,,,,
2016-05-03,18.0,26.8,6.8,0.0,9.8,,,,2.5,,,,,
2016-05-04,17.4,22.3,9.5,2.5,4.1,,,,3.4,,,,,
2016-05-05,15.0,20.1,8.6,0.0,7.1,,,,4.2,,,,,
2016-05-06,14.6,23.3,5.0,0.0,1.3,,,,1.6,,,,,
2016-05-07,15.2,18.7,9.2,2.0,1.9,,,,1.8,,,,,
2016-05-08,15.0,21.2,7.6,0.0,13.0,,,,3.9,,,,,
2016-05-09,15.9,25.2,5.9,0.0,9.3,,,,1.5,,,,,
2016-05-10,17.1,22.1,13.6,2.5,0.0,,,,1.7,,,,,
2016-05-11,15.4,19.4,13.1,6.5,0.1,,,,1.9,,,,,
2016-05-12,14.9,19.9,10.1,0.0,11.9,,,,4.0,,,,,
2016-05-13,17.6,27.9,8.5,0.0,11.3,,,,1.7,,,,,
2016-05-14,19.0,26.3,12.6,0.0,11.1,,,,1.8,,,,,
2016-05-15,17.4,25.1,8.7,0.0,13.1,,,,1.8,,,,,
2016-05-16,17.9,23.7,11.1,0.0,12.8,,,,2.2,,,,,
2016-05-17,13.4,17.1,10.2,24.5,0.0,,,,1.3,,,,,
2016-05-18,16.7,26.3,9.1,0.0,10.4,,,,0.9,,,,,
2016-05-19,17.4,25.6,9.6,0.0,12.5,,,,1.4,,,,,
2016-05-20,16.3,22.2,9.1,0.0,5.7,,,,1.1,,,,,
2016-05-21,16.9,24.7,10.1,0.0,4.9,,,,0.9,,,,,
2016-05-22,20.1,29.3,12.4,0.0,13.2,,,,1.3,,,,,
2016-05-23,19.7,29.2,13.1,0.0,12.6,,,,1.5,,,,,
2016-05-24,20.7,29.3,11.4,0.0,8.5,,,,1.0,,,,,
2016-05-25,20.0,23.7,17.3,0.0,0.0,,,,0.5,,,,,
2016-05-26,21.7,27.6,17.5,0.0,2.6,,,,0.5,,,,,
2016-05-27,18.3,23.3,13.7,18.5,4.3,,,,1.1,,,,,
2016-05-28,18.1,26.4,13.0,0.0,7.4,,,,1.0,,,,,
2016-05-29,21.1,29.7,10.9,0.0,10.8,,,,1.1,,,,,
2016-05-30,19.5,21.4,16.6,0.0,0.0,,,,1.9,,,,,
2016-05-31,20.2,27.7,15.0,6.5,9.5,,,,1.3,,,,,
2016-06-01,15.4,19.4,12.4,1.5,5.6,,,,4.7,,,,,
2016-06-02,13.3,18.3,7.6,0.0,8.5,,,,5.2,,,,,
2016-06-03,15.0,24.4,6.1,0.0,12.6,,,,1.0,,,,,
2016-06-04,18.9,28.7,9.4,0.0,10.3,,,,1.4,,,,,
