calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.1,4.3,-0.5,0.5,3.2,,1,1,1.6,,,,,
2016-01-02,2.0,5.9,-2.1,3.0,0.6,,0,0,0.5,,,,,
2016-01-03,5.0,9.0,1.9,1.0,0.1,,0,0,0.6,,,,,
2016-01-04,6.8,13.9,3.6,1.5,3.1,,0,0,1.5,,,,,
2016-01-05,3.1,5.0,-0.3,1.5,4.1,,0,0,2.1,,,,,
2016-01-06,3.2,5.2,-0.3,0.0,2.0,,0,0,1.7,,,,,
2016-01-07,2.5,4.6,0.5,0.0,1.7,,0,0,1.7,,,,,
2016-01-08,1.8,4.7,-0.8,0.0,2.3,,0,0,1.1,,,,,
2016-01-09,1.0,3.0,-2.3,0.0,0.2,,0,0,1.0,,,,,
2016-01-10,1.5,4.8,-2.6,1.0,1.8,,0,0,1.2,,,,,
2016-01-11,0.2,1.5,-1.1,0.0,1.3,,0,0,1.6,,,,,
2016-01-12,-0.2,2.0,-2.8,0.0,2.3,,0,0,1.5,,,,,
2016-01-13,0.3,6.2,-1.8,0.5,4.7,,1,2,0.6,,,,,
2016-01-14,0.5,3.4,-2.1,1.0,4.8,,1,1,,,,,,
2016-01-15,-1.6,1.9,-5.5,1.0,4.5,,3,3,0.7,,,,,
2016-01-16,-1.7,1.3,-5.8,0.0,1.1,,3,3,0.7,,,,,
2016-01-17,-0.4,3.7,-4.7,0.0,3.3,,1,1,0.7,,,,,
2016-01-18,0.4,2.5,-1.5,48.0,0.0,,16,16,,,,,,
2016-01-19,1.1,3.0,-1.8,2.0,3.3,,9,2,1.7,,,,,
2016-01-20,-0.6,3.1,-5.5,0.0,3.3,,10,3,1.7,,,,,
2016-01-21,0.8,2.6,-1.1,0.0,3.4,,12,2,2.8,,,,,
2016-01-22,0.1,1.7,-1.0,0.0,1.4,,11,2,2.2,,,,,
2016-01-23,-0.5,1.7,-1.6,0.0,1.4,,11,2,1.5,,,,,
2016-01-24,-1.7,0.4,-4.2,3.0,3.6,,20,11,1.4,,,,,
2016-01-25,-2.2,-0.1,-5.3,7.5,0.0,,33,13,,,,,,
2016-01-26,-0.4,6.0,-4.6,0.0,5.4,,29,0,0.8,,,,,
2016-01-27,1.6,6.8,-5.4,1.0,4.4,,17,0,1.3,,,,,
2016-01-28,3.9,5.5,1.9,0.0,0.5,,9,0,1.8,,,,,
2016-01-29,0.4,2.9,-2.1,10.0,0.0,,14,8,0.7,,,,,
2016-01-30,-0.8,1.6,-2.5,6.5,0.3,,23,9,0.5,,,,,
2016-01-31,0.8,3.3,-1.4,0.0,5.4,,19,1,1.6,,,,,
2016-02-01,0.0,1.7,-1.7,0.0,3.1,,15,0,1.5,,,,,
2016-02-02,-0.2,1.5,-1.9,0.0,1.5,,16,2,1.8,,,,,
2016-02-03,0.1,3.6,-2.4,0.0,4.1,,15,1,1.7,,,,,
2016-02-04,0.7,6.3,-2.8,0.0,5.7,,14,1,0.8,,,,,
2016-02-05,1.5,4.3,-1.0,2.0,4.8,,15,4,1.4,,,,,
2016-02-06,0.5,3.0,-1.3,0.5,0.9,,11,3,1.3,,,,,
2016-02-07,-0.9,1.7,-2.9,0.0,5.5,,9,0,2.2,,,,,
2016-02-08,-1.7,5.3,-8.1,0.0,7.9,,9,2,0.7,,,,,
2016-02-09,0.3,6.7,-5.2,1.5,4.2,,10,4,1.2,,,,,
2016-02-10,-0.2,1.8,-1.3,0.0,4.0,,13,5,3.8,,,,,
2016-02-11,0.8,4.5,-4.2,0.0,6.6,,11,1,2.3,,,,,
2016-02-12,0.7,10.3,-6.0,0.0,8.0,,8,0,0.7,,,,,
2016-02-13,4.9,12.8,0.4,0.0,1.2,,5,2,0.7,,,,,
2016-02-14,7.4,13.6,3.5,0.5,0.3,,1,0,2.0,,,,,
2016-02-15,1.1,6.8,-2.5,0.0,3.4,,0,0,3.1,,,,,
2016-02-16,-0.2,5.4,-3.7,0.0,4.0,,1,1,1.2,,,,,
2016-02-17,-0.3,2.4,-2.2,2.0,1.3,,3,3,1.1,,,,,
2016-02-18,0.7,8.8,-5.2,0.0,8.2,,1,1,0.9,,,,,
2016-02-19,2.6,10.9,-5.5,0.0,7.4,,1,1,1.0,,,,,
2016-02-20,4.0,10.2,-0.3,14.5,0.0,,0,0,0.6,,,,,
2016-02-21,4.5,8.5,0.7,1.5,0.6,,0,0,2.7,,,,,
2016-02-22,1.0,4.6,-1.3,0.0,5.2,,0,0,2.0,,,,,
2016-02-23,3.2,9.9,-2.9,1.5,6.2,,0,0,1.1,,,,,
2016-02-24,-0.2,2.9,-2.8,0.5,3.4,,0,0,1.8,,,,,
2016-02-25,-1.8,2.5,-4.9,0.0,6.7,,0,0,1.2,,,,,
2016-02-26,-0.1,3.2,-4.0,1.5,5.4,,2,3,1.2,,,,,
2016-02-27,2.3,8.0,-0.3,1.5,6.2,,0,0,1.2,,,,,
2016-02-28,3.7,7.5,-0.8,1.5,3.1,,0,0,1.5,,,,,
2016-02-29,4.2,11.4,-0.5,0.5,1.9,,0,0,2.5,,,,,
2016-03-01,-1.5,0.6,-2.7,3.5,0.5,,7,11,2.0,,,,,
2016-03-02,0.1,3.3,-2.6,1.5,1.0,,11,4,1.3,,,,,
2016-03-03,2.9,6.9,-1.6,2.0,2.6,,0,0,2.1,,,,,
2016-03-04,2.3,9.4,-3.0,0.0,8.5,,0,0,1.1,,,,,
2016-03-05,3.5,11.0,-3.9,0.0,6.0,,0,0,0.9,,,,,
2016-03-06,7.8,15.3,3.7,0.0,2.1,,0,0,1.1,,,,,
2016-03-07,9.8,15.5,6.1,2.5,0.2,,0,0,1.3,,,,,
2016-03-08,10.0,15.0,7.0,0.0,3.2,,0,0,2.2,,,,,
2016-03-09,3.2,7.0,2.0,0.0,0.0,,0,0,2.9,,,,,
2016-03-10,2.1,4.8,-0.5,0.0,2.2,,0,0,1.9,,,,,
2016-03-11,1.6,6.6,-2.8,0.0,6.9,,0,0,1.5,,,,,
2016-03-12,0.8,5.5,-5.2,0.0,2.5,,0,0,0.8,,,,,
2016-03-13,3.6,8.4,-2.5,0.0,2.6,,0,0,0.8,,,,,
2016-03-14,3.4,5.8,1.9,2.0,0.0,,0,0,0.6,,,,,
2016-03-15,3.7,7.0,2.2,0.0,5.0,,0,0,2.4,,,,,
2016-03-16,4.7,12.6,-2.2,0.0,5.7,,0,0,1.2,,,,,
2016-03-17,8.1,16.2,-0.1,0.0,9.1,,0,0,1.5,,,,,
2016-03-18,9.7,20.6,-0.6,0.0,6.9,,0,0,1.1,,,,,
2016-03-19,10.7,17.4,6.9,1.0,2.0,,0,0,1.7,,,,,
2016-03-20,6.6,8.7,3.7,0.0,0.9,,0,0,3.1,,,,,
2016-03-21,4.5,8.5,0.1,0.0,7.0,,0,0,2.0,,,,,
2016-03-22,7.6,12.4,2.1,0.0,8.1,,0,0,1.8,,,,,
2016-03-23,6.0,8.8,3.3,6.0,5.2,,0,0,1.8,,,,,
2016-03-24,3.4,8.1,-0.7,0.0,4.9,,0,0,1.3,,,,,
2016-03-25,2.3,7.2,-0.8,0.0,5.0,,0,0,1.4,,,,,
2016-03-26,2.5,9.1,-3.2,0.0,6.0,,0,0,1.3,,,,,
2016-03-27,4.0,13.3,-3.9,0.0,6.7,,0,0,0.8,,,,,
2016-03-28,7.0,14.9,-0.3,0.0,9.0,,0,0,1.4,,,,,
2016-03-29,7.0,16.9,-2.0,0.0,9.3,,0,0,1.1,,,,,
2016-03-30,9.9,19.3,0.9,3.0,8.4,,0,0,1.8,,,,,
2016-03-31,8.0,15.0,1.1,0.0,9.2,,0,0,1.4,,,,,
2016-04-01,5.7,13.6,-1.6,0.0,6.4,,0,0,1.1,,,,,
2016-04-02,6.7,10.4,4.7,0.0,0.6,,0,0,1.3,,,,,
2016-04-03,13.2,20.4,4.9,0.0,4.4,,0,0,2.0,,,,,
2016-04-04,9.8,14.8,6.7,13.5,0.0,,0,0,1.6,,,,,
2016-04-05,9.1,16.5,0.9,0.5,8.4,,0,0,1.9,,,,,
2016-04-06,10.4,15.9,3.9,0.0,9.1,,0,0,1.8,,,,,
2016-04-07,7.4,13.9,3.0,32.0,0.0,,0,0,0.6,,,,,
2016-04-08,10.8,13.5,4.7,0.0,3.6,,0,0,2.5,,,,,
2016-04-09,11.1,21.6,1.7,0.0,9.5,,0,0,1.2,,,,,
2016-04-10,9.6,21.0,1.8,0.0,4.0,,0,0,1.2,,,,,
2016-04-11,3.8,6.8,1.1,0.5,3.1,,0,0,2.3,,,,,
2016-04-12,6.4,14.7,-1.5,0.0,9.9,,0,0,1.7,,,,,
2016-04-13,10.4,15.4,0.8,1.5,5.8,,0,0,2.5,,,,,
2016-04-14,13.4,19.2,9.5,13.5,1.8,,0,0,1.0,,,,,
2016-04-15,8.4,13.2,6.9,0.5,2.3,,0,0,3.7,,,,,
2016-04-16,10.4,19.3,-0.4,0.0,7.5,,0,0,1.6,,,,,
2016-04-17,14.2,19.0,7.6,5.0,0.6,,0,0,3.1,,,,,
2016-04-18,12.4,18.0,4.8,0.0,5.3,,0,0,2.3,,,,,
2016-04-19,11.2,16.0,7.0,0.0,8.7,,0,0,2.5,,,,,
2016-04-20,9.4,18.3,1.5,0.0,9.0,,0,0,1.0,,,,,
2016-04-21,11.4,18.0,2.2,5.0,1.9,,0,0,1.3,,,,,
2016-04-22,13.3,17.6,10.6,0.5,0.9,,0,0,1.2,,,,,
2016-04-23,15.5,24.1,8.9,0.0,4.3,,0,0,1.7,,,,,
2016-04-24,13.3,19.3,4.7,0.0,5.5,,0,0,1.5,,,,,
2016-04-25,11.9,22.4,2.5,0.0,10.1,,0,0,1.1,,,,,
2016-04-26,13.9,24.1,4.5,0.0,9.5,,0,0,1.3,,,,,
2016-04-27,10.7,20.3,3.7,0.0,9.0,,0,0,1.3,,,,,
2016-04-28,9.0,11.9,7.5,46.0,0.0,,0,0,0.6,,,,,
2016-04-29,10.1,13.0,5.7,0.5,4.5,,0,0,2.4,,,,,
2016-04-30,9.6,15.1,4.2,0.5,7.1,,0,0,1.9,,,,,
2016-05-01,10.7,15.5,6.9,6.0,1.1,,0,0,1.2,,,,,
2016-05-02,11.1,16.4,8.4,0.0,0.1,,0,0,0.6,,,,,
2016-05-03,17.6,24.2,8.9,0.0,5.4,,0,0,2.9,,,,,
2016-05-04,16.6,21.0,11.4,2.0,4.0,,0,0,2.6,,,,,
2016-05-05,15.2,19.6,8.3,0.5,1.4,,0,0,1.8,,,,,
2016-05-06,15.0,22.3,4.5,0.0,5.3,,0,0,1.8,,,,,
2016-05-07,15.2,19.5,8.6,0.0,0.8,,0,0,1.1,,,,,
2016-05-08,14.1,20.4,5.8,0.0,10.5,,0,0,2.3,,,,,
2016-05-09,14.5,23.0,4.4,0.0,8.7,,0,0,1.8,,,,,
2016-05-10,13.9,15.9,12.1,12.0,0.0,,0,0,0.5,,,,,
2016-05-11,14.2,18.2,12.1,1.5,0.0,,0,0,1.1,,,,,
2016-05-12,14.1,19.3,8.0,0.0,8.1,,0,0,1.7,,,,,
2016-05-13,17.0,26.6,7.1,0.0,8.9,,0,0,1.1,,,,,
2016-05-14,16.1,22.8,6.8,0.0,7.8,,0,0,1.5,,,,,
2016-05-15,12.3,21.9,4.2,0.0,10.8,,0,0,1.0,,,,,
2016-05-16,15.5,21.9,6.7,0.0,5.9,,0,0,2.0,,,,,
2016-05-17,13.8,15.0,12.2,23.5,0.0,,0,0,2.1,,,,,
2016-05-18,16.6,25.3,7.5,0.0,10.8,,0,0,1.6,,,,,
2016-05-19,13.7,22.5,6.2,0.0,10.3,,0,0,0.7,,,,,
2016-05-20,12.4,20.3,4.8,0.0,4.4,,0,0,0.5,,,,,
2016-05-21,14.2,19.6,7.7,1.0,2.7,,0,0,0.8,,,,,
2016-05-22,18.8,28.4,11.2,0.0,10.9,,0,0,0.9,,,,,
2016-05-23,19.7,28.6,11.3,0.0,11.1,,0,0,1.4,,,,,
2016-05-24,18.0,27.2,8.8,0.0,7.3,,0,0,0.7,,,,,
2016-05-25,17.4,21.9,14.2,0.5,0.0,,0,0,0.4,,,,,
2016-05-26,20.6,27.6,14.3,0.0,2.3,,0,0,0.6,,,,,
