calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.0,1.7,-3.2,2.5,2.3,,30,10,2.2,,,,,
2016-01-02,1.4,7.3,-3.4,1.0,2.5,,18,1,2.0,,,,,
2016-01-03,4.0,8.9,1.0,0.5,1.6,,10,1,1.5,,,,,
2016-01-04,4.5,11.1,-0.3,1.5,4.6,,5,1,1.9,,,,,
2016-01-05,2.6,4.6,0.6,3.5,0.1,,1,0,1.8,,,,,
2016-01-06,1.4,3.5,-0.9,1.5,0.0,,0,0,1.0,,,,,
2016-01-07,0.4,2.6,-1.5,1.0,0.0,,0,0,2.0,,,,,
2016-01-08,0.4,3.4,-2.7,2.5,3.5,,0,0,1.1,,,,,
2016-01-09,-1.1,0.6,-4.0,2.0,0.3,,0,0,1.8,,,,,
2016-01-10,-0.2,2.1,-3.7,12.5,0.7,,5,5,1.7,,,,,
2016-01-11,-1.9,0.0,-3.5,1.0,1.3,,10,6,0.5,,,,,
2016-01-12,-2.7,-0.6,-5.1,0.0,1.2,,6,3,,,,,,
2016-01-13,-1.1,3.0,-3.2,0.5,6.1,,9,10,0.9,,,,,
2016-01-14,-1.3,0.4,-3.7,2.5,0.3,,12,14,1.7,,,,,
2016-01-15,-3.0,1.1,-7.0,0.0,2.9,,7,6,1.5,,,,,
2016-01-16,-3.5,0.1,-7.7,3.0,0.0,,14,11,1.6,,,,,
2016-01-17,-1.9,1.7,-5.7,0.0,1.4,,12,1,1.3,,,,,
2016-01-18,0.6,3.0,-0.8,20.5,0.0,,22,19,2.9,,,,,
2016-01-19,-1.0,2.0,-6.3,1.0,6.4,,15,6,3.8,,,,,
2016-01-20,-3.1,0.6,-7.9,7.5,0.2,,31,20,3.6,,,,,
2016-01-21,-1.7,0.7,-2.6,5.0,1.7,,41,17,3.2,,,,,
