calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.3,9.7,1.1,,9.1,,,,,4.5,1024.4,52,1025.0,
2016-01-02,5.8,12.0,0.8,,5.8,,,,,6.3,1020.2,69,1020.8,
2016-01-03,7.0,14.0,0.6,,9.2,,,,,7.5,1015.3,75,1015.9,
2016-01-04,8.3,13.5,2.2,,8.8,,,,,8.5,1012.5,77,1013.1,
2016-01-05,8.1,12.1,3.9,0.0,5.5,,,,,7.1,1016.1,66,1016.7,
2016-01-06,6.5,8.6,4.0,,0.1,,,,,5.9,1016.7,61,1017.3,
2016-01-07,6.3,11.5,3.0,,7.9,,,,,5.0,1011.6,53,1012.2,
2016-01-08,4.5,9.6,-0.3,,7.4,,,,,5.5,1013.1,65,1013.7,
2016-01-09,5.2,10.4,1.0,,8.7,,,,,4.5,1016.8,54,1017.4,
2016-01-10,6.4,13.8,0.2,0.0,8.7,,,,,5.6,1015.3,60,1015.9,
2016-01-11,5.2,9.1,2.7,,7.0,,,,,3.9,1017.1,45,1017.7,
2016-01-12,3.5,5.5,1.9,,0.0,,,,,3.8,1014.6,49,1015.2,
2016-01-13,3.7,8.1,-2.2,,9.5,,,,,4.9,1012.5,61,1013.1,
2016-01-14,3.7,9.7,-1.2,0.0,6.1,,,,,5.6,1011.8,71,1012.4,
2016-01-15,2.1,4.6,-0.8,0.0,2.7,,,,,5.4,1016.9,76,1017.5,
2016-01-16,3.2,8.3,-1.9,0.0,8.3,,,,,4.7,1018.7,62,1019.3,
2016-01-17,4.5,9.1,-1.0,1.5,6.4,,,,,4.8,1022.2,58,1022.8,
2016-01-18,5.6,8.9,3.0,59.0,0.0,,,,,7.7,999.3,84,999.9,
2016-01-19,5.3,9.6,0.7,0.0,6.7,,,,,3.8,997.7,44,998.3,
2016-01-20,3.0,8.1,-1.0,,5.2,,,,,3.9,1006.5,51,1007.1,
2016-01-21,3.6,7.4,0.7,,2.1,,,,,3.9,1016.5,50,1017.1,
2016-01-22,3.5,8.1,0.1,,8.8,,,,,3.9,1018.9,50,1019.5,
2016-01-23,1.8,4.8,-1.0,3.5,0.0,,,,,4.5,1017.2,66,1017.8,
2016-01-24,2.3,7.0,-0.8,0.5,7.7,,,,,4.4,1002.2,63,1002.8,
2016-01-25,1.4,5.4,-1.8,0.0,7.6,,,,,3.4,1014.9,52,1015.5,
2016-01-26,2.3,8.3,-2.9,,9.7,,,,,4.6,1021.9,66,1022.6,
2016-01-27,5.0,13.2,-2.7,,9.4,,,,,4.7,1022.2,57,1022.8,
2016-01-28,5.5,11.8,-0.7,,9.6,,,,,5.8,1024.7,66,1025.3,
2016-01-29,2.7,6.0,0.4,15.5,0.0,,,,,6.4,1024.9,86,1025.5,
2016-01-30,1.9,3.7,0.3,7.5,0.0,,,,,6.1,1020.2,88,1020.8,
2016-01-31,3.4,8.1,-0.6,0.0,5.7,,,,,5.9,1020.1,76,1020.7,
2016-02-01,3.8,7.7,1.5,,3.4,,,,,4.3,1019.5,55,1020.1,
2016-02-02,3.3,8.0,-0.2,,8.9,,,,,3.7,1017.6,49,1018.2,
2016-02-03,2.7,6.6,-0.9,,8.1,,,,,4.3,1021.2,58,1021.8,
2016-02-04,3.1,7.8,-2.9,,9.8,,,,,5.0,1019.3,67,1019.9,
2016-02-05,4.7,11.3,-0.7,,7.8,,,,,5.1,1015.5,62,1016.1,
2016-02-06,3.3,6.6,0.1,0.0,1.5,,,,,5.8,1013.3,75,1013.9,
2016-02-07,2.7,7.2,-0.9,,8.4,,,,,3.3,1016.0,45,1016.6,
2016-02-08,1.2,5.8,-3.3,0.0,2.6,,,,,4.6,1018.5,69,1019.1,
2016-02-09,4.7,10.9,-1.6,,8.7,,,,,5.0,1008.0,61,1008.6,
2016-02-10,4.2,8.1,1.9,,8.7,,,,,3.1,1017.7,39,1018.3,
2016-02-11,3.5,9.5,-0.8,,10.1,,,,,4.0,1030.0,52,1030.6,
2016-02-12,4.5,9.3,-2.7,,9.0,,,,,6.4,1030.5,74,1031.1,
2016-02-13,10.4,14.0,6.0,0.0,5.4,,,,,10.7,1018.1,84,1018.7,
2016-02-14,13.7,20.8,11.2,6.0,1.2,,,,,12.7,998.6,81,999.2,
2016-02-15,5.7,11.3,-0.2,0.0,0.0,,,,,4.3,1002.9,45,1003.5,
2016-02-16,2.9,7.2,-2.2,,9.2,,,,,4.4,1011.1,57,1011.7,
2016-02-17,4.0,12.4,-1.0,,10.4,,,,,4.0,1013.8,51,1014.4,
2016-02-18,3.9,8.0,-2.3,,10.5,,,,,5.0,1024.4,61,1025.0,
2016-02-19,6.9,12.9,-0.7,,10.2,,,,,6.4,1024.1,66,1024.7,
2016-02-20,7.9,13.3,4.4,24.0,0.7,,,,,8.4,1019.9,79,1020.5,
2016-02-21,9.2,13.5,4.4,0.0,8.3,,,,,6.5,1012.2,56,1012.8,
2016-02-22,5.6,8.2,3.5,0.0,7.4,,,,,4.7,1028.5,52,1029.1,
2016-02-23,6.0,8.6,3.6,0.5,5.7,,,,,7.7,1021.1,83,1021.7,
2016-02-24,4.7,7.9,0.9,,5.3,,,,,3.6,1021.8,42,1022.4,
2016-02-25,2.5,7.9,-1.1,,8.1,,,,,3.6,1025.7,50,1026.3,
2016-02-26,3.8,9.5,-1.3,,7.3,,,,,4.3,1023.8,56,1024.4,
2016-02-27,4.6,9.0,-1.2,,10.6,,,,,5.0,1024.4,60,1025.0,
2016-02-28,6.1,8.5,1.9,0.0,9.2,,,,,5.7,1025.5,61,1026.1,
2016-02-29,6.7,11.7,2.9,2.0,0.8,,,,,8.1,1009.1,82,1009.7,
2016-03-01,2.9,7.1,0.5,0.0,8.6,,,,,3.5,1014.1,47,1014.7,
2016-03-02,3.7,9.2,-1.7,0.0,9.3,,,,,4.3,1020.5,55,1021.1,
2016-03-03,6.5,13.7,-1.6,,8.4,,,,,5.8,1021.2,61,1021.8,
2016-03-04,5.9,9.3,2.3,,9.8,,,,,5.7,1030.3,62,1030.9,
2016-03-05,6.7,8.5,3.4,,0.0,,,,,6.9,1033.2,70,1033.8,
2016-03-06,10.3,12.9,7.3,,2.7,,,,,11.0,1024.9,86,1025.5,
2016-03-07,12.1,13.4,10.9,6.5,0.0,,,,,13.7,1017.9,97,1018.5,
2016-03-08,12.4,16.2,10.1,,2.0,,,,,12.0,1013.1,85,1013.7,
2016-03-09,5.1,13.3,1.3,13.5,0.0,,,,,7.3,1016.6,84,1017.2,
2016-03-10,4.5,8.3,2.3,0.0,2.0,,,,,5.5,1017.2,66,1017.8,
2016-03-11,4.1,6.7,1.5,,3.3,,,,,4.9,1018.8,60,1019.4,
2016-03-12,3.8,8.3,0.8,,6.9,,,,,5.0,1023.6,64,1024.2,
