calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,4.9,-3.5,0.0,7.1,,,,1.6,,,,,
2016-01-02,2.1,10.2,-4.2,0.0,3.7,,,,0.6,,,,,
2016-01-03,6.3,13.6,0.1,0.0,5.9,,,,1.0,,,,,
2016-01-04,6.8,14.3,-0.8,0.0,7.6,,,,1.5,,,,,
2016-01-05,4.2,8.4,1.1,0.0,6.5,,,,1.6,,,,,
2016-01-06,1.8,6.0,-1.2,0.0,0.5,,,,0.8,,,,,
2016-01-07,1.8,5.3,-1.7,0.0,6.4,,,,1.9,,,,,
2016-01-08,1.2,8.1,-4.3,0.0,6.8,,,,0.8,,,,,
2016-01-09,0.7,4.6,-2.0,0.0,6.0,,,,0.9,,,,,
2016-01-10,1.0,6.2,-3.9,0.0,2.3,,,,1.1,,,,,
2016-01-11,-0.1,2.2,-1.7,0.0,6.8,,,,1.9,,,,,
2016-01-12,-1.0,2.7,-3.8,0.0,2.5,,,,1.7,,,,,
2016-01-13,-1.4,6.9,-6.7,0.0,7.2,,,,0.8,,,,,
2016-01-14,-0.7,5.0,-6.2,1.5,5.1,,,,0.8,,,,,
2016-01-15,-2.2,1.0,-6.3,0.0,1.1,,,,,,,,,
2016-01-16,-2.2,3.0,-6.9,0.0,1.8,,,,0.9,,,,,
2016-01-17,-0.7,3.9,-5.9,0.0,5.9,,,,0.8,,,,,
2016-01-18,0.8,3.0,-0.7,43.0,0.0,,,,,,,,,
2016-01-19,-0.4,2.5,-6.5,0.0,7.7,,,,1.6,,,,,
2016-01-20,-2.7,2.2,-8.3,1.0,4.6,,,,1.1,,,,,
2016-01-21,-0.7,1.4,-2.1,0.0,1.2,,,,1.4,,,,,
2016-01-22,-0.9,1.8,-2.6,0.0,7.5,,,,1.8,,,,,
2016-01-23,-1.5,0.8,-3.4,0.5,2.5,,,,1.0,,,,,
