calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.1,6.1,-2.8,0.0,8.5,,,,5.4,4.4,981.6,63,1025.7,
2016-01-02,2.5,9.1,-3.4,0.0,4.9,,,,2.5,4.8,977.7,68,1021.6,
2016-01-03,7.0,15.4,-0.9,,7.7,,,,3.0,5.8,973.4,62,1016.4,
2016-01-04,8.0,14.1,0.1,0.0,8.3,,,,4.4,6.6,970.8,64,1013.5,
2016-01-05,5.9,12.1,3.3,0.0,6.2,,,,3.8,6.0,973.7,66,1016.9,
2016-01-06,3.7,6.8,1.4,,0.5,,,,3.5,5.6,974.1,71,1017.7,
2016-01-07,3.0,6.9,-0.4,0.0,8.0,,,,5.1,4.9,969.9,65,1013.4,
2016-01-08,2.1,8.5,-2.9,0.0,8.3,,,,2.3,4.8,970.4,69,1014.1,
2016-01-09,2.1,6.3,-0.7,0.0,8.2,,,,3.4,4.5,974.4,65,1018.2,
2016-01-10,3.0,10.3,-2.3,0.0,5.1,,,,3.0,5.2,973.2,72,1016.8,
2016-01-11,1.2,3.8,0.0,0.0,7.6,,,,5.8,4.2,974.5,62,1018.5,
2016-01-12,0.9,5.2,-1.5,,4.0,,,,5.6,3.7,971.4,57,1015.3,
2016-01-13,1.0,6.0,-3.6,,9.2,,,,2.3,3.8,969.6,60,1013.4,
2016-01-14,0.4,6.0,-4.2,0.5,5.6,,2,2,2.6,4.5,969.1,72,1013.0,
2016-01-15,-0.9,3.3,-3.3,0.0,2.4,,2,,2.2,4.7,973.6,82,1017.9,
2016-01-16,-0.4,5.2,-5.5,0.0,4.8,,,,4.2,4.0,975.7,68,1020.0,
2016-01-17,0.9,6.6,-3.5,1.0,5.0,,2,2,2.7,4.2,978.8,66,1023.1,
2016-01-18,0.5,3.0,-1.5,40.5,0.0,,30,28,5.0,5.9,958.3,93,1001.6,
2016-01-19,1.3,5.0,-5.0,0.0,7.6,,20,,4.2,3.6,956.1,55,999.2,
2016-01-20,-1.9,3.1,-7.7,0.5,2.7,,19,6,4.1,4.0,964.2,74,1008.2,
2016-01-21,0.3,2.8,-1.6,0.0,0.8,,19,,3.6,3.9,973.3,63,1017.4,
2016-01-22,-0.1,2.8,-1.8,0.0,5.2,,17,2,4.5,4.1,975.8,67,1020.0,
2016-01-23,-0.6,1.6,-2.2,0.0,2.3,,17,1,3.2,4.0,973.7,70,1017.9,
2016-01-24,-1.4,2.9,-3.7,0.0,8.4,,16,1,3.7,3.7,959.8,69,1003.6,
2016-01-25,-2.3,1.6,-4.8,0.0,1.7,,16,,3.2,3.7,971.6,71,1016.0,
2016-01-26,-1.0,5.7,-7.8,,9.8,,16,,2.5,3.6,978.5,66,1023.0,
2016-01-27,1.4,8.2,-5.8,0.0,8.3,,15,,3.5,4.3,979.5,66,1023.6,
2016-01-28,3.4,10.2,-2.4,,9.3,,11,,2.5,4.9,981.9,66,1025.8,
2016-01-29,0.0,1.0,-2.0,18.5,0.0,,22,13,1.7,5.8,981.1,95,1025.6,
2016-01-30,-1.4,1.3,-4.7,12.0,0.2,,30,8,2.9,5.1,977.0,92,1021.5,
2016-01-31,-0.2,5.0,-5.6,0.0,6.8,,26,,2.0,4.9,977.0,83,1021.3,
2016-02-01,0.3,3.3,-2.6,0.0,2.7,,22,1,4.5,4.0,976.5,64,1020.7,
2016-02-02,0.0,3.5,-2.6,0.0,4.2,,19,,4.3,3.8,974.5,62,1018.6,
2016-02-03,0.3,4.6,-3.5,0.0,8.1,,17,,3.7,3.8,977.6,63,1021.8,
2016-02-04,0.1,5.5,-5.3,,7.8,,15,,2.6,4.0,975.9,67,1020.2,
2016-02-05,1.7,6.6,-1.3,0.0,5.0,,14,1,2.1,5.0,972.9,73,1016.7,
2016-02-06,1.1,4.9,-1.1,0.5,3.3,,13,1,2.6,5.2,970.3,79,1014.1,
2016-02-07,-0.9,2.7,-5.0,,9.4,,10,,6.3,3.2,972.8,56,1017.0,
2016-02-08,-1.5,4.4,-6.3,0.0,5.3,,9,,1.7,4.2,974.8,77,1019.3,
2016-02-09,0.6,7.6,-5.3,0.0,6.8,,9,1,3.2,4.4,966.1,72,1009.8,
2016-02-10,0.4,3.3,-1.8,0.0,8.6,,9,1,6.5,3.4,974.3,55,1018.4,
2016-02-11,1.1,5.9,-3.7,,10.2,,7,,5.8,3.4,986.1,53,1030.6,
2016-02-12,2.2,8.6,-6.3,,10.0,,5,,3.8,5.5,986.8,75,1031.2,
2016-02-13,8.8,15.7,2.9,0.0,2.8,,,,2.6,8.1,976.3,73,1019.1,
2016-02-14,11.6,16.5,7.8,18.0,0.4,,,,6.5,11.6,958.0,83,999.6,
2016-02-15,1.9,8.1,-2.6,0.0,0.2,,,,7.6,4.3,960.7,60,1003.9,
2016-02-16,0.3,5.9,-3.8,0.0,7.1,,,,3.1,3.5,967.8,57,1011.7,
2016-02-17,0.8,6.2,-2.7,0.0,8.8,,,,5.1,3.9,971.6,61,1015.5,
2016-02-18,1.4,7.6,-5.3,,10.4,,,,3.9,4.3,980.7,65,1024.9,
2016-02-19,5.1,13.4,-2.6,,10.2,,,,2.7,4.6,981.5,58,1025.2,
2016-02-20,4.4,9.5,0.5,24.5,0.1,,,,1.7,7.0,977.5,84,1021.1,
2016-02-21,6.0,9.7,2.2,0.0,5.4,,,,6.6,5.5,971.1,58,1014.1,
2016-02-22,3.2,7.4,0.1,0.0,7.2,,,,4.1,4.4,984.7,58,1028.9,
2016-02-23,4.1,9.9,-0.1,0.0,2.0,,,,1.9,6.2,978.0,77,1021.7,
2016-02-24,0.7,5.2,-1.8,0.0,6.8,,1,1,6.4,3.8,979.1,61,1023.3,
2016-02-25,-0.1,4.4,-2.9,,9.8,,,,5.0,3.0,981.8,50,1026.3,
2016-02-26,1.0,5.8,-3.0,0.0,7.4,,,,2.6,3.8,980.4,60,1024.7,
2016-02-27,3.9,9.6,-1.6,0.0,9.8,,,,3.8,4.2,980.6,54,1024.4,
2016-02-28,4.5,10.1,1.5,0.0,5.8,,,,4.1,5.4,981.8,66,1025.6,
2016-02-29,3.9,9.6,-0.6,1.5,1.5,,,,5.4,6.6,967.1,80,1010.3,
2016-03-01,-1.0,1.3,-3.4,0.5,1.6,,2,2,5.0,3.5,971.2,62,1015.5,
2016-03-02,0.5,5.6,-3.3,0.0,2.4,,,,2.3,4.2,977.2,68,1021.5,
2016-03-03,4.0,8.9,-3.5,0.0,3.4,,,,4.9,4.8,978.7,61,1022.4,
2016-03-04,4.7,12.0,-2.0,,9.8,,,,2.5,5.8,986.3,70,1030.3,
2016-03-05,4.8,9.8,-1.1,0.0,0.0,,,,1.9,7.0,989.1,81,1033.1,
2016-03-06,10.2,14.7,5.0,0.0,4.7,,,,4.5,10.0,982.2,81,1025.1,
2016-03-07,12.5,14.0,11.3,11.5,0.0,,,,3.2,13.5,975.9,93,1018.1,
2016-03-08,12.8,18.5,10.4,0.0,4.3,,,,4.1,11.2,971.5,76,1013.4,
2016-03-09,2.8,10.4,-0.1,10.5,0.0,,1,1,3.4,6.4,973.6,87,1017.3,
2016-03-10,2.2,7.3,0.2,,5.2,,1,,5.4,4.9,974.0,68,1017.8,
2016-03-11,1.7,5.8,-0.8,0.0,2.5,,,,3.1,4.5,975.1,65,1019.1,
2016-03-12,1.2,5.7,-2.0,0.0,3.9,,,,2.0,5.0,979.9,76,1024.2,
2016-03-13,3.1,6.6,-0.3,0.0,2.2,,,,2.2,5.9,981.1,79,1025.1,
2016-03-14,2.1,3.5,1.1,10.5,0.0,,,,2.2,6.7,972.7,94,1016.4,
2016-03-15,3.2,6.7,0.1,0.0,10.0,,,,6.4,4.5,972.5,60,1016.1,
2016-03-16,4.3,10.7,-2.8,,9.3,,,,3.8,5.0,979.2,60,1022.9,
2016-03-17,9.3,18.3,1.2,,11.1,,,,2.6,5.6,979.0,53,1021.8,
2016-03-18,11.0,17.8,1.2,,7.3,,,,4.0,8.1,975.6,64,1018.1,
2016-03-19,12.1,16.6,9.2,3.0,0.5,,,,4.8,11.1,965.7,79,1007.5,
2016-03-20,7.9,11.4,3.9,,10.3,,,,8.6,5.8,969.1,55,1011.7,
2016-03-21,5.0,10.3,1.3,0.0,10.9,,,,6.9,4.3,974.5,50,1017.9,
2016-03-22,5.7,13.0,-1.8,,11.0,,,,3.7,4.8,972.4,56,1015.5,
2016-03-23,6.4,10.2,2.7,0.0,0.0,,,,6.1,5.5,971.7,58,1014.6,
2016-03-24,3.5,8.5,0.6,0.0,4.7,,,,5.0,4.5,972.9,58,1016.4,
2016-03-25,2.6,7.6,0.2,0.0,7.7,,,,5.1,3.9,975.2,54,1018.9,
2016-03-26,4.9,13.2,-1.3,,9.7,,,,3.8,4.2,976.9,50,1020.4,
2016-03-27,5.8,12.9,-2.3,0.0,6.4,,,,2.9,6.0,976.5,68,1019.8,
2016-03-28,8.3,15.9,2.7,1.5,5.5,,,,2.3,6.7,976.4,66,1019.3,
2016-03-29,8.7,16.5,0.5,,11.0,,,,3.1,5.4,979.8,52,1022.8,
2016-03-30,11.7,19.1,3.9,0.0,10.3,,,,3.8,6.9,975.3,53,1017.6,
2016-03-31,10.0,17.7,2.1,,11.3,,,,3.7,4.1,975.8,38,1018.4,
2016-04-01,8.1,17.7,1.6,,6.2,,,,3.0,6.1,979.2,58,1022.2,
2016-04-02,7.3,10.8,2.2,0.0,0.0,,,,2.8,7.7,983.5,76,1026.9,
2016-04-03,12.6,17.3,7.7,0.0,8.0,,,,5.7,11.3,979.3,78,1021.7,
2016-04-04,10.6,13.2,7.6,19.5,0.0,,,,4.6,11.7,966.8,90,1008.8,
2016-04-05,7.9,11.2,4.0,,3.8,,,,3.9,7.7,971.2,73,1013.9,
2016-04-06,10.9,18.7,3.2,0.0,10.1,,,,3.4,7.1,976.3,58,1018.8,
2016-04-07,10.5,15.5,7.1,33.5,0.0,,,,3.3,11.6,968.6,91,1010.8,
2016-04-08,12.8,18.0,6.4,,6.9,,,,4.9,9.6,967.3,66,1009.1,
2016-04-09,12.8,20.7,5.4,,10.9,,,,4.5,9.3,971.3,66,1013.2,
2016-04-10,13.3,20.7,5.7,,4.4,,,,3.2,8.5,967.7,60,1009.4,
2016-04-11,4.6,8.3,0.1,0.0,6.6,,1,1,6.3,5.5,971.0,66,1014.3,
2016-04-12,6.9,13.9,-0.5,0.0,11.4,,1,,4.5,4.3,979.0,47,1022.2,
2016-04-13,9.1,12.0,5.6,4.5,0.4,,,,3.9,10.1,974.4,86,1017.1,
2016-04-14,14.0,18.9,10.4,25.0,3.4,,,,3.6,12.5,964.3,79,1005.8,
2016-04-15,9.8,14.6,5.7,0.0,7.2,,,,7.6,5.7,971.5,46,1014.0,
2016-04-16,10.5,16.7,0.9,,10.7,,,,4.4,7.8,978.7,60,1021.3,
2016-04-17,14.7,19.3,10.7,1.0,2.6,,,,8.0,12.6,964.8,75,1006.2,
2016-04-18,14.7,21.8,9.9,0.0,7.6,,,,6.5,7.9,967.3,48,1008.8,
2016-04-19,12.0,19.0,6.1,0.0,7.4,,,,4.0,6.7,974.8,49,1017.0,
2016-04-20,10.9,17.6,4.7,0.0,11.9,,,,4.1,7.1,981.3,57,1023.9,
2016-04-21,12.2,15.6,7.9,14.5,1.0,,,,4.7,11.1,972.7,78,1014.8,
2016-04-22,14.4,21.2,10.4,1.0,5.8,,,,4.2,13.0,964.9,81,1006.2,
2016-04-23,15.0,20.0,10.8,0.0,5.6,,,,3.8,13.4,969.2,80,1010.7,
2016-04-24,13.9,20.8,9.3,2.5,5.7,,,,3.6,9.8,971.6,64,1013.4,
2016-04-25,14.1,20.6,6.8,0.0,9.4,,,,3.2,8.5,977.3,58,1019.2,
2016-04-26,16.4,23.7,8.7,,11.9,,,,3.0,11.4,975.0,63,1016.5,
2016-04-27,13.6,21.1,8.8,0.0,5.4,,,,2.6,11.1,971.9,72,1013.7,
2016-04-28,9.7,12.9,7.9,26.0,0.0,,,,3.4,11.6,960.0,96,1001.9,
2016-04-29,10.0,13.5,5.5,0.5,3.4,,,,6.9,8.0,959.2,65,1001.1,
2016-04-30,10.3,17.1,4.3,0.0,6.3,,,,4.7,6.7,969.9,54,1012.1,
2016-05-01,12.9,18.4,8.1,1.5,0.8,,,,3.0,10.6,971.8,72,1013.7,
2016-05-02,13.2,16.6,10.8,0.0,0.0,,,,3.3,12.6,978.3,83,1020.5,
2016-05-03,17.1,23.3,12.9,0.0,3.6,,,,6.6,14.5,973.9,77,1015.2,
2016-05-04,15.0,19.3,10.2,18.0,0.4,,,,5.5,14.8,962.7,86,1003.9,
2016-05-05,14.4,20.9,8.5,0.0,5.7,,,,4.5,8.9,969.1,57,1010.6,
2016-05-06,14.5,20.5,6.4,0.0,3.9,,,,4.4,10.6,974.6,64,1016.4,
2016-05-07,17.5,24.3,13.1,0.0,7.7,,,,5.5,12.5,965.9,63,1006.8,
2016-05-08,16.5,22.3,10.2,0.0,12.1,,,,6.2,7.6,974.4,43,1015.8,
2016-05-09,15.2,21.3,8.2,1.5,2.7,,,,4.2,12.7,975.1,74,1016.8,
2016-05-10,14.3,16.3,12.1,12.5,0.0,,,,3.0,15.9,967.6,97,1009.1,
2016-05-11,14.8,17.3,12.0,11.0,0.0,,,,3.4,15.1,960.0,90,1001.1,
2016-05-12,17.0,22.5,12.6,,12.3,,,,5.1,11.4,972.4,60,1013.7,
2016-05-13,18.9,25.8,13.6,,11.1,,,,3.3,14.0,977.5,66,1018.7,
2016-05-14,17.8,24.2,9.9,,6.1,,,,3.6,12.3,981.5,61,1023.0,
2016-05-15,15.0,22.8,7.1,,11.7,,,,2.7,11.1,979.7,67,1021.6,
2016-05-16,15.0,17.9,11.2,0.0,0.2,,,,4.9,13.9,972.4,82,1014.1,
2016-05-17,13.6,16.4,9.7,28.5,0.0,,,,3.3,14.4,971.5,92,1013.3,
2016-05-18,16.9,25.0,8.2,,13.4,,,,3.5,10.5,976.7,59,1018.2,
2016-05-19,16.4,23.8,8.8,0.0,12.4,,,,2.7,10.1,979.9,59,1021.6,
2016-05-20,14.2,19.3,8.3,,4.4,,,,1.9,10.5,979.0,66,1021.0,
2016-05-21,14.7,22.6,8.5,0.5,7.1,,,,3.3,12.9,976.3,79,1018.1,
2016-05-22,19.3,27.1,11.5,0.0,11.8,,,,2.9,13.8,975.7,66,1016.8,
2016-05-23,20.8,29.7,11.7,,12.9,,,,2.3,13.2,973.4,59,1014.1,
2016-05-24,21.3,28.4,12.5,0.0,8.8,,,,3.1,13.1,972.2,55,1012.9,
2016-05-25,19.1,22.0,17.3,0.0,0.0,,,,4.8,16.6,972.0,75,1012.9,
2016-05-26,21.5,27.7,17.5,0.0,8.5,,,,4.5,19.1,970.0,76,1010.4,
2016-05-27,17.6,20.6,15.3,2.5,3.1,,,,3.4,17.6,968.1,87,1009.1,
2016-05-28,17.6,23.2,12.7,,5.6,,,,2.9,15.2,967.4,77,1008.4,
2016-05-29,20.2,27.7,11.5,,11.0,,,,3.2,13.9,966.9,63,1007.5,
2016-05-30,17.1,20.0,14.2,0.5,0.0,,,,2.6,14.9,966.4,77,1007.4,
2016-05-31,18.9,25.5,13.0,7.0,9.6,,,,2.8,17.0,963.2,79,1003.8,
2016-06-01,16.7,21.1,13.4,0.5,11.9,,,,8.0,9.6,960.3,51,1001.2,
2016-06-02,14.5,19.3,8.7,0.0,8.0,,,,6.2,8.4,964.3,51,1005.7,
2016-06-03,16.3,22.5,7.8,,11.7,,,,4.1,9.6,971.0,54,1012.4,
2016-06-04,18.9,25.1,10.0,0.0,9.0,,,,3.6,14.7,970.8,69,1011.7,
2016-06-05,20.5,26.4,15.1,0.0,7.5,,,,2.5,15.8,969.8,68,1010.4,
2016-06-06,17.8,23.6,14.3,,4.3,,,,2.7,14.6,974.7,73,1016.0,
2016-06-07,16.4,19.5,14.5,0.0,0.0,,,,3.2,16.7,973.9,89,1015.3,
2016-06-08,20.5,26.1,16.4,0.0,9.3,,,,4.7,17.5,972.3,75,1013.0,
2016-06-09,20.0,22.1,18.5,0.5,0.0,,,,3.0,20.0,970.2,85,1010.9,
2016-06-10,22.7,29.6,17.7,,12.2,,,,4.6,15.8,972.2,60,1012.6,
2016-06-11,22.3,28.9,14.3,,12.2,,,,3.5,15.7,974.3,62,1014.8,
2016-06-12,22.0,27.1,18.1,0.0,6.7,,,,4.1,18.9,971.2,73,1011.6,
2016-06-13,16.9,20.8,15.0,36.5,0.0,,,,4.1,18.5,962.7,96,1003.6,
2016-06-14,18.2,22.6,15.9,0.0,2.1,,,,3.3,17.5,963.5,84,1004.2,
2016-06-15,17.0,20.1,14.9,4.0,0.2,,,,2.5,18.2,969.2,94,1010.4,
2016-06-16,18.2,20.0,16.2,5.5,0.0,,,,3.7,20.1,965.7,96,1006.5,
2016-06-17,21.8,28.0,17.3,0.5,4.1,,,,3.5,18.4,963.6,73,1003.8,
2016-06-18,23.2,29.0,17.4,,13.2,,,,4.4,15.6,972.4,57,1012.8,
2016-06-19,21.3,27.1,15.6,0.0,6.0,,,,3.9,19.2,972.8,77,1013.4,
2016-06-20,22.1,29.0,16.9,4.5,6.3,,,,3.4,18.9,966.9,73,1007.2,
2016-06-21,21.1,25.9,16.8,0.5,1.9,,,,2.3,19.6,967.2,79,1007.6,
2016-06-22,21.1,26.7,18.0,0.0,3.5,,,,2.7,21.4,968.3,86,1008.8,
2016-06-23,18.7,21.2,17.3,17.0,0.1,,,,3.2,20.7,964.0,96,1004.7,
2016-06-24,19.0,22.7,15.9,7.0,0.0,,,,3.1,20.1,966.0,91,1006.7,
2016-06-25,20.5,23.0,18.1,6.0,0.0,,,,2.9,20.9,959.5,87,999.7,
2016-06-26,21.2,26.1,15.8,0.0,7.3,,,,4.1,14.9,965.2,61,1005.5,
2016-06-27,21.0,27.4,13.7,,8.1,,,,2.9,17.2,972.9,71,1013.5,
2016-06-28,17.0,19.1,16.0,14.5,0.0,,,,2.2,18.7,972.1,97,1013.4,
2016-06-29,19.4,23.9,16.0,0.0,2.3,,,,2.0,19.7,973.9,88,1014.9,
2016-06-30,21.0,25.6,18.4,0.5,0.8,,,,1.9,21.9,972.1,89,1012.8,
2016-07-01,23.5,29.9,18.1,4.0,5.8,,,,2.3,23.0,972.5,81,1012.8,
2016-07-02,22.6,25.1,20.0,0.0,0.0,,,,3.3,25.3,970.0,92,1010.3,
2016-07-03,24.1,29.2,20.7,0.5,1.5,,,,3.0,24.7,967.4,83,1007.3,
2016-07-04,22.3,26.1,19.2,1.0,0.0,,,,2.7,21.9,971.8,82,1012.2,
2016-07-05,16.8,19.3,15.7,11.0,0.0,,,,2.0,18.9,978.5,99,1020.1,
2016-07-06,18.5,20.3,16.0,0.0,0.0,,,,4.2,20.3,974.9,95,1016.0,
2016-07-07,22.3,27.6,19.0,0.5,3.7,,,,2.9,23.4,972.6,88,1013.1,
2016-07-08,21.5,25.7,18.1,0.0,3.8,,,,2.7,22.7,973.2,89,1013.8,
2016-07-09,20.3,21.9,18.6,7.5,0.0,,,,3.0,23.1,967.4,97,1007.9,
2016-07-10,23.8,29.8,17.9,,11.4,,,,2.6,22.7,963.9,78,1003.8,
2016-07-11,24.3,30.9,17.3,,12.0,,,,3.5,21.0,965.1,72,1004.9,
2016-07-12,23.2,29.9,16.9,,7.7,,,,2.1,21.8,965.7,78,1005.7,
2016-07-13,22.7,24.5,21.1,0.0,0.0,,,,2.4,25.7,962.1,93,1002.1,
2016-07-14,24.1,29.9,21.0,1.0,3.5,,,,3.4,24.7,956.9,84,996.4,
2016-07-15,21.6,25.2,19.2,10.0,1.9,,,,2.7,22.9,960.1,89,1000.1,
2016-07-16,21.2,26.6,18.2,0.0,2.0,,,,2.8,21.3,966.7,85,1007.0,
2016-07-17,22.9,26.7,19.9,0.0,0.3,,,,2.7,25.3,966.9,91,1007.0,
2016-07-18,25.2,30.3,21.6,0.0,5.8,,,,3.1,23.8,967.6,75,1007.4,
2016-07-19,24.8,31.7,20.4,,9.8,,,,2.7,21.0,969.4,69,1009.3,
2016-07-20,22.8,28.4,18.5,0.0,5.6,,,,2.3,21.3,971.6,78,1012.0,
2016-07-21,19.1,21.1,17.7,6.5,0.0,,,,1.7,21.3,973.0,96,1014.0,
2016-07-22,18.3,21.4,16.1,2.5,0.0,,,,1.9,19.1,973.6,91,1014.7,
2016-07-23,18.1,22.0,15.6,0.0,1.2,,,,2.3,17.4,974.6,84,1015.8,
2016-07-24,20.7,27.6,14.8,,5.5,,,,2.0,19.3,974.9,81,1015.7,
2016-07-25,22.0,27.4,18.1,0.0,5.3,,,,2.4,20.8,973.9,79,1014.5,
2016-07-26,20.6,23.3,19.4,3.5,0.0,,,,2.6,22.2,971.1,92,1011.7,
2016-07-27,21.8,24.7,19.3,0.5,0.1,,,,3.2,24.1,970.2,92,1010.7,
2016-07-28,23.7,27.7,20.8,,1.1,,,,3.3,25.4,972.1,87,1012.4,
2016-07-29,25.7,30.4,22.3,0.0,10.1,,,,3.9,24.5,973.2,75,1013.2,
2016-07-30,25.7,31.9,20.6,,11.2,,,,3.2,23.3,973.4,73,1013.3,
2016-07-31,24.5,30.9,21.0,5.5,6.6,,,,2.1,25.8,972.6,85,1012.7,
2016-08-01,25.2,30.0,22.2,1.0,5.6,,,,3.0,26.4,969.3,83,1009.2,
2016-08-02,23.6,31.1,19.7,31.5,3.0,,,,1.9,25.5,968.3,89,1008.4,
2016-08-03,23.8,30.6,20.8,0.0,3.1,,,,1.8,26.0,969.0,89,1009.1,
2016-08-04,25.0,31.3,20.0,16.0,7.7,,,,2.2,26.6,969.6,86,1009.5,
2016-08-05,26.8,32.9,21.1,,9.6,,,,2.0,27.4,970.1,79,1009.8,
2016-08-06,27.6,34.0,21.6,,11.8,,,,2.1,25.6,970.0,73,1009.5,
2016-08-07,26.1,31.5,21.6,,8.3,,,,2.6,25.6,970.5,78,1010.3,
2016-08-08,24.0,27.6,20.7,0.5,1.6,,,,4.8,25.3,964.9,85,1004.8,
2016-08-09,27.1,31.3,22.4,,9.9,,,,6.3,22.9,961.6,64,1000.9,
2016-08-10,24.5,29.2,21.0,,1.8,,,,2.4,22.6,968.4,74,1008.4,
2016-08-11,24.0,29.5,20.5,,5.8,,,,2.2,21.2,970.0,73,1010.1,
2016-08-12,23.3,30.4,18.5,,8.5,,,,2.1,20.8,969.9,75,1010.1,
2016-08-13,23.4,29.7,19.6,0.0,6.7,,,,2.0,21.0,968.5,74,1008.6,
2016-08-14,22.0,26.8,18.5,,3.6,,,,2.3,21.3,965.7,81,1005.9,
2016-08-15,21.9,24.7,19.7,0.5,0.2,,,,3.1,24.0,963.7,91,1003.8,
2016-08-16,25.3,31.1,21.2,1.0,6.4,,,,2.9,25.6,964.0,81,1003.7,
2016-08-17,25.5,32.6,22.4,73.5,2.6,,,,4.9,27.2,958.7,85,998.1,
2016-08-18,23.0,24.6,21.8,2.5,0.1,,,,1.7,27.4,967.3,97,1007.4,
2016-08-19,25.7,30.7,22.7,0.0,6.3,,,,2.4,26.8,969.1,83,1008.9,
2016-08-20,24.5,28.3,22.5,8.0,1.5,,,,3.4,28.3,967.0,92,1006.9,
2016-08-21,25.8,31.0,20.5,,11.2,,,,3.8,26.9,965.9,82,1005.6,
2016-08-22,23.6,27.1,21.5,100.5,0.6,,,,3.9,28.0,962.0,96,1001.8,
2016-08-23,23.5,30.3,20.5,11.5,3.8,,,,2.1,26.2,965.8,92,1005.8,
2016-08-24,23.4,27.7,21.2,0.0,2.6,,,,2.3,26.4,968.9,92,1009.0,
2016-08-25,25.7,31.0,22.2,0.0,8.2,,,,3.8,26.4,968.2,82,1007.9,
2016-08-26,25.8,31.1,22.7,10.0,8.2,,,,3.7,26.6,965.0,82,1004.7,
2016-08-27,20.3,23.0,18.2,4.5,0.0,,,,3.0,23.2,966.3,97,1006.8,
2016-08-28,19.7,22.6,17.9,0.5,0.0,,,,2.8,21.3,964.6,93,1005.1,
2016-08-29,22.4,25.7,18.9,20.0,0.1,,,,3.0,26.9,956.1,99,995.8,
2016-08-30,22.5,25.0,19.3,20.5,1.3,,,,5.4,24.9,947.1,91,986.4,
2016-08-31,22.9,28.7,17.7,0.0,7.9,,,,2.7,21.8,960.2,80,1000.1,
2016-09-01,23.3,30.1,17.0,,11.5,,,,2.4,21.5,968.6,78,1008.7,
2016-09-02,23.2,28.8,18.6,0.0,5.4,,,,2.1,23.1,973.3,82,1013.6,
2016-09-03,23.8,29.3,19.6,,5.9,,,,1.9,23.7,975.4,82,1015.8,
2016-09-04,23.9,29.7,20.7,0.5,2.8,,,,2.4,26.1,975.8,88,1016.1,
2016-09-05,26.1,31.0,23.0,0.0,7.6,,,,4.2,27.1,973.1,81,1013.0,
2016-09-06,25.3,31.0,22.0,29.5,5.4,,,,3.6,27.9,968.6,88,1008.5,
2016-09-07,23.6,28.2,21.4,33.5,4.0,,,,1.9,,966.1,,1006.1,
2016-09-08,22.4,25.3,19.7,35.0,0.0,,,,2.5,26.3,963.4,97,1003.5,
2016-09-09,22.8,27.4,19.1,1.5,5.1,,,,4.6,21.3,964.8,77,1004.8,
2016-09-10,22.6,28.1,17.9,0.0,7.4,,,,2.6,20.5,971.6,76,1012.0,
2016-09-11,21.5,26.1,18.4,0.0,2.5,,,,2.1,22.2,975.5,87,1016.2,
2016-09-12,20.0,22.3,18.2,0.0,0.0,,,,3.1,21.5,978.2,92,1019.3,
2016-09-13,18.5,19.8,18.0,24.5,0.0,,,,3.2,20.9,976.6,98,1017.8,
2016-09-14,20.9,25.2,17.7,0.0,0.9,,,,1.7,22.4,975.4,90,1016.2,
2016-09-15,21.7,26.5,19.0,0.0,2.9,,,,2.0,,974.8,,1015.5,
2016-09-16,20.7,24.0,18.2,0.5,0.3,,,,2.5,,975.8,,1016.6,
2016-09-17,21.2,25.8,17.4,5.0,0.7,,,,1.8,21.4,973.7,86,1014.4,
2016-09-18,18.6,19.9,17.7,29.5,0.0,,,,1.7,21.3,969.0,99,1009.9,
2016-09-19,18.6,20.4,17.4,11.5,0.0,,,,2.4,20.6,969.6,96,1010.5,
2016-09-20,16.0,17.5,14.9,46.5,0.0,,,,4.4,18.0,971.3,99,1012.7,
2016-09-21,16.3,20.0,13.8,0.0,0.7,,,,2.8,16.3,978.5,88,1020.1,
2016-09-22,16.3,18.1,15.2,23.0,0.0,,,,2.3,18.5,978.7,99,1020.4,
2016-09-23,18.8,21.3,16.4,7.5,0.0,,,,1.5,20.8,974.3,96,1015.4,
2016-09-24,18.5,20.7,16.3,9.5,0.1,,,,1.6,20.8,977.3,98,1018.5,
2016-09-25,21.8,27.3,17.7,0.0,7.6,,,,2.2,22.1,977.5,86,1018.3,
2016-09-26,20.4,22.5,19.4,5.0,0.0,,,,1.5,23.6,979.5,98,1020.6,
