calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.7,3.0,-1.0,5.0,0.4,,,,0.5,,,,,
2016-01-02,3.6,9.2,-1.8,5.0,1.3,,,,1.9,,,,,
2016-01-03,7.7,11.3,3.9,9.5,3.2,,,,1.8,,,,,
2016-01-04,6.3,11.8,2.3,10.0,4.8,,10,5,2.4,,,,,
2016-01-05,3.4,5.4,1.4,7.5,0.4,,1,0,1.4,,,,,
2016-01-06,2.6,5.9,0.4,1.5,0.0,,0,0,1.0,,,,,
2016-01-07,1.0,3.3,-0.7,4.0,0.0,,0,0,0.8,,,,,
2016-01-08,0.5,3.8,-0.8,8.0,0.0,,0,0,,,,,,
2016-01-09,-0.2,1.2,-2.3,2.0,0.0,,0,0,,,,,,
2016-01-10,0.9,4.1,-2.3,28.0,0.0,,2,6,1.0,,,,,
2016-01-11,-1.3,0.9,-4.3,3.0,0.0,,11,10,,,,,,
2016-01-12,-2.2,0.7,-5.6,0.0,1.7,,,,,,,,,
2016-01-13,0.0,3.7,-2.6,3.0,5.6,,,,0.7,,,,,
2016-01-14,-0.1,3.0,-2.2,10.5,0.0,,,,0.6,,,,,
2016-01-15,-2.1,2.4,-5.7,1.5,1.1,,28,10,0.9,,,,,
2016-01-16,-2.3,1.3,-5.4,6.5,0.0,,37,15,1.2,,,,,
2016-01-17,-1.7,2.1,-5.7,0.0,2.0,,33,7,0.5,,,,,
2016-01-18,1.0,4.0,-0.8,27.0,0.0,,40,12,1.2,,,,,
2016-01-19,0.4,3.7,-2.1,3.0,5.1,,34,4,2.8,,,,,
2016-01-20,-1.1,1.8,-5.0,11.5,0.2,,44,15,1.7,,,,,
2016-01-21,-1.0,1.3,-1.8,19.0,1.0,,74,39,1.2,,,,,
2016-01-22,-1.4,0.0,-2.7,13.5,0.0,,91,21,,,,,,
2016-01-23,-1.9,0.4,-3.4,1.0,0.1,,88,4,0.8,,,,,
2016-01-24,-3.6,0.0,-5.6,35.0,0.3,,125,55,1.3,,,,,
2016-01-25,-2.9,-0.4,-5.6,39.0,0.0,,161,44,1.1,,,,,
2016-01-26,-0.5,5.3,-3.6,0.0,6.8,,150,0,0.9,,,,,
2016-01-27,2.5,5.6,-3.4,5.0,1.8,,121,1,1.9,,,,,
2016-01-28,4.5,7.0,2.4,1.0,1.7,,99,2,1.6,,,,,
2016-01-29,0.8,3.3,0.2,18.0,0.0,,84,21,0.3,,,,,
2016-01-30,0.4,2.8,-0.9,6.0,0.1,,88,10,0.4,,,,,
2016-01-31,1.3,3.5,-0.5,0.5,2.2,,78,1,1.4,,,,,
2016-02-01,-1.0,0.4,-2.2,0.0,0.0,,79,8,1.0,,,,,
2016-02-02,-1.6,1.0,-3.8,2.0,0.3,,80,10,1.1,,,,,
2016-02-03,-0.9,1.7,-3.0,0.5,0.4,,80,6,0.9,,,,,
2016-02-04,0.2,4.9,-2.7,8.5,4.2,,84,14,1.0,,,,,
2016-02-05,0.6,2.5,-1.5,9.0,0.5,,85,9,0.6,,,,,
2016-02-06,0.0,3.9,-1.7,1.5,2.0,,81,5,1.1,,,,,
2016-02-07,-2.2,0.2,-4.5,0.0,2.3,,75,6,1.4,,,,,
