calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.3,1.8,-3.4,0.0,0.0,,0,0,1.7,,,,,
2016-01-02,0.3,7.8,-4.9,0.0,1.9,,0,0,1.3,,,,,
2016-01-03,3.6,10.8,-0.8,0.0,2.5,,0,0,1.3,,,,,
2016-01-04,5.3,12.9,-0.6,0.0,6.2,,0,0,2.4,,,,,
2016-01-05,3.8,7.1,1.2,0.0,0.7,,0,0,2.0,,,,,
2016-01-06,2.0,5.1,-1.5,0.0,0.4,,0,0,1.0,,,,,
2016-01-07,0.3,2.4,-1.9,0.5,0.2,,0,0,1.7,,,,,
2016-01-08,0.7,5.7,-4.0,0.0,6.0,,0,0,1.3,,,,,
2016-01-09,-1.0,2.0,-5.1,2.0,2.9,,0,0,1.2,,,,,
2016-01-10,-0.6,4.8,-6.6,3.0,0.7,,0,0,1.7,,,,,
2016-01-11,-1.8,0.2,-4.0,0.5,1.5,,3,3,1.8,,,,,
2016-01-12,-2.3,0.4,-4.5,0.0,2.4,,0,0,1.7,,,,,
2016-01-13,-1.3,4.4,-5.0,0.0,6.0,,2,2,1.4,,,,,
2016-01-14,-1.6,1.7,-5.5,0.0,0.8,,0,0,1.4,,,,,
2016-01-15,-2.6,1.4,-6.1,0.0,2.6,,0,0,1.3,,,,,
2016-01-16,-3.3,0.5,-7.5,0.0,0.0,,0,0,1.4,,,,,
2016-01-17,-1.5,2.6,-6.0,0.0,2.0,,0,0,1.7,,,,,
2016-01-18,-0.1,1.7,-1.8,25.5,0.0,,17,18,1.9,,,,,
2016-01-19,-1.5,2.5,-7.6,0.0,6.7,,10,0,2.4,,,,,
2016-01-20,-4.5,1.3,-12.5,6.0,0.5,,24,15,2.3,,,,,
2016-01-21,-1.7,0.8,-3.3,0.0,1.5,,23,1,2.1,,,,,
2016-01-22,-2.9,-1.2,-5.2,2.5,0.0,,28,9,2.0,,,,,
2016-01-23,-3.0,-0.3,-5.6,0.0,1.9,,25,0,1.6,,,,,
2016-01-24,-5.1,-2.2,-8.5,4.0,1.9,,28,12,1.9,,,,,
2016-01-25,-4.2,-2.3,-6.8,11.5,0.0,,46,18,2.0,,,,,
2016-01-26,-2.6,4.6,-7.5,0.0,7.5,,41,1,1.5,,,,,
2016-01-27,-1.6,4.5,-10.7,0.0,1.5,,29,0,1.8,,,,,
2016-01-28,0.6,6.9,-6.4,0.0,4.1,,25,0,1.4,,,,,
2016-01-29,-0.3,1.1,-2.3,14.0,0.0,,32,13,0.9,,,,,
2016-01-30,-1.5,1.7,-4.5,7.5,0.3,,39,7,0.7,,,,,
2016-01-31,-1.0,3.1,-4.7,0.0,3.9,,33,0,1.4,,,,,
2016-02-01,-2.9,0.2,-8.5,0.0,1.1,,31,2,1.8,,,,,
2016-02-02,-3.1,0.8,-8.1,0.0,3.1,,29,1,2.1,,,,,
2016-02-03,-2.3,0.8,-6.3,0.0,1.5,,29,2,2.0,,,,,
2016-02-04,-1.3,5.1,-6.9,0.0,6.9,,27,1,1.6,,,,,
2016-02-05,-0.3,2.9,-2.9,0.0,2.0,,25,2,1.0,,,,,
2016-02-06,-0.1,4.6,-3.4,0.0,4.4,,26,3,1.7,,,,,
2016-02-07,-4.0,-0.5,-10.3,0.0,3.9,,22,1,2.3,,,,,
2016-02-08,-5.3,3.4,-12.4,0.0,7.1,,22,2,1.3,,,,,
2016-02-09,-3.9,3.6,-12.1,5.0,3.5,,35,16,1.5,,,,,
2016-02-10,-2.3,-0.4,-4.0,0.0,3.7,,35,1,3.8,,,,,
2016-02-11,-2.5,2.5,-10.7,0.0,5.5,,27,0,2.0,,,,,
2016-02-12,-2.1,10.0,-13.9,0.0,9.2,,25,2,0.8,,,,,
2016-02-13,2.5,9.5,-2.3,0.0,0.9,,22,1,0.6,,,,,
2016-02-14,5.8,11.8,1.0,0.5,0.0,,18,0,2.1,,,,,
2016-02-15,-1.1,5.1,-5.0,0.0,0.1,,12,2,2.8,,,,,
2016-02-16,-2.7,3.5,-7.3,0.0,8.4,,13,3,1.8,,,,,
2016-02-17,-3.2,2.4,-8.0,0.0,3.9,,13,4,1.8,,,,,
2016-02-18,-1.5,7.1,-9.1,0.0,9.7,,12,1,1.4,,,,,
2016-02-19,0.1,8.8,-9.9,0.0,9.3,,11,2,1.7,,,,,
2016-02-20,1.3,6.4,-2.7,6.5,0.2,,6,0,0.9,,,,,
2016-02-21,2.0,5.0,-1.0,0.5,0.7,,6,3,2.9,,,,,
2016-02-22,0.2,4.2,-2.1,0.0,6.2,,5,0,2.0,,,,,
2016-02-23,2.1,7.2,-3.1,0.0,6.0,,2,0,1.6,,,,,
2016-02-24,-2.1,1.8,-4.4,0.0,4.1,,0,0,2.9,,,,,
2016-02-25,-3.4,0.3,-6.6,0.0,4.0,,0,0,2.0,,,,,
2016-02-26,-0.9,3.7,-5.5,1.0,7.7,,3,3,2.2,,,,,
2016-02-27,2.1,7.9,-2.8,0.0,8.8,,0,0,2.1,,,,,
2016-02-28,3.5,8.9,-0.2,1.0,6.5,,0,0,2.3,,,,,
2016-02-29,3.0,11.4,-3.5,3.0,2.8,,2,2,2.4,,,,,
2016-03-01,-3.5,-1.4,-5.5,2.0,3.3,,6,4,3.7,,,,,
2016-03-02,-1.8,1.4,-4.5,2.0,1.4,,9,9,1.6,,,,,
2016-03-03,0.3,5.4,-7.2,0.5,0.7,,0,0,2.1,,,,,
2016-03-04,2.4,11.3,-3.6,0.0,9.9,,0,0,1.3,,,,,
2016-03-05,3.3,12.7,-5.3,0.0,9.5,,0,0,1.8,,,,,
2016-03-06,6.9,17.3,-2.7,0.0,6.2,,0,0,1.8,,,,,
2016-03-07,7.5,12.1,3.6,1.0,0.0,,0,0,0.9,,,,,
2016-03-08,8.2,16.0,2.6,0.0,7.2,,0,0,2.0,,,,,
2016-03-09,1.0,6.6,-1.1,9.5,0.0,,0,0,1.3,,,,,
2016-03-10,0.2,3.4,-1.7,0.0,4.0,,0,0,,,,,,
2016-03-11,0.3,4.6,-2.0,0.0,4.0,,0,0,1.8,,,,,
2016-03-12,0.0,4.0,-3.4,0.0,3.5,,0,0,1.2,,,,,
2016-03-13,2.1,6.3,-2.6,0.0,2.9,,0,0,1.6,,,,,
2016-03-14,0.8,2.3,-0.3,10.5,0.0,,0,0,0.6,,,,,
2016-03-15,0.6,3.3,-3.4,0.5,2.4,,0,0,2.6,,,,,
2016-03-16,1.7,11.8,-7.1,0.0,7.6,,0,0,1.8,,,,,
2016-03-17,5.5,15.8,-3.5,0.0,10.9,,0,0,1.9,,,,,
2016-03-18,7.9,19.4,-3.6,0.0,7.2,,0,0,1.8,,,,,
2016-03-19,9.3,16.9,5.5,2.0,0.9,,0,0,1.4,,,,,
2016-03-20,4.8,7.5,2.5,0.0,1.0,,0,0,2.9,,,,,
2016-03-21,1.9,6.3,-2.6,0.0,4.5,,0,0,2.7,,,,,
2016-03-22,3.8,12.7,-5.2,0.0,10.8,,0,0,2.0,,,,,
2016-03-23,3.4,7.3,-0.5,1.5,1.0,,0,0,2.4,,,,,
2016-03-24,0.5,4.4,-1.8,0.5,2.5,,0,0,2.2,,,,,
2016-03-25,-0.6,3.4,-4.9,0.0,2.7,,0,0,2.3,,,,,
2016-03-26,1.5,7.8,-6.6,0.0,9.3,,0,0,1.8,,,,,
2016-03-27,4.0,12.0,-5.6,0.0,7.0,,0,0,1.5,,,,,
2016-03-28,5.9,12.7,-0.2,1.0,5.6,,0,0,1.7,,,,,
2016-03-29,6.6,16.0,-3.0,0.0,9.2,,0,0,2.2,,,,,
2016-03-30,8.8,18.0,-0.7,3.0,9.7,,0,0,2.0,,,,,
2016-03-31,5.7,14.3,-1.9,0.0,11.0,,0,0,2.2,,,,,
2016-04-01,6.4,17.3,-3.5,0.0,8.9,,0,0,2.3,,,,,
2016-04-02,7.4,16.2,-2.1,0.0,11.1,,0,0,2.8,,,,,
2016-04-03,11.8,19.6,2.0,0.0,7.8,,0,0,2.7,,,,,
2016-04-04,10.0,13.8,6.2,5.5,0.1,,0,0,2.3,,,,,
2016-04-05,7.8,15.0,0.3,0.0,4.9,,0,0,2.1,,,,,
2016-04-06,7.8,16.4,-1.6,0.0,11.0,,0,0,2.3,,,,,
2016-04-07,9.2,14.7,2.4,13.0,0.2,,0,0,1.6,,,,,
2016-04-08,9.6,14.4,2.8,0.0,2.3,,0,0,2.5,,,,,
2016-04-09,9.2,20.0,-1.1,0.0,11.0,,0,0,2.2,,,,,
2016-04-10,10.4,19.1,0.1,0.0,4.2,,0,0,2.0,,,,,
2016-04-11,2.3,8.1,-0.8,0.0,2.3,,0,0,3.4,,,,,
2016-04-12,5.3,14.4,-4.3,0.0,10.6,,0,0,2.2,,,,,
2016-04-13,10.2,17.7,0.0,3.0,8.3,,0,0,2.8,,,,,
2016-04-14,13.5,20.2,9.2,15.5,5.3,,0,0,2.0,,,,,
2016-04-15,6.3,11.7,-0.4,0.5,9.9,,0,,4.4,,,,,
2016-04-16,8.8,18.8,-2.8,0.0,9.1,,0,0,2.5,,,,,
2016-04-17,13.9,21.7,7.7,0.0,4.3,,0,0,3.7,,,,,
2016-04-18,10.1,17.1,1.5,0.0,6.6,,0,0,2.4,,,,,
2016-04-19,8.8,17.2,0.5,0.0,9.4,,0,0,2.8,,,,,
2016-04-20,9.8,17.1,1.4,0.0,11.2,,0,0,2.4,,,,,
2016-04-21,10.3,17.9,2.2,9.0,1.5,,0,0,1.3,,,,,
2016-04-22,12.6,18.3,8.6,0.0,4.4,,0,0,1.9,,,,,
2016-04-23,16.0,24.3,8.0,0.0,8.2,,0,0,2.2,,,,,
2016-04-24,12.6,18.9,4.3,0.0,6.0,,0,0,1.8,,,,,
2016-04-25,13.0,20.7,4.7,0.0,9.1,,0,0,1.7,,,,,
2016-04-26,14.0,24.0,4.3,0.0,12.3,,0,0,1.9,,,,,
2016-04-27,12.9,21.9,3.9,0.0,9.1,,0,0,2.7,,,,,
2016-04-28,10.2,12.0,8.7,13.0,0.0,,0,0,1.7,,,,,
2016-04-29,7.1,11.3,4.1,6.5,0.8,,0,0,3.4,,,,,
2016-04-30,7.3,13.3,0.7,0.0,3.2,,0,0,2.2,,,,,
2016-05-01,11.1,16.4,6.7,4.0,2.8,,0,0,1.9,,,,,
2016-05-02,13.2,20.0,7.5,0.0,1.1,,0,0,1.7,,,,,
2016-05-03,16.4,24.8,5.1,0.0,9.0,,0,0,2.9,,,,,
2016-05-04,15.1,19.5,7.1,3.0,2.1,,0,0,2.8,,,,,
2016-05-05,11.6,18.4,5.4,0.0,5.3,,0,0,3.1,,,,,
2016-05-06,12.6,19.6,2.9,0.0,2.8,,0,0,2.2,,,,,
2016-05-07,15.7,23.5,11.1,0.0,3.6,,0,0,2.6,,,,,
2016-05-08,13.1,19.3,5.6,0.0,12.2,,0,0,3.1,,,,,
2016-05-09,13.8,21.0,3.8,0.0,7.4,,0,0,2.3,,,,,
2016-05-10,15.3,20.3,12.1,2.5,1.2,,0,0,1.9,,,,,
2016-05-11,13.9,19.8,11.4,4.0,0.0,,0,0,1.3,,,,,
2016-05-12,14.1,20.7,8.0,0.0,9.4,,0,0,2.5,,,,,
2016-05-13,16.4,25.3,5.8,0.0,10.2,,0,0,1.8,,,,,
2016-05-14,17.0,24.1,9.3,0.0,8.5,,0,0,1.7,,,,,
2016-05-15,15.1,23.1,5.8,0.0,13.1,,0,0,2.5,,,,,
2016-05-16,14.9,20.0,6.2,0.0,10.9,,0,0,2.8,,,,,
2016-05-17,12.1,16.1,7.9,19.5,0.0,,0,0,1.3,,,,,
2016-05-18,13.4,23.4,5.0,0.0,13.2,,0,0,1.8,,,,,
2016-05-19,14.1,22.7,4.5,0.0,12.3,,0,0,1.8,,,,,
2016-05-20,13.4,20.6,4.8,0.0,8.4,,0,0,1.6,,,,,
2016-05-21,14.1,21.9,6.4,0.0,5.9,,0,0,1.6,,,,,
2016-05-22,16.7,26.6,7.6,0.0,12.9,,0,0,1.7,,,,,
2016-05-23,17.6,28.1,7.4,0.0,12.9,,0,0,1.6,,,,,
2016-05-24,18.6,26.6,6.9,0.0,8.1,,0,0,1.9,,,,,
2016-05-25,18.1,23.0,13.4,0.0,0.1,,0,0,1.8,,,,,
