calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.4,6.9,-2.6,0.0,2.2,,,,2.0,,,,,
2016-01-02,4.5,13.1,-3.7,0.0,2.4,,,,1.2,,,,,
2016-01-03,6.0,11.8,1.4,0.0,0.5,,,,1.0,,,,,
2016-01-04,6.7,15.2,0.1,0.0,2.4,,,,2.5,,,,,
2016-01-05,5.2,8.0,0.5,0.0,3.2,,,,3.7,,,,,
2016-01-06,4.5,8.1,0.1,0.0,1.5,,,,1.9,,,,,
2016-01-07,2.6,7.7,-1.2,0.0,5.1,,,,2.7,,,,,
2016-01-08,3.8,7.6,0.3,0.0,3.0,,,,1.5,,,,,
2016-01-09,2.3,5.9,-2.5,0.0,3.7,,,,2.0,,,,,
2016-01-10,3.2,7.9,-3.0,0.0,1.5,,,,2.0,,,,,
2016-01-11,1.6,4.3,-2.4,0.0,3.8,,,,3.1,,,,,
2016-01-12,0.0,4.6,-4.7,0.0,2.9,,,,2.6,,,,,
2016-01-13,1.2,7.6,-3.2,0.0,6.3,,,,0.9,,,,,
2016-01-14,1.6,6.3,-1.9,0.0,3.2,,,,1.4,,,,,
2016-01-15,-0.6,4.7,-5.6,1.5,5.1,,,,0.8,,,,,
2016-01-16,-1.8,4.5,-6.8,0.0,3.5,,,,1.1,,,,,
2016-01-17,0.1,6.4,-6.9,0.0,5.6,,,,1.4,,,,,
2016-01-18,1.4,3.9,-0.5,55.0,,,,,3.0,,,,,
2016-01-19,2.5,5.8,-2.4,0.0,,,,,3.2,,,,,
2016-01-20,0.5,5.0,-5.2,0.0,,,,,1.9,,,,,
2016-01-21,2.6,5.2,0.1,0.0,,,,,2.7,,,,,
2016-01-22,1.9,4.3,-1.9,0.0,,,,,3.1,,,,,
2016-01-23,1.3,3.6,-0.5,0.0,,,,,1.9,,,,,
2016-01-24,-0.4,3.0,-4.4,2.0,,,,,2.1,,,,,
2016-01-25,-0.7,2.0,-5.9,3.0,,,,,2.2,,,,,
2016-01-26,-1.3,8.5,-7.8,0.0,,,,,0.8,,,,,
2016-01-27,2.8,9.7,-4.7,0.0,4.4,,,,2.1,,,,,
2016-01-28,4.0,9.5,0.0,0.0,2.8,,,,1.6,,,,,
2016-01-29,0.3,1.7,-1.3,6.0,0.0,,,,2.0,,,,,
2016-01-30,-0.6,3.0,-3.1,5.5,0.6,,,,0.5,,,,,
2016-01-31,0.3,5.1,-3.6,0.0,6.1,,,,2.1,,,,,
2016-02-01,1.0,4.1,-3.3,0.0,3.1,,,,2.0,,,,,
2016-02-02,1.5,4.2,-3.8,0.0,4.4,,,,2.7,,,,,
2016-02-03,2.0,5.6,-2.0,0.0,6.5,,,,2.8,,,,,
2016-02-04,2.1,8.2,-3.6,0.0,6.4,,,,1.2,,,,,
2016-02-05,3.2,7.1,-1.5,0.5,6.1,,,,1.9,,,,,
2016-02-06,1.2,5.6,-2.5,0.5,1.0,,,,1.1,,,,,
2016-02-07,0.3,4.3,-4.6,0.0,8.9,,,,3.3,,,,,
2016-02-08,-1.0,7.3,-8.0,0.0,8.2,,,,1.0,,,,,
2016-02-09,1.5,9.2,-5.5,0.0,5.1,,,,2.1,,,,,
2016-02-10,1.9,4.8,0.4,0.0,4.2,,,,4.1,,,,,
2016-02-11,2.7,7.3,-4.2,0.0,9.1,,,,2.8,,,,,
2016-02-12,2.4,12.3,-7.0,0.0,8.9,,,,0.9,,,,,
