calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.1,11.4,1.7,,9.3,,,,3.2,5.3,1026.3,59,1028.5,0.7
2016-01-02,6.1,11.9,0.6,,7.3,,,,1.2,6.0,1023.7,64,1025.9,5.3
2016-01-03,8.2,15.0,2.7,,8.8,,,,1.3,7.8,1017.7,73,1019.8,5.3
2016-01-04,9.7,15.6,3.9,,5.8,,,,2.0,8.0,1015.7,68,1017.9,5.0
2016-01-05,9.1,13.6,4.5,0.0,3.7,,,,1.8,7.2,1018.3,64,1020.4,6.7
2016-01-06,9.0,12.8,5.2,0.0,1.2,,,,1.5,7.4,1016.7,66,1018.9,10.0
2016-01-07,8.1,12.5,5.6,0.0,5.1,,,,2.7,6.8,1013.9,64,1016.0,5.0
2016-01-08,6.7,11.0,2.5,0.0,6.2,,,,2.0,6.4,1014.7,66,1016.8,7.3
2016-01-09,6.6,11.2,3.9,0.0,8.3,,,,3.0,6.1,1018.0,63,1020.2,4.7
2016-01-10,6.3,11.8,2.4,0.0,4.0,,,,1.8,6.2,1019.3,67,1021.5,8.0
2016-01-11,7.7,12.5,4.1,0.0,5.9,,,,2.2,6.6,1017.1,64,1019.2,9.0
2016-01-12,6.5,10.4,3.3,,3.8,,,,2.4,5.5,1012.9,57,1015.1,4.7
2016-01-13,5.3,10.6,1.1,0.0,5.5,,,,2.5,4.8,1013.1,55,1015.3,6.0
2016-01-14,5.0,10.2,0.9,0.0,6.8,,,,2.3,5.3,1014.2,62,1016.4,5.3
2016-01-15,5.9,10.3,3.5,0.0,7.1,,,,3.3,5.5,1016.7,61,1018.9,5.3
2016-01-16,5.7,10.3,1.9,0.0,8.6,,,,3.2,5.4,1018.8,61,1021.0,1.3
2016-01-17,5.2,9.4,-0.3,3.0,4.7,,,,1.2,5.1,1017.9,59,1020.1,10.0
2016-01-18,7.1,10.5,4.5,15.5,0.2,,,,2.3,8.6,997.1,85,999.2,8.7
2016-01-19,2.9,5.7,0.4,0.0,8.6,,,,6.7,3.2,1005.3,42,1007.5,4.7
2016-01-20,1.7,6.0,-1.5,7.0,6.4,,9,9,3.8,5.5,1012.8,80,1015.0,3.7
2016-01-21,3.2,7.8,-1.4,,5.7,,0,,2.6,4.9,1018.8,66,1021.0,7.7
2016-01-22,3.5,9.2,-1.1,,7.6,,,,2.8,4.1,1020.2,55,1022.4,3.3
2016-01-23,1.8,4.3,-1.2,0.0,0.0,,,,1.4,4.4,1017.0,63,1019.2,10.0
2016-01-24,0.3,2.9,-2.7,0.0,8.7,,,,5.2,2.6,1010.0,41,1012.2,1.0
2016-01-25,-0.6,3.6,-5.0,1.0,4.8,,3,3,2.1,4.6,1019.5,77,1021.7,7.3
2016-01-26,3.3,7.9,-1.7,0.0,8.2,,,,1.6,5.0,1023.4,66,1025.6,4.3
2016-01-27,5.4,10.6,0.9,,4.6,,,,1.8,5.5,1025.7,62,1027.9,6.0
2016-01-28,6.8,13.4,0.1,0.0,6.6,,,,1.8,6.1,1026.2,64,1028.4,6.3
2016-01-29,7.0,8.2,5.7,36.0,0.0,,,,1.1,9.1,1018.5,91,1020.6,10.0
2016-01-30,8.0,10.4,6.0,5.0,0.3,,,,3.5,7.0,1016.0,66,1018.1,9.7
2016-01-31,7.8,12.6,3.3,,9.1,,,,2.8,5.0,1020.1,48,1022.3,3.3
2016-02-01,6.6,8.3,4.5,0.0,0.0,,,,1.8,6.9,1017.7,70,1019.9,10.0
2016-02-02,5.9,12.2,1.9,,8.6,,,,2.9,4.1,1017.4,46,1019.6,2.3
2016-02-03,4.9,10.6,-0.2,,10.0,,,,3.6,3.4,1020.8,41,1023.0,0.3
2016-02-04,5.1,10.9,-0.5,0.0,6.4,,,,2.1,4.6,1019.9,53,1022.1,7.7
2016-02-05,6.7,11.6,2.2,,8.1,,,,2.4,5.8,1016.0,60,1018.1,5.0
2016-02-06,5.7,10.6,1.8,,6.5,,,,2.6,5.2,1012.5,59,1014.7,6.7
2016-02-07,4.6,8.9,1.2,,10.3,,,,4.5,3.3,1015.3,40,1017.5,0.3
2016-02-08,4.0,10.7,-2.3,,10.4,,,,1.5,3.7,1016.5,47,1018.7,2.3
2016-02-09,3.1,6.1,1.2,9.5,0.4,,,,2.4,6.1,1012.6,80,1014.8,9.0
2016-02-10,4.0,7.8,0.1,0.5,7.4,,,,3.8,4.5,1022.1,57,1024.3,2.7
2016-02-11,5.3,12.7,-1.6,,10.4,,,,1.6,4.3,1028.1,52,1030.3,0.0
2016-02-12,7.3,9.7,3.0,,0.0,,,,1.4,6.7,1028.5,65,1030.7,10.0
2016-02-13,10.2,11.8,8.2,24.5,0.0,,,,1.4,10.8,1017.9,86,1020.0,10.0
2016-02-14,13.4,18.2,10.3,28.0,0.6,,,,2.6,12.8,1001.8,83,1003.8,10.0
2016-02-15,7.3,11.0,2.2,0.0,6.4,,,,4.2,5.3,1005.0,51,1007.1,5.0
2016-02-16,3.6,8.2,0.6,0.0,4.3,,,,2.5,4.4,1013.2,57,1015.4,4.3
2016-02-17,3.9,8.7,-0.1,0.0,8.2,,,,3.5,5.3,1017.1,67,1019.2,4.3
2016-02-18,5.1,10.8,0.0,,10.5,,,,1.5,4.6,1023.9,55,1026.1,1.7
2016-02-19,8.2,15.3,1.1,,8.5,,,,1.9,5.2,1025.8,50,1027.9,4.3
2016-02-20,7.6,9.1,6.4,24.5,0.0,,,,1.9,8.4,1016.2,79,1018.4,10.0
2016-02-21,7.9,10.9,4.5,0.0,7.3,,,,4.9,5.6,1019.2,52,1021.4,7.0
2016-02-22,7.0,10.8,2.7,,1.1,,,,2.2,4.9,1027.3,49,1029.5,10.0
2016-02-23,9.1,14.8,4.6,0.0,8.8,,,,2.9,6.2,1021.3,56,1023.5,6.0
2016-02-24,5.9,9.2,2.0,0.0,10.2,,,,5.4,3.6,1022.5,39,1024.7,1.3
2016-02-25,4.5,10.3,-0.4,0.0,10.4,,,,3.5,3.8,1026.0,48,1028.2,4.0
2016-02-26,3.8,9.4,0.1,0.0,6.3,,,,2.7,5.4,1026.3,69,1028.5,4.7
2016-02-27,5.7,11.1,0.0,0.0,6.2,,,,1.7,5.7,1025.1,65,1027.3,9.7
2016-02-28,9.2,15.4,2.7,,10.1,,,,1.8,5.8,1022.8,54,1024.9,1.3
2016-02-29,7.1,11.2,0.7,3.5,1.4,,0,,3.7,6.6,1011.3,65,1013.5,8.0
2016-03-01,2.3,5.7,-0.8,0.5,7.8,,1,1,3.8,4.1,1019.4,58,1021.6,7.0
2016-03-02,4.8,9.6,1.0,0.0,6.0,,,,2.5,5.1,1022.7,60,1024.9,3.7
