calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.0,9.1,-2.8,0.0,5.0,,,,0.2,,,,,
2016-01-02,2.6,9.0,-2.2,0.0,2.7,,,,0.1,,,,,
2016-01-03,4.5,12.8,0.5,0.0,3.8,,,,0.1,,,,,
2016-01-04,4.8,13.0,-1.0,0.0,2.3,,,,0.4,,,,,
2016-01-05,4.4,11.3,0.1,0.0,0.3,,,,0.3,,,,,
2016-01-06,4.6,10.8,0.8,0.0,1.2,,,,0.2,,,,,
2016-01-07,3.2,7.9,-0.3,0.0,2.7,,,,0.4,,,,,
2016-01-08,4.1,8.8,1.4,0.0,1.6,,,,0.1,,,,,
2016-01-09,2.9,9.1,0.3,0.0,2.7,,,,0.3,,,,,
2016-01-10,2.9,6.4,-0.5,0.0,0.4,,,,0.2,,,,,
2016-01-11,3.9,10.0,-0.2,0.0,2.6,,,,0.2,,,,,
2016-01-12,2.5,8.0,-1.6,0.0,1.2,,,,0.4,,,,,
2016-01-13,1.7,8.1,-2.7,0.5,2.3,,,,0.2,,,,,
2016-01-14,1.8,6.3,-0.1,1.5,0.9,,,,0.2,,,,,
2016-01-15,1.6,7.1,-1.1,0.5,5.1,,,,0.3,,,,,
2016-01-16,1.7,8.3,-2.3,0.0,5.0,,,,0.4,,,,,
2016-01-17,1.0,7.3,-4.0,3.0,0.6,,,,0.1,,,,,
2016-01-18,2.6,7.5,-0.1,30.0,0.3,,,,,,,,,
2016-01-19,-0.4,2.5,-3.4,2.0,2.4,,,,0.7,,,,,
2016-01-20,-1.4,2.3,-3.7,22.0,1.2,,,,,,,,,
2016-01-21,-1.7,4.5,-6.3,0.0,3.2,,,,0.2,,,,,
2016-01-22,-0.7,5.3,-5.3,0.0,5.0,,,,0.4,,,,,
2016-01-23,-1.4,1.6,-4.5,0.5,0.0,,,,0.0,,,,,
2016-01-24,-3.9,-0.7,-8.2,4.5,0.0,,,,,,,,,
2016-01-25,-3.5,2.4,-8.0,0.5,4.9,,,,,,,,,
2016-01-26,-0.9,4.8,-5.2,0.0,5.6,,,,0.2,,,,,
2016-01-27,1.1,6.8,-1.5,0.0,3.6,,,,0.2,,,,,
2016-01-28,2.1,9.8,-2.4,0.0,3.3,,,,0.2,,,,,
2016-01-29,2.5,3.8,1.2,39.0,0.0,,,,0.0,,,,,
2016-01-30,3.8,8.2,-0.4,8.5,0.0,,,,0.2,,,,,
2016-01-31,2.9,10.4,-2.4,0.0,5.8,,,,0.3,,,,,
2016-02-01,3.3,7.6,-0.1,0.0,0.0,,,,0.1,,,,,
2016-02-02,1.6,8.9,-2.7,0.0,6.0,,,,0.5,,,,,
2016-02-03,0.3,8.0,-4.4,0.0,6.7,,,,0.5,,,,,
2016-02-04,0.4,8.3,-4.7,0.0,2.6,,,,0.1,,,,,
2016-02-05,2.4,10.2,-1.4,0.0,5.5,,,,0.3,,,,,
2016-02-06,2.0,9.4,-2.1,0.0,6.0,,,,0.4,,,,,
2016-02-07,1.0,7.4,-3.3,0.0,6.9,,,,0.6,,,,,
