calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,10.8,0.7,0.0,8.5,,,,2.0,,,,,
2016-01-02,5.0,11.5,-0.3,0.0,6.1,,,,0.9,,,,,
2016-01-03,7.2,14.5,1.6,0.0,7.9,,,,1.1,,,,,
2016-01-04,9.2,15.3,2.5,0.0,4.9,,,,1.6,,,,,
2016-01-05,8.1,13.4,3.1,0.0,1.9,,,,1.7,,,,,
2016-01-06,8.4,12.7,4.8,0.0,1.4,,,,1.2,,,,,
2016-01-07,7.5,10.6,5.3,0.0,7.2,,,,2.7,,,,,
2016-01-08,5.5,10.7,0.9,0.0,5.3,,,,1.3,,,,,
2016-01-09,5.1,10.7,1.6,0.0,5.9,,,,1.6,,,,,
2016-01-10,5.1,11.4,0.5,0.0,4.6,,,,1.3,,,,,
2016-01-11,6.7,11.2,2.5,0.0,3.1,,,,1.5,,,,,
2016-01-12,5.9,11.0,1.6,0.0,4.0,,,,1.9,,,,,
2016-01-13,4.0,9.3,-1.4,0.0,2.0,,,,1.5,,,,,
2016-01-14,4.0,9.5,-1.0,0.0,6.4,,,,1.6,,,,,
2016-01-15,4.6,8.4,2.5,0.0,2.9,,,,1.8,,,,,
2016-01-16,4.9,9.7,1.2,0.5,5.7,,,,2.1,,,,,
2016-01-17,4.4,8.9,-1.5,4.5,4.8,,,,1.1,,,,,
2016-01-18,7.6,12.1,4.1,20.5,1.8,,,,3.0,,,,,
2016-01-19,2.7,5.7,-0.9,0.0,6.8,,,,5.0,,,,,
2016-01-20,1.3,5.8,-1.6,12.0,3.0,,,,2.4,,,,,
2016-01-21,2.7,7.3,-1.3,0.0,4.7,,,,1.9,,,,,
2016-01-22,3.3,8.7,-1.6,0.0,6.4,,,,2.4,,,,,
2016-01-23,1.1,4.0,-2.5,0.0,1.0,,,,1.2,,,,,
2016-01-24,-0.2,2.8,-3.3,0.0,8.4,,,,4.3,,,,,
2016-01-25,-1.7,1.9,-5.3,7.0,3.7,,,,0.8,,,,,
2016-01-26,1.3,7.1,-5.0,0.0,7.4,,,,0.8,,,,,
