calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,6.1,-3.0,1.0,7.5,,0,0,1.0,,,,,
2016-01-02,1.3,6.8,-3.2,0.0,0.7,,0,0,1.0,,,,,
2016-01-03,3.4,15.2,-1.6,0.0,6.1,,0,0,0.8,,,,,
2016-01-04,4.6,16.1,-2.7,0.0,3.9,,0,0,1.0,,,,,
2016-01-05,4.4,11.2,-0.2,0.0,2.7,,0,0,1.3,,,,,
2016-01-06,4.1,9.1,1.3,0.0,0.4,,0,0,0.7,,,,,
2016-01-07,1.4,5.1,0.0,4.5,0.4,,0,0,0.6,,,,,
2016-01-08,2.2,5.5,0.4,0.5,0.0,,0,0,0.5,,,,,
2016-01-09,2.2,8.6,-0.2,1.0,3.9,,0,0,1.0,,,,,
2016-01-10,2.0,4.9,0.1,1.5,1.1,,0,0,0.4,,,,,
2016-01-11,1.6,4.8,0.6,0.5,0.6,,0,0,1.4,,,,,
2016-01-12,0.4,3.0,-2.7,0.0,0.6,,0,0,2.2,,,,,
2016-01-13,0.5,7.0,-4.6,1.5,3.6,,0,0,1.1,,,,,
2016-01-14,0.5,2.6,-0.4,2.0,0.1,,1,1,0.3,,,,,
2016-01-15,0.3,4.7,-1.9,0.5,1.3,,0,0,0.7,,,,,
2016-01-16,0.7,6.0,-1.9,1.0,3.7,,2,2,1.0,,,,,
2016-01-17,-0.1,5.0,-3.7,0.0,2.3,,0,0,0.8,,,,,
2016-01-18,0.8,1.9,-0.1,21.5,0.0,,0,0,0.5,,,,,
2016-01-19,-2.0,0.9,-4.2,2.5,0.0,,3,4,1.1,,,,,
2016-01-20,-1.6,1.2,-4.6,20.0,0.1,,27,26,1.4,,,,,
2016-01-21,-1.6,1.9,-4.6,1.0,1.6,,23,4,0.8,,,,,
2016-01-22,-3.5,0.5,-7.4,0.0,2.6,,18,3,1.3,,,,,
2016-01-23,-3.4,1.0,-8.4,0.0,0.0,,14,3,0.7,,,,,
2016-01-24,-4.1,-1.9,-7.1,3.0,1.0,,19,7,1.0,,,,,
2016-01-25,-5.6,-0.8,-10.1,14.5,0.2,,41,25,0.4,,,,,
2016-01-26,-3.3,5.5,-11.6,0.0,7.3,,32,3,0.8,,,,,
2016-01-27,0.3,7.9,-3.9,0.0,6.4,,24,1,0.7,,,,,
2016-01-28,1.2,7.8,-3.8,0.0,1.5,,18,1,0.7,,,,,
2016-01-29,1.6,3.2,0.7,30.0,0.0,,15,4,0.4,,,,,
2016-01-30,1.0,3.5,-2.1,6.0,0.3,,12,4,1.6,,,,,
2016-01-31,1.8,8.6,-1.8,0.0,5.9,,10,2,0.9,,,,,
2016-02-01,0.2,1.6,-1.6,0.5,0.0,,9,1,2.5,,,,,
2016-02-02,-1.4,2.4,-4.3,0.0,2.3,,8,0,1.5,,,,,
2016-02-03,-2.1,3.2,-7.6,0.0,7.4,,9,3,1.2,,,,,
2016-02-04,-1.0,7.3,-8.1,0.0,4.0,,10,2,0.9,,,,,
2016-02-05,1.1,8.8,-2.4,0.0,6.7,,8,2,1.0,,,,,
2016-02-06,1.0,6.5,-1.7,0.0,2.6,,8,5,1.4,,,,,
2016-02-07,-1.5,2.0,-6.3,0.0,7.0,,9,7,2.2,,,,,
2016-02-08,-1.5,9.6,-9.5,0.0,8.3,,9,5,0.9,,,,,
2016-02-09,0.1,2.0,-1.8,20.5,0.0,,34,33,0.8,,,,,
2016-02-10,-1.9,1.6,-6.3,9.0,1.7,,48,20,1.6,,,,,
2016-02-11,-3.5,5.2,-10.7,0.0,8.6,,33,0,0.7,,,,,
2016-02-12,0.6,8.3,-6.0,0.0,0.2,,25,2,0.9,,,,,
2016-02-13,3.2,5.4,1.6,13.5,0.0,,19,5,0.7,,,,,
2016-02-14,5.1,8.0,3.4,39.0,0.0,,14,6,0.7,,,,,
2016-02-15,0.1,4.2,-3.5,0.0,3.4,,9,3,2.7,,,,,
2016-02-16,-0.5,4.2,-5.8,0.0,3.6,,7,2,1.1,,,,,
2016-02-17,-0.8,1.8,-3.9,2.0,1.4,,10,6,1.6,,,,,
2016-02-18,-0.1,11.2,-7.4,0.0,8.6,,9,2,1.1,,,,,
2016-02-19,3.5,14.2,-3.7,0.0,8.0,,7,1,1.2,,,,,
2016-02-20,3.5,7.0,1.0,23.5,0.0,,3,1,0.7,,,,,
2016-02-21,2.3,5.1,-1.3,1.5,3.6,,0,0,1.5,,,,,
2016-02-22,1.4,8.1,-2.7,0.0,2.0,,0,0,1.2,,,,,
2016-02-23,4.4,9.7,-0.2,0.5,2.1,,0,0,1.1,,,,,
2016-02-24,-0.4,2.3,-3.7,0.5,7.6,,0,0,2.8,,,,,
2016-02-25,-0.3,6.1,-4.1,0.5,7.2,,1,1,0.9,,,,,
2016-02-26,-0.3,3.8,-2.8,2.0,2.7,,0,0,0.8,,,,,
2016-02-27,1.1,7.7,-5.2,1.0,4.6,,0,0,1.1,,,,,
2016-02-28,5.0,14.6,-0.5,0.0,9.0,,0,0,1.2,,,,,
2016-02-29,2.4,5.3,-3.5,8.0,0.0,,9,9,2.1,,,,,
2016-03-01,-3.3,-0.8,-5.6,6.5,1.4,,19,11,1.7,,,,,
2016-03-02,-1.0,5.1,-5.2,0.5,3.2,,12,6,0.5,,,,,
2016-03-03,-0.3,7.7,-5.2,0.0,1.7,,3,1,0.6,,,,,
2016-03-04,3.4,14.8,-3.3,0.0,9.3,,3,1,1.2,,,,,
2016-03-05,4.5,12.6,-1.3,0.0,0.5,,0,0,1.0,,,,,
2016-03-06,11.1,19.0,3.8,0.0,1.9,,0,0,2.2,,,,,
2016-03-07,10.0,16.1,5.6,0.5,0.5,,0,0,0.9,,,,,
2016-03-08,10.0,22.0,4.3,0.0,4.6,,0,0,1.8,,,,,
2016-03-09,3.1,8.2,0.7,15.5,0.0,,0,0,2.5,,,,,
2016-03-10,2.3,6.4,0.5,0.0,1.2,,0,0,2.6,,,,,
2016-03-11,1.8,7.4,-2.8,0.0,9.0,,0,0,2.0,,,,,
2016-03-12,0.6,7.6,-4.7,0.0,9.8,,1,1,1.6,,,,,
2016-03-13,3.4,11.4,-3.9,0.0,1.7,,1,1,0.9,,,,,
2016-03-14,1.8,3.3,0.0,8.5,0.0,,1,2,,,,,,
2016-03-15,1.7,5.9,-2.4,3.5,4.1,,0,0,2.1,,,,,
2016-03-16,4.2,14.5,-4.0,0.0,7.8,,0,0,1.4,,,,,
2016-03-17,7.3,19.3,-2.4,0.0,9.7,,0,0,1.3,,,,,
2016-03-18,8.7,16.9,0.7,6.5,2.3,,0,0,1.8,,,,,
2016-03-19,10.1,14.9,7.5,20.0,1.4,,0,0,1.8,,,,,
2016-03-20,5.8,10.0,2.6,0.0,2.9,,0,0,2.9,,,,,
2016-03-21,3.5,7.7,-1.8,0.0,8.6,,0,0,2.7,,,,,
2016-03-22,5.8,18.6,-3.6,0.0,10.0,,0,0,1.1,,,,,
2016-03-23,4.9,11.0,0.6,1.0,2.8,,0,0,2.3,,,,,
2016-03-24,2.6,6.9,-0.7,1.5,6.0,,0,0,1.8,,,,,
2016-03-25,2.0,7.5,-2.2,0.0,9.5,,0,0,2.3,,,,,
