calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.2,10.8,-2.2,0.0,7.6,,,,1.0,,,,,
2016-01-02,3.3,11.1,-2.1,0.0,4.2,,,,0.6,,,,,
2016-01-03,4.6,15.2,-0.4,0.0,6.2,,,,0.6,,,,,
2016-01-04,4.6,12.5,-0.7,0.0,4.0,,,,0.6,,,,,
2016-01-05,4.5,11.7,-0.3,0.0,2.2,,,,0.8,,,,,
2016-01-06,4.5,11.0,0.6,0.0,1.4,,,,0.4,,,,,
2016-01-07,3.5,10.1,0.0,0.0,5.9,,,,1.0,,,,,
2016-01-08,4.3,10.2,0.5,0.0,6.0,,,,0.9,,,,,
2016-01-09,3.0,10.2,-0.4,0.0,4.7,,,,1.0,,,,,
2016-01-10,3.1,8.8,-0.9,0.0,1.6,,,,0.7,,,,,
2016-01-11,3.6,11.0,-0.9,0.0,4.7,,,,0.7,,,,,
2016-01-12,2.8,8.1,-1.7,0.0,2.6,,,,1.1,,,,,
2016-01-13,1.7,7.7,-3.3,0.0,4.8,,,,0.8,,,,,
2016-01-14,2.6,7.1,0.6,0.5,1.5,,,,0.8,,,,,
2016-01-15,2.7,8.6,-0.6,0.0,6.6,,,,1.1,,,,,
2016-01-16,2.1,8.9,-1.7,0.0,5.7,,,,0.9,,,,,
2016-01-17,1.6,7.9,-3.9,0.0,3.0,,,,0.7,,,,,
2016-01-18,4.7,9.6,2.0,21.5,0.3,,,,0.7,,,,,
2016-01-19,0.8,3.8,-1.7,0.5,3.8,,,,2.0,,,,,
2016-01-20,-0.8,3.4,-3.0,16.0,1.5,,,,,,,,,
2016-01-21,-0.8,4.8,-5.3,0.0,3.9,,,,0.6,,,,,
2016-01-22,0.4,5.7,-4.3,0.0,6.1,,,,1.3,,,,,
2016-01-23,-0.8,2.2,-3.8,0.0,0.0,,,,0.3,,,,,
2016-01-24,-2.6,-0.1,-6.9,1.5,2.8,,,,1.2,,,,,
2016-01-25,-2.5,3.5,-7.6,0.0,5.2,,,,0.9,,,,,
2016-01-26,-0.2,6.6,-5.4,0.0,8.1,,,,1.1,,,,,
2016-01-27,1.9,8.9,-1.6,0.0,5.8,,,,0.9,,,,,
2016-01-28,2.6,11.8,-3.3,0.0,5.7,,,,0.8,,,,,
2016-01-29,3.5,5.2,1.8,42.0,0.0,,,,0.3,,,,,
2016-01-30,5.6,8.6,3.9,11.5,0.1,,,,1.4,,,,,
2016-01-31,4.9,12.3,-0.7,0.0,7.7,,,,1.3,,,,,
2016-02-01,4.1,8.4,0.5,0.0,0.0,,,,0.8,,,,,
2016-02-02,2.7,10.1,-1.9,0.0,5.0,,,,1.5,,,,,
2016-02-03,2.3,10.0,-2.3,0.0,8.3,,,,1.3,,,,,
2016-02-04,1.4,8.9,-4.4,0.0,4.5,,,,0.8,,,,,
2016-02-05,3.1,10.4,-1.7,0.0,7.0,,,,1.0,,,,,
2016-02-06,2.7,9.3,-1.3,0.0,4.4,,,,1.1,,,,,
2016-02-07,2.3,9.0,-2.9,0.0,8.4,,,,1.6,,,,,
2016-02-08,0.6,11.0,-5.7,0.0,8.4,,,,0.8,,,,,
2016-02-09,-0.1,3.7,-2.8,7.0,0.2,,,,0.6,,,,,
2016-02-10,1.3,5.8,-1.8,0.0,4.8,,,,1.4,,,,,
2016-02-11,2.7,13.1,-3.2,0.0,8.4,,,,1.0,,,,,
2016-02-12,3.3,8.0,-2.5,0.0,0.0,,,,0.5,,,,,
