calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,5.3,-2.5,1.5,4.2,,0,0,,,,,,
2016-01-02,0.2,4.0,-2.5,0.0,0.3,,0,0,0.6,,,,,
2016-01-03,1.3,6.7,-1.2,0.0,2.2,,0,0,0.6,,,,,
2016-01-04,2.6,10.4,-0.9,0.0,3.9,,0,0,1.0,,,,,
2016-01-05,3.1,10.2,-1.0,0.0,2.6,,0,0,1.0,,,,,
2016-01-06,3.5,8.2,1.1,0.0,1.2,,0,0,0.7,,,,,
2016-01-07,0.9,4.6,-0.5,6.0,1.4,,2,2,0.6,,,,,
2016-01-08,1.1,2.8,0.0,2.5,0.0,,0,0,0.4,,,,,
2016-01-09,1.7,4.9,0.0,2.0,1.9,,0,0,0.7,,,,,
2016-01-10,1.4,2.9,0.0,2.0,0.4,,0,0,0.6,,,,,
2016-01-11,1.4,3.5,0.0,1.0,1.0,,0,0,,,,,,
2016-01-12,0.1,2.0,-3.0,0.0,0.4,,0,0,2.1,,,,,
2016-01-13,-0.2,4.5,-4.7,1.5,3.6,,0,0,1.0,,,,,
2016-01-14,0.2,1.5,-0.6,4.0,0.0,,3,6,,,,,,
2016-01-15,0.0,3.0,-1.9,1.5,0.8,,5,4,,,,,,
2016-01-16,0.1,3.7,-2.4,0.5,1.1,,2,2,1.0,,,,,
2016-01-17,-1.1,2.9,-5.1,1.0,1.3,,2,2,0.7,,,,,
2016-01-18,0.4,1.9,-0.6,31.0,0.0,,5,8,,,,,,
2016-01-19,-2.8,1.2,-4.9,11.0,0.0,,27,25,,,,,,
2016-01-20,-2.3,0.4,-4.9,21.0,0.1,,55,28,,,,,,
2016-01-21,-2.2,0.8,-5.9,1.0,0.7,,50,3,0.9,,,,,
2016-01-22,-4.0,-0.2,-8.3,0.0,2.2,,42,1,1.1,,,,,
2016-01-23,-4.0,-1.2,-7.5,1.5,0.4,,38,3,0.6,,,,,
2016-01-24,-4.7,-1.6,-7.7,6.0,0.0,,47,12,1.4,,,,,
2016-01-25,-5.8,-1.6,-8.5,13.0,0.0,,76,30,,,,,,
2016-01-26,-3.5,3.0,-9.3,0.0,6.9,,65,0,0.6,,,,,
2016-01-27,-0.7,4.8,-3.3,0.5,4.9,,52,2,0.4,,,,,
2016-01-28,0.2,4.2,-3.0,0.0,0.7,,43,0,0.5,,,,,
2016-01-29,1.1,2.6,-0.1,29.0,0.0,,37,0,,,,,,
2016-01-30,0.9,3.2,-1.3,4.0,1.4,,29,1,1.5,,,,,
2016-01-31,2.1,7.3,-0.8,0.0,7.1,,27,0,0.7,,,,,
2016-02-01,-0.4,1.5,-2.6,0.0,0.0,,25,1,2.7,,,,,
2016-02-02,-1.7,1.0,-4.1,0.0,0.5,,25,1,1.5,,,,,
2016-02-03,-1.5,2.7,-4.7,0.0,3.7,,25,1,1.1,,,,,
2016-02-04,-1.4,5.0,-7.7,0.0,5.9,,22,1,0.8,,,,,
2016-02-05,1.0,7.6,-2.3,0.0,6.5,,23,1,0.9,,,,,
2016-02-06,0.7,5.3,-1.4,2.0,4.6,,26,10,1.3,,,,,
2016-02-07,-2.1,1.6,-7.2,2.0,5.6,,27,5,1.7,,,,,
2016-02-08,-3.6,5.4,-9.7,0.0,6.8,,21,0,0.8,,,,,
2016-02-09,-1.2,1.2,-4.0,22.5,0.0,,61,42,,,,,,
2016-02-10,-2.0,0.4,-5.3,7.5,0.4,,74,15,,,,,,
2016-02-11,-3.5,4.3,-10.7,0.0,9.0,,59,0,0.6,,,,,
2016-02-12,-0.9,3.6,-6.2,0.0,0.1,,50,0,0.7,,,,,
2016-02-13,1.9,3.5,0.8,8.5,0.0,,43,0,0.3,,,,,
2016-02-14,2.7,4.9,1.6,21.0,0.3,,31,1,0.6,,,,,
2016-02-15,-0.5,2.8,-3.7,0.5,0.9,,29,2,2.5,,,,,
2016-02-16,-1.5,2.0,-4.4,0.0,1.2,,28,1,1.1,,,,,
2016-02-17,-1.4,0.8,-3.3,5.0,0.7,,40,16,1.8,,,,,
2016-02-18,-1.6,6.8,-6.9,0.0,7.8,,39,1,1.2,,,,,
2016-02-19,1.9,10.5,-4.9,0.0,8.6,,29,1,1.0,,,,,
2016-02-20,2.0,4.1,0.5,18.5,0.0,,26,0,0.7,,,,,
2016-02-21,1.1,2.8,-1.2,4.0,0.3,,26,4,1.5,,,,,
2016-02-22,1.1,6.2,-2.3,0.5,2.7,,26,0,1.0,,,,,
2016-02-23,3.2,8.0,-0.3,0.0,2.0,,23,3,0.5,,,,,
2016-02-24,-1.0,1.3,-2.3,1.5,3.2,,27,7,2.5,,,,,
2016-02-25,-0.6,3.7,-3.9,0.5,5.6,,22,4,0.8,,,,,
2016-02-26,-0.9,1.1,-2.7,3.0,0.2,,29,10,0.7,,,,,
2016-02-27,-0.4,4.8,-6.1,2.5,2.9,,29,0,,,,,,
2016-02-28,2.9,10.5,-0.7,0.0,8.4,,20,1,0.9,,,,,
2016-02-29,1.3,4.4,-3.7,8.5,0.0,,29,16,1.8,,,,,
2016-03-01,-3.7,-1.7,-5.1,10.0,0.0,,51,23,1.4,,,,,
2016-03-02,-1.5,3.0,-4.5,1.0,2.1,,45,4,0.6,,,,,
2016-03-03,-1.2,5.9,-6.3,0.0,2.1,,29,0,0.7,,,,,
2016-03-04,1.8,11.4,-3.0,0.0,7.6,,25,1,0.9,,,,,
2016-03-05,2.8,9.6,-1.7,0.0,0.8,,19,1,0.4,,,,,
2016-03-06,6.1,15.1,1.3,1.5,1.1,,16,0,1.0,,,,,
2016-03-07,6.0,13.3,2.6,0.0,1.3,,10,0,0.6,,,,,
2016-03-08,7.7,16.2,2.6,0.0,3.0,,3,0,1.6,,,,,
2016-03-09,2.8,6.6,0.5,8.0,0.0,,0,0,2.2,,,,,
2016-03-10,1.6,5.4,-0.3,0.5,0.5,,0,0,2.1,,,,,
2016-03-11,1.8,6.2,-2.2,0.0,8.3,,0,0,1.8,,,,,
2016-03-12,0.6,7.2,-3.9,0.0,8.1,,0,0,1.7,,,,,
2016-03-13,2.8,9.8,-3.3,0.0,3.1,,0,0,0.9,,,,,
2016-03-14,1.6,3.3,0.1,6.0,0.0,,0,0,,,,,,
2016-03-15,1.7,5.1,-2.2,0.5,4.4,,0,0,1.5,,,,,
2016-03-16,3.4,13.2,-3.8,0.0,8.2,,0,0,1.0,,,,,
2016-03-17,6.5,18.7,-2.1,0.0,10.5,,0,0,1.0,,,,,
2016-03-18,7.4,15.7,0.3,5.5,2.6,,0,0,1.1,,,,,
2016-03-19,9.4,15.0,6.9,17.5,2.1,,0,0,1.2,,,,,
2016-03-20,5.0,7.8,1.8,1.0,0.1,,0,0,2.4,,,,,
2016-03-21,2.7,7.7,-1.6,0.0,5.2,,0,0,1.4,,,,,
2016-03-22,4.8,15.8,-3.3,0.0,10.6,,0,0,1.1,,,,,
2016-03-23,4.4,10.3,0.3,0.0,2.8,,0,0,2.8,,,,,
2016-03-24,2.1,6.4,-0.8,1.0,4.2,,0,0,1.4,,,,,
2016-03-25,1.4,5.4,-0.9,0.5,4.0,,0,0,2.3,,,,,
2016-03-26,2.3,9.6,-3.5,0.0,10.1,,0,0,1.6,,,,,
2016-03-27,4.9,13.3,-2.5,0.0,8.0,,0,0,1.2,,,,,
2016-03-28,5.7,13.0,0.2,0.0,6.3,,0,0,1.2,,,,,
2016-03-29,7.2,18.1,-2.0,0.0,9.2,,0,0,1.3,,,,,
2016-03-30,7.7,14.7,1.4,2.0,3.9,,0,0,1.0,,,,,
2016-03-31,8.0,17.7,0.5,0.0,8.4,,0,0,1.2,,,,,
2016-04-01,10.1,20.5,0.3,0.0,6.5,,0,0,1.1,,,,,
2016-04-02,12.8,21.0,3.4,0.0,8.9,,0,0,1.4,,,,,
2016-04-03,12.7,15.8,10.5,0.0,0.0,,0,0,1.7,,,,,
2016-04-04,9.1,11.8,5.1,22.5,0.0,,0,0,2.1,,,,,
2016-04-05,8.8,15.9,3.0,0.0,7.8,,0,0,1.8,,,,,
2016-04-06,9.6,19.6,0.3,0.0,8.7,,0,0,1.2,,,,,
